event,timestamp,pos_x,pos_y,res_timestamp,decision,earned_points,total_points,game_timestamp,mode,n_game,subject,filename,n_star
start_game,3505,0,0,0,-,0,0,0,im,1,test1,im_log_game_1,-1
select_star,4011,825,611,9853839,-,0,0,506,im,1,test1,im_log_game_1,7
unselect_star,4568,825,611,9854399,-,0,0,1063,im,1,test1,im_log_game_1,7
select_star,5109,798,314,9854919,-,0,0,1604,im,1,test1,im_log_game_1,6
activate_star,6610,798,314,9856439,-,0,0,3105,im,1,test1,im_log_game_1,6
blast_step_1,7615,798,314,9857439,success,15,15,4110,im,1,test1,im_log_game_1,6
blast_step_2,8615,798,314,9858439,success,45,60,5110,im,1,test1,im_log_game_1,6
blast_step_3,9615,798,314,9859439,success,45,105,6110,im,1,test1,im_log_game_1,6
blast_step_4,10615,798,314,9860439,success,20,125,7110,im,1,test1,im_log_game_1,6
blast_step_5,11615,798,314,9861439,success,45,170,8110,im,1,test1,im_log_game_1,6
blast_step_6,12616,798,314,9862439,success,60,230,9111,im,1,test1,im_log_game_1,6
blast_step_7,13616,798,314,9863439,success,70,300,10111,im,1,test1,im_log_game_1,6
blast_step_8,14616,798,314,9864439,success,40,340,11111,im,1,test1,im_log_game_1,6
overkill_step,15616,798,314,9865439,overkill,-45,295,12111,im,1,test1,im_log_game_1,6
overkill_step,16617,798,314,9866440,no_overkill,0,295,13112,im,1,test1,im_log_game_1,6
star_blasted,18617,798,314,9868440,-,0,295,15112,im,1,test1,im_log_game_1,6
change_score,18917,798,314,9868720,-,295,295,15412,im,1,test1,im_log_game_1,6
select_star,19548,560,412,9869360,-,0,295,16043,im,1,test1,im_log_game_1,3
activate_star,21049,560,412,9870880,-,0,295,17544,im,1,test1,im_log_game_1,3
start_holiday_home,21049,560,412,9870880,-,0,295,17544,im,1,test1,im_log_game_1,3
end_holiday_home,29051,560,412,9878880,-,0,295,25546,im,1,test1,im_log_game_1,3
select_star,31228,264,123,9881040,-,0,295,27723,im,1,test1,im_log_game_1,0
