subject,condition,n_game,event,n_step,deviation,norm_dev
01TG,im,1,activate_star,1,49.92,8.94
01TG,im,1,blast_step_2,2,61.76,13.68
01TG,im,1,blast_step_3,3,72.58,33.9
01TG,im,1,blast_step_4,4,65.18,32.23
01TG,im,1,blast_step_5,5,67.47,51.2
01TG,im,1,blast_step_6,6,89.05,61.31
01TG,im,1,blast_step_7,7,87.27,55.75
01TG,im,1,blast_step_8,8,297.84,264.86
01TG,im,1,overkill_step,9,313.42,278.43
01TG,im,1,activate_star,1,62.43,4.08
01TG,im,1,blast_step_1,2,65.32,2.9
01TG,im,1,blast_step_2,3,57.13,8.64
01TG,im,1,blast_step_3,4,57.5,8.03
01TG,im,1,blast_step_4,5,65.56,13.81
01TG,im,1,blast_step_5,6,80.11,37.68
01TG,im,1,blast_step_6,7,80.82,36.47
01TG,im,1,blast_step_7,8,94.72,59.05
01TG,im,1,blast_step_8,9,105.45,71.82
01TG,im,1,overkill_step,10,293.84,250.92
01TG,im,1,blast_step_2,2,15.88,5.04
01TG,im,1,blast_step_3,3,17.04,4.42
01TG,im,1,blast_step_4,4,21.74,9.38
01TG,im,1,blast_step_5,5,53.5,43.68
01TG,im,1,blast_step_6,6,57.29,50.27
01TG,im,1,blast_step_7,7,80.03,72.6
01TG,im,1,blast_step_8,8,195.67,193.94
01TG,im,1,overkill_step,9,193.33,192.35
01TG,im,1,activate_star,1,64.29,12.5
01TG,im,1,blast_step_2,2,66.3,17.87
01TG,im,1,blast_step_3,3,65.97,30.97
01TG,im,1,blast_step_4,4,75.46,42.53
01TG,im,1,blast_step_5,5,76.4,38.87
01TG,im,1,blast_step_6,6,67.64,35.09
01TG,im,1,blast_step_7,7,79.06,57.97
01TG,im,1,blast_step_8,8,80.66,63.42
01TG,im,1,overkill_step,9,127.72,92.23
01TG,im,1,overkill_step,10,450.15,398.18
01TG,im,1,activate_star,1,49.98,11.38
01TG,im,1,blast_step_2,2,49.45,7.91
01TG,im,1,blast_step_3,3,50.19,6.98
01TG,im,1,blast_step_4,4,58.46,22.7
01TG,im,1,blast_step_5,5,61.71,36.79
01TG,im,1,blast_step_6,6,69.01,54.08
01TG,im,1,blast_step_7,7,79.53,62.38
01TG,im,1,blast_step_8,8,97.88,77.64
01TG,im,1,overkill_step,9,83.09,61.24
01TG,im,1,activate_star,1,35.62,7.85
01TG,im,1,blast_step_2,2,28.58,16.05
01TG,im,1,blast_step_3,3,31.71,35.75
01TG,im,1,blast_step_4,4,36.86,35.18
01TG,im,1,blast_step_5,5,37.25,50.03
01TG,im,1,blast_step_6,6,63.51,67.18
01TG,im,1,blast_step_7,7,75.34,73.9
01TG,im,1,blast_step_8,8,71.52,80.56
01TG,im,1,overkill_step,9,312.11,350.36
01TG,im,1,activate_star,1,12.79,19.0
01TG,im,1,blast_step_3,4,13.97,9.08
01TG,im,1,blast_step_4,5,33.72,18.65
01TG,im,1,blast_step_5,6,49.23,35.28
01TG,im,1,blast_step_6,7,80.18,65.92
01TG,im,1,blast_step_7,8,78.64,64.23
01TG,im,1,blast_step_8,9,72.27,56.49
01TG,im,1,activate_star,1,75.01,19.02
01TG,im,1,blast_step_1,2,83.27,4.6
01TG,im,1,blast_step_2,3,82.49,4.7
01TG,im,1,blast_step_3,4,80.61,11.3
01TG,im,1,blast_step_4,5,101.26,16.07
01TG,im,1,blast_step_5,6,95.37,18.79
01TG,im,1,blast_step_6,7,82.93,55.24
01TG,im,1,blast_step_7,8,110.34,34.0
01TG,im,1,blast_step_8,9,114.27,37.61
01TG,im,1,overkill_step,10,213.99,260.03
01TG,im,1,overkill_step,11,188.06,221.26
01TG,im,1,overkill_step,12,197.14,225.14
01TG,im,1,activate_star,1,38.38,25.85
01TG,im,1,blast_step_1,2,51.75,9.04
01TG,im,1,blast_step_2,3,50.12,10.69
01TG,im,1,blast_step_3,4,49.48,24.65
01TG,im,1,blast_step_4,5,48.51,37.02
01TG,im,1,blast_step_5,6,58.75,52.91
01TG,im,1,blast_step_6,7,83.63,43.84
01TG,im,1,blast_step_7,8,65.22,55.3
01TG,im,1,blast_step_8,9,410.86,448.53
01TG,im,1,activate_star,1,88.82,11.7
01TG,im,1,blast_step_2,2,87.6,5.82
01TG,im,1,blast_step_3,3,96.58,9.37
01TG,im,1,blast_step_4,4,93.73,12.79
01TG,im,1,blast_step_5,5,97.2,17.53
01TG,im,1,blast_step_6,6,112.54,35.56
01TG,im,1,blast_step_7,7,123.84,46.56
01TG,im,1,blast_step_8,8,137.27,58.21
01TG,im,1,overkill_step,9,118.66,57.07
01TG,im,1,activate_star,1,51.08,6.18
01TG,im,1,blast_step_1,2,50.55,5.72
01TG,im,1,blast_step_2,3,53.32,15.2
01TG,im,1,blast_step_3,4,54.18,25.87
01TG,im,1,blast_step_4,5,66.68,29.76
01TG,im,1,blast_step_5,6,62.54,40.48
01TG,im,1,blast_step_6,7,71.73,70.53
01TG,im,1,blast_step_7,8,78.82,73.77
01TG,im,1,blast_step_8,9,70.84,77.78
01TG,im,1,overkill_step,10,176.09,228.84
01TG,im,1,activate_star,1,81.24,12.31
01TG,im,1,blast_step_2,2,79.48,3.53
01TG,im,1,blast_step_3,3,77.52,8.56
01TG,im,1,blast_step_4,4,80.1,7.6
01TG,im,1,blast_step_5,5,74.3,30.43
01TG,im,1,blast_step_6,6,74.24,28.56
01TG,im,1,blast_step_7,7,94.99,24.55
01TG,im,1,blast_step_8,8,91.65,45.47
01TG,im,1,overkill_step,9,103.52,47.68
01TG,im,1,activate_star,1,18.32,9.14
01TG,im,1,blast_step_1,2,18.25,5.39
01TG,im,1,blast_step_2,3,26.75,16.38
01TG,im,1,blast_step_3,4,27.8,14.74
01TG,im,1,blast_step_4,5,20.32,5.5
01TG,im,1,blast_step_5,6,24.41,12.12
01TG,im,1,blast_step_6,7,21.91,10.77
01TG,im,1,blast_step_7,8,25.91,12.05
01TG,im,1,blast_step_8,9,44.19,28.71
01TG,im,1,overkill_step,10,206.79,196.16
01TG,im,1,overkill_step,11,210.04,200.2
01TG,im,1,activate_star,1,47.85,12.69
01TG,im,1,blast_step_2,2,43.93,6.96
01TG,im,1,blast_step_3,3,43.56,7.28
01TG,im,1,blast_step_4,4,44.19,34.46
01TG,im,1,blast_step_5,5,43.56,35.13
01TG,im,1,blast_step_6,6,57.68,61.35
01TG,im,1,blast_step_7,7,58.08,11.54
