A,A_motor,proba_mean,latency_motor,latency_stop_forward,latency_stop_backward,stop_shift,stop_shift2,max_dur,n_onset,n_star,mode,game,subject
0.72,0.8,0.78,2090.0,500.0,500.0,-500.0,0.0,3900.0,2.0,0,im,1,01TG
0.61,0.77,0.69,1600.0,500.0,500.0,-500.0,-500.0,2400.0,2.0,1,im,1,01TG
0.64,0.86,0.85,2390.0,500.0,500.0,-500.0,-500.0,4400.0,1.0,2,im,1,01TG
0.9,1.0,0.96,1790.0,600.0,6800.0,600.0,600.0,6300.0,1.0,3,im,1,01TG
0.75,0.88,0.75,2590.0,500.0,500.0,-500.0,-100.0,4800.0,2.0,4,im,1,01TG
0.71,0.82,0.81,2690.0,500.0,500.0,-500.0,0.0,2700.0,3.0,5,im,1,01TG
0.98,1.0,0.98,400.0,500.0,0.0,0.0,200.0,7700.0,1.0,6,im,1,01TG
0.75,0.87,0.83,800.0,1500.0,2600.0,1500.0,1500.0,4300.0,2.0,7,im,1,01TG
0.96,0.98,0.93,-200.0,500.0,500.0,-500.0,0.0,7500.0,2.0,8,im,1,01TG
0.8,1.0,0.96,2090.0,1500.0,6500.0,1500.0,1500.0,6000.0,1.0,9,im,1,01TG
0.9,0.98,0.92,700.0,500.0,7900.0,500.0,100.0,6700.0,2.0,10,im,1,01TG
0.78,1.0,0.91,2390.0,500.0,500.0,-500.0,-500.0,5100.0,1.0,11,im,1,01TG
0.82,0.88,0.81,1200.0,600.0,4600.0,600.0,600.0,4000.0,2.0,12,im,1,01TG
0.8,0.9,0.88,190.0,600.0,4100.0,600.0,600.0,3200.0,5.0,13,im,1,01TG
0.46,0.45,0.47,1100.0,500.0,500.0,-500.0,-300.0,2500.0,3.0,14,im,1,01TG
0.88,0.97,0.92,800.0,1100.0,7800.0,1100.0,1100.0,7300.0,2.0,15,im,1,01TG
0.58,0.52,0.5,1500.0,500.0,2600.0,500.0,300.0,2500.0,5.0,16,im,1,01TG
0.8,0.92,0.87,1800.0,500.0,500.0,-500.0,0.0,6100.0,2.0,17,im,1,01TG
0.51,0.3,0.28,-500.0,500.0,500.0,-500.0,-100.0,2000.0,3.0,18,im,1,01TG
0.78,0.88,0.86,2490.0,700.0,6100.0,700.0,700.0,2700.0,2.0,19,im,1,01TG
0.89,0.92,0.9,-500.0,800.0,1800.0,800.0,800.0,6300.0,3.0,0,im,2,01TG
0.83,0.95,0.93,1400.0,1100.0,7200.0,1100.0,1100.0,6600.0,1.0,1,im,2,01TG
0.81,0.96,0.9,2490.0,500.0,6100.0,500.0,300.0,5700.0,1.0,2,im,2,01TG
0.54,0.6,0.61,1700.0,500.0,500.0,-500.0,-500.0,3100.0,3.0,3,im,2,01TG
0.87,1.0,0.97,1090.0,500.0,0.0,0.0,200.0,6900.0,1.0,4,im,2,01TG
0.73,0.8,0.75,800.0,1100.0,3000.0,1100.0,1100.0,3400.0,3.0,5,im,2,01TG
0.64,0.65,0.64,500.0,500.0,500.0,-500.0,-500.0,3300.0,4.0,6,im,2,01TG
0.89,1.0,0.91,1100.0,600.0,7500.0,600.0,600.0,7000.0,1.0,7,im,2,01TG
0.48,0.38,0.41,1400.0,700.0,1300.0,700.0,700.0,1600.0,4.0,8,im,2,01TG
0.96,1.0,0.97,-400.0,500.0,0.0,0.0,200.0,6900.0,2.0,9,im,2,01TG
0.92,1.0,0.91,-300.0,700.0,7900.0,700.0,700.0,7400.0,1.0,10,im,2,01TG
