event,timestamp,pos_x,pos_y,res_timestamp,decision,earned_points,total_points,game_timestamp,mode,n_game,subject,filename,n_star
start_game,2541,0,0,0,-,0,0,0,im,1,01TG,im_log_game_1,-1
select_star,3049,948,538,418388270,-,0,0,508,im,1,01TG,im_log_game_1,9
activate_star,4553,948,538,418389862,-,0,0,2012,im,1,01TG,im_log_game_1,9
skipped_blast_step,5558,948,538,418390807,-,0,0,3017,im,1,01TG,im_log_game_1,9
blast_step_2,5558,948,538,418390807,failure,-15,-15,3017,im,1,01TG,im_log_game_1,9
blast_step_3,6558,948,538,418391824,success,30,15,4017,im,1,01TG,im_log_game_1,9
blast_step_4,7558,948,538,418392862,success,45,60,5017,im,1,01TG,im_log_game_1,9
blast_step_5,8559,948,538,418393796,success,55,115,6018,im,1,01TG,im_log_game_1,9
blast_step_6,9559,948,538,418394825,success,80,195,7018,im,1,01TG,im_log_game_1,9
blast_step_7,10561,948,538,418395857,success,65,260,8020,im,1,01TG,im_log_game_1,9
blast_step_8,11564,948,538,418396793,failure,-36,224,9023,im,1,01TG,im_log_game_1,9
overkill_step,12564,948,538,418397825,no_overkill,0,224,10023,im,1,01TG,im_log_game_1,9
star_blasted,14564,948,538,418399792,-,0,224,12023,im,1,01TG,im_log_game_1,9
change_score,14865,948,538,418400179,-,224,224,12324,im,1,01TG,im_log_game_1,9
select_star,15639,1254,523,418400932,-,0,224,13098,im,1,01TG,im_log_game_1,16
activate_star,17142,1254,523,418402331,-,0,224,14601,im,1,01TG,im_log_game_1,16
blast_step_1,18152,1254,523,418403457,failure,-6,218,15611,im,1,01TG,im_log_game_1,16
blast_step_2,19153,1254,523,418404388,failure,-12,206,16612,im,1,01TG,im_log_game_1,16
blast_step_3,20155,1254,523,418405338,success,20,226,17614,im,1,01TG,im_log_game_1,16
blast_step_4,21158,1254,523,418406450,success,45,271,18617,im,1,01TG,im_log_game_1,16
blast_step_5,22158,1254,523,418407400,failure,-30,241,19617,im,1,01TG,im_log_game_1,16
blast_step_6,23158,1254,523,418408422,success,40,281,20617,im,1,01TG,im_log_game_1,16
blast_step_7,24158,1254,523,418409372,success,70,351,21617,im,1,01TG,im_log_game_1,16
blast_step_8,25159,1254,523,418410391,success,65,416,22618,im,1,01TG,im_log_game_1,16
overkill_step,26159,1254,523,418411421,no_overkill,0,416,23618,im,1,01TG,im_log_game_1,16
star_blasted,28160,1254,523,418413481,-,0,416,25619,im,1,01TG,im_log_game_1,16
change_score,28464,1254,523,418413776,-,192,416,25923,im,1,01TG,im_log_game_1,16
select_star,28972,576,880,418414230,-,0,416,26431,im,1,01TG,im_log_game_1,1
activate_star,30471,576,880,418415734,-,0,416,27930,im,1,01TG,im_log_game_1,1
skipped_blast_step,31481,576,880,418416762,-,0,416,28940,im,1,01TG,im_log_game_1,1
blast_step_2,31481,576,880,418416762,failure,-18,398,28940,im,1,01TG,im_log_game_1,1
blast_step_3,32483,576,880,418417701,success,20,418,29942,im,1,01TG,im_log_game_1,1
blast_step_4,33484,576,880,418418751,success,30,448,30943,im,1,01TG,im_log_game_1,1
blast_step_5,34488,576,880,418419782,success,45,493,31947,im,1,01TG,im_log_game_1,1
blast_step_6,35494,576,880,418420723,success,80,573,32953,im,1,01TG,im_log_game_1,1
blast_step_7,36499,576,880,418421753,success,55,628,33958,im,1,01TG,im_log_game_1,1
blast_step_8,37504,576,880,418422782,failure,-39,589,34963,im,1,01TG,im_log_game_1,1
overkill_step,38508,576,880,418423719,no_overkill,0,589,35967,im,1,01TG,im_log_game_1,1
star_blasted,40508,576,880,418425777,-,0,589,37967,im,1,01TG,im_log_game_1,1
change_score,40808,576,880,418426062,-,173,589,38267,im,1,01TG,im_log_game_1,1
select_star,41313,1057,710,418426622,-,0,589,38772,im,1,01TG,im_log_game_1,11
activate_star,42811,1057,710,418428126,-,0,589,40270,im,1,01TG,im_log_game_1,11
skipped_blast_step,43819,1057,710,418429057,-,0,589,41278,im,1,01TG,im_log_game_1,11
blast_step_2,43819,1057,710,418429057,failure,-18,571,41278,im,1,01TG,im_log_game_1,11
blast_step_3,44824,1057,710,418430020,success,30,601,42283,im,1,01TG,im_log_game_1,11
blast_step_4,45825,1057,710,418431139,success,30,631,43284,im,1,01TG,im_log_game_1,11
