total_score,game_duration,p_green_bands,aver_time,green_steps_min,band_gain_min,n_stars,points_per_star,n_hh_average,n_overkill_average,condition,subject
10454,15.93,87.31,25.71,38.26,23.84,51,204.98,0.18,0.82,im,01TG
12269,19.73,91.28,26.98,29.47,18.75,44,278.84,0.55,0.88,qm,01TG
12496,15.93,91.12,27.58,39.97,31.26,43,290.6,0.18,0.35,im,02ES
11298,25.83,87.21,24.16,29.64,20.51,58,194.79,1.0,0.65,qm,02ES
10205,15.9,90.84,29.35,35.17,15.8,48,212.6,0.07,1.77,im,03AC
11255,17.17,93.74,26.07,39.44,24.29,58,194.05,0.25,1.23,qm,03AC
11503,23.55,90.66,31.02,29.1,19.17,45,255.62,0.77,0.95,im,04AB
6396,14.48,82.65,20.14,29.87,16.77,35,182.74,0.5,0.72,qm,04AB
10340,24.95,81.49,18.82,32.14,16.03,76,136.05,0.85,1.3,im,06KK
8544,20.68,81.63,34.57,27.72,15.27,35,244.11,0.42,1.2,qm,06KK
9691,31.17,87.47,29.67,23.15,15.96,54,179.46,1.55,0.6,im,07TS
10718,28.08,89.83,36.97,19.98,15.58,35,306.23,1.18,0.48,qm,07TS
9686,29.88,90.59,43.45,22.54,16.08,31,312.45,0.97,0.58,im,10AS
12489,24.78,97.71,23.26,33.25,22.14,62,201.44,0.82,1.35,qm,10AS
11337,19.42,86.42,25.67,35.91,24.76,52,218.02,0.47,0.45,im,11AK
11057,20.22,87.76,31.53,31.75,22.34,38,290.97,0.42,0.62,qm,11AK
6697,21.42,76.76,31.19,29.04,13.83,43,155.74,0.47,0.69,im,13AU
4237,25.37,60.49,32.0,19.85,4.57,41,103.34,0.82,0.48,qm,13AU
11716,23.53,90.95,29.17,28.97,19.65,47,249.28,0.82,1.07,im,14BE
10842,19.1,89.47,23.94,36.06,24.73,54,200.78,0.47,0.83,qm,14BE
5633,28.87,66.23,26.39,22.82,8.62,57,98.82,1.15,1.07,im,15AZ
6665,22.6,68.0,21.26,30.36,12.7,66,100.98,0.68,0.57,qm,15AZ
8029,26.13,80.71,20.91,29.79,14.43,68,118.07,0.93,1.72,im,18KK
1998,23.37,56.77,24.63,20.33,-0.98,52,38.42,0.68,1.47,qm,18KK
9092,20.32,83.43,25.61,29.98,16.4,49,185.55,0.53,1.1,im,19VB
10953,16.62,91.64,24.76,38.73,24.64,54,202.83,0.23,0.88,qm,19VB
4365,27.57,58.3,30.71,20.14,3.91,45,97.0,0.88,0.85,im,20EC
2384,28.02,54.01,22.92,17.83,2.91,53,44.98,1.44,0.56,qm,20EC
6690,28.97,73.7,23.07,27.11,11.86,59,113.39,0.85,0.9,im,21EC
6667,25.47,68.7,34.58,17.16,4.77,36,185.19,0.92,0.72,qm,21EC
10967,30.8,88.95,33.17,22.65,13.52,40,274.18,0.97,1.08,im,22ES
11272,28.85,94.0,28.77,26.18,16.15,47,239.83,0.9,1.53,qm,22ES
6613,19.13,73.26,28.37,27.22,12.24,38,174.03,0.3,0.43,im,23MM
7332,16.68,74.07,25.47,36.62,16.32,55,133.31,0.07,0.3,qm,23MM
-1704,13.28,34.36,26.68,15.02,-11.96,25,-68.16,0.25,0.85,im,24EK
8533,24.48,80.32,30.15,21.17,12.14,39,218.79,0.87,1.05,qm,24EK
7862,20.58,76.0,27.94,32.3,14.42,49,160.45,0.28,0.67,im,25PP
10186,19.9,87.12,31.93,29.69,17.81,40,254.65,0.48,0.98,qm,25PP
