total_score,game_duration,p_green_bands,aver_time,green_steps_min,band_gain_min,n_stars,points_per_star,n_hh_average,n_overkill_average,condition,n_game,subject
3873,4.95,84.55,9.85,40.51,25.89,20,193.65,0.1,0.55,im,1,01TG
3443,5.45,85.84,11.2,37.23,23.04,20,172.15,0.2,1.0,im,2,01TG
3138,5.53,81.98,11.4,33.16,16.84,20,156.9,0.25,0.9,im,3,01TG
3993,7.92,96.55,17.15,26.76,18.72,20,199.65,0.9,1.2,qm,1,01TG
3738,5.13,84.68,10.4,37.21,23.65,20,186.9,0.2,0.25,qm,2,01TG
4538,6.68,93.91,14.4,32.5,23.33,20,226.9,0.55,1.2,qm,3,01TG
4114,5.87,90.18,11.6,37.5,29.48,20,205.7,0.35,0.2,im,1,02ES
4391,4.87,91.89,9.35,48.45,39.47,20,219.55,0.05,0.4,im,2,02ES
3991,5.2,88.18,10.15,42.86,32.81,20,199.55,0.15,0.45,im,3,02ES
4250,6.55,88.18,12.6,33.57,24.29,20,212.5,0.45,0.55,qm,1,02ES
4278,8.5,90.99,17.5,25.37,19.54,20,213.9,1.05,0.6,qm,2,02ES
2770,10.78,77.06,21.25,17.93,9.74,20,138.5,1.5,0.8,qm,3,02ES
3760,5.15,88.6,10.15,39.01,20.39,20,188.0,0.05,1.25,im,1,03AC
2991,4.95,85.71,9.85,38.38,16.75,20,149.55,0.0,1.45,im,2,03AC
3454,5.8,91.82,11.75,34.21,14.55,20,172.7,0.15,2.6,im,3,03AC
4088,5.6,90.09,11.55,36.36,23.12,20,204.4,0.25,1.0,qm,1,03AC
3518,5.48,91.82,11.1,37.3,23.24,20,175.9,0.2,1.1,qm,2,03AC
3649,6.08,94.64,12.45,34.22,20.0,20,182.45,0.3,1.6,qm,3,03AC
4315,9.03,97.27,18.35,25.83,20.44,20,215.75,1.1,1.25,im,1,04AB
3585,6.92,85.96,12.9,32.33,19.53,20,179.25,0.4,1.1,im,2,04AB
3603,7.6,87.93,15.65,26.26,17.06,20,180.15,0.8,0.5,im,3,04AB
2896,7.1,82.14,13.6,27.57,14.56,20,144.8,0.55,0.6,qm,1,04AB
3500,7.38,88.6,13.15,32.62,21.67,20,175.0,0.45,0.85,qm,2,04AB
3095,6.07,74.56,11.5,32.09,14.61,20,154.75,0.25,0.85,im,1,06KK
2867,8.0,81.82,16.05,23.55,11.03,20,143.35,0.8,1.25,im,2,06KK
4378,10.88,95.58,22.25,21.3,14.97,20,218.9,1.5,1.8,im,3,06KK
2415,8.58,76.36,16.05,22.8,9.53,20,120.75,0.8,1.2,qm,1,06KK
3605,6.62,88.39,12.6,34.29,21.9,20,180.25,0.35,1.3,qm,2,06KK
2524,5.48,80.91,10.35,37.68,20.0,20,126.2,0.1,1.1,qm,3,06KK
4425,9.03,92.31,18.1,25.19,19.56,20,221.25,1.1,0.45,im,1,07TS
2536,11.0,77.19,23.15,16.72,9.72,20,126.8,1.75,0.45,im,2,07TS
2730,11.13,82.3,23.9,16.44,9.04,20,136.5,1.8,0.9,im,3,07TS
4131,11.97,92.86,22.85,19.04,13.79,20,206.55,1.7,0.65,qm,1,07TS
3760,6.98,81.08,14.4,28.96,21.25,20,188.0,0.7,0.2,qm,2,07TS
2827,9.13,80.0,18.25,21.7,13.64,20,141.35,1.15,0.6,qm,3,07TS
4123,14.33,95.54,21.6,20.83,16.11,20,206.15,1.55,0.65,im,1,10AS
2486,7.27,78.18,13.1,26.11,10.53,20,124.3,0.5,0.75,im,2,10AS
3077,8.28,86.73,15.8,24.87,15.57,20,153.85,0.85,0.35,im,3,10AS
