event,timestamp,pos_x,pos_y,res_timestamp,decision,earned_points,total_points,game_timestamp,condition,n_game,subject,filename,n_star,interaction_type,n,p_nan,deviation,gaze_pos_x,gaze_pos_y,var_x,var_y,var,range_x,range_y,range_mean,range_max,range,av_x,av_y,norm_dev,norm_dev_2
activate_star,4553,948,538,418389862,-,0,0,2012,im,1,01TG,im_log_game_1,9,blast,1,0.0,44.52,905.7,529.35,8.67,15.49,12.08,12.9,12.7,12.8,12.9,18.102486017119308,890.2,522.55,17.33,95.53
activate_star,17142,1254,523,418402331,-,0,224,14601,im,1,01TG,im_log_game_1,16,blast,2,0.0,65.84,1203.2,482.05,2.04,2.53,2.285,6.1,7.1,6.6,7.1,9.36055553906925,1206.2,485.2,4.99,119.67
activate_star,30471,576,880,418415734,-,0,416,27930,im,1,01TG,im_log_game_1,1,blast,3,0.0,6.51,579.55,875.9,24.84,3.47,14.155,19.6,7.3,13.450000000000001,19.6,20.915305400591215,576.0,875.5,4.82,54.05
activate_star,42811,1057,710,418428126,-,0,589,40270,im,1,01TG,im_log_game_1,11,blast,4,0.0,67.84,992.8,688.7,1.56,2.02,1.79,4.4,6.1,5.25,6.1,7.521303078589507,1005.9,690.7,13.54,120.46
activate_star,56385,729,734,418441671,-,0,786,53844,im,1,01TG,im_log_game_1,4,blast,5,0.0,46.77,685.85,715.75,1.49,14.46,7.9750000000000005,5.0,11.8,8.4,11.8,12.815615474880635,688.3,707.55,8.75,100.21
activate_star,72620,876,270,418457940,-,0,1024,70079,im,1,01TG,im_log_game_1,7,blast,6,0.0,22.65,854.2,264.4,14.13,7.43,10.780000000000001,16.5,10.7,13.6,16.5,19.665706191235543,839.6,265.5,14.71,75.15
activate_star,84978,636,240,418470264,-,0,1307,82437,im,1,01TG,im_log_game_1,2,blast,7,0.0,9.42,640.5,246.0,116.71,4.14,60.425,50.4,9.1,29.75,50.4,51.21493922675297,628.5,245.3,12.53,46.73
activate_star,98319,1083,920,418483581,-,0,1554,95778,im,1,01TG,im_log_game_1,12,blast,8,0.0,76.1,1021.6,874.45,1.35,2.64,1.995,4.9,6.2,5.550000000000001,6.2,7.90253124005214,1024.6,876.8,3.79,129.98
activate_star,113658,1226,253,418498889,-,0,1812,111117,im,1,01TG,im_log_game_1,15,blast,9,0.0,37.56,1190.7,240.8,6.93,3.52,5.225,9.5,6.6,8.05,9.5,11.567627241573788,1197.7,246.75,9.7,90.75
activate_star,127180,1338,871,418512471,-,0,2047,124639,im,1,01TG,im_log_game_1,17,blast,10,0.0,91.74,1266.5,813.2,2.06,6.89,4.475,5.5,9.5,7.5,9.5,10.977249200050075,1264.8,822.1,9.21,145.54
