index,event,timestamp,pos_x,pos_y,res_timestamp,decision,earned_points,total_points,game_timestamp,condition,n_game,subject,filename,n_star,interaction_type,n,p_nan,deviation,gaze_pos_x,gaze_pos_y,var_x,var_y,var,range_x,range_y,range_mean,range_max,range,av_x,av_y,norm_dev,gaze_path
2,activate_star,4553,948,538,418389862,-,0,0,2012,im,1,01TG,im_log_game_1,9,blast,1,0.0,49.92,903.5,517.2,39.58,36.96,38.269999999999996,23.3,27.0,25.15,27.0,35.66356684348889,908.0,511.3,8.94,1141.4
15,activate_star,17142,1254,523,418402331,-,0,224,14601,im,1,01TG,im_log_game_1,16,blast,2,0.0,62.43,1205.9,483.1,324.02,437.71,380.865,186.9,182.4,184.65,186.9,261.1539201314045,1203.2,482.8,4.08,1310.19
28,activate_star,30471,576,880,418415734,-,0,416,27930,im,1,01TG,im_log_game_1,1,blast,3,0.0,11.2,570.6,874.75,27.51,70.23,48.870000000000005,19.9,28.7,24.299999999999997,28.7,34.92420364160076,565.9,868.85,11.57,1041.58
41,activate_star,42811,1057,710,418428126,-,0,589,40270,im,1,01TG,im_log_game_1,11,blast,4,0.0,64.29,996.8,687.8,62.73,15.98,39.355,24.7,17.0,20.85,24.7,29.984829497597612,998.55,677.95,12.5,894.34
55,activate_star,56385,729,734,418441671,-,0,786,53844,im,1,01TG,im_log_game_1,4,blast,5,0.0,49.98,685.9,711.6,55.79,100.93,78.36,27.5,44.6,36.05,44.6,52.39666019890962,692.5,706.6,11.38,993.76
72,activate_star,72620,876,270,418457940,-,0,1024,70079,im,1,01TG,im_log_game_1,7,blast,6,0.0,35.62,841.1,263.2,100.63,9.35,54.989999999999995,44.8,15.2,30.0,44.8,47.30835021431206,837.2,267.4,7.85,1059.44
85,activate_star,84978,636,240,418470264,-,0,1307,82437,im,1,01TG,im_log_game_1,2,blast,7,0.0,12.79,634.25,235.2,57.61,70.36,63.985,32.6,27.0,29.8,32.6,42.32918614856657,647.9,229.2,19.0,1042.76
98,activate_star,98319,1083,920,418483581,-,0,1554,95778,im,1,01TG,im_log_game_1,12,blast,8,0.0,75.01,1021.9,875.3,20.47,76.15,48.31,20.6,31.6,26.1,31.6,37.72161184254989,1025.0,856.6,19.02,949.77
113,activate_star,113658,1226,253,418498889,-,0,1812,111117,im,1,01TG,im_log_game_1,15,blast,9,0.0,38.38,1192.1,243.0,28.3,46.36,37.33,20.5,23.7,22.1,23.7,31.335921878891643,1181.9,218.8,25.85,969.15
126,activate_star,127180,1338,871,418512471,-,0,2047,124639,im,1,01TG,im_log_game_1,17,blast,10,0.0,88.82,1267.1,816.7,35.93,96.63,66.28,25.1,44.5,34.8,44.5,51.09070365536181,1276.1,808.1,11.7,1015.43
143,activate_star,6331,965,607,418531670,-,0,2261,139842,im,1,01TG,im_log_game_1,10,holiday_home,11,0.0,81.99,888.2,585.1,92.25,51.76,72.005,30.7,34.0,32.35,34.0,45.809278536121916,887.9,589.1,10.95,1125.93
147,activate_star,16768,795,453,418542126,-,0,2261,150279,im,1,01TG,im_log_game_1,5,blast,12,0.0,51.08,753.7,426.6,95.08,51.57,73.325,42.2,30.5,36.35,42.2,52.068128447256484,750.3,424.75,6.18,986.14
160,activate_star,30117,965,607,418555421,-,0,2578,163628,im,1,01TG,im_log_game_1,10,blast,13,0.0,81.24,898.9,562.2,12.0,28.08,20.04,13.2,24.6,18.9,24.6,27.91773629791642,904.3,552.6,12.31,964.37
173,activate_star,42570,720,209,418567875,-,0,2842,176081,im,1,01TG,im_log_game_1,3,blast,14,0.0,18.32,717.4,193.6,262.2,36.89,149.545,58.2,37.3,47.75,58.2,69.12691227011372,726.0,194.7,9.14,1338.98
187,activate_star,57330,1119,316,418582670,-,0,3112,190841,im,1,01TG,im_log_game_1,13,blast,15,0.0,47.85,1076.9,301.5,22.15,133.29,77.72,17.9,52.8,35.349999999999994,52.8,55.75168158898886,1079.4,289.6,12.69,1188.96
202,activate_star,71667,576,565,418596893,-,0,3330,205178,im,1,01TG,im_log_game_1,0,holiday_home,16,0.0,45.32,536.9,548.4,34.61,44.8,39.705,23.4,25.7,24.549999999999997,25.7,34.75701368069472,534.7,547.8,7.56,947.28
206,activate_star,81692,1353,640,418607020,-,0,3330,215203,im,1,01TG,im_log_game_1,19,blast,17,0.0,56.92,1297.6,627.4,33.34,149.84,91.59,22.6,46.5,34.55,46.5,51.70116052856067,1284.6,603.6,30.82,1087.37
219,activate_star,95126,576,565,418620412,-,0,3299,228637,im,1,01TG,im_log_game_1,0,blast,18,0.0,45.25,541.0,547.0,243.24,567.57,405.40500000000003,58.3,99.3,78.8,99.3,115.14938124019598,556.1,535.8,23.2,1680.45
235,activate_star,110204,930,155,418635533,-,0,3562,243715,im,1,01TG,im_log_game_1,8,blast,19,0.0,39.44,892.7,135.0,350.76,29.63,190.195,59.3,25.6,42.45,59.3,64.58985988527921,901.25,129.3,15.9,1634.22
249,activate_star,125491,1342,439,418650843,-,0,3566,259002,im,1,01TG,im_log_game_1,18,blast,20,0.0,73.56,1285.8,391.7,86.11,80.31,83.21000000000001,38.5,39.0,38.75,39.0,54.801916024898254,1293.7,382.45,15.19,1080.76
262,activate_star,139208,871,821,418664545,-,0,3783,272719,im,1,01TG,im_log_game_1,6,blast,21,0.0,64.71,815.05,786.1,94.44,26.8,60.62,29.1,24.4,26.75,29.1,37.97591341890278,818.65,781.85,9.6,943.88
275,activate_star,152205,1218,853,418677498,-,0,3748,285716,im,1,01TG,im_log_game_1,14,blast,22,0.0,83.91,1151.8,800.0,17.99,17.4,17.695,18.9,17.7,18.299999999999997,18.9,25.8940147524481,1142.5,800.1,10.7,1143.98
291,activate_star,9128,1194,429,419119997,-,0,0,2756,im,2,01TG,im_log_game_2,15,holiday_home,1,0.0,57.33,1143.8,406.6,63.55,33.02,48.285,26.2,21.5,23.85,26.2,33.89232951568835,1147.25,396.0,16.23,1217.85
295,activate_star,19569,901,704,419130382,-,0,0,13197,im,2,01TG,im_log_game_2,9,holiday_home,2,0.0,55.6,872.6,659.1,102.21,623.33,362.77000000000004,53.1,136.8,94.95,136.8,146.74416513101977,878.2,673.3,18.36,1961.22
315,activate_star,45129,656,880,419155848,-,0,318,38757,im,2,01TG,im_log_game_2,4,blast,3,0.0,43.69,631.5,845.7,35.49,207.9,121.69500000000001,28.0,75.7,51.85,75.7,80.71239062250604,621.0,839.5,13.22,1359.09
329,activate_star,59464,1106,800,419170343,-,0,599,53092,im,2,01TG,im_log_game_2,12,blast,4,0.0,31.78,1081.6,778.1,29.59,29.19,29.39,34.9,19.3,27.1,34.9,39.881073205218534,1078.4,774.8,7.5,1305.71
343,activate_star,72826,1194,429,419183698,-,0,756,66454,im,2,01TG,im_log_game_2,15,blast,5,0.0,35.65,1163.8,407.1,138.77,56.82,97.795,60.4,34.5,47.45,60.4,69.55868026350126,1173.0,401.5,13.46,1171.77
356,activate_star,86612,934,329,419197439,-,0,757,80240,im,2,01TG,im_log_game_2,10,blast,6,0.0,36.93,904.2,305.9,121.49,178.42,149.95499999999998,57.1,58.2,57.650000000000006,58.2,81.53312210384195,903.6,303.7,13.51,1469.67
371,activate_star,101208,570,674,419212061,-,0,1009,94836,im,2,01TG,im_log_game_2,0,blast,7,0.0,35.68,539.4,656.2,94.79,14.05,54.42,49.4,15.5,32.45,49.4,51.77460767596409,545.9,648.8,11.92,1327.6
385,activate_star,115654,1299,241,419226479,-,0,1287,109282,im,2,01TG,im_log_game_2,17,blast,8,0.0,18.75,1292.1,245.3,222.07,41.49,131.78,51.8,28.3,40.05,51.8,59.02651946371224,1275.1,243.2,18.12,1402.52
398,activate_star,129367,713,403,419240254,-,0,1376,122995,im,2,01TG,im_log_game_2,5,blast,9,0.0,26.85,686.8,396.6,141.1,96.87,118.985,62.1,53.9,58.0,62.1,82.22907028539238,696.0,391.45,11.71,1334.28
412,activate_star,144132,1278,621,419254983,-,0,1554,137760,im,2,01TG,im_log_game_2,16,blast,10,0.0,43.01,1238.3,608.5,30.16,216.74,123.45,20.7,54.4,37.55,54.4,58.205240313909876,1237.6,604.1,7.54,1529.26
427,activate_star,160008,1300,899,419270828,-,0,1500,153636,im,2,01TG,im_log_game_2,18,blast,11,0.0,57.89,1243.8,894.8,396.09,541.46,468.775,84.4,101.0,92.7,101.0,131.62203462946468,1243.4,899.7,7.68,1732.08
442,activate_star,4760,822,441,419286444,-,0,1790,167009,im,2,01TG,im_log_game_2,6,holiday_home,12,0.0,41.84,818.9,482.1,203.2,169.55,186.375,62.5,53.0,57.75,62.5,81.94662897276496,812.2,469.0,15.57,1493.49
446,activate_star,15137,573,214,419296863,-,0,1790,177386,im,2,01TG,im_log_game_2,1,blast,13,0.0,18.78,562.7,228.8,378.15,20.73,199.44,94.0,21.5,57.75,94.0,96.42743385572386,558.8,228.35,10.0,1508.27
460,activate_star,29481,822,441,419311164,-,0,2012,191730,im,2,01TG,im_log_game_2,6,blast,14,0.0,16.42,816.9,455.7,17.65,24.27,20.96,19.2,22.1,20.65,22.1,29.275416307885358,808.7,447.1,12.62,1289.25
473,activate_star,42809,596,538,419324559,-,0,2346,205058,im,2,01TG,im_log_game_2,2,blast,15,0.0,22.17,586.6,554.2,49.35,24.54,36.945,23.3,18.8,21.05,23.3,29.938770849852872,589.1,558.7,9.41,1287.41
488,activate_star,58572,898,241,419340329,-,0,2367,220821,im,2,01TG,im_log_game_2,8,blast,16,0.0,23.81,890.5,260.0,108.69,494.25,301.47,43.9,85.5,64.7,85.5,96.1117058427328,876.05,248.7,21.51,1391.9
502,activate_star,72913,1140,235,419354622,-,0,2576,235162,im,2,01TG,im_log_game_2,14,blast,17,0.0,17.66,1124.7,234.4,46.47,45.62,46.045,23.8,28.5,26.15,28.5,37.13071504832623,1132.4,235.2,12.06,1246.02
515,activate_star,86241,890,845,419367982,-,0,2704,248490,im,2,01TG,im_log_game_2,7,blast,18,0.0,24.35,866.7,850.5,117.82,23.3,70.56,39.6,21.7,30.65,39.6,45.1558412611259,867.1,860.6,14.18,1381.94
528,activate_star,98573,1138,858,419380263,-,0,2964,260822,im,2,01TG,im_log_game_2,13,blast,19,0.0,39.85,1098.45,859.2,98.07,21.41,59.739999999999995,31.7,18.1,24.9,31.7,36.50342449688796,1103.3,846.6,16.85,1351.62
544,activate_star,115658,607,927,419397405,-,0,3059,277907,im,2,01TG,im_log_game_2,3,holiday_home,20,0.0,38.57,573.4,906.1,52.74,68.01,60.375,30.0,30.4,30.2,30.4,42.71018613867188,579.5,907.6,11.87,1382.27
548,activate_star,125669,1070,483,419407421,-,0,3059,287918,im,2,01TG,im_log_game_2,11,blast,21,0.0,38.3,1045.1,455.6,114.41,71.31,92.86,56.6,27.7,42.15,56.6,63.01468082915282,1045.6,456.5,11.15,1456.54
561,activate_star,139000,1346,596,419420738,-,0,3023,301249,im,2,01TG,im_log_game_2,19,blast,22,0.0,51.66,1301.8,578.7,94.74,519.02,306.88,32.0,76.4,54.2,76.4,82.83091210411727,1298.0,570.2,15.8,1395.46
574,activate_star,151575,607,927,419433292,-,0,3226,313824,im,2,01TG,im_log_game_2,3,blast,23,0.0,60.8,546.7,922.5,191.03,38.65,114.84,49.9,23.5,36.7,49.9,55.15668590479308,581.2,916.1,35.19,1508.89
592,activate_star,6458,1019,329,419713367,-,0,0,2340,im,3,01TG,im_log_game_3,10,blast,1,,,,,,,,,,,,,,,,
607,activate_star,20790,623,823,419727697,-,0,224,16672,im,3,01TG,im_log_game_3,3,holiday_home,2,,,,,,,,,,,,,,,,
615,activate_star,40816,1040,703,419747723,-,0,224,36698,im,3,01TG,im_log_game_3,12,holiday_home,3,0.0,17.45,1042.9,717.0,59.81,23.13,41.47,30.6,18.7,24.65,30.6,35.861539286539276,1038.75,715.4,7.9,1330.3
619,activate_star,50827,1277,195,419757736,-,0,224,46709,im,3,01TG,im_log_game_3,16,blast,4,0.0,20.71,1258.05,202.5,35.99,37.91,36.95,22.3,24.1,23.200000000000003,24.1,32.83443314570849,1259.8,203.1,9.65,1181.34
634,activate_star,65539,1040,703,419772433,-,0,395,61421,im,3,01TG,im_log_game_3,12,blast,5,0.0,23.51,1035.55,723.6,199.93,28.98,114.455,59.3,23.4,41.349999999999994,59.3,63.749901960708925,1033.5,722.8,10.7,1848.22
