time_start,time_end,x_average,y_average,event,x_start,y_start,x_stop,y_stop,res_start,res_end,interaction_type,res_timestamp,condition,n_game,subject,filename,n_star,n
4698416.0,4698822.0,904.3,510.9,fixation,,,,,418387863.0,418388269.0,blast,418389862,im,1,01TG,im_log_game_1,9,1
4698854.0,4700746.0,901.3,519.2,fixation,,,,,418388301.0,418390193.0,blast,418389862,im,1,01TG,im_log_game_1,9,1
4698824.0,4698852.0,,,saccade,906.6,515.5,887.8,514.1,418388271.0,418388299.0,blast,418389862,im,1,01TG,im_log_game_1,9,1
4710832.0,4710978.0,1031.4,663.2,fixation,,,,,418400279.0,418400425.0,blast,418402331,im,1,01TG,im_log_game_1,16,2
4711032.0,4715510.0,1206.8,484.4,fixation,,,,,418400479.0,418404957.0,blast,418402331,im,1,01TG,im_log_game_1,16,2
4710980.0,4711030.0,,,saccade,1032.4,664.6,1212.8,496.4,418400427.0,418400477.0,blast,418402331,im,1,01TG,im_log_game_1,16,2
4724148.0,4724398.0,577.3,883.8,fixation,,,,,418413595.0,418413845.0,blast,418415734,im,1,01TG,im_log_game_1,1,3
4724416.0,4725362.0,569.1,877.6,fixation,,,,,418413863.0,418414809.0,blast,418415734,im,1,01TG,im_log_game_1,1,3
4725378.0,4729250.0,566.7,866.6,fixation,,,,,418414825.0,418418697.0,blast,418415734,im,1,01TG,im_log_game_1,1,3
4724400.0,4724414.0,,,saccade,575.1,881.5,558.8,884.3,418413847.0,418413861.0,blast,418415734,im,1,01TG,im_log_game_1,1,3
4725364.0,4725376.0,,,saccade,570.3,877.8,589.1,875.4,418414811.0,418414823.0,blast,418415734,im,1,01TG,im_log_game_1,1,3
4736708.0,4739082.0,999.1,685.5,fixation,,,,,418426155.0,418428529.0,blast,418428126,im,1,01TG,im_log_game_1,11,4
4736680.0,4736706.0,,,saccade,1025.1,696.6,1006.8,695.2,418426127.0,418426153.0,blast,418428126,im,1,01TG,im_log_game_1,11,4
4750046.0,4750230.0,695.2,623.4,fixation,,,,,418439493.0,418439677.0,blast,418441671,im,1,01TG,im_log_game_1,4,5
4750258.0,4750468.0,707.3,685.8,fixation,,,,,418439705.0,418439915.0,blast,418441671,im,1,01TG,im_log_game_1,4,5
4750496.0,4750992.0,685.7,705.0,fixation,,,,,418439943.0,418440439.0,blast,418441671,im,1,01TG,im_log_game_1,4,5
4751010.0,4751206.0,699.4,726.7,fixation,,,,,418440457.0,418440653.0,blast,418441671,im,1,01TG,im_log_game_1,4,5
4751220.0,4753674.0,688.7,708.2,fixation,,,,,418440667.0,418443121.0,blast,418441671,im,1,01TG,im_log_game_1,4,5
4750232.0,4750256.0,,,saccade,694.4,626.2,707.8,695.8,418439679.0,418439703.0,blast,418441671,im,1,01TG,im_log_game_1,4,5
4750470.0,4750494.0,,,saccade,707.0,686.9,693.9,705.4,418439917.0,418439941.0,blast,418441671,im,1,01TG,im_log_game_1,4,5
4750994.0,4751008.0,,,saccade,687.8,703.5,703.7,730.4,418440441.0,418440455.0,blast,418441671,im,1,01TG,im_log_game_1,4,5
4751208.0,4751218.0,,,saccade,698.0,723.0,680.4,725.8,418440655.0,418440665.0,blast,418441671,im,1,01TG,im_log_game_1,4,5
4766536.0,4766686.0,877.6,262.6,fixation,,,,,418455983.0,418456133.0,blast,418457940,im,1,01TG,im_log_game_1,7,6
4766716.0,4767738.0,845.3,263.2,fixation,,,,,418456163.0,418457185.0,blast,418457940,im,1,01TG,im_log_game_1,7,6
4767754.0,4768862.0,838.1,263.8,fixation,,,,,418457201.0,418458309.0,blast,418457940,im,1,01TG,im_log_game_1,7,6
4766488.0,4766534.0,,,saccade,1001.9,304.5,879.5,266.8,418455935.0,418455981.0,blast,418457940,im,1,01TG,im_log_game_1,7,6
4766688.0,4766714.0,,,saccade,877.5,262.6,840.0,254.8,418456135.0,418456161.0,blast,418457940,im,1,01TG,im_log_game_1,7,6
4767740.0,4767752.0,,,saccade,855.9,271.1,836.4,263.9,418457187.0,418457199.0,blast,418457940,im,1,01TG,im_log_game_1,7,6
4778870.0,4779992.0,631.1,237.1,fixation,,,,,418468317.0,418469439.0,blast,418470264,im,1,01TG,im_log_game_1,2,7
4780008.0,4780042.0,655.9,247.1,fixation,,,,,418469455.0,418469489.0,blast,418470264,im,1,01TG,im_log_game_1,2,7
4780080.0,4780232.0,620.5,242.9,fixation,,,,,418469527.0,418469679.0,blast,418470264,im,1,01TG,im_log_game_1,2,7
4780254.0,4781172.0,643.9,230.2,fixation,,,,,418469701.0,418470619.0,blast,418470264,im,1,01TG,im_log_game_1,2,7
4778812.0,4778868.0,,,saccade,873.8,217.6,651.7,224.0,418468259.0,418468315.0,blast,418470264,im,1,01TG,im_log_game_1,2,7
4779994.0,4780006.0,,,saccade,646.2,247.9,661.9,248.6,418469441.0,418469453.0,blast,418470264,im,1,01TG,im_log_game_1,2,7
4780044.0,4780078.0,,,saccade,658.1,246.4,628.2,240.8,418469491.0,418469525.0,blast,418470264,im,1,01TG,im_log_game_1,2,7
4780234.0,4780252.0,,,saccade,618.5,244.2,645.0,245.1,418469681.0,418469699.0,blast,418470264,im,1,01TG,im_log_game_1,2,7
4791926.0,4793458.0,1026.8,881.5,fixation,,,,,418481373.0,418482905.0,blast,418483581,im,1,01TG,im_log_game_1,12,8
4793466.0,4797164.0,1026.7,858.9,fixation,,,,,418482913.0,418486611.0,blast,418483581,im,1,01TG,im_log_game_1,12,8
4793460.0,4793464.0,,,saccade,1011.8,872.7,1009.8,871.4,418482907.0,418482911.0,blast,418483581,im,1,01TG,im_log_game_1,12,8
4807456.0,4809422.0,1190.6,241.7,fixation,,,,,418496903.0,418498869.0,blast,418498889,im,1,01TG,im_log_game_1,15,9
4809440.0,4809976.0,1183.0,218.7,fixation,,,,,418498887.0,418499423.0,blast,418498889,im,1,01TG,im_log_game_1,15,9
4807438.0,4807454.0,,,saccade,1196.4,243.8,1171.1,243.6,418496885.0,418496901.0,blast,418498889,im,1,01TG,im_log_game_1,15,9
4809424.0,4809438.0,,,saccade,1195.2,229.9,1178.2,228.8,418498871.0,418498885.0,blast,418498889,im,1,01TG,im_log_game_1,15,9
4821058.0,4821198.0,1276.6,851.6,fixation,,,,,418510505.0,418510645.0,blast,418512471,im,1,01TG,im_log_game_1,17,10
4821222.0,4821542.0,1255.4,830.8,fixation,,,,,418510669.0,418510989.0,blast,418512471,im,1,01TG,im_log_game_1,17,10
4821554.0,4822456.0,1266.6,817.4,fixation,,,,,418511001.0,418511903.0,blast,418512471,im,1,01TG,im_log_game_1,17,10
4822468.0,4825476.0,1271.5,807.5,fixation,,,,,418511915.0,418514923.0,blast,418512471,im,1,01TG,im_log_game_1,17,10
4820966.0,4821056.0,,,saccade,1200.3,230.1,1278.7,842.2,418510413.0,418510503.0,blast,418512471,im,1,01TG,im_log_game_1,17,10
4821200.0,4821220.0,,,saccade,1275.8,855.3,1250.0,829.6,418510647.0,418510667.0,blast,418512471,im,1,01TG,im_log_game_1,17,10
4821544.0,4821552.0,,,saccade,1251.4,825.7,1267.6,826.6,418510991.0,418510999.0,blast,418512471,im,1,01TG,im_log_game_1,17,10
4822458.0,4822466.0,,,saccade,1276.3,818.5,1259.7,816.8,418511905.0,418511913.0,blast,418512471,im,1,01TG,im_log_game_1,17,10
4839938.0,4840246.0,884.7,527.4,fixation,,,,,418529385.0,418529693.0,holiday_home,418531670,im,1,01TG,im_log_game_1,10,11
4840272.0,4840454.0,896.9,564.9,fixation,,,,,418529719.0,418529901.0,holiday_home,418531670,im,1,01TG,im_log_game_1,10,11
4840486.0,4842704.0,886.0,586.2,fixation,,,,,418529933.0,418532151.0,holiday_home,418531670,im,1,01TG,im_log_game_1,10,11
4840248.0,4840270.0,,,saccade,881.3,524.5,898.5,572.0,418529695.0,418529717.0,holiday_home,418531670,im,1,01TG,im_log_game_1,10,11
4840456.0,4840484.0,,,saccade,894.9,563.9,877.2,602.9,418529903.0,418529931.0,holiday_home,418531670,im,1,01TG,im_log_game_1,10,11
4850732.0,4850914.0,786.9,445.7,fixation,,,,,418540179.0,418540361.0,blast,418542126,im,1,01TG,im_log_game_1,5,12
4850950.0,4851450.0,753.5,431.3,fixation,,,,,418540397.0,418540897.0,blast,418542126,im,1,01TG,im_log_game_1,5,12
4851462.0,4855686.0,757.8,419.3,fixation,,,,,418540909.0,418545133.0,blast,418542126,im,1,01TG,im_log_game_1,5,12
4850668.0,4850730.0,,,saccade,897.4,546.9,786.5,447.2,418540115.0,418540177.0,blast,418542126,im,1,01TG,im_log_game_1,5,12
4850916.0,4850948.0,,,saccade,784.5,447.4,756.9,435.9,418540363.0,418540395.0,blast,418542126,im,1,01TG,im_log_game_1,5,12
4851452.0,4851460.0,,,saccade,746.2,434.2,738.1,428.8,418540899.0,418540907.0,blast,418542126,im,1,01TG,im_log_game_1,5,12
4863820.0,4864422.0,900.7,574.6,fixation,,,,,418553267.0,418553869.0,blast,418555421,im,1,01TG,im_log_game_1,10,13
4864440.0,4868560.0,903.3,555.7,fixation,,,,,418553887.0,418558007.0,blast,418555421,im,1,01TG,im_log_game_1,10,13
4864424.0,4864438.0,,,saccade,901.6,567.2,891.6,569.5,418553871.0,418553885.0,blast,418555421,im,1,01TG,im_log_game_1,10,13
4874962.0,4876444.0,911.6,558.1,fixation,,,,,418564409.0,418565891.0,blast,418567875,im,1,01TG,im_log_game_1,3,14
4876522.0,4876722.0,674.3,206.1,fixation,,,,,418565969.0,418566169.0,blast,418567875,im,1,01TG,im_log_game_1,3,14
4876744.0,4879876.0,721.9,191.6,fixation,,,,,418566191.0,418569323.0,blast,418567875,im,1,01TG,im_log_game_1,3,14
4876446.0,4876520.0,,,saccade,909.0,544.0,669.2,222.3,418565893.0,418565967.0,blast,418567875,im,1,01TG,im_log_game_1,3,14
4876724.0,4876742.0,,,saccade,675.0,200.3,700.9,187.9,418566171.0,418566189.0,blast,418567875,im,1,01TG,im_log_game_1,3,14
4891298.0,4891448.0,1066.1,337.6,fixation,,,,,418580745.0,418580895.0,blast,418582670,im,1,01TG,im_log_game_1,13,15
4891468.0,4892574.0,1075.9,305.3,fixation,,,,,418580915.0,418582021.0,blast,418582670,im,1,01TG,im_log_game_1,13,15
4892588.0,4894056.0,1081.4,290.5,fixation,,,,,418582035.0,418583503.0,blast,418582670,im,1,01TG,im_log_game_1,13,15
4891220.0,4891296.0,,,saccade,918.2,153.7,1078.4,339.3,418580667.0,418580743.0,blast,418582670,im,1,01TG,im_log_game_1,13,15
4891450.0,4891466.0,,,saccade,1064.9,333.6,1081.2,312.2,418580897.0,418580913.0,blast,418582670,im,1,01TG,im_log_game_1,13,15
4892576.0,4892586.0,,,saccade,1075.5,299.4,1062.6,296.7,418582023.0,418582033.0,blast,418582670,im,1,01TG,im_log_game_1,13,15
4904852.0,4905932.0,534.0,536.5,fixation,,,,,418594299.0,418595379.0,holiday_home,418596893,im,1,01TG,im_log_game_1,0,16
4905958.0,4906418.0,535.2,542.9,fixation,,,,,418595405.0,418595865.0,holiday_home,418596893,im,1,01TG,im_log_game_1,0,16
4906430.0,4906770.0,524.4,554.7,fixation,,,,,418595877.0,418596217.0,holiday_home,418596893,im,1,01TG,im_log_game_1,0,16
4906784.0,4908372.0,542.2,549.0,fixation,,,,,418596231.0,418597819.0,holiday_home,418596893,im,1,01TG,im_log_game_1,0,16
4905934.0,4905956.0,,,saccade,544.4,533.3,536.8,538.2,418595381.0,418595403.0,holiday_home,418596893,im,1,01TG,im_log_game_1,0,16
4906420.0,4906428.0,,,saccade,530.6,548.2,520.3,558.4,418595867.0,418595875.0,holiday_home,418596893,im,1,01TG,im_log_game_1,0,16
4906772.0,4906782.0,,,saccade,529.6,549.4,547.3,548.1,418596219.0,418596229.0,holiday_home,418596893,im,1,01TG,im_log_game_1,0,16
4915470.0,4915586.0,1219.7,790.1,fixation,,,,,418604917.0,418605033.0,blast,418607020,im,1,01TG,im_log_game_1,19,17
4915628.0,4915834.0,1297.3,652.2,fixation,,,,,418605075.0,418605281.0,blast,418607020,im,1,01TG,im_log_game_1,19,17
4915850.0,4916158.0,1308.7,635.3,fixation,,,,,418605297.0,418605605.0,blast,418607020,im,1,01TG,im_log_game_1,19,17
4916166.0,4920276.0,1287.1,603.6,fixation,,,,,418605613.0,418609723.0,blast,418607020,im,1,01TG,im_log_game_1,19,17
4915588.0,4915626.0,,,saccade,1226.2,794.1,1295.2,656.1,418605035.0,418605073.0,blast,418607020,im,1,01TG,im_log_game_1,19,17
4915836.0,4915848.0,,,saccade,1304.3,650.7,1308.9,635.3,418605283.0,418605295.0,blast,418607020,im,1,01TG,im_log_game_1,19,17
4916160.0,4916164.0,,,saccade,1300.3,633.7,1300.5,632.3,418605607.0,418605611.0,blast,418607020,im,1,01TG,im_log_game_1,19,17
4928940.0,4929000.0,1030.7,426.0,fixation,,,,,418618387.0,418618447.0,blast,418620412,im,1,01TG,im_log_game_1,0,18
4929074.0,4929226.0,584.1,630.1,fixation,,,,,418618521.0,418618673.0,blast,418620412,im,1,01TG,im_log_game_1,0,18
4929254.0,4929478.0,562.0,564.5,fixation,,,,,418618701.0,418618925.0,blast,418620412,im,1,01TG,im_log_game_1,0,18
4929500.0,4930308.0,536.0,547.2,fixation,,,,,418618947.0,418619755.0,blast,418620412,im,1,01TG,im_log_game_1,0,18
4930320.0,4933534.0,550.3,537.7,fixation,,,,,418619767.0,418622981.0,blast,418620412,im,1,01TG,im_log_game_1,0,18
4929002.0,4929072.0,,,saccade,1033.6,430.7,577.0,635.2,418618449.0,418618519.0,blast,418620412,im,1,01TG,im_log_game_1,0,18
4929228.0,4929252.0,,,saccade,585.6,627.8,564.7,570.1,418618675.0,418618699.0,blast,418620412,im,1,01TG,im_log_game_1,0,18
4929480.0,4929498.0,,,saccade,561.6,561.9,528.8,554.2,418618927.0,418618945.0,blast,418620412,im,1,01TG,im_log_game_1,0,18
4930310.0,4930318.0,,,saccade,538.4,541.1,525.2,541.1,418619757.0,418619765.0,blast,418620412,im,1,01TG,im_log_game_1,0,18
4944156.0,4944628.0,862.2,130.2,fixation,,,,,418633603.0,418634075.0,blast,418635533,im,1,01TG,im_log_game_1,8,19
4944646.0,4944962.0,890.5,137.1,fixation,,,,,418634093.0,418634409.0,blast,418635533,im,1,01TG,im_log_game_1,8,19
4944992.0,4945038.0,889.0,143.2,fixation,,,,,418634439.0,418634485.0,blast,418635533,im,1,01TG,im_log_game_1,8,19
4945124.0,4945310.0,890.4,144.2,fixation,,,,,418634571.0,418634757.0,blast,418635533,im,1,01TG,im_log_game_1,8,19
4945328.0,4945846.0,912.0,136.2,fixation,,,,,418634775.0,418635293.0,blast,418635533,im,1,01TG,im_log_game_1,8,19
4945866.0,4951568.0,904.0,131.0,fixation,,,,,418635313.0,418641015.0,blast,418635533,im,1,01TG,im_log_game_1,8,19
