n_blast,n_outer,window,step,n_star,subject,filename,condition,n_game,pos_x,pos_y,p_nan,deviation,gaze_pos_x,gaze_pos_y,var_x,var_y,var,range_x,range_y,range_mean,range_max,range,gaze_path,av_x,av_y,norm_dev
7,1,500,activation,9,01TG,im_log_game_1,im,1,948,538,0.0,51.74,904.1,513.0,55.73,11.43,33.58,24.1,13.5,18.8,24.1,27.623540685437124,312.18,908.0,511.3,5.9
7,1,1000,activation,9,01TG,im_log_game_1,im,1,948,538,0.0,58.96,891.7,523.3,17.64,28.99,23.314999999999998,14.3,21.3,17.8,21.3,25.655019002136797,280.15,908.0,511.3,20.75
7,1,1500,activation,9,01TG,im_log_game_1,im,1,948,538,0.0,47.9,903.7,522.2,5.5,36.41,20.955,10.0,20.4,15.2,20.4,22.71915491386068,265.38,908.0,511.3,11.51
7,1,2000,activation,9,01TG,im_log_game_1,im,1,948,538,0.0,47.68,905.7,516.3,2.5,5.17,3.835,5.8,10.9,8.35,10.9,12.34706442843804,276.51,908.0,511.3,5.85
7,1,2500,blast,9,01TG,im_log_game_1,im,1,948,538,0.0,49.75,906.0,509.3,24.91,13.63,19.27,14.5,15.1,14.8,15.1,20.93466025518446,274.54,908.0,511.3,4.33
7,1,3000,blast,9,01TG,im_log_game_1,im,1,948,538,0.0,67.08,896.5,494.3,4.94,10.62,7.779999999999999,12.7,13.6,13.149999999999999,13.6,18.607794065928395,274.16,908.0,511.3,20.32
7,1,3500,blast,9,01TG,im_log_game_1,im,1,948,538,0.0,70.33,910.2,478.8,10.6,6.18,8.39,14.1,11.1,12.6,14.1,17.944915714485816,264.49,908.0,511.3,32.77
7,1,4000,blast,9,01TG,im_log_game_1,im,1,948,538,0.0,75.31,904.0,475.7,13.57,11.32,12.445,13.9,12.8,13.350000000000001,13.9,18.89576672167605,266.67,908.0,511.3,35.94
7,1,4500,blast,9,01TG,im_log_game_1,im,1,948,538,0.0,66.01,912.3,482.7,2.45,3.47,2.96,6.9,7.8,7.35,7.8,10.413932974625869,289.29,908.0,511.3,29.04
7,1,5000,blast,9,01TG,im_log_game_1,im,1,948,538,0.0,63.68,924.1,478.5,19.22,7.53,13.375,17.6,13.2,15.4,17.6,22.0,263.72,908.0,511.3,36.69
7,1,5500,blast,9,01TG,im_log_game_1,im,1,948,538,0.0,61.7,938.9,477.3,14.33,22.64,18.485,12.6,21.4,17.0,21.4,24.833847869389874,285.6,908.0,511.3,45.64
7,1,6000,blast,9,01TG,im_log_game_1,im,1,948,538,0.0,76.11,932.8,463.5,15.41,8.07,11.74,13.4,11.5,12.45,13.4,17.658142597679973,239.22,908.0,511.3,54.13
7,1,6500,blast,9,01TG,im_log_game_1,im,1,948,538,0.0,83.16,926.7,457.7,2.27,40.22,21.245,7.9,22.3,15.100000000000001,22.3,23.65797962633327,272.34,908.0,511.3,56.68
7,1,7000,blast,9,01TG,im_log_game_1,im,1,948,538,0.0,92.9,925.9,447.7,3.61,13.12,8.365,7.2,16.1,11.65,16.1,17.636609651517496,225.24,908.0,511.3,66.07
7,1,7500,blast,9,01TG,im_log_game_1,im,1,948,538,0.0,82.59,925.7,458.4,24.45,6.6,15.524999999999999,20.3,9.3,14.8,20.3,22.32890503361058,265.03,908.0,511.3,55.81
7,1,8000,blast,9,01TG,im_log_game_1,im,1,948,538,0.0,90.94,908.2,455.6,7.5,13.01,10.254999999999999,9.3,14.2,11.75,14.2,16.97439247808298,255.56,908.0,511.3,55.71
7,1,8500,blast,9,01TG,im_log_game_1,im,1,948,538,0.0,107.95,899.4,441.45,220.54,9117.46,4669.0,45.2,225.3,135.25,225.3,229.78931654887703,491.46,908.0,511.3,70.44
7,1,9000,blast,9,01TG,im_log_game_1,im,1,948,538,0.0,312.8,867.0,238.2,70.4,28.43,49.415000000000006,24.0,19.0,21.5,24.0,30.610455730027933,318.05,908.0,511.3,277.31
7,1,9500,overkill,9,01TG,im_log_game_1,im,1,948,538,0.0,308.31,868.0,240.1,27.04,13.97,20.505,18.5,13.2,15.85,18.5,22.726416347501864,278.0,908.0,511.3,274.19
7,1,10000,overkill,9,01TG,im_log_game_1,im,1,948,538,0.0,315.28,861.9,234.9,2.68,7.46,5.07,7.0,13.8,10.4,13.8,15.47384890710776,284.79,908.0,511.3,280.13
8,1,500,activation,16,01TG,im_log_game_1,im,1,1254,523,0.0,53.69,1215.1,491.2,3583.45,3412.37,3497.91,191.0,183.0,187.0,191.0,264.51843035977663,586.48,1203.2,482.8,17.75
8,1,1000,activation,16,01TG,im_log_game_1,im,1,1254,523,0.0,61.37,1206.2,484.2,1.83,3.12,2.475,5.8,7.4,6.6,7.4,9.402127418834526,233.02,1203.2,482.8,4.02
8,1,1500,activation,16,01TG,im_log_game_1,im,1,1254,523,0.0,65.31,1203.6,482.1,4.39,2.29,3.34,8.8,6.9,7.8500000000000005,8.8,11.182575731914362,250.87,1203.2,482.8,2.64
8,1,2000,activation,16,01TG,im_log_game_1,im,1,1254,523,0.0,63.21,1205.6,482.3,1.55,2.4,1.975,5.7,7.5,6.6,7.5,9.42019108086455,236.76,1203.2,482.8,3.11
8,1,2500,blast,16,01TG,im_log_game_1,im,1,1254,523,0.0,64.91,1203.1,482.7,4.28,3.02,3.6500000000000004,8.3,7.5,7.9,8.3,11.18659912573969,262.05,1203.2,482.8,2.4
8,1,3000,blast,16,01TG,im_log_game_1,im,1,1254,523,0.0,64.88,1201.5,484.9,1.79,4.01,2.9,5.6,9.7,7.6499999999999995,9.7,11.20044641967453,251.86,1203.2,482.8,3.49
8,1,3500,blast,16,01TG,im_log_game_1,im,1,1254,523,0.0,65.83,1202.3,482.3,1.24,5.64,3.44,4.7,11.3,8.0,11.3,12.238463955905578,225.96,1203.2,482.8,2.28
8,1,4000,blast,16,01TG,im_log_game_1,im,1,1254,523,0.0,55.32,1212.75,487.4,10.56,11.68,11.120000000000001,11.3,12.6,11.95,12.6,16.924833824885845,235.17,1203.2,482.8,11.15
8,1,4500,blast,16,01TG,im_log_game_1,im,1,1254,523,0.0,55.88,1212.6,485.2,2.66,2.36,2.51,6.5,6.8,6.65,6.8,9.406912352095134,227.31,1203.2,482.8,10.05
8,1,5000,blast,16,01TG,im_log_game_1,im,1,1254,523,0.0,66.6,1201.6,482.4,14.71,7.2,10.955,13.5,11.1,12.3,13.5,17.47741399635541,263.35,1203.2,482.8,3.4
8,1,5500,blast,16,01TG,im_log_game_1,im,1,1254,523,0.0,65.43,1210.8,475.0,9.04,9.5,9.27,10.3,10.9,10.600000000000001,10.9,14.99666629621397,231.22,1203.2,482.8,11.31
8,1,6000,blast,16,01TG,im_log_game_1,im,1,1254,523,0.0,65.1,1213.6,472.3,34.83,66.44,50.635,17.9,25.7,21.799999999999997,25.7,31.31932310890515,294.69,1203.2,482.8,14.87
8,1,6500,blast,16,01TG,im_log_game_1,im,1,1254,523,0.0,78.92,1223.6,450.4,2.22,6.21,4.215,6.3,8.8,7.550000000000001,8.8,10.82266141020775,241.53,1203.2,482.8,38.5
8,1,7000,blast,16,01TG,im_log_game_1,im,1,1254,523,0.0,80.95,1228.65,446.95,74.89,28.79,51.84,25.0,16.3,20.65,25.0,29.844429966075747,284.49,1203.2,482.8,44.02
8,1,7500,blast,16,01TG,im_log_game_1,im,1,1254,523,0.0,78.85,1222.25,452.0,10.93,4.21,7.57,12.4,8.9,10.65,12.4,15.263354808167175,250.76,1203.2,482.8,36.35
8,1,8000,blast,16,01TG,im_log_game_1,im,1,1254,523,0.0,82.38,1216.35,450.4,13.1,7.05,10.075,14.7,11.5,13.1,14.7,18.663868837944612,271.65,1203.2,482.8,35.35
8,1,8500,blast,16,01TG,im_log_game_1,im,1,1254,523,0.0,86.56,1219.8,443.6,8.22,3.97,6.095000000000001,10.2,7.9,9.05,10.2,12.901550294441362,261.4,1203.2,482.8,42.4
8,1,9000,blast,16,01TG,im_log_game_1,im,1,1254,523,0.0,100.77,1229.3,425.5,4.28,10.45,7.365,20.2,18.3,19.25,20.2,27.256742285166805,332.42,1203.2,482.8,62.93
8,1,9500,blast,16,01TG,im_log_game_1,im,1,1254,523,0.0,101.33,1235.8,423.6,2.25,23.36,12.805,6.9,16.9,11.899999999999999,16.9,18.254314558481784,232.58,1203.2,482.8,67.05
8,1,10000,blast,16,01TG,im_log_game_1,im,1,1254,523,0.0,170.53,1215.6,356.6,114.62,1079.68,597.1500000000001,28.9,88.9,58.900000000000006,88.9,93.47951647286159,385.85,1203.2,482.8,126.36
8,1,10500,overkill,16,01TG,im_log_game_1,im,1,1254,523,0.0,298.81,1206.2,228.1,43.99,4059.16,2051.575,31.5,155.2,93.35,155.2,158.36442150937816,449.23,1203.2,482.8,254.71
