event,timestamp,pos_x,pos_y,res_timestamp,decision,earned_points,total_points,game_timestamp,condition,n_game,subject,filename,n_star,interaction_type,n,p_nan,deviation,gaze_pos_x,gaze_pos_y,var_x,var_y,var,range_x,range_y,range_mean,range_max,range,av_x,av_y,norm_dev,norm_dev_2
activate_star,20630,898,488,498439913,-,0,0,2007,im,1,02ES,im_log_game_1,9,holiday_home,1,0.0,41.89,871.4,455.4,1.85,36.97,19.41,5.2,20.6,12.9,20.6,21.246176126540984,855.3,496.25,43.91,74.3
activate_star,45310,1334,178,498464592,-,0,300,26687,im,1,02ES,im_log_game_1,19,blast,2,0.0,48.31,1298.9,145.1,7.86,3.71,5.785,10.1,8.6,9.35,10.1,13.26536844569347,1304.3,114.1,31.81,79.84
activate_star,57738,769,286,498477032,-,0,428,39115,im,1,02ES,im_log_game_1,5,blast,3,0.0,68.01,740.2,226.2,20.01,204.23,112.11999999999999,20.3,42.3,31.299999999999997,42.3,46.91886614145742,750.6,255.9,33.21,100.87
activate_star,72080,643,474,498491351,-,0,663,53457,im,1,02ES,im_log_game_1,3,holiday_home,4,0.0,47.12,636.5,427.25,9.51,27.66,18.585,12.1,19.0,15.55,19.0,22.5257630281418,645.9,437.8,13.94,78.83
activate_star,97220,1296,682,498516511,-,0,978,78597,im,1,02ES,im_log_game_1,17,blast,5,43.54838709677419,46.24,1293.65,681.0,1378.63,137170.13,69274.38,179.1,1293.8,736.4499999999999,1293.8,1306.1375310433432,1296.9,629.35,52.42,65.88
activate_star,110981,628,884,498530271,-,0,1112,92358,im,1,02ES,im_log_game_1,2,holiday_home,6,0.0,34.73,607.8,853.85,5.25,155.18,80.215,9.4,34.3,21.849999999999998,34.3,35.56472971920355,600.55,870.5,19.41,67.59
activate_star,145672,1221,488,498564951,-,0,1402,127049,im,1,02ES,im_log_game_1,16,blast,7,0.0,32.31,1205.7,459.8,3.5,17.29,10.395,7.5,15.5,11.5,15.5,17.219175357722563,1225.85,432.5,34.37,65.07
activate_star,159009,1095,863,498578271,-,0,1543,140386,im,1,02ES,im_log_game_1,13,holiday_home,8,0.0,74.63,1118.1,792.1,3.59,5.03,4.3100000000000005,9.0,8.8,8.9,9.0,12.58729518204765,1112.5,801.9,11.77,100.69
activate_star,184381,785,757,498603671,-,0,1843,165758,im,1,02ES,im_log_game_1,7,blast,9,0.0,12.56,784.2,745.5,89.85,27.49,58.669999999999995,26.8,20.2,23.5,26.8,33.5600953514736,764.25,714.2,38.65,42.51
activate_star,198034,1039,660,498617311,-,0,1955,179411,im,1,02ES,im_log_game_1,11,holiday_home,10,0.0,40.5,1045.8,619.8,16.43,1216.57,616.5,19.0,121.1,70.05,121.1,122.58144231489528,1049.5,620.7,11.58,70.29
