n_blast,n_outer,window,step,n_star,subject,filename,condition,n_game,pos_x,pos_y,p_nan,deviation,gaze_pos_x,gaze_pos_y,var_x,var_y,var,range_x,range_y,range_mean,range_max,range,gaze_path,av_x,av_y,norm_dev
8,1,500,activation,9,02ES,im_log_game_1,im,1,898,488,0.0,19.75,887.0,473.0,26.63,22.22,24.424999999999997,23.1,17.5,20.3,23.1,28.98033816227823,323.7,857.1,488.4,35.02
8,1,1000,activation,9,02ES,im_log_game_1,im,1,898,488,0.0,18.07,879.95,486.85,27.08,3.68,15.379999999999999,19.5,7.9,13.7,19.5,21.03948668575353,287.22,857.1,488.4,22.88
8,1,1500,activation,9,02ES,im_log_game_1,im,1,898,488,0.0,32.61,865.4,489.3,75.78,8.36,42.07,27.7,12.8,20.25,27.7,30.514422819381657,334.0,857.1,488.4,8.99
8,1,2000,activation,9,02ES,im_log_game_1,im,1,898,488,0.0,40.23,858.5,483.2,8.8,9.77,9.285,11.8,11.7,11.75,11.8,16.61715980545412,271.39,857.1,488.4,6.58
8,1,2500,blast,9,02ES,im_log_game_1,im,1,898,488,0.0,42.32,857.1,495.3,12.68,55.63,34.155,12.9,28.7,20.8,28.7,31.465854509293084,287.91,857.1,488.4,7.6
8,1,3000,blast,9,02ES,im_log_game_1,im,1,898,488,0.0,32.55,868.7,495.0,4.46,123.04,63.75,7.9,37.4,22.65,37.4,38.22525343277661,331.56,857.1,488.4,17.41
8,1,3500,blast,9,02ES,im_log_game_1,im,1,898,488,0.0,36.03,868.0,467.0,6.8,34.58,20.689999999999998,9.4,21.4,15.399999999999999,21.4,23.373489255992567,321.09,857.1,488.4,24.25
8,1,4000,blast,9,02ES,im_log_game_1,im,1,898,488,0.0,31.57,868.5,484.3,11.51,46.96,29.235,13.2,23.8,18.5,23.8,27.21543679605382,269.83,857.1,488.4,12.55
8,1,4500,blast,9,02ES,im_log_game_1,im,1,898,488,0.0,38.96,863.5,474.0,11.62,21.09,16.355,11.3,15.7,13.5,15.7,19.343732835210478,283.4,857.1,488.4,16.02
8,1,5000,blast,9,02ES,im_log_game_1,im,1,898,488,0.0,38.27,863.2,502.7,11.75,65.33,38.54,11.3,30.2,20.75,30.2,32.24484454916786,298.7,857.1,488.4,15.69
8,1,5500,blast,9,02ES,im_log_game_1,im,1,898,488,0.0,35.11,864.3,483.0,2.72,60.1,31.41,8.8,25.8,17.3,25.8,27.25949375905576,342.28,857.1,488.4,11.1
8,1,6000,blast,9,02ES,im_log_game_1,im,1,898,488,0.0,22.85,876.1,480.9,10.0,23.92,16.96,12.0,15.7,13.85,15.7,19.760819821049935,290.39,857.1,488.4,20.9
8,1,6500,blast,9,02ES,im_log_game_1,im,1,898,488,0.0,28.71,878.3,464.3,4.74,72.77,38.754999999999995,10.6,29.9,20.25,29.9,31.723335259710634,281.64,857.1,488.4,32.97
8,1,7000,blast,9,02ES,im_log_game_1,im,1,898,488,0.0,40.0,872.6,457.3,3.03,6.53,4.78,7.6,11.6,9.6,11.6,13.867948658687773,307.27,857.1,488.4,34.45
8,1,7500,blast,9,02ES,im_log_game_1,im,1,898,488,0.0,48.76,868.9,448.8,8.48,8.13,8.305,11.2,11.4,11.3,11.4,15.98123900077838,280.39,857.1,488.4,41.49
8,1,8000,blast,9,02ES,im_log_game_1,im,1,898,488,0.0,45.62,864.6,455.7,3.42,35.87,19.645,6.7,19.9,13.299999999999999,19.9,20.997618912629115,339.16,857.1,488.4,33.79
8,1,8500,blast,9,02ES,im_log_game_1,im,1,898,488,0.0,39.83,861.4,472.4,5.06,13.64,9.35,9.2,14.2,11.7,14.2,16.919810873647496,290.18,857.1,488.4,16.81
8,1,9000,blast,9,02ES,im_log_game_1,im,1,898,488,0.0,41.37,864.8,463.3,7.87,13.88,10.875,9.7,13.8,11.75,13.8,16.86801707374047,314.19,857.1,488.4,26.98
8,1,9500,blast,9,02ES,im_log_game_1,im,1,898,488,0.0,46.45,867.9,453.1,6.17,12.66,9.415,9.3,13.4,11.350000000000001,13.4,16.311039206623224,322.54,857.1,488.4,37.1
8,1,10000,blast,9,02ES,im_log_game_1,im,1,898,488,0.0,43.41,877.7,451.9,370.67,501.34,436.005,47.8,55.5,51.65,55.5,73.24677467301888,390.72,857.1,488.4,40.25
8,1,10500,overkill,9,02ES,im_log_game_1,im,1,898,488,0.0,60.08,910.9,429.6,4.3,14.11,9.205,8.0,16.9,12.45,16.9,18.69786084021378,287.59,857.1,488.4,80.12
8,1,11000,overkill,9,02ES,im_log_game_1,im,1,898,488,0.0,58.14,913.4,433.4,909.05,183.94,546.495,71.0,36.8,53.9,71.0,79.97024446630134,372.05,857.1,488.4,80.05
7,1,500,activation,19,02ES,im_log_game_1,im,1,1334,178,0.0,50.7,1303.2,141.4,16.62,74.94,45.78,15.2,28.4,21.799999999999997,28.4,32.211799080461184,272.49,1301.2,122.6,19.05
7,1,1000,activation,19,02ES,im_log_game_1,im,1,1334,178,0.0,69.73,1304.1,115.0,2.71,7.73,5.220000000000001,7.2,11.2,9.2,11.2,13.31465358167459,282.4,1301.2,122.6,8.51
7,1,1500,activation,19,02ES,im_log_game_1,im,1,1334,178,0.0,59.59,1305.3,126.3,13.03,15.31,14.17,12.5,18.4,15.45,18.4,22.24432511900507,267.06,1301.2,122.6,6.15
7,1,2000,activation,19,02ES,im_log_game_1,im,1,1334,178,0.0,63.11,1303.8,122.6,9.45,4.52,6.984999999999999,11.8,8.5,10.15,11.8,14.542695761102891,263.46,1301.2,122.6,3.98
7,1,2500,blast,19,02ES,im_log_game_1,im,1,1334,178,0.0,63.04,1301.2,123.6,4.43,9.61,7.02,9.8,15.1,12.45,15.1,18.001388835309346,258.57,1301.2,122.6,3.2
7,1,3000,blast,19,02ES,im_log_game_1,im,1,1334,178,0.0,45.49,1304.1,143.3,7.13,36.07,21.6,11.4,18.5,14.95,18.5,21.730393461693232,270.24,1301.2,122.6,20.95
7,1,3500,blast,19,02ES,im_log_game_1,im,1,1334,178,0.0,53.54,1292.1,146.1,47.74,3.25,25.495,22.5,10.1,16.3,22.5,24.662927644543743,266.8,1301.2,122.6,26.73
7,1,4000,blast,19,02ES,im_log_game_1,im,1,1334,178,0.0,43.69,1296.2,155.7,23.1,6.37,14.735000000000001,17.1,10.2,13.65,17.1,19.91105220725414,257.48,1301.2,122.6,34.69
7,1,4500,blast,19,02ES,im_log_game_1,im,1,1334,178,0.0,54.46,1289.5,145.7,17.14,21.28,19.21,15.7,16.3,16.0,16.3,22.63139412409231,314.68,1301.2,122.6,25.53
7,1,5000,blast,19,02ES,im_log_game_1,im,1,1334,178,0.0,62.1,1290.6,133.6,4.34,26.5,15.42,9.4,18.7,14.05,18.7,20.929644048573785,263.57,1301.2,122.6,15.34
7,1,5500,blast,19,02ES,im_log_game_1,im,1,1334,178,0.0,61.74,1293.5,130.6,11.92,20.11,16.015,12.1,17.8,14.95,17.8,21.523243250030884,319.76,1301.2,122.6,10.96
7,1,6000,blast,19,02ES,im_log_game_1,im,1,1334,178,0.0,62.05,1283.5,141.0,48.19,45.77,46.980000000000004,21.5,22.0,21.75,22.0,30.76117683054405,302.33,1301.2,122.6,24.47
7,1,6500,blast,19,02ES,im_log_game_1,im,1,1334,178,0.0,64.94,1273.3,153.9,7.33,3.92,5.625,10.0,7.6,8.8,10.0,12.560254774486065,266.28,1301.2,122.6,41.81
