event,timestamp,pos_x,pos_y,res_timestamp,decision,earned_points,total_points,game_timestamp,condition,n_game,subject,filename,n_star,interaction_type,n,p_nan,deviation,gaze_pos_x,gaze_pos_y,var_x,var_y,var,range_x,range_y,range_mean,range_max,range,av_x,av_y,norm_dev,norm_dev_2
activate_star,7779,621,650,685991224,-,0,0,3543,im,1,03AC,im_log_game_1,0,blast,1,,,,,,,,,,,,,,,,
activate_star,25698,624,905,686009144,-,0,205,21462,im,1,03AC,im_log_game_1,1,blast,2,0.0,80.03,703.8,908.1,8.13,8.59,8.36,12.3,12.8,12.55,12.8,17.751901306620653,,,,123.45
activate_star,43099,931,365,686026544,-,0,450,38863,im,1,03AC,im_log_game_1,9,blast,3,0.0,55.87,975.8,399.0,8.0,12.81,10.405000000000001,11.7,15.2,13.45,15.2,19.181501505356664,969.15,396.7,7.65,105.63
activate_star,55441,1335,228,686038864,-,0,655,51205,im,1,03AC,im_log_game_1,18,blast,4,0.0,23.87,1349.6,245.7,7.9,4.7,6.300000000000001,11.3,9.1,10.2,11.3,14.508618128546908,1363.9,259.2,18.8,73.33
activate_star,68770,1089,184,686052184,-,0,958,64534,im,1,03AC,im_log_game_1,11,blast,5,0.0,43.96,1115.3,219.1,2.69,14.51,8.6,6.7,13.2,9.95,13.2,14.803040228277434,1105.1,220.75,10.98,92.83
activate_star,83542,1316,591,686066984,-,0,1299,79306,im,1,03AC,im_log_game_1,17,blast,6,0.0,31.32,1337.1,612.6,10.49,16.06,13.274999999999999,11.6,15.2,13.399999999999999,15.2,19.120669444347392,1347.2,638.0,26.7,80.71
activate_star,96864,1100,711,686080304,-,0,1449,92628,im,1,03AC,im_log_game_1,12,blast,7,0.0,40.23,1133.3,734.55,1.98,5.95,3.965,4.9,10.2,7.55,10.2,11.315917991926241,1135.9,747.8,13.8,90.0
activate_star,111207,844,822,686094624,-,0,1680,106971,im,1,03AC,im_log_game_1,6,blast,8,0.0,50.86,893.6,831.9,4.28,11.07,7.675000000000001,8.1,10.6,9.35,10.6,13.34053971921676,907.3,836.95,14.75,97.9
activate_star,126062,749,160,686109504,-,0,1861,121826,im,1,03AC,im_log_game_1,5,blast,9,0.0,56.81,768.3,213.6,3.84,11.83,7.835,7.8,13.6,10.7,13.6,15.678010077812809,774.6,225.6,14.11,102.48
activate_star,139392,739,424,686122824,-,0,2074,135156,im,1,03AC,im_log_game_1,4,blast,10,0.0,59.09,775.4,470.9,0.8,9.14,4.970000000000001,4.2,10.9,7.550000000000001,10.9,11.681181447096865,784.4,478.6,12.22,108.14
