index,event,timestamp,pos_x,pos_y,res_timestamp,decision,earned_points,total_points,game_timestamp,condition,n_game,subject,filename,n_star,interaction_type,n,p_nan,deviation,gaze_pos_x,gaze_pos_y,var_x,var_y,var,range_x,range_y,range_mean,range_max,range,av_x,av_y,norm_dev,gaze_path
3948,activate_star,7779,621,650,685991224,-,0,0,3543,im,1,03AC,im_log_game_1,0,blast,1,,,,,,,,,,,,,,,,
3964,activate_star,25698,624,905,686009144,-,0,205,21462,im,1,03AC,im_log_game_1,1,blast,2,0.0,70.87,694.25,901.85,48.67,40.93,44.8,24.0,22.5,23.25,24.0,32.89756829919196,693.4,906.8,10.29,719.14
3982,activate_star,43099,931,365,686026544,-,0,450,38863,im,1,03AC,im_log_game_1,9,blast,3,0.0,45.75,970.4,389.2,64.92,41.51,53.215,40.7,24.4,32.55,40.7,47.45366160793075,971.6,389.8,9.72,1374.27
3995,activate_star,55441,1335,228,686038864,-,0,655,51205,im,1,03AC,im_log_game_1,18,blast,4,2.8028028028028027,38.13,1359.1,254.1,65.89,2160.15,1113.02,34.9,644.4,339.65,644.4,645.3443809316077,1358.8,245.4,12.27,
4008,activate_star,68770,1089,184,686052184,-,0,958,64534,im,1,03AC,im_log_game_1,11,blast,5,0.0,40.54,1112.6,218.8,41.41,22.0,31.705,20.2,18.0,19.1,20.2,27.056237728109945,1105.0,226.4,12.11,1290.15
4022,activate_star,83542,1316,591,686066984,-,0,1299,79306,im,1,03AC,im_log_game_1,17,blast,6,0.0,47.52,1352.1,618.7,67.04,140.38,103.71000000000001,36.7,54.9,45.8,54.9,66.0371107787129,1354.8,617.4,13.25,1322.61
4035,activate_star,96864,1100,711,686080304,-,0,1449,92628,im,1,03AC,im_log_game_1,12,blast,7,0.0,43.22,1137.1,736.0,19.88,64.69,42.285,17.2,31.3,24.25,31.3,35.71456285606755,1123.8,727.4,16.66,1198.47
4049,activate_star,111207,844,822,686094624,-,0,1680,106971,im,1,03AC,im_log_game_1,6,blast,8,0.0,58.4,901.1,831.4,20.39,218.33,119.36000000000001,17.6,50.4,34.0,50.4,53.38464198624919,890.2,845.4,20.96,1188.9
4064,activate_star,126062,749,160,686109504,-,0,1861,121826,im,1,03AC,im_log_game_1,5,blast,9,0.0,50.12,775.4,198.6,28.21,174.7,101.455,19.3,58.7,39.0,58.7,61.79142335308356,777.6,198.2,10.99,1228.91
4077,activate_star,139392,739,424,686122824,-,0,2074,135156,im,1,03AC,im_log_game_1,4,blast,10,0.0,63.79,782.1,471.3,41.47,40.71,41.09,23.8,27.8,25.8,27.8,36.59617466348089,778.8,473.8,8.22,1218.21
4097,activate_star,9036,1116,906,686146743,-,0,2185,154412,im,1,03AC,im_log_game_1,13,blast,11,0.0,40.93,1151.7,915.2,79.32,206.18,142.75,38.6,66.5,52.55,66.5,76.89089673036725,1142.7,924.5,13.87,1352.36
4111,activate_star,23372,671,377,686161063,-,0,2525,168748,im,1,03AC,im_log_game_1,3,blast,12,0.0,70.47,722.0,425.0,193.8,302.48,248.14000000000001,44.1,58.0,51.05,58.0,72.86158109731082,707.8,413.0,25.61,1393.04
4124,activate_star,36634,867,441,686174343,-,0,2706,182010,im,1,03AC,im_log_game_1,8,blast,13,0.0,77.03,921.2,490.0,65.9,60.99,63.44500000000001,27.4,29.5,28.45,29.5,40.26176846587839,930.4,486.3,14.99,1299.69
4140,activate_star,51715,1295,273,686189423,-,0,2959,197091,im,1,03AC,im_log_game_1,16,blast,14,0.0,37.28,1312.4,305.7,33.29,78.25,55.769999999999996,22.6,34.9,28.75,34.9,41.57848001069784,1321.2,328.7,25.88,1486.91
4158,activate_star,71554,862,768,686209263,-,0,2866,216930,im,1,03AC,im_log_game_1,7,holiday_home,15,0.0,50.72,907.7,791.9,184.53,206.77,195.65,65.5,48.8,57.15,65.5,81.68041380894198,913.3,775.3,21.18,1459.32
4177,activate_star,96672,670,683,686234383,-,0,3053,242048,im,1,03AC,im_log_game_1,2,blast,16,0.0,39.4,701.7,693.6,149.04,113.03,131.035,37.6,43.3,40.45,43.3,57.3467523056014,695.9,699.3,16.1,1334.09
4190,activate_star,109994,1194,697,686247703,-,0,3219,255370,im,1,03AC,im_log_game_1,15,blast,17,0.0,55.05,1239.2,728.1,20.19,97.26,58.725,23.3,75.7,49.5,75.7,79.20467157939613,1238.1,734.7,8.77,1539.84
4203,activate_star,123329,933,217,686261023,-,0,3439,268705,im,1,03AC,im_log_game_1,10,blast,18,0.0,58.15,970.0,262.4,41.02,31.65,36.335,25.8,26.7,26.25,26.7,37.12856043533064,971.9,271.4,11.85,1486.29
4216,activate_star,135660,1167,427,686273342,-,0,3576,281036,im,1,03AC,im_log_game_1,14,blast,19,0.0,60.81,1210.4,465.7,25.22,92.27,58.745,19.7,39.4,29.549999999999997,39.4,44.050539156745856,1221.7,467.7,14.66,1452.24
4229,activate_star,149074,1359,839,686286782,-,0,3632,294450,im,1,03AC,im_log_game_1,19,blast,20,0.0,43.9,1401.3,850.3,123.26,128.33,125.79500000000002,76.0,38.0,57.0,76.0,84.970583144992,1405.2,839.8,14.59,1373.09
4247,activate_star,5924,892,487,686589407,-,0,0,2480,im,2,03AC,im_log_game_2,8,blast,1,,,,,,,,,,,,,,,,
4265,activate_star,24329,1343,747,686607806,-,0,335,20885,im,2,03AC,im_log_game_2,18,blast,2,,,,,,,,,,,,,,,,
4278,activate_star,36650,1204,168,686620126,-,0,602,33206,im,2,03AC,im_log_game_2,15,blast,3,0.0,55.78,1243.8,208.1,13.1,119.73,66.415,19.3,40.0,29.65,40.0,44.412723402196356,1259.0,217.7,20.48,1091.5
4292,activate_star,50989,646,571,686634446,-,0,521,47545,im,2,03AC,im_log_game_2,2,blast,4,0.0,84.0,729.6,578.3,27.4,42.64,35.019999999999996,22.8,27.6,25.200000000000003,27.6,35.799441336423115,721.9,594.7,19.29,1118.83
