time_start,time_end,x_average,y_average,event,x_start,y_start,x_stop,y_stop,res_start,res_end,interaction_type,res_timestamp,condition,n_game,subject,filename,n_star,n
4285228.0,4285434.0,681.7,682.3,fixation,,,,,685989258.0,685989464.0,blast,685991224,im,1,03AC,im_log_game_1,0,1
4285448.0,4291682.0,687.5,653.0,fixation,,,,,685989478.0,685995712.0,blast,685991224,im,1,03AC,im_log_game_1,0,1
4285154.0,4285226.0,,,saccade,1373.2,633.0,690.8,677.6,685989184.0,685989256.0,blast,685991224,im,1,03AC,im_log_game_1,0,1
4285436.0,4285446.0,,,saccade,680.3,679.9,697.0,681.1,685989466.0,685989476.0,blast,685991224,im,1,03AC,im_log_game_1,0,1
4303142.0,4303254.0,630.5,990.8,fixation,,,,,686007172.0,686007284.0,blast,686009144,im,1,03AC,im_log_game_1,1,2
4303288.0,4303450.0,683.3,937.0,fixation,,,,,686007318.0,686007480.0,blast,686009144,im,1,03AC,im_log_game_1,1,2
4303474.0,4303654.0,708.2,914.9,fixation,,,,,686007504.0,686007684.0,blast,686009144,im,1,03AC,im_log_game_1,1,2
4303670.0,4305976.0,695.7,904.1,fixation,,,,,686007700.0,686010006.0,blast,686009144,im,1,03AC,im_log_game_1,1,2
4303060.0,4303140.0,,,saccade,1396.3,616.0,643.8,981.3,686007090.0,686007170.0,blast,686009144,im,1,03AC,im_log_game_1,1,2
4303256.0,4303286.0,,,saccade,628.0,994.4,702.4,923.7,686007286.0,686007316.0,blast,686009144,im,1,03AC,im_log_game_1,1,2
4303452.0,4303472.0,,,saccade,680.1,933.1,726.6,920.7,686007482.0,686007502.0,blast,686009144,im,1,03AC,im_log_game_1,1,2
4303656.0,4303668.0,,,saccade,707.0,917.3,709.1,899.6,686007686.0,686007698.0,blast,686009144,im,1,03AC,im_log_game_1,1,2
4320560.0,4320728.0,992.0,391.5,fixation,,,,,686024590.0,686024758.0,blast,686026544,im,1,03AC,im_log_game_1,9,3
4320752.0,4321014.0,962.3,386.1,fixation,,,,,686024782.0,686025044.0,blast,686026544,im,1,03AC,im_log_game_1,9,3
4321028.0,4323880.0,967.7,395.3,fixation,,,,,686025058.0,686027910.0,blast,686026544,im,1,03AC,im_log_game_1,9,3
4320510.0,4320558.0,,,saccade,750.6,428.5,985.6,390.7,686024540.0,686024588.0,blast,686026544,im,1,03AC,im_log_game_1,9,3
4320730.0,4320750.0,,,saccade,990.0,394.7,949.9,383.4,686024760.0,686024780.0,blast,686026544,im,1,03AC,im_log_game_1,9,3
4321016.0,4321026.0,,,saccade,960.8,385.2,942.2,385.8,686025046.0,686025056.0,blast,686026544,im,1,03AC,im_log_game_1,9,3
4332550.0,4332990.0,1385.9,251.2,fixation,,,,,686036580.0,686037020.0,blast,686038864,im,1,03AC,im_log_game_1,18,4
4333170.0,4333374.0,1369.5,255.8,fixation,,,,,686037200.0,686037404.0,blast,686038864,im,1,03AC,im_log_game_1,18,4
4333388.0,4336264.0,1360.5,252.7,fixation,,,,,686037418.0,686040294.0,blast,686038864,im,1,03AC,im_log_game_1,18,4
4332992.0,4333168.0,,,saccade,1379.8,263.8,1372.1,264.0,686037022.0,686037198.0,blast,686038864,im,1,03AC,im_log_game_1,18,4
4333376.0,4333386.0,,,saccade,1358.1,248.3,1362.9,261.3,686037406.0,686037416.0,blast,686038864,im,1,03AC,im_log_game_1,18,4
4345370.0,4349542.0,1107.0,218.1,fixation,,,,,686049400.0,686053572.0,blast,686052184,im,1,03AC,im_log_game_1,11,5
4360966.0,4361122.0,1369.5,585.8,fixation,,,,,686064996.0,686065152.0,blast,686066984,im,1,03AC,im_log_game_1,17,6
4361146.0,4362056.0,1350.9,622.9,fixation,,,,,686065176.0,686066086.0,blast,686066984,im,1,03AC,im_log_game_1,17,6
4362094.0,4363324.0,1351.4,618.6,fixation,,,,,686066124.0,686067354.0,blast,686066984,im,1,03AC,im_log_game_1,17,6
4360740.0,4360964.0,,,saccade,1346.5,621.1,1364.4,574.5,686064770.0,686064994.0,blast,686066984,im,1,03AC,im_log_game_1,17,6
4361124.0,4361144.0,,,saccade,1373.9,576.2,1358.9,605.7,686065154.0,686065174.0,blast,686066984,im,1,03AC,im_log_game_1,17,6
4362058.0,4362092.0,,,saccade,1343.8,618.9,1341.1,609.6,686066088.0,686066122.0,blast,686066984,im,1,03AC,im_log_game_1,17,6
4373256.0,4374604.0,1148.0,748.2,fixation,,,,,686077286.0,686078634.0,blast,686080304,im,1,03AC,im_log_game_1,12,7
4374612.0,4375168.0,1139.9,746.0,fixation,,,,,686078642.0,686079198.0,blast,686080304,im,1,03AC,im_log_game_1,12,7
4375178.0,4376636.0,1133.0,729.6,fixation,,,,,686079208.0,686080666.0,blast,686080304,im,1,03AC,im_log_game_1,12,7
4374606.0,4374610.0,,,saccade,1143.3,737.0,1142.6,737.7,686078636.0,686078640.0,blast,686080304,im,1,03AC,im_log_game_1,12,7
4375170.0,4375176.0,,,saccade,1131.3,749.9,1130.1,739.6,686079200.0,686079206.0,blast,686080304,im,1,03AC,im_log_game_1,12,7
4388002.0,4388994.0,894.0,854.9,fixation,,,,,686092032.0,686093024.0,blast,686094624,im,1,03AC,im_log_game_1,6,8
