n_blast,n_outer,window,step,n_star,subject,filename,condition,n_game,pos_x,pos_y,p_nan,deviation,gaze_pos_x,gaze_pos_y,var_x,var_y,var,range_x,range_y,range_mean,range_max,range,gaze_path,av_x,av_y,norm_dev
8,4,500,activation,0,03AC,im_log_game_1,im,1,621,650,,,,,,,,,,,,,,,,
8,4,1000,activation,0,03AC,im_log_game_1,im,1,621,650,,,,,,,,,,,,,,,,
8,4,1500,activation,0,03AC,im_log_game_1,im,1,621,650,,,,,,,,,,,,,,,,
8,4,2000,activation,0,03AC,im_log_game_1,im,1,621,650,,,,,,,,,,,,,,,,
8,4,2500,blast,0,03AC,im_log_game_1,im,1,621,650,,,,,,,,,,,,,,,,
8,4,3000,blast,0,03AC,im_log_game_1,im,1,621,650,,,,,,,,,,,,,,,,
8,4,3500,blast,0,03AC,im_log_game_1,im,1,621,650,,,,,,,,,,,,,,,,
8,4,4000,blast,0,03AC,im_log_game_1,im,1,621,650,,,,,,,,,,,,,,,,
8,4,4500,blast,0,03AC,im_log_game_1,im,1,621,650,,,,,,,,,,,,,,,,
8,4,5000,blast,0,03AC,im_log_game_1,im,1,621,650,,,,,,,,,,,,,,,,
8,4,5500,blast,0,03AC,im_log_game_1,im,1,621,650,,,,,,,,,,,,,,,,
8,4,6000,blast,0,03AC,im_log_game_1,im,1,621,650,,,,,,,,,,,,,,,,
8,4,6500,blast,0,03AC,im_log_game_1,im,1,621,650,,,,,,,,,,,,,,,,
8,4,7000,blast,0,03AC,im_log_game_1,im,1,621,650,,,,,,,,,,,,,,,,
8,4,7500,blast,0,03AC,im_log_game_1,im,1,621,650,,,,,,,,,,,,,,,,
8,4,8000,blast,0,03AC,im_log_game_1,im,1,621,650,,,,,,,,,,,,,,,,
8,4,8500,blast,0,03AC,im_log_game_1,im,1,621,650,,,,,,,,,,,,,,,,
8,4,9000,blast,0,03AC,im_log_game_1,im,1,621,650,,,,,,,,,,,,,,,,
8,4,9500,blast,0,03AC,im_log_game_1,im,1,621,650,,,,,,,,,,,,,,,,
8,4,10000,blast,0,03AC,im_log_game_1,im,1,621,650,,,,,,,,,,,,,,,,
8,4,10500,overkill,0,03AC,im_log_game_1,im,1,621,650,,,,,,,,,,,,,,,,
8,4,11000,overkill,0,03AC,im_log_game_1,im,1,621,650,,,,,,,,,,,,,,,,
8,4,11500,overkill,0,03AC,im_log_game_1,im,1,621,650,,,,,,,,,,,,,,,,
8,4,12000,overkill,0,03AC,im_log_game_1,im,1,621,650,,,,,,,,,,,,,,,,
8,4,12500,overkill,0,03AC,im_log_game_1,im,1,621,650,,,,,,,,,,,,,,,,
8,4,13000,overkill,0,03AC,im_log_game_1,im,1,621,650,,,,,,,,,,,,,,,,
8,4,13500,overkill,0,03AC,im_log_game_1,im,1,621,650,,,,,,,,,,,,,,,,
8,4,14000,overkill,0,03AC,im_log_game_1,im,1,621,650,,,,,,,,,,,,,,,,
8,4,500,activation,1,03AC,im_log_game_1,im,1,624,905,,,,,,,,,,,,,,,,
