event,timestamp,pos_x,pos_y,res_timestamp,decision,earned_points,total_points,game_timestamp,condition,n_game,subject,filename,n_star,interaction_type,n,p_nan,deviation,gaze_pos_x,gaze_pos_y,var_x,var_y,var,range_x,range_y,range_mean,range_max,range,av_x,av_y,norm_dev,norm_dev_2
activate_star,6529,981,659,834734518,-,0,0,2524,im,1,04AB,im_log_game_1,8,holiday_home,1,,,,,,,,,,,,,,,,
activate_star,32336,1120,865,834760318,-,0,151,28331,im,1,04AB,im_log_game_1,13,holiday_home,2,0.0,35.5,1089.5,848.1,5.2,1.69,3.4450000000000003,7.2,5.7,6.45,7.2,9.183136719008381,1088.25,846.3,3.2,59.83
activate_star,62249,1253,712,834790198,-,0,340,58244,im,1,04AB,im_log_game_1,17,holiday_home,3,0.0,25.73,1255.8,686.4,4.18,3.77,3.9749999999999996,6.9,6.9,6.9,6.9,9.758073580374356,1254.9,681.4,5.84,46.9
activate_star,85450,1049,354,834813438,-,0,458,81445,im,1,04AB,im_log_game_1,11,blast,4,0.0,33.79,1015.6,351.9,2.75,6.58,4.665,6.7,11.0,8.85,11.0,12.879829191413991,1018.0,352.2,3.77,53.59
activate_star,101929,845,346,834829918,-,0,590,97924,im,1,04AB,im_log_game_1,6,holiday_home,5,0.0,12.87,832.25,345.6,2.79,2.15,2.4699999999999998,6.7,6.7,6.7,6.7,9.475230867899738,832.7,344.9,2.45,35.18
activate_star,134578,1350,256,834862557,-,0,830,130573,im,1,04AB,im_log_game_1,19,holiday_home,6,0.0,25.34,1330.3,239.2,6.68,4.37,5.525,9.2,7.9,8.55,9.2,12.126417442921879,1323.6,244.8,9.09,50.46
activate_star,170169,1172,146,834898157,-,0,1069,166164,im,1,04AB,im_log_game_1,14,blast,7,0.0,53.33,1132.7,110.3,3.98,77.58,40.78,8.2,27.6,17.9,27.6,28.79236009777594,1134.8,126.4,16.66,78.32
activate_star,184772,649,296,834912757,-,0,1225,180767,im,1,04AB,im_log_game_1,2,blast,8,0.0,29.41,619.8,300.45,2.05,4.05,3.05,5.9,8.4,7.15,8.4,10.26498904042279,622.6,300.1,3.7,47.63
activate_star,200100,633,618,834928077,-,0,1402,196095,im,1,04AB,im_log_game_1,1,blast,9,0.0,30.44,628.8,588.2,2.75,3.99,3.37,6.0,7.8,6.9,7.8,9.840731680114036,626.35,591.75,5.22,53.29
activate_star,213430,864,851,834941397,-,0,1596,209425,im,1,04AB,im_log_game_1,7,holiday_home,10,0.0,55.72,840.9,800.15,6.36,9.03,7.695,12.8,13.2,13.0,13.2,18.386951895297926,840.3,793.65,6.69,80.53
activate_star,4930,1044,388,835017597,-,0,1856,283074,im,1,04AB,im_log_game_1,10,holiday_home,11,0.0,19.48,1041.7,368.9,22.98,9.55,16.265,24.3,13.3,18.8,24.3,27.701624501101016,1039.3,373.9,5.89,43.27
activate_star,14938,1227,589,835027597,-,0,1856,293082,im,1,04AB,im_log_game_1,16,blast,12,0.0,18.51,1220.0,572.35,15.41,5.14,10.275,12.2,10.1,11.149999999999999,12.2,15.838244852255567,1212.85,570.85,7.71,43.39
activate_star,32569,1343,815,835045237,-,0,2007,310713,im,1,04AB,im_log_game_1,18,holiday_home,13,0.0,19.52,1331.7,799.8,6.99,8.54,7.765,9.7,10.8,10.25,10.8,14.516542288024377,1333.5,794.15,7.18,44.68
activate_star,71890,1113,800,835084556,-,0,2205,350034,im,1,04AB,im_log_game_1,12,holiday_home,14,0.0,28.81,1110.2,771.6,8.08,7.87,7.975,9.1,12.5,10.8,12.5,15.46156525064652,1110.1,776.5,5.55,52.12
activate_star,119328,828,720,835131996,-,0,2405,397472,im,1,04AB,im_log_game_1,5,holiday_home,15,0.0,32.1,808.5,694.3,18.67,3.15,10.91,17.3,8.3,12.8,17.3,19.18801709400948,805.45,694.0,4.5,57.22
activate_star,143171,592,293,835155836,-,0,2590,421315,im,1,04AB,im_log_game_1,0,blast,16,0.0,11.14,587.6,283.5,7.94,2.29,5.115,12.8,7.0,9.9,12.8,14.589036979869508,584.15,284.2,4.02,35.98
activate_star,155494,1044,388,835168156,-,0,2835,433638,im,1,04AB,im_log_game_1,10,blast,17,0.0,36.57,1015.9,364.4,12.79,9.17,10.98,12.0,11.0,11.5,12.0,16.278820596099706,1011.25,369.85,6.62,61.37
activate_star,169817,1219,170,835182476,-,0,3156,447961,im,1,04AB,im_log_game_1,15,holiday_home,18,0.0,28.07,1220.1,142.1,32.34,13.42,22.880000000000003,19.9,13.2,16.549999999999997,19.9,23.879907872519105,1219.55,136.9,6.61,50.38
activate_star,180373,792,428,835193036,-,0,3156,458517,im,1,04AB,im_log_game_1,4,holiday_home,19,0.0,46.09,768.7,388.35,12.1,4.07,8.085,19.6,8.6,14.100000000000001,19.6,21.403737991294886,768.7,388.5,2.75,71.15
activate_star,190382,1019,172,835203036,-,0,3156,468526,im,1,04AB,im_log_game_1,9,blast,20,0.0,20.65,1005.9,155.7,1.4,23.42,12.41,4.8,16.4,10.6,16.4,17.08800749063506,1007.5,150.3,5.68,45.89
activate_star,204124,1219,170,835216796,-,0,3421,482268,im,1,04AB,im_log_game_1,15,holiday_home,21,0.0,27.55,1224.3,142.7,8.84,17.12,12.98,12.3,19.0,15.65,19.0,22.633824246026123,1223.95,143.35,4.82,48.53
activate_star,214137,762,164,835226795,-,0,3421,492281,im,1,04AB,im_log_game_1,3,holiday_home,22,0.0,27.24,741.85,146.2,1.08,2.63,1.855,4.5,6.1,5.3,6.1,7.58023746329889,741.6,147.1,2.07,52.28
activate_star,238287,792,428,835250955,-,0,3752,516431,im,1,04AB,im_log_game_1,4,blast,23,0.0,31.8,785.05,397.05,27.95,12.69,20.32,15.0,14.0,14.5,15.0,20.518284528683193,784.85,393.4,8.39,54.41
activate_star,254525,1219,170,835267195,-,0,4040,532669,im,1,04AB,im_log_game_1,15,blast,24,0.0,47.63,1190.9,131.9,3.51,9.03,6.27,8.2,12.2,10.2,12.2,14.699659860010366,1193.0,130.1,4.26,72.86
activate_star,8212,942,493,835779494,-,0,0,2473,im,2,04AB,im_log_game_2,9,blast,1,,,,,,,,,,,,,,,,
activate_star,23573,914,282,835794854,-,0,239,17834,im,2,04AB,im_log_game_2,7,blast,2,,,,,,,,,,,,,,,,
activate_star,36935,603,286,835808214,-,0,482,31196,im,2,04AB,im_log_game_2,2,blast,3,0.0,46.79,649.2,289.15,8.64,24.39,16.515,13.0,17.4,15.2,17.4,21.720036832381293,653.1,287.7,5.75,43.96
activate_star,51652,593,503,835822934,-,0,761,45913,im,2,04AB,im_log_game_2,0,blast,4,0.0,44.45,559.8,472.05,3.27,17.01,10.14,7.1,14.3,10.7,14.3,15.96558799418299,559.5,468.4,4.9,97.56
activate_star,65213,758,618,835836494,-,0,1043,59474,im,2,04AB,im_log_game_2,5,holiday_home,5,0.0,32.37,731.8,598.05,4.86,11.51,8.185,10.9,11.2,11.05,11.2,15.628499608087784,728.0,594.2,6.1,85.31
activate_star,94409,832,902,835865694,-,0,1119,88670,im,2,04AB,im_log_game_2,6,blast,6,0.0,50.62,786.55,879.5,1.75,3.36,2.5549999999999997,5.2,6.7,5.95,6.7,8.481155581640984,792.85,882.75,7.23,100.91
activate_star,107773,1175,933,835879054,-,0,1466,102034,im,2,04AB,im_log_game_2,14,blast,7,0.0,73.19,1101.95,926.65,48.06,20.05,34.055,23.0,16.3,19.65,23.0,28.190246540248634,1115.7,920.65,15.51,114.03
activate_star,123108,1077,749,835894374,-,0,1738,117369,im,2,04AB,im_log_game_2,12,blast,8,0.0,52.1,1046.55,706.7,1.33,7.62,4.475,4.3,11.4,7.85,11.4,12.184005909387931,1048.9,708.9,4.28,105.76
activate_star,138968,1291,744,835910253,-,0,1902,133229,im,2,04AB,im_log_game_2,18,blast,9,0.0,56.67,1275.6,689.6,1.53,10.59,6.06,7.6,15.8,11.7,15.8,17.532826355154494,1274.1,696.55,7.09,108.71
activate_star,151809,1210,227,835923093,-,0,2052,146070,im,2,04AB,im_log_game_2,15,blast,10,0.0,71.39,1153.2,269.4,4.37,2.7,3.535,7.7,5.8,6.75,7.7,9.640020746865641,1155.8,267.95,3.99,87.81
activate_star,7050,933,660,835943013,-,0,2293,162776,im,2,04AB,im_log_game_2,8,blast,11,0.0,60.1,903.45,607.35,11.6,30.98,21.29,15.3,20.9,18.1,20.9,25.901737393464554,903.5,619.2,12.41,113.57
activate_star,22649,734,792,835958613,-,0,2304,178375,im,2,04AB,im_log_game_2,4,holiday_home,12,0.0,82.44,727.0,710.4,26.39,7.64,17.015,18.1,11.9,15.0,18.1,21.66148656025251,711.1,713.6,16.19,132.09
activate_star,46285,621,533,835982253,-,0,2402,202011,im,2,04AB,im_log_game_2,3,blast,13,0.0,52.62,574.9,557.95,1.99,4.54,3.265,6.3,7.4,6.85,7.4,9.718538984847465,575.3,553.35,4.79,79.39
activate_star,63367,1022,919,835999333,-,0,2532,219093,im,2,04AB,im_log_game_2,11,holiday_home,14,0.0,82.83,962.3,864.15,7.45,43.06,25.255000000000003,10.4,22.1,16.25,22.1,24.42478249647272,959.75,876.85,12.75,135.62
activate_star,101533,1132,495,836037492,-,0,2532,257259,im,2,04AB,im_log_game_2,13,blast,15,0.0,29.09,1126.2,522.9,14.3,3.53,8.915000000000001,11.5,7.2,9.35,11.5,13.567977004697495,1115.3,520.4,11.45,39.82
activate_star,119728,1022,919,836055692,-,0,2801,275454,im,2,04AB,im_log_game_2,11,blast,16,0.0,19.1,1008.3,905.8,7.84,13.67,10.754999999999999,8.8,18.0,13.4,18.0,20.035967658189108,1010.4,902.2,7.02,72.53
activate_star,146371,1221,857,836082340,-,0,2918,302097,im,2,04AB,im_log_game_2,16,blast,17,0.0,35.14,1190.1,839.45,8.2,12.07,10.135,10.7,12.7,11.7,12.7,16.606625183943905,1191.1,846.65,7.3,86.62
activate_star,164248,1343,358,836100212,-,0,3033,319974,im,2,04AB,im_log_game_2,19,blast,18,0.0,34.2,1314.5,378.25,6.52,5.54,6.029999999999999,9.7,10.0,9.85,10.0,13.931618714277246,1310.95,379.8,5.06,64.39
activate_star,177806,1283,148,836113772,-,0,3233,333532,im,2,04AB,im_log_game_2,17,holiday_home,19,0.0,63.23,1221.8,163.7,5.12,2.86,3.99,7.6,8.1,7.85,8.1,11.10720486891279,1219.45,166.05,3.73,96.45
activate_star,204729,994,278,836140692,-,0,3325,360455,im,2,04AB,im_log_game_2,10,holiday_home,20,0.0,20.6,974.2,275.4,5.55,33.68,19.615,10.9,18.4,14.649999999999999,18.4,21.386210510513543,974.2,281.7,6.75,67.32
activate_star,229249,596,297,836165212,-,0,3405,384975,im,2,04AB,im_log_game_2,1,holiday_home,21,0.0,40.13,572.8,265.05,9.59,10.78,10.184999999999999,11.4,10.6,11.0,11.4,15.566630977832038,573.25,264.05,4.41,93.63
activate_star,3857,1047,520,836545264,-,0,0,2134,im,3,04AB,im_log_game_3,11,holiday_home,1,,,,,,,,,,,,,,,,
activate_star,27573,850,454,836568983,-,0,334,25850,im,3,04AB,im_log_game_3,6,blast,2,0.0,16.83,834.15,446.05,8.88,39.96,24.42,12.2,19.6,15.9,19.6,23.08679276123039,837.7,459.1,13.7,36.19
activate_star,41011,711,674,836582423,-,0,496,39288,im,3,04AB,im_log_game_3,2,holiday_home,3,0.0,15.4,700.6,683.35,15.16,13.53,14.344999999999999,16.0,12.0,14.0,16.0,20.0,703.0,685.8,4.75,25.85
activate_star,64691,756,872,836606103,-,0,587,62968,im,3,04AB,im_log_game_3,4,holiday_home,4,0.0,44.33,737.6,832.0,10.9,12.28,11.59,12.4,13.7,13.05,13.7,18.478365728602732,742.6,833.75,6.4,62.08
activate_star,94490,956,754,836635903,-,0,721,92767,im,3,04AB,im_log_game_3,8,blast,5,0.0,39.7,934.0,775.8,14.88,137.54,76.21,18.0,41.5,29.75,41.5,45.23549491273418,936.05,773.6,14.49,43.84
activate_star,108891,1345,904,836650303,-,0,962,107168,im,3,04AB,im_log_game_3,19,blast,6,0.0,55.56,1289.7,901.75,4.8,14.42,9.61,8.0,16.0,12.0,16.0,17.88854381999832,1288.8,907.4,5.9,73.01
