index,event,timestamp,pos_x,pos_y,res_timestamp,decision,earned_points,total_points,game_timestamp,condition,n_game,subject,filename,n_star,interaction_type,n,p_nan,deviation,gaze_pos_x,gaze_pos_y,var_x,var_y,var,range_x,range_y,range_mean,range_max,range,av_x,av_y,norm_dev,gaze_path
5808,activate_star,6529,981,659,834734518,-,0,0,2524,im,1,04AB,im_log_game_1,8,holiday_home,1,,,,,,,,,,,,,,,,
5826,activate_star,32336,1120,865,834760318,-,0,151,28331,im,1,04AB,im_log_game_1,13,holiday_home,2,0.0,40.39,1089.7,840.8,103.32,42.35,72.835,67.8,21.9,44.849999999999994,67.8,71.24921052194192,1088.1,834.8,9.53,1075.46
5850,activate_star,62249,1253,712,834790198,-,0,340,58244,im,1,04AB,im_log_game_1,17,holiday_home,3,0.0,50.26,1257.2,662.3,83.17,373.25,228.21,51.1,115.7,83.4,115.7,126.48201453171119,1257.5,640.2,26.61,1273.44
5867,activate_star,85450,1049,354,834813438,-,0,458,81445,im,1,04AB,im_log_game_1,11,blast,4,0.0,32.92,1017.7,348.6,78.64,141.66,110.15,36.4,55.8,46.099999999999994,55.8,66.62281891364249,1032.3,337.5,20.23,953.69
5883,activate_star,101929,845,346,834829918,-,0,590,97924,im,1,04AB,im_log_game_1,6,holiday_home,5,0.0,14.96,832.3,340.1,40.39,19.59,29.990000000000002,36.7,19.6,28.150000000000002,36.7,41.60588900624526,839.3,337.9,9.27,906.44
5904,activate_star,134578,1350,256,834862557,-,0,830,130573,im,1,04AB,im_log_game_1,19,holiday_home,6,0.0,31.01,1324.3,240.3,25.26,74.96,50.11,20.9,31.8,26.35,31.8,38.053252160623536,1328.7,245.0,9.54,994.53
5925,activate_star,170169,1172,146,834898157,-,0,1069,166164,im,1,04AB,im_log_game_1,14,blast,7,0.0,42.94,1138.2,114.8,57.96,72.27,65.115,31.7,46.4,39.05,46.4,56.194750644521946,1151.7,111.4,17.03,1023.68
5941,activate_star,184772,649,296,834912757,-,0,1225,180767,im,1,04AB,im_log_game_1,2,blast,8,0.0,26.8,623.1,291.8,9.61,73.62,41.615,13.5,47.1,30.3,47.1,48.99653048941323,627.1,282.4,11.84,988.12
5956,activate_star,200100,633,618,834928077,-,0,1402,196095,im,1,04AB,im_log_game_1,1,blast,9,0.0,34.66,624.7,587.5,44.41,41.97,43.19,24.7,24.2,24.45,24.7,34.579329085452194,618.2,588.2,10.79,844.9
5969,activate_star,213430,864,851,834941397,-,0,1596,209425,im,1,04AB,im_log_game_1,7,holiday_home,10,0.0,63.91,842.5,789.9,64.24,38.84,51.54,30.2,26.1,28.15,30.2,39.91553582253406,856.1,789.6,14.5,950.38
6008,activate_star,4930,1044,388,835017597,-,0,1856,283074,im,1,04AB,im_log_game_1,10,holiday_home,11,0.0,20.14,1039.6,368.8,36.37,24.48,30.424999999999997,28.4,24.6,26.5,28.4,37.572862547322636,1044.9,374.9,9.17,969.49
6012,activate_star,14938,1227,589,835027597,-,0,1856,293082,im,1,04AB,im_log_game_1,16,blast,12,0.0,21.94,1213.9,571.9,21.34,59.33,40.335,21.3,27.4,24.35,27.4,34.705186932215184,1213.9,569.0,8.12,914.87
6028,activate_star,32569,1343,815,835045237,-,0,2007,310713,im,1,04AB,im_log_game_1,18,holiday_home,13,0.0,31.33,1336.2,784.6,26.04,142.0,84.02,27.0,63.3,45.15,63.3,68.81780292918396,1347.7,778.0,15.06,930.27
6052,activate_star,71890,1113,800,835084556,-,0,2205,350034,im,1,04AB,im_log_game_1,12,holiday_home,14,0.0,36.38,1110.3,764.2,20.35,216.15,118.25,22.4,49.6,36.0,49.6,54.423524325423834,1120.6,736.2,30.62,865.04
6083,activate_star,119328,828,720,835131996,-,0,2405,397472,im,1,04AB,im_log_game_1,5,holiday_home,15,0.0,43.16,812.6,678.9,47.21,346.09,196.64999999999998,23.1,73.8,48.45,73.8,77.33078300392413,810.2,653.6,28.08,1361.61
6101,activate_star,143171,592,293,835155836,-,0,2590,421315,im,1,04AB,im_log_game_1,0,blast,16,0.0,10.51,587.5,286.1,40.7,219.3,130.0,23.2,78.7,50.95,78.7,82.04833941037442,583.5,294.7,11.41,1020.64
6114,activate_star,155494,1044,388,835168156,-,0,2835,433638,im,1,04AB,im_log_game_1,10,blast,17,0.0,30.88,1022.0,371.4,143.27,17.22,80.245,44.4,19.0,31.7,44.4,48.29451314590509,1055.4,366.1,33.64,838.47
6128,activate_star,169817,1219,170,835182476,-,0,3156,447961,im,1,04AB,im_log_game_1,15,holiday_home,18,0.0,30.46,1219.9,139.9,27.79,41.37,34.58,22.9,29.1,26.0,29.1,37.02998784768907,1205.1,145.7,17.42,1011.13
6132,activate_star,180373,792,428,835193036,-,0,3156,458517,im,1,04AB,im_log_game_1,4,holiday_home,19,0.0,48.73,768.1,385.8,23.95,208.88,116.41499999999999,26.9,80.6,53.75,80.6,84.97040661312619,776.1,401.0,17.59,1068.92
6136,activate_star,190382,1019,172,835203036,-,0,3156,468526,im,1,04AB,im_log_game_1,9,blast,20,0.0,26.7,1000.2,154.1,28.26,19.44,23.85,21.8,21.3,21.55,21.8,30.478352973873115,980.0,158.75,21.81,944.06
6149,activate_star,204124,1219,170,835216796,-,0,3421,482268,im,1,04AB,im_log_game_1,15,holiday_home,21,0.0,53.3,1224.4,117.0,11.78,141.27,76.525,15.6,44.8,30.2,44.8,47.43838108536167,1237.8,117.8,16.71,1147.97
6153,activate_star,214137,762,164,835226795,-,0,3421,492281,im,1,04AB,im_log_game_1,3,holiday_home,22,0.0,15.93,748.3,155.5,21.45,24.19,22.82,14.9,19.8,17.35,19.8,24.780032284079052,752.8,154.9,6.35,894.67
6172,activate_star,238287,792,428,835250955,-,0,3752,516431,im,1,04AB,im_log_game_1,4,blast,23,0.0,33.85,785.2,394.9,29.11,401.56,215.335,20.1,80.9,50.5,80.9,83.35958253254393,795.0,382.7,20.42,1101.95
6188,activate_star,254525,1219,170,835267195,-,0,4040,532669,im,1,04AB,im_log_game_1,15,blast,24,0.0,47.65,1189.7,135.0,58.31,44.42,51.365,36.1,34.5,35.3,36.1,49.93455717236311,1179.3,150.5,19.64,944.07
6203,activate_star,8212,942,493,835779494,-,0,0,2473,im,2,04AB,im_log_game_2,9,blast,1,,,,,,,,,,,,,,,,
6216,activate_star,23573,914,282,835794854,-,0,239,17834,im,2,04AB,im_log_game_2,7,blast,2,,,,,,,,,,,,,,,,
6230,activate_star,36935,603,286,835808214,-,0,482,31196,im,2,04AB,im_log_game_2,2,blast,3,0.0,49.75,648.8,261.8,1728.21,249.75,988.98,106.9,64.3,85.6,106.9,124.7481462788125,573.4,266.6,77.47,1225.37
6243,activate_star,51652,593,503,835822934,-,0,761,45913,im,2,04AB,im_log_game_2,0,blast,4,0.0,49.22,563.2,465.1,24.73,128.53,76.63,19.3,39.4,29.35,39.4,43.87311249501225,562.0,450.3,15.6,1003.3
6256,activate_star,65213,758,618,835836494,-,0,1043,59474,im,2,04AB,im_log_game_2,5,holiday_home,5,0.0,44.34,726.6,592.3,68.2,53.35,60.775000000000006,32.2,30.2,31.200000000000003,32.2,44.14612100739996,720.9,594.8,12.61,970.75
6275,activate_star,94409,832,902,835865694,-,0,1119,88670,im,2,04AB,im_log_game_2,6,blast,6,0.0,53.09,795.2,870.6,55.3,216.15,135.725,24.7,45.8,35.25,45.8,52.035853024621396,801.7,844.4,27.14,1048.7
6288,activate_star,107773,1175,933,835879054,-,0,1466,102034,im,2,04AB,im_log_game_2,14,blast,7,0.0,77.0,1099.4,922.1,215.06,332.77,273.91499999999996,61.7,79.7,70.7,79.7,100.79176553667467,1097.0,926.75,11.24,1009.11
6303,activate_star,123108,1077,749,835894374,-,0,1738,117369,im,2,04AB,im_log_game_2,12,blast,8,0.0,57.62,1049.4,700.8,61.95,63.23,62.59,29.3,28.8,29.05,29.3,41.08442527284518,1046.0,684.1,18.9,1455.42
6320,activate_star,138968,1291,744,835910253,-,0,1902,133229,im,2,04AB,im_log_game_2,18,blast,9,0.0,57.5,1272.9,689.8,21.71,173.01,97.36,17.8,57.9,37.85,57.9,60.5743344990269,1258.9,698.6,18.56,1761.31
6333,activate_star,151809,1210,227,835923093,-,0,2052,146070,im,2,04AB,im_log_game_2,15,blast,10,0.0,72.97,1151.0,268.5,44.63,92.26,68.44500000000001,26.0,46.8,36.4,46.8,53.5372767331324,1144.9,268.1,9.5,810.81
6351,activate_star,7050,933,660,835943013,-,0,2293,162776,im,2,04AB,im_log_game_2,8,blast,11,0.0,60.04,903.4,608.5,11.31,100.86,56.085,18.3,40.0,29.15,40.0,43.987384555119895,892.7,612.2,15.2,1105.67
6365,activate_star,22649,734,792,835958613,-,0,2304,178375,im,2,04AB,im_log_game_2,4,holiday_home,12,0.0,70.11,714.5,726.2,158.0,59.6,108.8,45.1,31.8,38.45,45.1,55.1837838499681,720.0,718.2,14.19,1443.36
6382,activate_star,46285,621,533,835982253,-,0,2402,202011,im,2,04AB,im_log_game_2,3,blast,13,0.0,51.64,575.3,553.0,81.58,137.25,109.41499999999999,44.7,48.5,46.6,48.5,65.95710727434914,571.4,518.8,35.3,974.93
6398,activate_star,63367,1022,919,835999333,-,0,2532,219093,im,2,04AB,im_log_game_2,11,holiday_home,14,0.0,80.33,959.9,869.2,35.18,52.23,43.705,25.9,30.7,28.299999999999997,30.7,40.16590594023742,960.6,877.8,11.41,1355.43
6420,activate_star,101533,1132,495,836037492,-,0,2532,257259,im,2,04AB,im_log_game_2,13,blast,15,0.0,31.64,1109.6,516.3,6802.65,218.07,3510.3599999999997,760.1,90.8,425.45,760.1,765.5041802629166,1116.5,502.75,19.94,16582.72
6435,activate_star,119728,1022,919,836055692,-,0,2801,275454,im,2,04AB,im_log_game_2,11,blast,16,0.0,65.45,1010.7,854.5,281.49,4377.43,2329.46,126.2,440.6,283.40000000000003,440.6,458.3173572973208,1007.8,851.1,20.81,4286.23
6455,activate_star,146371,1221,857,836082340,-,0,2918,302097,im,2,04AB,im_log_game_2,16,blast,17,0.0,42.5,1187.4,833.3,22.36,200.66,111.50999999999999,20.5,53.7,37.1,53.7,57.47990953367968,1190.15,813.2,21.72,782.14
6471,activate_star,164248,1343,358,836100212,-,0,3033,319974,im,2,04AB,im_log_game_2,19,blast,18,0.0,35.98,1310.4,371.8,12.74,69.24,40.989999999999995,14.0,41.2,27.6,41.2,43.51367601111173,1303.7,355.8,18.33,943.86
6484,activate_star,177806,1283,148,836113772,-,0,3233,333532,im,2,04AB,im_log_game_2,17,holiday_home,19,0.0,67.91,1217.8,163.7,81.91,50.47,66.19,41.6,33.7,37.650000000000006,41.6,53.53737012592233,1217.4,165.3,5.81,933.43
6504,activate_star,204729,994,278,836140692,-,0,3325,360455,im,2,04AB,im_log_game_2,10,holiday_home,20,0.0,30.48,966.4,269.2,63.12,146.2,104.66,32.7,40.6,36.650000000000006,40.6,52.131084776743336,955.4,271.6,16.72,882.93
