time_start,time_end,x_average,y_average,event,x_start,y_start,x_stop,y_stop,res_start,res_end,interaction_type,res_timestamp,condition,n_game,subject,filename,n_star,n
668958.0,669034.0,963.9,689.2,fixation,,,,,834732576.0,834732652.0,holiday_home,834734518,im,1,04AB,im_log_game_1,8,1
669058.0,669208.0,958.6,654.4,fixation,,,,,834732676.0,834732826.0,holiday_home,834734518,im,1,04AB,im_log_game_1,8,1
669234.0,671434.0,947.2,616.3,fixation,,,,,834732852.0,834735052.0,holiday_home,834734518,im,1,04AB,im_log_game_1,8,1
668890.0,668956.0,,,saccade,899.7,425.1,959.8,694.5,834732508.0,834732574.0,holiday_home,834734518,im,1,04AB,im_log_game_1,8,1
669036.0,669056.0,,,saccade,968.3,687.8,955.6,651.3,834732654.0,834732674.0,holiday_home,834734518,im,1,04AB,im_log_game_1,8,1
669210.0,669232.0,,,saccade,958.7,652.7,944.4,615.7,834732828.0,834732850.0,holiday_home,834734518,im,1,04AB,im_log_game_1,8,1
694704.0,694826.0,1149.2,844.4,fixation,,,,,834758322.0,834758444.0,holiday_home,834760318,im,1,04AB,im_log_game_1,13,2
694864.0,694968.0,1090.2,838.7,fixation,,,,,834758482.0,834758586.0,holiday_home,834760318,im,1,04AB,im_log_game_1,13,2
694986.0,695154.0,1084.8,842.9,fixation,,,,,834758604.0,834758772.0,holiday_home,834760318,im,1,04AB,im_log_game_1,13,2
695170.0,697326.0,1089.0,837.4,fixation,,,,,834758788.0,834760944.0,holiday_home,834760318,im,1,04AB,im_log_game_1,13,2
694660.0,694702.0,,,saccade,1175.4,732.5,1148.2,840.3,834758278.0,834758320.0,holiday_home,834760318,im,1,04AB,im_log_game_1,13,2
694828.0,694862.0,,,saccade,1147.5,850.8,1099.4,833.8,834758446.0,834758480.0,holiday_home,834760318,im,1,04AB,im_log_game_1,13,2
694970.0,694984.0,,,saccade,1085.8,844.7,1089.0,831.3,834758588.0,834758602.0,holiday_home,834760318,im,1,04AB,im_log_game_1,13,2
695156.0,695168.0,,,saccade,1085.2,844.6,1098.0,834.2,834758774.0,834758786.0,holiday_home,834760318,im,1,04AB,im_log_game_1,13,2
724762.0,727090.0,1255.9,659.3,fixation,,,,,834788380.0,834790708.0,holiday_home,834790198,im,1,04AB,im_log_game_1,17,3
724352.0,724760.0,,,saccade,1226.0,695.6,1234.8,636.4,834787970.0,834788378.0,holiday_home,834790198,im,1,04AB,im_log_game_1,17,3
747856.0,747982.0,1042.7,386.2,fixation,,,,,834811474.0,834811600.0,blast,834813438,im,1,04AB,im_log_game_1,11,4
748014.0,748248.0,1009.1,363.6,fixation,,,,,834811632.0,834811866.0,blast,834813438,im,1,04AB,im_log_game_1,11,4
748272.0,750310.0,1023.6,343.0,fixation,,,,,834811890.0,834813928.0,blast,834813438,im,1,04AB,im_log_game_1,11,4
747802.0,747854.0,,,saccade,1196.9,441.0,1059.5,372.5,834811420.0,834811472.0,blast,834813438,im,1,04AB,im_log_game_1,11,4
747984.0,748012.0,,,saccade,1039.4,389.2,1018.9,358.3,834811602.0,834811630.0,blast,834813438,im,1,04AB,im_log_game_1,11,4
748250.0,748270.0,,,saccade,1007.8,367.2,1006.8,341.6,834811868.0,834811888.0,blast,834813438,im,1,04AB,im_log_game_1,11,4
764344.0,764472.0,855.9,328.4,fixation,,,,,834827962.0,834828090.0,holiday_home,834829918,im,1,04AB,im_log_game_1,6,5
764498.0,764754.0,823.3,341.2,fixation,,,,,834828116.0,834828372.0,holiday_home,834829918,im,1,04AB,im_log_game_1,6,5
764766.0,766800.0,834.0,339.7,fixation,,,,,834828384.0,834830418.0,holiday_home,834829918,im,1,04AB,im_log_game_1,6,5
764288.0,764342.0,,,saccade,1027.8,352.2,866.0,320.2,834827906.0,834827960.0,holiday_home,834829918,im,1,04AB,im_log_game_1,6,5
764474.0,764496.0,,,saccade,856.1,327.8,808.2,340.9,834828092.0,834828114.0,holiday_home,834829918,im,1,04AB,im_log_game_1,6,5
764756.0,764764.0,,,saccade,831.4,337.0,832.9,323.6,834828374.0,834828382.0,holiday_home,834829918,im,1,04AB,im_log_game_1,6,5
796984.0,797180.0,1314.6,262.2,fixation,,,,,834860602.0,834860798.0,holiday_home,834862557,im,1,04AB,im_log_game_1,19,6
797204.0,797402.0,1317.5,255.0,fixation,,,,,834860822.0,834861020.0,holiday_home,834862557,im,1,04AB,im_log_game_1,19,6
797418.0,799392.0,1325.8,240.3,fixation,,,,,834861036.0,834863010.0,holiday_home,834862557,im,1,04AB,im_log_game_1,19,6
796902.0,796982.0,,,saccade,829.4,346.3,1322.2,255.3,834860520.0,834860600.0,holiday_home,834862557,im,1,04AB,im_log_game_1,19,6
797182.0,797202.0,,,saccade,1311.0,265.0,1313.9,236.5,834860800.0,834860820.0,holiday_home,834862557,im,1,04AB,im_log_game_1,19,6
797404.0,797416.0,,,saccade,1315.6,260.3,1322.4,244.3,834861022.0,834861034.0,holiday_home,834862557,im,1,04AB,im_log_game_1,19,6
832538.0,832722.0,1122.1,86.9,fixation,,,,,834896156.0,834896340.0,blast,834898157,im,1,04AB,im_log_game_1,14,7
832738.0,833382.0,1136.2,122.8,fixation,,,,,834896356.0,834897000.0,blast,834898157,im,1,04AB,im_log_game_1,14,7
833404.0,833714.0,1132.5,110.3,fixation,,,,,834897022.0,834897332.0,blast,834898157,im,1,04AB,im_log_game_1,14,7
833742.0,835932.0,1147.8,112.6,fixation,,,,,834897360.0,834899550.0,blast,834898157,im,1,04AB,im_log_game_1,14,7
832724.0,832736.0,,,saccade,1127.7,105.5,1138.2,130.3,834896342.0,834896354.0,blast,834898157,im,1,04AB,im_log_game_1,14,7
833384.0,833402.0,,,saccade,1137.4,124.5,1130.5,102.0,834897002.0,834897020.0,blast,834898157,im,1,04AB,im_log_game_1,14,7
833716.0,833740.0,,,saccade,1132.7,105.7,1141.5,123.6,834897334.0,834897358.0,blast,834898157,im,1,04AB,im_log_game_1,14,7
847160.0,850596.0,627.0,286.5,fixation,,,,,834910778.0,834914214.0,blast,834912757,im,1,04AB,im_log_game_1,2,8
846914.0,847158.0,,,saccade,637.8,298.6,614.0,285.4,834910532.0,834910776.0,blast,834912757,im,1,04AB,im_log_game_1,2,8
861294.0,864938.0,622.2,593.9,fixation,,,,,834924912.0,834928556.0,blast,834928077,im,1,04AB,im_log_game_1,1,9
874586.0,878392.0,840.9,788.7,fixation,,,,,834938204.0,834942010.0,holiday_home,834941397,im,1,04AB,im_log_game_1,7,10
952006.0,952172.0,1022.9,356.3,fixation,,,,,835015624.0,835015790.0,holiday_home,835017597,im,1,04AB,im_log_game_1,10,11
952194.0,952912.0,1038.2,373.4,fixation,,,,,835015812.0,835016530.0,holiday_home,835017597,im,1,04AB,im_log_game_1,10,11
952934.0,954404.0,1042.8,369.4,fixation,,,,,835016552.0,835018022.0,holiday_home,835017597,im,1,04AB,im_log_game_1,10,11
951950.0,952004.0,,,saccade,1058.0,528.3,1028.4,362.2,835015568.0,835015622.0,holiday_home,835017597,im,1,04AB,im_log_game_1,10,11
952174.0,952192.0,,,saccade,1018.2,353.3,1041.8,371.0,835015792.0,835015810.0,holiday_home,835017597,im,1,04AB,im_log_game_1,10,11
952914.0,952932.0,,,saccade,1038.8,371.1,1058.6,361.1,835016532.0,835016550.0,holiday_home,835017597,im,1,04AB,im_log_game_1,10,11
961652.0,962262.0,1206.2,586.2,fixation,,,,,835025270.0,835025880.0,blast,835027597,im,1,04AB,im_log_game_1,16,12
962284.0,965432.0,1214.8,564.0,fixation,,,,,835025902.0,835029050.0,blast,835027597,im,1,04AB,im_log_game_1,16,12
962264.0,962282.0,,,saccade,1208.0,590.4,1220.4,581.6,835025882.0,835025900.0,blast,835027597,im,1,04AB,im_log_game_1,16,12
979646.0,979746.0,1354.7,753.7,fixation,,,,,835043264.0,835043364.0,holiday_home,835045237,im,1,04AB,im_log_game_1,18,13
979772.0,979910.0,1330.8,814.6,fixation,,,,,835043390.0,835043528.0,holiday_home,835045237,im,1,04AB,im_log_game_1,18,13
979922.0,982218.0,1340.6,783.0,fixation,,,,,835043540.0,835045836.0,holiday_home,835045237,im,1,04AB,im_log_game_1,18,13
979406.0,979644.0,,,saccade,1779.0,-8.9,1352.8,726.0,835043024.0,835043262.0,holiday_home,835045237,im,1,04AB,im_log_game_1,18,13
979748.0,979770.0,,,saccade,1354.4,766.8,1331.2,816.3,835043366.0,835043388.0,holiday_home,835045237,im,1,04AB,im_log_game_1,18,13
979912.0,979920.0,,,saccade,1331.6,814.6,1326.2,800.1,835043530.0,835043538.0,holiday_home,835045237,im,1,04AB,im_log_game_1,18,13
1018942.0,1019078.0,1104.4,743.8,fixation,,,,,835082560.0,835082696.0,holiday_home,835084556,im,1,04AB,im_log_game_1,12,14
1019102.0,1030320.0,1120.0,766.6,fixation,,,,,835082720.0,835093938.0,holiday_home,835084556,im,1,04AB,im_log_game_1,12,14
1018778.0,1018940.0,,,saccade,1048.9,750.9,1086.4,726.9,835082396.0,835082558.0,holiday_home,835084556,im,1,04AB,im_log_game_1,12,14
1019080.0,1019100.0,,,saccade,1099.9,756.2,1136.6,781.3,835082698.0,835082718.0,holiday_home,835084556,im,1,04AB,im_log_game_1,12,14
1066604.0,1066626.0,799.8,621.0,fixation,,,,,835130222.0,835130244.0,holiday_home,835131996,im,1,04AB,im_log_game_1,5,15
1066680.0,1067220.0,803.2,677.7,fixation,,,,,835130298.0,835130838.0,holiday_home,835131996,im,1,04AB,im_log_game_1,5,15
1067246.0,1068398.0,815.7,681.6,fixation,,,,,835130864.0,835132016.0,holiday_home,835131996,im,1,04AB,im_log_game_1,5,15
1066166.0,1066602.0,,,saccade,798.2,691.2,798.8,617.9,835129784.0,835130220.0,holiday_home,835131996,im,1,04AB,im_log_game_1,5,15
1066628.0,1066678.0,,,saccade,799.8,626.2,797.0,637.3,835130246.0,835130296.0,holiday_home,835131996,im,1,04AB,im_log_game_1,5,15
1067222.0,1067244.0,,,saccade,803.8,695.3,806.4,693.8,835130840.0,835130862.0,holiday_home,835131996,im,1,04AB,im_log_game_1,5,15
1090208.0,1090382.0,579.6,357.9,fixation,,,,,835153826.0,835154000.0,blast,835155836,im,1,04AB,im_log_game_1,0,16
1090430.0,1090618.0,574.9,291.3,fixation,,,,,835154048.0,835154236.0,blast,835155836,im,1,04AB,im_log_game_1,0,16
1090630.0,1091116.0,582.4,284.0,fixation,,,,,835154248.0,835154734.0,blast,835155836,im,1,04AB,im_log_game_1,0,16
1091128.0,1093586.0,587.3,292.2,fixation,,,,,835154746.0,835157204.0,blast,835155836,im,1,04AB,im_log_game_1,0,16
1090384.0,1090428.0,,,saccade,575.7,355.6,579.3,304.4,835154002.0,835154046.0,blast,835155836,im,1,04AB,im_log_game_1,0,16
1090620.0,1090628.0,,,saccade,576.2,288.3,582.4,275.6,835154238.0,835154246.0,blast,835155836,im,1,04AB,im_log_game_1,0,16
1091118.0,1091126.0,,,saccade,590.1,278.6,598.7,272.9,835154736.0,835154744.0,blast,835155836,im,1,04AB,im_log_game_1,0,16
1101838.0,1105982.0,1035.8,369.7,fixation,,,,,835165456.0,835169600.0,blast,835168156,im,1,04AB,im_log_game_1,10,17
1116746.0,1117476.0,1223.5,129.3,fixation,,,,,835180364.0,835181094.0,holiday_home,835182476,im,1,04AB,im_log_game_1,15,18
1117494.0,1118014.0,1223.2,142.0,fixation,,,,,835181112.0,835181632.0,holiday_home,835182476,im,1,04AB,im_log_game_1,15,18
1118048.0,1119378.0,1212.8,144.3,fixation,,,,,835181666.0,835182996.0,holiday_home,835182476,im,1,04AB,im_log_game_1,15,18
1117478.0,1117492.0,,,saccade,1224.0,136.3,1229.6,129.2,835181096.0,835181110.0,holiday_home,835182476,im,1,04AB,im_log_game_1,15,18
1118016.0,1118046.0,,,saccade,1229.6,147.2,1229.3,138.9,835181634.0,835181664.0,holiday_home,835182476,im,1,04AB,im_log_game_1,15,18
1127442.0,1127470.0,750.2,360.7,fixation,,,,,835191060.0,835191088.0,holiday_home,835193036,im,1,04AB,im_log_game_1,4,19
1127482.0,1127516.0,750.8,323.8,fixation,,,,,835191100.0,835191134.0,holiday_home,835193036,im,1,04AB,im_log_game_1,4,19
1127566.0,1128214.0,766.0,376.0,fixation,,,,,835191184.0,835191832.0,holiday_home,835193036,im,1,04AB,im_log_game_1,4,19
1128234.0,1129376.0,769.9,387.8,fixation,,,,,835191852.0,835192994.0,holiday_home,835193036,im,1,04AB,im_log_game_1,4,19
1129386.0,1129754.0,776.0,400.9,fixation,,,,,835193004.0,835193372.0,holiday_home,835193036,im,1,04AB,im_log_game_1,4,19
1127224.0,1127440.0,,,saccade,758.8,386.6,748.9,362.3,835190842.0,835191058.0,holiday_home,835193036,im,1,04AB,im_log_game_1,4,19
1127472.0,1127480.0,,,saccade,750.7,353.9,750.7,336.1,835191090.0,835191098.0,holiday_home,835193036,im,1,04AB,im_log_game_1,4,19
1127518.0,1127564.0,,,saccade,747.6,312.7,752.9,312.0,835191136.0,835191182.0,holiday_home,835193036,im,1,04AB,im_log_game_1,4,19
1128216.0,1128232.0,,,saccade,768.2,388.3,787.3,382.5,835191834.0,835191850.0,holiday_home,835193036,im,1,04AB,im_log_game_1,4,19
1129378.0,1129384.0,,,saccade,785.7,399.9,787.7,396.6,835192996.0,835193002.0,holiday_home,835193036,im,1,04AB,im_log_game_1,4,19
1137204.0,1137430.0,993.6,148.5,fixation,,,,,835200822.0,835201048.0,blast,835203036,im,1,04AB,im_log_game_1,9,20
1137442.0,1138068.0,1001.4,149.8,fixation,,,,,835201060.0,835201686.0,blast,835203036,im,1,04AB,im_log_game_1,9,20
1138098.0,1139896.0,993.8,156.7,fixation,,,,,835201716.0,835203514.0,blast,835203036,im,1,04AB,im_log_game_1,9,20
1137432.0,1137440.0,,,saccade,996.1,150.6,999.4,139.5,835201050.0,835201058.0,blast,835203036,im,1,04AB,im_log_game_1,9,20
1138070.0,1138096.0,,,saccade,1003.9,152.0,1011.6,153.0,835201688.0,835201714.0,blast,835203036,im,1,04AB,im_log_game_1,9,20
1151222.0,1151408.0,1229.0,106.3,fixation,,,,,835214840.0,835215026.0,holiday_home,835216796,im,1,04AB,im_log_game_1,15,21
1151440.0,1152082.0,1225.0,129.3,fixation,,,,,835215058.0,835215700.0,holiday_home,835216796,im,1,04AB,im_log_game_1,15,21
1152106.0,1153622.0,1227.3,118.4,fixation,,,,,835215724.0,835217240.0,holiday_home,835216796,im,1,04AB,im_log_game_1,15,21
1150982.0,1151220.0,,,saccade,1007.3,139.4,1222.3,88.3,835214600.0,835214838.0,holiday_home,835216796,im,1,04AB,im_log_game_1,15,21
1151410.0,1151438.0,,,saccade,1230.5,106.0,1228.9,103.2,835215028.0,835215056.0,holiday_home,835216796,im,1,04AB,im_log_game_1,15,21
1152084.0,1152104.0,,,saccade,1220.2,146.6,1233.5,131.5,835215702.0,835215722.0,holiday_home,835216796,im,1,04AB,im_log_game_1,15,21
1161078.0,1161206.0,756.7,150.5,fixation,,,,,835224696.0,835224824.0,holiday_home,835226795,im,1,04AB,im_log_game_1,3,22
1161224.0,1161744.0,749.7,158.2,fixation,,,,,835224842.0,835225362.0,holiday_home,835226795,im,1,04AB,im_log_game_1,3,22
1161760.0,1163550.0,748.4,153.0,fixation,,,,,835225378.0,835227168.0,holiday_home,835226795,im,1,04AB,im_log_game_1,3,22
1161208.0,1161222.0,,,saccade,755.8,170.6,751.9,150.0,835224826.0,835224840.0,holiday_home,835226795,im,1,04AB,im_log_game_1,3,22
1161746.0,1161758.0,,,saccade,740.1,159.6,750.1,142.7,835225364.0,835225376.0,holiday_home,835226795,im,1,04AB,im_log_game_1,3,22
1185478.0,1186286.0,788.6,374.5,fixation,,,,,835249096.0,835249904.0,blast,835250955,im,1,04AB,im_log_game_1,4,23
1186298.0,1186512.0,796.7,394.9,fixation,,,,,835249916.0,835250130.0,blast,835250955,im,1,04AB,im_log_game_1,4,23
1186544.0,1187244.0,781.8,400.8,fixation,,,,,835250162.0,835250862.0,blast,835250955,im,1,04AB,im_log_game_1,4,23
