n_blast,n_outer,window,step,n_star,subject,filename,condition,n_game,pos_x,pos_y,p_nan,deviation,gaze_pos_x,gaze_pos_y,var_x,var_y,var,range_x,range_y,range_mean,range_max,range,gaze_path,av_x,av_y,norm_dev
8,2,500,activation,8,04AB,im_log_game_1,im,1,981,659,,,,,,,,,,,,,,,,
8,2,1000,activation,8,04AB,im_log_game_1,im,1,981,659,,,,,,,,,,,,,,,,
8,2,1500,activation,8,04AB,im_log_game_1,im,1,981,659,,,,,,,,,,,,,,,,
8,2,2000,activation,8,04AB,im_log_game_1,im,1,981,659,,,,,,,,,,,,,,,,
8,2,2500,blast,8,04AB,im_log_game_1,im,1,981,659,,,,,,,,,,,,,,,,
8,2,3000,blast,8,04AB,im_log_game_1,im,1,981,659,,,,,,,,,,,,,,,,
8,2,3500,blast,8,04AB,im_log_game_1,im,1,981,659,,,,,,,,,,,,,,,,
8,2,4000,blast,8,04AB,im_log_game_1,im,1,981,659,,,,,,,,,,,,,,,,
8,2,4500,blast,8,04AB,im_log_game_1,im,1,981,659,,,,,,,,,,,,,,,,
8,2,5000,blast,8,04AB,im_log_game_1,im,1,981,659,,,,,,,,,,,,,,,,
8,2,5500,blast,8,04AB,im_log_game_1,im,1,981,659,,,,,,,,,,,,,,,,
8,2,6000,blast,8,04AB,im_log_game_1,im,1,981,659,,,,,,,,,,,,,,,,
8,2,6500,blast,8,04AB,im_log_game_1,im,1,981,659,,,,,,,,,,,,,,,,
8,2,7000,blast,8,04AB,im_log_game_1,im,1,981,659,,,,,,,,,,,,,,,,
8,2,7500,blast,8,04AB,im_log_game_1,im,1,981,659,,,,,,,,,,,,,,,,
8,2,8000,blast,8,04AB,im_log_game_1,im,1,981,659,,,,,,,,,,,,,,,,
8,2,8500,blast,8,04AB,im_log_game_1,im,1,981,659,0.0,102.44,963.8,558.05,0.48,0.65,0.565,2.1,2.2,2.1500000000000004,2.2,3.0413812651491097,9.5,,,
8,2,9000,blast,8,04AB,im_log_game_1,im,1,981,659,0.0,78.93,968.2,581.1,5.36,31.64,18.5,9.0,23.7,16.35,23.7,25.351331325987594,204.57,,,
8,2,9500,blast,8,04AB,im_log_game_1,im,1,981,659,0.0,89.28,961.3,571.3,10.38,43.88,27.130000000000003,13.0,22.0,17.5,22.0,25.553864678361276,208.23,,,
8,2,10000,blast,8,04AB,im_log_game_1,im,1,981,659,0.0,110.12,956.6,551.1,6.34,12.59,9.465,9.4,14.1,11.75,14.1,16.946090994680752,210.77,,,
8,2,10500,overkill,8,04AB,im_log_game_1,im,1,981,659,0.0,105.78,953.8,557.2,10.95,10.73,10.84,12.1,13.1,12.6,13.1,17.833115263464205,243.48,,,
8,2,11000,overkill,8,04AB,im_log_game_1,im,1,981,659,0.0,98.76,960.3,562.7,5.44,16.74,11.09,9.1,14.9,12.0,14.9,17.45909505100422,215.57,,,
8,2,11500,overkill,8,04AB,im_log_game_1,im,1,981,659,0.0,93.2,966.85,566.7,10.69,22.48,16.585,12.2,18.1,15.15,18.1,21.827734651126764,248.7,,,
8,2,12000,overkill,8,04AB,im_log_game_1,im,1,981,659,0.0,93.11,964.25,567.25,26.04,12.96,19.5,17.4,14.9,16.15,17.4,22.90785891348207,247.46,,,
7,4,500,activation,13,04AB,im_log_game_1,im,1,1120,865,0.0,81.09,1104.6,785.4,16.23,20.94,18.585,18.9,18.6,18.75,18.9,26.51735280905694,275.74,1094.6,795.6,15.17
7,4,1000,activation,13,04AB,im_log_game_1,im,1,1120,865,0.0,82.2,1115.0,782.8,29.21,23.36,26.285,17.5,17.6,17.55,17.6,24.81954874690513,289.71,1094.6,795.6,26.13
7,4,1500,activation,13,04AB,im_log_game_1,im,1,1120,865,0.0,76.3,1116.6,788.7,21.69,134.27,77.98,16.5,36.1,26.3,36.1,39.692064698123225,245.92,1094.6,795.6,24.4
7,4,2000,activation,13,04AB,im_log_game_1,im,1,1120,865,0.0,56.76,1102.4,810.9,5.83,35.7,20.765,12.0,20.2,16.1,20.2,23.495531490051462,268.74,1094.6,795.6,18.16
7,4,2500,blast,13,04AB,im_log_game_1,im,1,1120,865,21.285140562248998,75.86,1094.55,795.6,16570.64,21188.46,18879.55,1234.7,947.1,1090.9,1234.7,1556.1113392042357,,1094.6,795.6,4.7
7,4,3000,blast,13,04AB,im_log_game_1,im,1,1120,865,0.0,68.63,1085.0,808.8,106.5,1027.85,567.175,46.2,116.9,81.55000000000001,116.9,125.69824978892905,595.65,1094.6,795.6,20.88
7,4,3500,blast,13,04AB,im_log_game_1,im,1,1120,865,0.0,51.7,1085.5,825.3,18.34,28.5,23.42,17.0,17.4,17.2,17.4,24.326117651610584,184.08,1094.6,795.6,31.21
7,4,4000,blast,13,04AB,im_log_game_1,im,1,1120,865,0.0,53.7,1089.2,822.7,7.28,26.83,17.055,12.9,17.3,15.100000000000001,17.3,21.580083410404143,207.89,1094.6,795.6,27.65
