event,timestamp,pos_x,pos_y,res_timestamp,decision,earned_points,total_points,game_timestamp,condition,n_game,subject,filename,n_star,interaction_type,n,p_nan,deviation,gaze_pos_x,gaze_pos_y,var_x,var_y,var,range_x,range_y,range_mean,range_max,range,av_x,av_y,norm_dev,norm_dev_2
activate_star,6958,664,429,79818195,-,0,0,2579,im,1,06KK,im_log_game_1,3,blast,1,0.0,42.64,623.4,443.05,25.97,9.93,17.95,15.3,13.1,14.2,15.3,20.141995928904365,629.05,436.1,9.82,54.96
activate_star,24038,880,683,79835275,-,0,245,19659,im,1,06KK,im_log_game_1,8,blast,2,0.0,37.72,855.0,711.55,9.83,46.34,28.085,12.5,21.9,17.2,21.9,25.21626459252044,862.25,722.8,13.42,47.36
activate_star,42197,1321,932,79853435,-,0,395,37818,im,1,06KK,im_log_game_1,17,blast,3,0.0,27.02,1345.25,944.1,4.18,3.77,3.9749999999999996,8.1,8.7,8.399999999999999,8.7,11.886967653695368,1323.9,948.8,21.76,18.13
activate_star,57232,1081,445,79868475,-,0,485,52853,im,1,06KK,im_log_game_1,12,blast,4,0.0,10.9,1078.9,454.4,9.18,23.24,16.21,12.5,18.8,15.65,18.8,22.57631502260721,1070.5,456.2,10.1,19.24
activate_star,72115,1329,265,79883355,-,0,483,67736,im,1,06KK,im_log_game_1,18,blast,5,0.0,29.64,1357.8,272.2,4.85,3.34,4.095,9.3,7.9,8.600000000000001,9.3,12.20245876862528,1336.5,273.6,21.36,18.63
activate_star,87073,786,915,79898315,-,0,497,82694,im,1,06KK,im_log_game_1,6,holiday_home,6,0.0,24.81,763.6,925.15,8.06,7.87,7.965,10.4,12.2,11.3,12.2,16.0312195418814,762.35,925.1,4.0,36.88
activate_star,125756,1242,669,79936994,-,0,804,121377,im,1,06KK,im_log_game_1,16,blast,7,0.0,7.29,1240.6,675.8,6.29,15.21,10.75,8.5,12.9,10.7,12.9,15.448624534242523,1235.65,683.05,9.23,16.52
activate_star,142359,1072,808,79953594,-,0,818,137980,im,1,06KK,im_log_game_1,11,blast,8,0.0,47.77,1062.8,853.65,22.39,18.35,20.37,14.8,16.9,15.85,16.9,22.464416306683777,1059.2,874.6,21.29,53.71
activate_star,156634,598,779,79967874,-,0,1009,152255,im,1,06KK,im_log_game_1,1,holiday_home,9,0.0,27.89,592.6,806.55,7.15,14.59,10.870000000000001,11.0,17.1,14.05,17.1,20.332486321156104,576.0,817.5,20.21,33.91
activate_star,183075,959,274,79994314,-,0,1157,178696,im,1,06KK,im_log_game_1,9,blast,10,0.0,29.51,936.4,293.4,13.4,8.17,10.785,15.4,12.8,14.100000000000001,15.4,20.024984394500787,923.25,310.65,22.16,40.62
activate_star,6200,642,677,80012394,-,0,1286,193427,im,1,06KK,im_log_game_1,2,blast,11,0.0,45.79,601.9,655.15,2.67,8.24,5.455,7.2,14.1,10.65,14.1,15.831929762350514,598.65,668.4,13.55,56.25
activate_star,22804,821,163,80028994,-,0,1512,210031,im,1,06KK,im_log_game_1,7,holiday_home,12,0.0,81.42,742.3,141.2,119.53,193.84,156.685,35.6,49.4,42.5,49.4,60.891050245499954,771.45,123.6,34.96,93.11
activate_star,48204,751,849,80054396,-,0,1742,235431,im,1,06KK,im_log_game_1,5,blast,13,0.0,31.85,723.8,831.7,3.99,3.68,3.835,8.8,7.7,8.25,8.8,11.693160394008116,728.65,827.6,7.01,42.29
activate_star,63845,1157,689,80070034,-,0,1857,251072,im,1,06KK,im_log_game_1,14,blast,14,0.0,35.44,1140.05,658.4,10.13,8.15,9.14,14.0,11.8,12.9,14.0,18.309560344257314,1145.9,670.75,14.27,42.17
activate_star,80443,588,250,80086634,-,0,1934,267670,im,1,06KK,im_log_game_1,0,blast,15,0.0,13.52,583.9,237.6,10.78,9.38,10.08,14.2,11.3,12.75,14.2,18.147451611727746,565.35,227.45,22.11,18.94
activate_star,96720,727,426,80102914,-,0,2223,283947,im,1,06KK,im_log_game_1,4,blast,16,0.0,26.44,705.05,411.2,8.64,9.14,8.89,11.4,13.3,12.350000000000001,13.3,17.517134468856487,713.2,410.0,8.68,36.88
activate_star,111562,1102,219,80117755,-,0,2332,298789,im,1,06KK,im_log_game_1,13,blast,17,0.0,47.79,1103.4,171.4,9.65,15.81,12.73,12.0,17.8,14.9,17.8,21.46718425877041,1116.8,204.2,36.08,47.63
activate_star,127283,1225,450,80133474,-,0,2504,314510,im,1,06KK,im_log_game_1,15,blast,18,0.0,54.74,1173.4,467.8,6.39,20.81,13.6,10.5,15.6,13.05,15.6,18.80452073305778,1136.8,473.05,37.14,67.11
activate_star,140959,1340,232,80147154,-,0,2735,328186,im,1,06KK,im_log_game_1,19,blast,19,0.0,6.81,1343.3,229.05,12.91,10.1,11.504999999999999,13.4,13.2,13.3,13.4,18.809572031282368,1339.3,223.75,8.55,9.52
activate_star,156203,1031,905,80162394,-,0,2873,343430,im,1,06KK,im_log_game_1,10,holiday_home,20,0.0,29.24,1003.0,898.6,5.17,4.21,4.6899999999999995,8.9,9.6,9.25,9.6,13.09083648969767,1013.15,907.1,13.9,40.92
activate_star,8330,704,615,80918405,-,0,1291,303118,im,2,06KK,im_log_game_3,1,holiday_home,1,,,,,,,,,,,,,,,,
activate_star,34495,752,816,80944565,-,0,1557,329283,im,2,06KK,im_log_game_3,2,blast,2,0.0,33.88,728.85,841.0,6.45,14.61,10.53,9.8,13.3,11.55,13.3,16.52059320968833,734.15,860.15,19.92,59.5
activate_star,47978,1229,902,80958045,-,0,1755,342766,im,2,06KK,im_log_game_3,8,blast,3,0.0,47.57,1250.75,943.7,11.07,9.49,10.280000000000001,12.2,12.4,12.3,12.4,17.395401691251628,1250.2,947.6,5.21,85.02
activate_star,62453,562,264,80972525,-,0,1912,357241,im,2,06KK,im_log_game_3,0,blast,4,0.0,34.01,565.6,297.75,7.15,14.32,10.735,10.2,18.3,14.25,18.3,20.95065631430195,563.1,297.55,5.11,70.58
activate_star,75792,808,344,80985845,-,0,2026,370580,im,2,06KK,im_log_game_3,3,blast,5,0.0,34.14,812.9,378.0,8.49,25.8,17.145,14.6,18.2,16.4,18.2,23.332380932943813,826.2,419.2,44.14,70.58
activate_star,88126,999,919,80998165,-,0,2213,382914,im,2,06KK,im_log_game_3,6,blast,6,0.0,57.53,1022.5,971.05,5.26,5.74,5.5,9.9,9.9,9.9,9.9,14.000714267493642,984.35,949.4,44.47,94.98
activate_star,102531,938,625,81012605,-,0,2449,397319,im,2,06KK,im_log_game_3,5,holiday_home,7,0.0,55.16,974.1,666.7,6.04,8.34,7.1899999999999995,9.0,13.2,11.1,13.2,15.976232346833216,972.45,672.3,6.2,91.62
activate_star,126614,918,155,81036685,-,0,2573,421402,im,2,06KK,im_log_game_3,4,blast,8,0.0,20.3,936.45,150.4,7.44,44.17,25.805,9.3,22.9,16.1,22.9,24.71639132235934,931.6,164.35,15.27,44.82
activate_star,140249,1244,660,81050325,-,0,2589,435037,im,2,06KK,im_log_game_3,9,holiday_home,9,0.0,55.37,1291.6,688.55,14.48,16.36,15.42,14.0,16.5,15.25,16.5,21.639085008382402,1287.2,684.9,7.65,88.72
activate_star,164971,1101,283,81075045,-,0,2623,459759,im,2,06KK,im_log_game_3,7,holiday_home,10,0.0,17.89,1118.25,276.25,18.61,9.71,14.16,19.2,12.7,15.95,19.2,23.02020851339101,1115.25,283.5,8.8,42.87
activate_star,6682,800,857,81331432,-,0,0,4325,im,3,06KK,im_log_game_4,6,blast,1,,,,,,,,,,,,,,,,
activate_star,27123,1157,509,81351872,-,0,174,24766,im,3,06KK,im_log_game_4,14,blast,2,0.0,69.9,1187.45,444.95,13.55,7.73,10.64,13.5,9.5,11.5,13.5,16.507574019219177,1178.9,431.8,15.55,84.28
activate_star,41998,613,149,81366752,-,0,360,39641,im,3,06KK,im_log_game_4,2,blast,3,0.0,44.21,654.9,135.2,6.51,10.69,8.6,10.7,12.5,11.6,12.5,16.454178800535747,645.5,145.35,13.19,61.52
activate_star,58481,825,241,81383232,-,0,699,56124,im,3,06KK,im_log_game_4,8,blast,4,0.0,41.95,858.45,214.8,3.04,10.44,6.74,7.4,11.0,9.2,11.0,13.25745073534124,849.3,198.0,18.99,59.33
activate_star,74997,575,387,81399752,-,0,954,72640,im,3,06KK,im_log_game_4,0,holiday_home,5,0.0,16.6,588.95,380.1,6.32,31.38,18.85,9.8,17.5,13.65,17.5,20.057168294652165,603.5,389.05,17.55,33.57
activate_star,128605,1034,936,81453352,-,0,1359,126248,im,3,06KK,im_log_game_4,12,blast,6,0.0,10.7,1038.65,944.05,6.72,57.73,32.225,9.7,23.1,16.4,23.1,25.053941805632103,1026.55,945.7,14.87,22.12
activate_star,143559,728,562,81468312,-,0,1664,141202,im,3,06KK,im_log_game_4,5,holiday_home,7,0.0,19.38,741.9,548.55,5.04,6.34,5.6899999999999995,9.5,10.2,9.85,10.2,13.938794782907165,744.55,551.4,5.58,36.42
activate_star,180283,1239,207,81505031,-,0,1829,177926,im,3,06KK,im_log_game_4,17,holiday_home,8,0.0,65.29,1295.4,177.6,11.09,19.21,15.15,15.7,15.7,15.7,15.7,22.20315292925759,1279.2,185.5,19.9,82.86
activate_star,204723,1163,731,81529472,-,0,2134,202366,im,3,06KK,im_log_game_4,15,holiday_home,9,0.0,57.83,1190.55,681.05,8.47,28.24,18.355,10.7,16.8,13.75,16.8,19.91808223700264,1203.15,683.8,13.85,72.8
activate_star,297720,964,446,81622471,-,0,2315,295363,im,3,06KK,im_log_game_4,10,holiday_home,10,0.0,14.57,971.8,434.15,2.1,20.24,11.17,6.9,18.4,12.649999999999999,18.4,19.65120861423032,958.2,453.2,23.81,31.33
activate_star,9479,944,395,81698671,-,0,2586,367493,im,3,06KK,im_log_game_4,9,blast,11,0.0,37.42,957.95,359.6,10.07,12.24,11.155000000000001,11.8,14.0,12.9,14.0,18.309560344257314,935.35,367.8,23.82,51.38
activate_star,24519,801,870,81713711,-,0,2956,382533,im,3,06KK,im_log_game_4,7,holiday_home,12,0.0,13.07,810.1,862.05,6.04,25.79,15.915,12.5,19.9,16.2,19.9,23.500212764994277,811.0,850.0,12.49,30.07
activate_star,138243,1213,888,81827431,-,0,3068,496257,im,3,06KK,im_log_game_4,16,blast,13,0.0,70.51,1143.0,882.95,13.58,15.13,14.355,13.5,14.9,14.2,14.9,20.106217943710845,1156.4,884.7,14.18,55.76
activate_star,152567,727,322,81841750,-,0,3225,510581,im,3,06KK,im_log_game_4,4,holiday_home,14,0.0,69.87,670.8,363.7,16.1,8.82,12.46,15.5,11.4,13.45,15.5,19.240841977418764,667.05,361.7,5.06,52.55
activate_star,181159,1291,590,81870351,-,0,3294,539173,im,3,06KK,im_log_game_4,18,holiday_home,15,0.0,70.89,1228.4,621.5,10.4,13.23,11.815000000000001,12.8,16.1,14.450000000000001,16.1,20.56817930688081,1229.1,630.7,9.59,53.25
activate_star,216525,1294,277,81905711,-,0,3492,574539,im,3,06KK,im_log_game_4,19,blast,16,0.0,55.28,1240.3,263.75,3.69,5.34,4.515,9.3,9.2,9.25,9.3,13.081666560496028,1232.4,262.0,8.38,43.13
activate_star,234880,1003,593,81924070,-,0,3631,592894,im,3,06KK,im_log_game_4,11,blast,17,0.0,14.2,998.5,604.8,19.65,8.57,14.11,14.5,12.4,13.45,14.5,19.07904609774818,1001.7,593.5,13.21,13.04
