time_start,time_end,x_average,y_average,event,x_start,y_start,x_stop,y_stop,res_start,res_end,interaction_type,res_timestamp,condition,n_game,subject,filename,n_star,n
91274.0,105662.0,629.9,432.0,fixation,,,,,79816204.0,79830592.0,blast,79818195,im,1,06KK,im_log_game_1,3,1
91226.0,91272.0,,,saccade,810.6,465.0,632.0,449.4,79816156.0,79816202.0,blast,79818195,im,1,06KK,im_log_game_1,3,1
108366.0,108570.0,819.0,644.3,fixation,,,,,79833296.0,79833500.0,blast,79835275,im,1,06KK,im_log_game_1,8,2
108598.0,118096.0,849.5,688.3,fixation,,,,,79833528.0,79843026.0,blast,79835275,im,1,06KK,im_log_game_1,8,2
108294.0,108364.0,,,saccade,874.9,275.6,814.8,645.5,79833224.0,79833294.0,blast,79835275,im,1,06KK,im_log_game_1,8,2
108572.0,108596.0,,,saccade,825.5,638.3,841.5,724.9,79833502.0,79833526.0,blast,79835275,im,1,06KK,im_log_game_1,8,2
126526.0,138692.0,1341.1,942.1,fixation,,,,,79851456.0,79863622.0,blast,79853435,im,1,06KK,im_log_game_1,17,3
126448.0,126524.0,,,saccade,587.0,805.1,1333.2,939.0,79851378.0,79851454.0,blast,79853435,im,1,06KK,im_log_game_1,17,3
141576.0,141840.0,1078.2,465.9,fixation,,,,,79866506.0,79866770.0,blast,79868475,im,1,06KK,im_log_game_1,12,4
141856.0,152974.0,1089.2,436.7,fixation,,,,,79866786.0,79877904.0,blast,79868475,im,1,06KK,im_log_game_1,12,4
141506.0,141574.0,,,saccade,1322.0,274.2,1079.5,469.6,79866436.0,79866504.0,blast,79868475,im,1,06KK,im_log_game_1,12,4
141842.0,141854.0,,,saccade,1075.7,474.4,1049.9,466.3,79866772.0,79866784.0,blast,79868475,im,1,06KK,im_log_game_1,12,4
156452.0,156610.0,1350.5,326.6,fixation,,,,,79881382.0,79881540.0,blast,79883355,im,1,06KK,im_log_game_1,18,5
156630.0,160044.0,1351.4,274.1,fixation,,,,,79881560.0,79884974.0,blast,79883355,im,1,06KK,im_log_game_1,18,5
156380.0,156450.0,,,saccade,916.9,302.5,1360.4,338.2,79881310.0,79881380.0,blast,79883355,im,1,06KK,im_log_game_1,18,5
156612.0,156628.0,,,saccade,1352.0,319.0,1340.9,287.0,79881542.0,79881558.0,blast,79883355,im,1,06KK,im_log_game_1,18,5
171102.0,171568.0,879.4,903.6,fixation,,,,,79896032.0,79896498.0,holiday_home,79898315,im,1,06KK,im_log_game_1,6,6
171602.0,171934.0,795.5,921.3,fixation,,,,,79896532.0,79896864.0,holiday_home,79898315,im,1,06KK,im_log_game_1,6,6
171948.0,174178.0,767.1,927.8,fixation,,,,,79896878.0,79899108.0,holiday_home,79898315,im,1,06KK,im_log_game_1,6,6
171570.0,171600.0,,,saccade,878.2,896.0,802.1,919.6,79896500.0,79896530.0,holiday_home,79898315,im,1,06KK,im_log_game_1,6,6
171936.0,171946.0,,,saccade,777.7,928.4,760.7,922.4,79896866.0,79896876.0,holiday_home,79898315,im,1,06KK,im_log_game_1,6,6
210092.0,210254.0,1265.3,657.0,fixation,,,,,79935022.0,79935184.0,blast,79936994,im,1,06KK,im_log_game_1,16,7
210300.0,218476.0,1246.2,662.2,fixation,,,,,79935230.0,79943406.0,blast,79936994,im,1,06KK,im_log_game_1,16,7
210032.0,210090.0,,,saccade,1061.2,833.2,1260.6,673.6,79934962.0,79935020.0,blast,79936994,im,1,06KK,im_log_game_1,16,7
210256.0,210298.0,,,saccade,1264.9,654.9,1247.2,669.1,79935186.0,79935228.0,blast,79936994,im,1,06KK,im_log_game_1,16,7
226672.0,235332.0,1053.4,851.1,fixation,,,,,79951602.0,79960262.0,blast,79953594,im,1,06KK,im_log_game_1,11,8
226650.0,226670.0,,,saccade,1032.7,905.9,1042.1,870.3,79951580.0,79951600.0,blast,79953594,im,1,06KK,im_log_game_1,11,8
240964.0,241094.0,539.5,832.1,fixation,,,,,79965894.0,79966024.0,holiday_home,79967874,im,1,06KK,im_log_game_1,1,9
241128.0,243748.0,583.2,797.4,fixation,,,,,79966058.0,79968678.0,holiday_home,79967874,im,1,06KK,im_log_game_1,1,9
240890.0,240962.0,,,saccade,922.1,310.0,539.3,842.9,79965820.0,79965892.0,holiday_home,79967874,im,1,06KK,im_log_game_1,1,9
241096.0,241126.0,,,saccade,536.3,830.2,570.7,812.5,79966026.0,79966056.0,holiday_home,79967874,im,1,06KK,im_log_game_1,1,9
267402.0,279772.0,937.4,271.1,fixation,,,,,79992332.0,80004702.0,blast,79994314,im,1,06KK,im_log_game_1,9,10
267354.0,267400.0,,,saccade,852.6,318.7,908.7,305.7,79992284.0,79992330.0,blast,79994314,im,1,06KK,im_log_game_1,9,10
285520.0,285722.0,547.1,672.5,fixation,,,,,80010450.0,80010652.0,blast,80012394,im,1,06KK,im_log_game_1,2,11
285746.0,294014.0,594.6,662.8,fixation,,,,,80010676.0,80018944.0,blast,80012394,im,1,06KK,im_log_game_1,2,11
285462.0,285518.0,,,saccade,799.8,549.1,546.3,662.8,80010392.0,80010448.0,blast,80012394,im,1,06KK,im_log_game_1,2,11
285724.0,285744.0,,,saccade,545.2,675.9,597.0,685.2,80010654.0,80010674.0,blast,80012394,im,1,06KK,im_log_game_1,2,11
302076.0,303384.0,775.4,114.2,fixation,,,,,80027006.0,80028314.0,holiday_home,80028994,im,1,06KK,im_log_game_1,7,12
