event,timestamp,pos_x,pos_y,res_timestamp,decision,earned_points,total_points,game_timestamp,condition,n_game,subject,filename,n_star,interaction_type,n,p_nan,deviation,gaze_pos_x,gaze_pos_y,var_x,var_y,var,range_x,range_y,range_mean,range_max,range,av_x,av_y,norm_dev,norm_dev_2
activate_star,4815,983,434,94093139,-,0,0,2572,im,1,07TS,im_log_game_1,8,holiday_home,1,,,,,,,,,,,,,,,,
activate_star,38164,711,419,94126459,-,0,368,35921,im,1,07TS,im_log_game_1,3,holiday_home,2,0.0,56.4,757.45,446.8,34.56,53.22,43.89,21.0,24.7,22.85,24.7,32.420518194501454,751.3,446.85,10.45,118.06
activate_star,83976,1058,680,94172299,-,0,589,81733,im,1,07TS,im_log_game_1,11,blast,3,0.0,38.27,1093.65,694.45,14.34,12.58,13.46,15.6,13.3,14.45,15.6,20.5,1101.3,691.1,8.41,99.22
activate_star,97306,1321,727,94185619,-,0,804,95063,im,1,07TS,im_log_game_1,19,blast,4,0.0,33.53,1344.75,750.75,12.08,22.07,17.075,13.6,15.4,14.5,15.4,20.54555913086816,1343.9,745.4,6.73,97.91
activate_star,111643,1206,912,94199938,-,0,1159,109400,im,1,07TS,im_log_game_1,15,holiday_home,5,0.0,71.93,1258.25,960.5,7.62,12.15,9.885,13.6,17.2,15.399999999999999,17.2,21.92715211786519,1251.9,952.55,11.03,136.16
activate_star,156013,1000,915,94244338,-,0,1449,153770,im,1,07TS,im_log_game_1,9,holiday_home,6,0.0,48.44,1046.2,927.35,71.9,33.68,52.790000000000006,46.0,21.3,33.65,46.0,50.692109839697935,1051.85,928.3,10.99,107.23
activate_star,190776,693,910,94279099,-,0,1683,188533,im,1,07TS,im_log_game_1,1,holiday_home,7,0.0,60.18,752.8,916.2,6.84,22.26,14.55,10.3,15.7,13.0,15.7,18.777113729218343,757.1,906.05,11.01,112.49
activate_star,216334,781,216,94304659,-,0,1875,214091,im,1,07TS,im_log_game_1,5,blast,8,0.0,51.5,817.6,251.65,4.35,11.11,7.7299999999999995,9.0,12.5,10.75,12.5,15.402921800749363,818.15,249.5,4.35,115.85
activate_star,236575,1149,227,94324899,-,0,1960,234332,im,1,07TS,im_log_game_1,13,holiday_home,9,0.0,78.99,1156.05,305.5,5.3,24.69,14.995000000000001,9.6,18.0,13.8,18.0,20.4,1158.1,303.2,4.81,139.07
activate_star,260097,1292,454,94348419,-,0,2180,257854,im,1,07TS,im_log_game_1,18,holiday_home,10,0.0,45.91,1317.3,491.9,9.59,22.38,15.985,13.3,26.4,19.85,26.4,29.560953976487294,1320.55,499.2,8.41,110.7
activate_star,5627,572,410,94377939,-,0,2393,284933,im,1,07TS,im_log_game_1,0,blast,11,0.0,52.48,609.35,446.85,16.79,27.79,22.29,15.7,21.6,18.65,21.6,26.702996086581745,616.55,444.1,9.86,116.8
activate_star,19224,789,457,94391539,-,0,2668,298530,im,1,07TS,im_log_game_1,6,holiday_home,12,0.0,58.49,818.25,509.15,82.74,22.63,52.684999999999995,30.6,18.5,24.55,30.6,35.757656522764464,818.2,502.65,9.65,123.03
activate_star,42944,1010,440,94415258,-,0,2882,322250,im,1,07TS,im_log_game_1,10,holiday_home,13,0.0,69.92,1045.9,501.0,50.01,17.05,33.53,24.2,18.4,21.299999999999997,24.2,30.400657887618156,1057.2,504.5,11.97,134.59
activate_star,77505,1221,649,94449818,-,0,3094,356811,im,1,07TS,im_log_game_1,16,blast,14,0.0,89.31,1283.65,712.3,29.54,16.04,22.79,20.7,14.1,17.4,20.7,25.04595775769016,1282.9,707.35,7.58,153.73
activate_star,91943,1287,394,94464257,-,0,3330,371249,im,1,07TS,im_log_game_1,17,blast,15,0.0,86.66,1299.9,479.9,7.05,13.02,10.035,10.2,14.7,12.45,14.7,17.892177061498135,1297.1,475.2,6.6,147.45
activate_star,107145,1156,197,94479459,-,0,3555,386451,im,1,07TS,im_log_game_1,14,blast,16,0.0,80.68,1214.1,254.1,12.54,12.96,12.75,12.8,11.9,12.350000000000001,12.8,17.477127910500627,1217.4,254.7,6.06,144.76
activate_star,119591,820,220,94491898,-,0,3630,398897,im,1,07TS,im_log_game_1,7,holiday_home,17,0.0,60.99,853.2,269.15,43.8,34.4,39.099999999999994,29.8,21.3,25.55,29.8,36.62963281279243,856.1,269.2,8.98,125.57
activate_star,192347,739,694,94564658,-,0,3883,471653,im,1,07TS,im_log_game_1,4,holiday_home,18,0.0,28.72,759.5,712.8,8.19,11.48,9.835,11.9,12.3,12.100000000000001,12.3,17.114321488157223,769.95,718.3,11.79,92.82
activate_star,216705,1087,815,94589017,-,0,4104,496011,im,1,07TS,im_log_game_1,12,blast,19,0.0,75.02,1143.6,864.7,17.26,7.34,12.3,17.4,10.6,14.0,17.4,20.374493858744074,1144.4,859.7,6.15,139.07
activate_star,230662,704,922,94602978,-,0,4078,509968,im,1,07TS,im_log_game_1,2,holiday_home,20,0.0,31.23,721.95,899.5,41.2,63.45,52.325,21.5,27.7,24.6,27.7,35.064797161825986,722.6,899.05,8.32,62.82
activate_star,5084,859,627,94880343,-,0,0,2008,im,2,07TS,im_log_game_2,7,holiday_home,1,,,,,,,,,,,,,,,,
activate_star,28749,643,760,94904023,-,0,120,25673,im,2,07TS,im_log_game_2,2,blast,2,0.0,59.16,702.1,758.7,21.83,4.66,13.245,17.7,8.2,12.95,17.7,19.50717816599828,697.4,761.6,6.78,102.17
activate_star,42085,841,857,94917343,-,0,238,39009,im,2,07TS,im_log_game_2,5,holiday_home,3,0.0,21.77,861.95,852.35,58.15,2.92,30.535,23.1,8.5,15.8,23.1,24.61422353030865,851.25,854.25,11.18,63.6
activate_star,65902,1069,883,94941183,-,0,463,62826,im,2,07TS,im_log_game_2,12,blast,4,0.0,47.88,1089.8,926.5,6.99,6.46,6.725,10.5,10.0,10.25,10.5,14.5,1092.7,928.95,5.3,87.94
activate_star,79242,1265,803,94954503,-,0,615,76166,im,2,07TS,im_log_game_2,16,blast,5,0.0,71.39,1299.0,866.7,7.05,32.74,19.895,10.1,20.0,15.05,20.0,22.40557966221807,1299.7,869.75,6.96,111.18
