index,event,timestamp,pos_x,pos_y,res_timestamp,decision,earned_points,total_points,game_timestamp,condition,n_game,subject,filename,n_star,interaction_type,n,p_nan,deviation,gaze_pos_x,gaze_pos_y,var_x,var_y,var,range_x,range_y,range_mean,range_max,range,av_x,av_y,norm_dev,gaze_path
9785,activate_star,4815,983,434,94093139,-,0,0,2572,im,1,07TS,im_log_game_1,8,holiday_home,1,,,,,,,,,,,,,,,,
9807,activate_star,38164,711,419,94126459,-,0,368,35921,im,1,07TS,im_log_game_1,3,holiday_home,2,0.0,58.19,759.8,451.1,159.56,32.86,96.21000000000001,45.6,25.8,35.7,45.6,52.392747589718944,757.9,461.1,16.86,1996.17
9834,activate_star,83976,1058,680,94172299,-,0,589,81733,im,1,07TS,im_log_game_1,11,blast,3,0.0,33.91,1088.3,691.8,325.25,45.38,185.315,68.3,26.0,47.15,68.3,73.08139298070337,1086.2,691.1,13.74,1807.65
9848,activate_star,97306,1321,727,94185619,-,0,804,95063,im,1,07TS,im_log_game_1,19,blast,4,0.0,39.63,1345.75,752.4,59.87,54.56,57.215,29.2,32.1,30.65,32.1,43.39412402618585,1340.2,751.5,12.07,1664.51
9862,activate_star,111643,1206,912,94199938,-,0,1159,109400,im,1,07TS,im_log_game_1,15,holiday_home,5,0.0,61.52,1248.7,959.9,87.42,91.82,89.62,37.2,38.8,38.0,38.8,53.75202321773572,1213.3,949.4,37.4,1415.09
9887,activate_star,156013,1000,915,94244338,-,0,1449,153770,im,1,07TS,im_log_game_1,9,holiday_home,6,0.0,32.23,1030.3,921.5,396.78,88.51,242.64499999999998,89.7,49.6,69.65,89.7,102.5,1037.3,914.8,19.3,2222.91
9909,activate_star,190776,693,910,94279099,-,0,1683,188533,im,1,07TS,im_log_game_1,1,holiday_home,7,0.0,58.94,751.4,908.5,124.77,241.54,183.155,41.1,52.7,46.900000000000006,52.7,66.83187862090965,742.8,912.7,11.99,1631.17
9928,activate_star,216334,781,216,94304659,-,0,1875,214091,im,1,07TS,im_log_game_1,5,blast,8,0.0,46.49,811.8,249.4,40.65,39.8,40.224999999999994,31.1,26.9,29.0,31.1,41.11958170993474,814.4,255.5,8.56,2269.74
9949,activate_star,236575,1149,227,94324899,-,0,1960,234332,im,1,07TS,im_log_game_1,13,holiday_home,9,0.20020020020020018,83.47,1166.3,307.2,229.52,135.64,182.57999999999998,51.3,44.8,48.05,51.3,68.1082227047513,1170.3,311.6,13.94,
9966,activate_star,260097,1292,454,94348419,-,0,2180,257854,im,1,07TS,im_log_game_1,18,holiday_home,10,0.0,52.32,1319.1,499.95,34.83,235.51,135.17,32.4,57.1,44.75,57.1,65.65188496913093,1331.8,505.3,17.53,1914.77
