time_start,time_end,x_average,y_average,event,x_start,y_start,x_stop,y_stop,res_start,res_end,interaction_type,res_timestamp,condition,n_game,subject,filename,n_star,n
5945038.0,5945212.0,1038.9,522.1,fixation,,,,,94090987.0,94091161.0,holiday_home,94093139,im,1,07TS,im_log_game_1,8,1
5945248.0,5947846.0,987.6,465.2,fixation,,,,,94091197.0,94093795.0,holiday_home,94093139,im,1,07TS,im_log_game_1,8,1
5945214.0,5945246.0,,,saccade,1020.9,519.5,972.7,472.6,94091163.0,94091195.0,holiday_home,94093139,im,1,07TS,im_log_game_1,8,1
5978312.0,5979092.0,740.9,447.0,fixation,,,,,94124261.0,94125041.0,holiday_home,94126459,im,1,07TS,im_log_game_1,3,2
5979122.0,5981464.0,768.7,455.7,fixation,,,,,94125071.0,94127413.0,holiday_home,94126459,im,1,07TS,im_log_game_1,3,2
5979094.0,5979120.0,,,saccade,738.3,453.1,745.3,442.1,94125043.0,94125069.0,holiday_home,94126459,im,1,07TS,im_log_game_1,3,2
6024386.0,6024536.0,1110.8,687.7,fixation,,,,,94170335.0,94170485.0,blast,94172299,im,1,07TS,im_log_game_1,11,3
6024570.0,6026728.0,1094.1,690.4,fixation,,,,,94170519.0,94172677.0,blast,94172299,im,1,07TS,im_log_game_1,11,3
6024250.0,6024384.0,,,saccade,783.3,478.2,1114.8,691.8,94170199.0,94170333.0,blast,94172299,im,1,07TS,im_log_game_1,11,3
6024538.0,6024568.0,,,saccade,1109.5,687.5,1136.8,702.2,94170487.0,94170517.0,blast,94172299,im,1,07TS,im_log_game_1,11,3
6036890.0,6038674.0,1356.0,753.9,fixation,,,,,94182839.0,94184623.0,blast,94185619,im,1,07TS,im_log_game_1,19,4
6038692.0,6040032.0,1342.7,757.7,fixation,,,,,94184641.0,94185981.0,blast,94185619,im,1,07TS,im_log_game_1,19,4
6038676.0,6038690.0,,,saccade,1345.0,756.8,1342.5,750.3,94184625.0,94184639.0,blast,94185619,im,1,07TS,im_log_game_1,19,4
6052016.0,6052826.0,1245.7,947.8,fixation,,,,,94197965.0,94198775.0,holiday_home,94199938,im,1,07TS,im_log_game_1,15,5
6052850.0,6054518.0,1238.1,960.0,fixation,,,,,94198799.0,94200467.0,holiday_home,94199938,im,1,07TS,im_log_game_1,15,5
6051986.0,6052014.0,,,saccade,1234.3,955.5,1244.1,941.3,94197935.0,94197963.0,holiday_home,94199938,im,1,07TS,im_log_game_1,15,5
6052828.0,6052848.0,,,saccade,1253.8,956.6,1263.2,957.3,94198777.0,94198797.0,holiday_home,94199938,im,1,07TS,im_log_game_1,15,5
6096464.0,6096552.0,1000.9,902.0,fixation,,,,,94242413.0,94242501.0,holiday_home,94244338,im,1,07TS,im_log_game_1,9,6
6096686.0,6096806.0,1086.7,910.2,fixation,,,,,94242635.0,94242755.0,holiday_home,94244338,im,1,07TS,im_log_game_1,9,6
6096818.0,6097290.0,1056.3,924.3,fixation,,,,,94242767.0,94243239.0,holiday_home,94244338,im,1,07TS,im_log_game_1,9,6
6097334.0,6099976.0,1041.4,921.3,fixation,,,,,94243283.0,94245925.0,holiday_home,94244338,im,1,07TS,im_log_game_1,9,6
6096384.0,6096462.0,,,saccade,1260.7,931.0,999.2,937.6,94242333.0,94242411.0,holiday_home,94244338,im,1,07TS,im_log_game_1,9,6
6096554.0,6096684.0,,,saccade,1002.6,888.3,1088.6,910.9,94242503.0,94242633.0,holiday_home,94244338,im,1,07TS,im_log_game_1,9,6
6096808.0,6096816.0,,,saccade,1087.1,916.0,1070.7,914.2,94242757.0,94242765.0,holiday_home,94244338,im,1,07TS,im_log_game_1,9,6
6097292.0,6097332.0,,,saccade,1049.5,936.6,1026.5,919.8,94243241.0,94243281.0,holiday_home,94244338,im,1,07TS,im_log_game_1,9,6
6131180.0,6133942.0,753.0,905.9,fixation,,,,,94277129.0,94279891.0,holiday_home,94279099,im,1,07TS,im_log_game_1,1,7
6131124.0,6131178.0,,,saccade,991.7,909.3,777.2,885.2,94277073.0,94277127.0,holiday_home,94279099,im,1,07TS,im_log_game_1,1,7
6156810.0,6156922.0,792.9,240.8,fixation,,,,,94302759.0,94302871.0,blast,94304659,im,1,07TS,im_log_game_1,5,8
6156994.0,6157810.0,814.2,248.3,fixation,,,,,94302943.0,94303759.0,blast,94304659,im,1,07TS,im_log_game_1,5,8
6157840.0,6159110.0,812.3,252.7,fixation,,,,,94303789.0,94305059.0,blast,94304659,im,1,07TS,im_log_game_1,5,8
6156694.0,6156808.0,,,saccade,1169.7,285.8,792.5,236.4,94302643.0,94302757.0,blast,94304659,im,1,07TS,im_log_game_1,5,8
6156924.0,6156992.0,,,saccade,794.1,237.5,810.5,230.9,94302873.0,94302941.0,blast,94304659,im,1,07TS,im_log_game_1,5,8
6157812.0,6157838.0,,,saccade,820.3,261.8,818.6,245.0,94303761.0,94303787.0,blast,94304659,im,1,07TS,im_log_game_1,5,8
6176988.0,6177036.0,1187.9,277.3,fixation,,,,,94322937.0,94322985.0,holiday_home,94324899,im,1,07TS,im_log_game_1,13,9
6177108.0,6177248.0,1191.0,289.1,fixation,,,,,94323057.0,94323197.0,holiday_home,94324899,im,1,07TS,im_log_game_1,13,9
6177300.0,6177522.0,1200.3,290.9,fixation,,,,,94323249.0,94323471.0,holiday_home,94324899,im,1,07TS,im_log_game_1,13,9
6177558.0,6179398.0,1164.2,311.0,fixation,,,,,94323507.0,94325347.0,holiday_home,94324899,im,1,07TS,im_log_game_1,13,9
6176890.0,6176986.0,,,saccade,1191.9,301.2,1187.7,274.5,94322839.0,94322935.0,holiday_home,94324899,im,1,07TS,im_log_game_1,13,9
6177038.0,6177106.0,,,saccade,1191.8,275.1,1186.4,282.4,94322987.0,94323055.0,holiday_home,94324899,im,1,07TS,im_log_game_1,13,9
6177250.0,6177298.0,,,saccade,1187.4,291.5,1205.2,296.8,94323199.0,94323247.0,holiday_home,94324899,im,1,07TS,im_log_game_1,13,9
6177524.0,6177556.0,,,saccade,1193.6,287.7,1159.8,294.2,94323473.0,94323505.0,holiday_home,94324899,im,1,07TS,im_log_game_1,13,9
