n_blast,n_outer,window,step,n_star,subject,filename,condition,n_game,pos_x,pos_y,p_nan,deviation,gaze_pos_x,gaze_pos_y,var_x,var_y,var,range_x,range_y,range_mean,range_max,range,gaze_path,av_x,av_y,norm_dev
7,2,500,activation,8,07TS,im_log_game_1,im,1,983,434,,,,,,,,,,,,,,,,
7,2,1000,activation,8,07TS,im_log_game_1,im,1,983,434,,,,,,,,,,,,,,,,
7,2,1500,activation,8,07TS,im_log_game_1,im,1,983,434,,,,,,,,,,,,,,,,
7,2,2000,activation,8,07TS,im_log_game_1,im,1,983,434,,,,,,,,,,,,,,,,
7,2,2500,blast,8,07TS,im_log_game_1,im,1,983,434,0.0,27.03,998.8,453.1,24.89,29.47,27.18,20.2,23.5,21.85,23.5,30.988546271162832,343.41,997.7,458.8,8.14
7,2,3000,blast,8,07TS,im_log_game_1,im,1,983,434,0.0,26.16,1002.4,449.0,51.87,10.4,31.134999999999998,26.2,14.0,20.1,26.2,29.705891671518632,456.26,997.7,458.8,14.31
7,2,3500,blast,8,07TS,im_log_game_1,im,1,983,434,0.0,51.63,1025.5,463.55,141.66,59.77,100.715,45.3,25.7,35.5,45.3,52.082434658913556,439.02,997.7,458.8,28.74
7,2,4000,blast,8,07TS,im_log_game_1,im,1,983,434,0.0,73.1,1041.4,475.75,42.13,38.9,40.515,21.6,25.6,23.6,25.6,33.49507426473332,390.42,997.7,458.8,48.94
7,2,4500,blast,8,07TS,im_log_game_1,im,1,983,434,0.0,73.72,1045.4,475.2,27.56,12.89,20.225,18.5,16.3,17.4,18.5,24.656439321199645,408.77,997.7,458.8,49.8
7,2,5000,blast,8,07TS,im_log_game_1,im,1,983,434,0.0,85.3,1050.85,485.7,50.82,45.58,48.2,26.4,28.7,27.549999999999997,28.7,38.99551256234491,370.36,997.7,458.8,59.57
7,2,5500,blast,8,07TS,im_log_game_1,im,1,983,434,0.0,119.85,1072.9,513.7,9.21,27.95,18.58,13.9,19.2,16.55,19.2,23.703375287076735,345.98,997.7,458.8,92.9
7,2,6000,blast,8,07TS,im_log_game_1,im,1,983,434,8.0,128.62,1080.15,517.2,2774.55,92521.72,47648.135,423.2,1428.2,925.7,1428.2,1489.5816459664104,,997.7,458.8,102.1
7,2,6500,blast,8,07TS,im_log_game_1,im,1,983,434,0.0,109.4,1089.1,473.4,210.94,237.05,223.995,47.5,67.0,57.25,67.0,82.1294709589682,395.36,997.7,458.8,91.85
7,2,7000,blast,8,07TS,im_log_game_1,im,1,983,434,0.0,99.65,1053.6,504.9,31.3,39.54,35.42,18.5,22.3,20.4,22.3,28.974816651706355,357.8,997.7,458.8,71.88
7,2,7500,blast,8,07TS,im_log_game_1,im,1,983,434,0.0,95.67,1052.7,499.8,16.23,14.19,15.21,20.1,14.2,17.15,20.1,24.60995733437992,395.05,997.7,458.8,68.28
7,2,8000,blast,8,07TS,im_log_game_1,im,1,983,434,0.0,107.85,1058.75,508.15,23.43,49.7,36.565,16.6,21.7,19.15,21.7,27.32123716086078,373.93,997.7,458.8,80.89
7,2,8500,blast,8,07TS,im_log_game_1,im,1,983,434,0.0,130.02,1066.45,531.6,32.56,70.69,51.625,21.6,28.7,25.15,28.7,35.92005011132362,392.94,997.7,458.8,101.88
7,2,9000,blast,8,07TS,im_log_game_1,im,1,983,434,0.0,147.22,1071.4,551.6,10.84,14.54,12.69,15.2,17.5,16.35,17.5,23.179516819813134,424.13,997.7,458.8,118.54
