event,timestamp,pos_x,pos_y,res_timestamp,decision,earned_points,total_points,game_timestamp,condition,n_game,subject,filename,n_star,interaction_type,n,p_nan,deviation,gaze_pos_x,gaze_pos_y,var_x,var_y,var,range_x,range_y,range_mean,range_max,range,av_x,av_y,norm_dev,norm_dev_2
activate_star,4926,1023,561,508240694,-,0,2009,450300,im,1,10AS,im_log_game_2,5,holiday_home,1,,,,,,,,,,,,,,,,
activate_star,26759,765,350,508262534,-,0,2009,472133,im,1,10AS,im_log_game_2,2,holiday_home,2,0.0,14.13,764.6,336.65,21.75,3.6,12.675,15.4,7.1,11.25,15.4,16.957889019568444,774.6,339.5,10.57,68.75
activate_star,38002,1250,144,508273774,-,0,2009,483376,im,1,10AS,im_log_game_2,7,holiday_home,3,0.0,52.64,1225.7,97.45,1.05,302.69,151.87,3.5,45.9,24.7,45.9,46.03324885341029,1227.0,132.2,34.79,107.59
activate_star,49881,863,161,508285654,-,0,2009,495255,im,1,10AS,im_log_game_2,3,blast,4,0.0,4.47,864.75,157.05,0.29,30.62,15.455,2.5,31.0,16.75,31.0,31.100643080167973,864.4,153.75,3.94,59.03
activate_star,68241,1023,561,508304014,-,0,2289,513615,im,1,10AS,im_log_game_2,5,blast,5,0.0,31.22,1009.55,532.9,3.2,9.54,6.369999999999999,6.2,12.8,9.5,12.8,14.22251735804882,1010.85,533.9,3.13,86.48
activate_star,82320,1250,144,508318094,-,0,2483,527694,im,1,10AS,im_log_game_2,7,holiday_home,6,0.0,21.46,1229.85,136.5,2.51,1.13,1.8199999999999998,5.5,4.9,5.2,5.5,7.366138744281159,1228.6,137.6,1.99,69.86
activate_star,106602,674,869,508342374,-,0,2483,551976,im,1,10AS,im_log_game_2,1,holiday_home,7,0.0,47.03,679.9,822.4,0.45,4.92,2.685,2.5,9.4,5.95,9.4,9.726767191621274,678.7,823.8,2.37,100.78
activate_star,132524,560,512,508368294,-,0,2483,577898,im,1,10AS,im_log_game_2,0,holiday_home,8,0.0,23.29,569.2,491.05,5.74,24.09,14.915,9.1,18.7,13.899999999999999,18.7,20.796634343085422,571.75,492.5,3.55,74.89
activate_star,172562,1269,660,508408334,-,0,2483,617936,im,1,10AS,im_log_game_2,9,blast,9,0.0,74.08,1226.7,602.15,196.63,26.38,111.505,53.8,17.7,35.75,53.8,56.63682547600986,1246.2,610.7,22.79,127.83
activate_star,186526,1177,342,508422294,-,0,2730,631900,im,1,10AS,im_log_game_2,6,holiday_home,10,0.0,31.84,1156.8,318.0,1.69,5.41,3.55,4.3,9.8,7.050000000000001,9.8,10.701868995647443,1158.75,312.45,6.58,85.22
activate_star,212093,765,350,508447854,-,0,2831,657467,im,1,10AS,im_log_game_2,2,holiday_home,11,0.0,11.13,770.15,340.3,0.22,17.36,8.79,2.1,16.5,9.3,16.5,16.633099530754933,769.85,334.6,5.79,64.07
activate_star,223805,674,869,508459574,-,0,2831,669179,im,1,10AS,im_log_game_2,1,blast,12,0.0,54.73,687.95,816.2,2.78,2.94,2.86,5.4,6.6,6.0,6.6,8.527602242131136,686.65,816.0,2.93,106.7
activate_star,239725,1250,144,508475494,-,0,3089,685099,im,1,10AS,im_log_game_2,7,blast,13,0.0,14.83,1235.2,142.5,10.1,1.56,5.83,10.8,4.6,7.7,10.8,11.738824472663351,1239.65,141.6,4.67,62.67
activate_star,252643,765,350,508488413,-,0,3389,698017,im,1,10AS,im_log_game_2,2,holiday_home,14,0.0,10.35,758.9,341.7,0.41,1.76,1.085,2.4,5.3,3.8499999999999996,5.3,5.818075283115543,758.5,342.2,1.03,65.39
activate_star,277000,919,846,508512773,-,0,3389,722374,im,1,10AS,im_log_game_2,4,holiday_home,15,0.0,55.19,910.65,791.45,4.0,4.74,4.37,6.7,7.9,7.300000000000001,7.9,10.358571330062848,912.25,793.6,3.52,110.66
activate_star,290566,765,350,508526333,-,0,3389,735940,im,1,10AS,im_log_game_2,2,blast,16,0.0,33.74,772.85,317.25,0.2,4.97,2.585,2.1,8.2,5.1499999999999995,8.2,8.464632301523793,773.2,318.8,1.74,86.83
activate_star,302893,560,512,508538653,-,0,3589,748267,im,1,10AS,im_log_game_2,0,blast,17,0.0,27.55,561.2,484.45,0.39,2.93,1.6600000000000001,2.5,6.7,4.6,6.7,7.15122367151245,561.2,483.2,1.81,82.5
