index,event,timestamp,pos_x,pos_y,res_timestamp,decision,earned_points,total_points,game_timestamp,condition,n_game,subject,filename,n_star,interaction_type,n,p_nan,deviation,gaze_pos_x,gaze_pos_y,var_x,var_y,var,range_x,range_y,range_mean,range_max,range,av_x,av_y,norm_dev,gaze_path
12232,activate_star,10227,778,231,507092740,-,0,0,6956,im,1,10AS,im_log_game_1,1,blast,1,0.0,63.99,778.0,170.4,356.04,104.87,230.455,60.0,43.2,51.6,60.0,73.93402464359694,757.5,179.1,29.31,2073.62
12247,activate_star,26301,1169,354,507108820,-,0,-9,23030,im,1,10AS,im_log_game_1,6,blast,2,0.0,66.29,1117.35,313.6,35.01,170.6,102.80499999999999,26.1,53.5,39.8,53.5,59.52696867807062,1115.1,312.2,10.98,1805.34
12260,activate_star,40821,1053,178,507123340,-,0,212,37550,im,1,10AS,im_log_game_1,5,blast,3,0.0,77.98,992.0,132.7,144.51,90.44,117.475,41.8,39.0,40.4,41.8,57.16852280757305,980.5,139.6,16.12,2052.79
12275,activate_star,57501,1278,172,507140020,-,0,512,54230,im,1,10AS,im_log_game_1,8,holiday_home,4,0.0,47.17,1240.7,150.2,60.31,559.83,310.07000000000005,32.6,108.1,70.35,108.1,112.90867991434493,1234.4,151.8,19.77,1897.96
12334,activate_star,175463,1290,597,507257980,-,0,761,172192,im,1,10AS,im_log_game_1,9,blast,5,0.0,74.1,1222.0,570.8,62.22,50.05,56.135,29.8,26.5,28.15,29.8,39.87844029046271,1212.9,568.5,12.61,1575.77
12359,activate_star,221702,818,868,507304220,-,0,977,218431,im,1,10AS,im_log_game_1,2,holiday_home,6,0.0,79.7,819.8,788.4,19.39,26.03,22.71,17.1,21.5,19.3,21.5,27.471075697904517,810.9,785.0,11.4,1541.65
12379,activate_star,264260,1221,840,507346780,-,0,977,260989,im,1,10AS,im_log_game_1,7,holiday_home,7,0.0,61.22,1255.4,788.6,224.82,199.36,212.09,51.8,46.8,49.3,51.8,69.81031442415942,1223.7,772.8,38.48,1622.77
12406,activate_star,309463,1027,758,507391980,-,0,1171,306192,im,1,10AS,im_log_game_1,4,blast,8,0.0,56.22,991.3,724.7,646.62,192.34,419.48,88.5,65.7,77.1,88.5,110.22132280098984,993.3,711.3,26.53,2635.92
12419,activate_star,327861,926,460,507410380,-,0,1420,324590,im,1,10AS,im_log_game_1,3,holiday_home,9,0.0,61.33,953.2,410.0,543.99,173.73,358.86,80.2,52.2,66.2,80.2,95.69158792704822,945.6,371.1,42.79,2627.52
12433,activate_star,370182,585,611,507452700,-,0,1420,366911,im,1,10AS,im_log_game_1,0,blast,10,0.0,76.78,528.7,561.6,1027.58,1112.67,1070.125,141.7,130.7,136.2,141.7,192.77287153539004,520.6,544.0,20.32,2509.84
12447,activate_star,396259,818,868,507478780,-,0,1659,392988,im,1,10AS,im_log_game_1,2,blast,11,0.0,76.18,843.3,800.5,349.05,196.79,272.92,54.5,55.3,54.9,55.3,77.64238533172458,866.3,794.3,29.13,3065.79
