time_start,time_end,x_average,y_average,event,x_start,y_start,x_stop,y_stop,res_start,res_end,interaction_type,res_timestamp,condition,n_game,subject,filename,n_star,n
200046.0,200192.0,774.8,155.5,fixation,,,,,507090788.0,507090934.0,blast,507092740,im,1,10AS,im_log_game_1,1,1
200242.0,200604.0,805.7,187.1,fixation,,,,,507090984.0,507091346.0,blast,507092740,im,1,10AS,im_log_game_1,1,1
200632.0,200888.0,805.6,177.1,fixation,,,,,507091374.0,507091630.0,blast,507092740,im,1,10AS,im_log_game_1,1,1
200946.0,201668.0,776.3,165.7,fixation,,,,,507091688.0,507092410.0,blast,507092740,im,1,10AS,im_log_game_1,1,1
201684.0,202328.0,756.7,174.1,fixation,,,,,507092426.0,507093070.0,blast,507092740,im,1,10AS,im_log_game_1,1,1
198816.0,200044.0,,,saccade,918.7,364.7,771.1,155.6,507089558.0,507090786.0,blast,507092740,im,1,10AS,im_log_game_1,1,1
200194.0,200240.0,,,saccade,781.2,154.7,789.7,186.1,507090936.0,507090982.0,blast,507092740,im,1,10AS,im_log_game_1,1,1
200606.0,200630.0,,,saccade,806.8,200.0,808.3,193.3,507091348.0,507091372.0,blast,507092740,im,1,10AS,im_log_game_1,1,1
200890.0,200944.0,,,saccade,793.9,171.6,790.9,158.9,507091632.0,507091686.0,blast,507092740,im,1,10AS,im_log_game_1,1,1
201670.0,201682.0,,,saccade,760.3,175.0,760.5,162.6,507092412.0,507092424.0,blast,507092740,im,1,10AS,im_log_game_1,1,1
216112.0,216358.0,1116.1,293.1,fixation,,,,,507106854.0,507107100.0,blast,507108820,im,1,10AS,im_log_game_1,6,2
216388.0,216680.0,1113.0,301.7,fixation,,,,,507107130.0,507107422.0,blast,507108820,im,1,10AS,im_log_game_1,6,2
216700.0,217026.0,1115.7,313.5,fixation,,,,,507107442.0,507107768.0,blast,507108820,im,1,10AS,im_log_game_1,6,2
217044.0,218098.0,1121.7,323.9,fixation,,,,,507107786.0,507108840.0,blast,507108820,im,1,10AS,im_log_game_1,6,2
215882.0,216110.0,,,saccade,1118.4,302.0,1119.1,318.2,507106624.0,507106852.0,blast,507108820,im,1,10AS,im_log_game_1,6,2
216360.0,216386.0,,,saccade,1115.1,296.5,1119.1,302.8,507107102.0,507107128.0,blast,507108820,im,1,10AS,im_log_game_1,6,2
216682.0,216698.0,,,saccade,1108.9,298.2,1111.8,314.2,507107424.0,507107440.0,blast,507108820,im,1,10AS,im_log_game_1,6,2
217028.0,217042.0,,,saccade,1120.8,320.6,1140.1,333.4,507107770.0,507107784.0,blast,507108820,im,1,10AS,im_log_game_1,6,2
230634.0,231026.0,1007.1,118.7,fixation,,,,,507121376.0,507121768.0,blast,507123340,im,1,10AS,im_log_game_1,5,3
231068.0,231576.0,1000.8,134.8,fixation,,,,,507121810.0,507122318.0,blast,507123340,im,1,10AS,im_log_game_1,5,3
231592.0,231666.0,990.4,134.3,fixation,,,,,507122334.0,507122408.0,blast,507123340,im,1,10AS,im_log_game_1,5,3
231686.0,231840.0,987.9,133.9,fixation,,,,,507122428.0,507122582.0,blast,507123340,im,1,10AS,im_log_game_1,5,3
231864.0,233644.0,984.7,136.2,fixation,,,,,507122606.0,507124386.0,blast,507123340,im,1,10AS,im_log_game_1,5,3
230592.0,230632.0,,,saccade,1205.1,140.9,999.7,92.1,507121334.0,507121374.0,blast,507123340,im,1,10AS,im_log_game_1,5,3
231028.0,231066.0,,,saccade,1009.4,114.8,1006.9,130.0,507121770.0,507121808.0,blast,507123340,im,1,10AS,im_log_game_1,5,3
231578.0,231590.0,,,saccade,993.5,147.6,993.5,134.7,507122320.0,507122332.0,blast,507123340,im,1,10AS,im_log_game_1,5,3
231668.0,231684.0,,,saccade,995.9,128.3,986.8,137.7,507122410.0,507122426.0,blast,507123340,im,1,10AS,im_log_game_1,5,3
231842.0,231862.0,,,saccade,986.0,136.3,986.6,118.3,507122584.0,507122604.0,blast,507123340,im,1,10AS,im_log_game_1,5,3
247280.0,247312.0,1237.1,212.1,fixation,,,,,507138022.0,507138054.0,holiday_home,507140020,im,1,10AS,im_log_game_1,8,4
247332.0,247414.0,1232.0,240.2,fixation,,,,,507138074.0,507138156.0,holiday_home,507140020,im,1,10AS,im_log_game_1,8,4
247450.0,247552.0,1240.3,201.9,fixation,,,,,507138192.0,507138294.0,holiday_home,507140020,im,1,10AS,im_log_game_1,8,4
247578.0,248128.0,1232.8,172.6,fixation,,,,,507138320.0,507138870.0,holiday_home,507140020,im,1,10AS,im_log_game_1,8,4
248168.0,248222.0,1248.5,154.3,fixation,,,,,507138910.0,507138964.0,holiday_home,507140020,im,1,10AS,im_log_game_1,8,4
248260.0,248466.0,1250.2,145.8,fixation,,,,,507139002.0,507139208.0,holiday_home,507140020,im,1,10AS,im_log_game_1,8,4
248474.0,249786.0,1239.0,143.0,fixation,,,,,507139216.0,507140528.0,holiday_home,507140020,im,1,10AS,im_log_game_1,8,4
247314.0,247330.0,,,saccade,1234.9,217.4,1232.5,232.0,507138056.0,507138072.0,holiday_home,507140020,im,1,10AS,im_log_game_1,8,4
247416.0,247448.0,,,saccade,1230.8,238.4,1243.8,198.2,507138158.0,507138190.0,holiday_home,507140020,im,1,10AS,im_log_game_1,8,4
247554.0,247576.0,,,saccade,1245.1,201.7,1224.1,157.6,507138296.0,507138318.0,holiday_home,507140020,im,1,10AS,im_log_game_1,8,4
