n_blast,n_outer,window,step,n_star,subject,filename,condition,n_game,pos_x,pos_y,p_nan,deviation,gaze_pos_x,gaze_pos_y,var_x,var_y,var,range_x,range_y,range_mean,range_max,range,gaze_path,av_x,av_y,norm_dev
8,3,500,activation,1,10AS,im_log_game_1,im,1,778,231,0.0,57.33,800.0,180.5,216.45,182.25,199.35,38.5,45.2,41.85,45.2,59.37415262553227,533.16,757.5,179.1,42.95
8,3,1000,activation,1,10AS,im_log_game_1,im,1,778,231,0.0,62.43,805.15,174.95,52.47,169.06,110.765,22.8,43.1,32.95,43.1,48.75910171444917,553.36,757.5,179.1,48.29
8,3,1500,activation,1,10AS,im_log_game_1,im,1,778,231,0.0,64.23,776.0,167.0,41.52,38.91,40.215,24.5,26.4,25.45,26.4,36.016801634792614,494.31,757.5,179.1,22.28
8,3,2000,activation,1,10AS,im_log_game_1,im,1,778,231,0.0,65.52,755.0,169.5,20.45,10.36,15.405,16.4,15.0,15.7,16.4,22.225210910135363,484.17,757.5,179.1,10.52
8,3,2500,blast,1,10AS,im_log_game_1,im,1,778,231,0.0,51.51,765.2,181.5,197.51,21.15,109.33,43.4,18.2,30.799999999999997,43.4,47.061661679120505,452.48,757.5,179.1,9.76
8,3,3000,blast,1,10AS,im_log_game_1,im,1,778,231,0.0,46.8,773.2,185.1,40.47,13.16,26.814999999999998,24.0,16.0,20.0,24.0,28.844410203711913,475.19,757.5,179.1,16.85
8,3,3500,blast,1,10AS,im_log_game_1,im,1,778,231,0.0,48.21,776.2,183.1,7.5,20.95,14.225,10.3,18.1,14.200000000000001,18.1,20.825465180878915,380.92,757.5,179.1,19.83
8,3,4000,blast,1,10AS,im_log_game_1,im,1,778,231,0.0,68.73,778.0,162.3,9.93,34.15,22.04,12.0,24.0,18.0,24.0,26.832815729997478,485.66,757.5,179.1,27.22
8,3,4500,blast,1,10AS,im_log_game_1,im,1,778,231,0.0,66.58,775.5,164.6,10.36,17.87,14.115,11.5,19.0,15.25,19.0,22.20923231451281,472.53,757.5,179.1,22.15
8,3,5000,blast,1,10AS,im_log_game_1,im,1,778,231,0.0,65.32,763.8,167.4,9.82,29.04,19.43,12.8,21.1,16.950000000000003,21.1,24.678938388836748,534.27,757.5,179.1,13.73
8,3,5500,blast,1,10AS,im_log_game_1,im,1,778,231,0.0,59.26,768.8,172.75,12.08,16.8,14.440000000000001,24.5,17.5,21.0,24.5,30.108138434649195,474.85,757.5,179.1,13.09
8,3,6000,blast,1,10AS,im_log_game_1,im,1,778,231,0.0,45.25,768.4,187.3,7.2,32.57,19.885,12.8,23.1,17.950000000000003,23.1,26.409278672466616,500.06,757.5,179.1,15.16
8,3,6500,blast,1,10AS,im_log_game_1,im,1,778,231,8.433734939759036,41.26,769.5,191.4,22.07,8749.61,4385.84,47.3,812.6,429.95,812.6,813.9754603180614,,757.5,179.1,18.55
8,3,7000,blast,1,10AS,im_log_game_1,im,1,778,231,10.843373493975903,48.89,801.95,189.8,76.49,44361.56,22219.024999999998,108.8,1305.0,706.9,1305.0,1309.5275636656145,,757.5,179.1,46.25
8,3,7500,blast,1,10AS,im_log_game_1,im,1,778,231,0.0,34.5,802.4,210.3,22.23,86.29,54.260000000000005,16.4,31.3,23.85,31.3,35.33624201864143,470.88,757.5,179.1,56.97
8,3,8000,blast,1,10AS,im_log_game_1,im,1,778,231,0.0,26.98,803.2,221.6,3.31,12.03,7.67,7.3,15.8,11.55,15.8,17.404884371922726,400.06,757.5,179.1,62.57
8,3,8500,blast,1,10AS,im_log_game_1,im,1,778,231,0.0,19.84,796.3,228.8,18.22,20.76,19.490000000000002,16.1,20.1,18.1,20.1,25.75305807083889,486.17,757.5,179.1,63.63
8,3,9000,blast,1,10AS,im_log_game_1,im,1,778,231,0.0,12.72,787.2,222.2,4.78,28.12,16.45,11.2,23.7,17.45,23.7,26.213164631535808,477.9,757.5,179.1,52.9
8,3,9500,blast,1,10AS,im_log_game_1,im,1,778,231,0.0,16.2,790.3,235.6,286442.98,124407.71,205425.345,1210.3,1483.0,1346.65,1483.0,1914.187840834854,3850.22,757.5,179.1,62.79
8,3,10000,blast,1,10AS,im_log_game_1,im,1,778,231,31.32530120481928,1032.26,1664.1,761.0,1720.52,11644.99,6682.755,344.3,540.3,442.29999999999995,540.3,640.6766579172368,,757.5,179.1,1076.94
8,3,10500,overkill,1,10AS,im_log_game_1,im,1,778,231,0.0,733.62,1257.4,785.4,11127.72,93.31,5610.514999999999,384.6,36.8,210.70000000000002,384.6,386.3565710583942,822.99,757.5,179.1,786.51
8,3,11000,overkill,1,10AS,im_log_game_1,im,1,778,231,0.0,739.49,1265.1,786.6,9.58,18.34,13.96,13.7,18.5,16.1,18.5,23.020425712831635,409.78,757.5,179.1,792.27
8,3,11500,overkill,1,10AS,im_log_game_1,im,1,778,231,0.0,672.25,1173.1,775.4,712.05,17.4,364.72499999999997,101.0,19.1,60.05,101.0,102.79012598494079,551.07,757.5,179.1,726.45
8,3,12000,overkill,1,10AS,im_log_game_1,im,1,778,231,0.0,480.62,975.4,670.0,19780.5,31299.4,25539.95,397.0,516.9,456.95,516.9,651.7626945445712,1142.91,757.5,179.1,536.37
8,3,12500,overkill,1,10AS,im_log_game_1,im,1,778,231,12.048192771084338,48.21,775.2,279.2,21.97,601.44,311.70500000000004,24.8,273.6,149.20000000000002,273.6,274.7216773390844,,757.5,179.1,101.88
8,3,13000,overkill,1,10AS,im_log_game_1,im,1,778,231,8.835341365461847,874.88,1580.4,38.6,38867.04,71664.95,55265.994999999995,544.8,1638.8,1091.8,1638.8,1726.9836362861115,,757.5,179.1,884.65
8,1,500,activation,6,10AS,im_log_game_1,im,1,1169,354,0.0,78.4,1115.35,298.45,10.5,37.39,23.945,15.3,26.2,20.75,26.2,30.340237309553135,505.51,1115.1,312.2,14.48
8,1,1000,activation,6,10AS,im_log_game_1,im,1,1169,354,0.0,67.26,1115.8,313.6,51.82,78.84,65.33,30.3,33.7,32.0,33.7,45.318649582704914,415.37,1115.1,312.2,6.45
8,1,1500,activation,6,10AS,im_log_game_1,im,1,1169,354,0.0,48.63,1124.9,333.4,29.6,25.49,27.545,18.0,21.7,19.85,21.7,28.193793643282557,440.75,1115.1,312.2,24.22
8,1,2000,activation,6,10AS,im_log_game_1,im,1,1169,354,0.0,65.76,1117.2,313.8,7.71,13.87,10.79,12.3,15.5,13.9,15.5,19.787369708983558,437.77,1115.1,312.2,5.07
8,1,2500,blast,6,10AS,im_log_game_1,im,1,1169,354,0.0,66.1,1114.9,317.4,9.39,44.04,26.715,12.4,25.9,19.15,25.9,28.715326917867397,441.08,1115.1,312.2,7.55
8,1,3000,blast,6,10AS,im_log_game_1,im,1,1169,354,0.0,58.67,1115.3,331.7,19.43,11.77,15.6,17.6,16.1,16.85,17.6,23.853092042752028,401.46,1115.1,312.2,19.91
8,1,3500,blast,6,10AS,im_log_game_1,im,1,1169,354,0.0,60.13,1115.4,332.8,68.59,50.47,59.53,26.3,26.7,26.5,26.7,37.477726718679186,470.29,1115.1,312.2,21.96
8,1,4000,blast,6,10AS,im_log_game_1,im,1,1169,354,0.0,62.39,1121.1,313.6,4.23,12.6,8.415,7.9,14.3,11.100000000000001,14.3,16.337074401495514,440.6,1115.1,312.2,7.43
8,1,4500,blast,6,10AS,im_log_game_1,im,1,1169,354,0.0,69.07,1117.3,308.1,17.23,30.0,23.615000000000002,19.9,25.6,22.75,25.6,32.42483615995615,472.05,1115.1,312.2,6.97
8,1,5000,blast,6,10AS,im_log_game_1,im,1,1169,354,0.0,68.0,1106.3,328.6,5.1,10.7,7.8999999999999995,8.8,14.3,11.55,14.3,16.790771274721124,389.29,1115.1,312.2,18.56
8,1,5500,blast,6,10AS,im_log_game_1,im,1,1169,354,0.0,70.65,1108.5,318.1,5.27,24.99,15.129999999999999,9.3,18.5,13.9,18.5,20.706037766796427,398.05,1115.1,312.2,9.93
8,1,6000,blast,6,10AS,im_log_game_1,im,1,1169,354,0.0,70.27,1107.3,323.5,39.25,27.25,33.25,24.7,22.0,23.35,24.7,33.07703130572634,478.93,1115.1,312.2,14.86
8,1,6500,blast,6,10AS,im_log_game_1,im,1,1169,354,0.0,69.45,1101.5,339.1,13.25,82.27,47.76,14.7,44.3,29.5,44.3,46.6752611133564,515.38,1115.1,312.2,31.01
8,1,7000,blast,6,10AS,im_log_game_1,im,1,1169,354,0.0,62.79,1107.1,365.9,15.75,108.05,61.9,16.7,32.1,24.4,32.1,36.18425071768103,401.79,1115.1,312.2,54.08
8,1,7500,blast,6,10AS,im_log_game_1,im,1,1169,354,0.0,68.68,1100.5,356.0,8.25,12.82,10.535,12.9,15.5,14.2,15.5,20.16581265409356,360.05,1115.1,312.2,46.33
8,1,8000,blast,6,10AS,im_log_game_1,im,1,1169,354,0.0,66.89,1103.2,343.9,11.89,14.3,13.095,11.4,16.6,14.0,16.6,20.137527157027005,409.73,1115.1,312.2,34.49
