event,timestamp,pos_x,pos_y,res_timestamp,decision,earned_points,total_points,game_timestamp,condition,n_game,subject,filename,n_star,interaction_type,n,p_nan,deviation,gaze_pos_x,gaze_pos_y,var_x,var_y,var,range_x,range_y,range_mean,range_max,range,av_x,av_y,norm_dev,norm_dev_2
activate_star,5736,1150,419,521362898,-,0,0,2572,im,1,11AK,im_log_game_1,13,holiday_home,1,,,,,,,,,,,,,,,,
activate_star,31254,1215,666,521388418,-,0,230,28090,im,1,11AK,im_log_game_1,14,blast,2,0.0,90.87,1125.35,651.0,19.52,123.77,71.645,13.7,37.0,25.35,37.0,39.454910974427506,1131.2,636.7,15.29,132.27
activate_star,46014,1008,693,521403178,-,0,518,42850,im,1,11AK,im_log_game_1,10,holiday_home,3,0.0,45.92,963.95,704.0,3.36,57.59,30.475,6.6,24.5,15.55,24.5,25.373411280314674,950.8,694.3,17.04,85.39
activate_star,82376,772,620,521439538,-,0,829,79212,im,1,11AK,im_log_game_1,6,blast,4,0.0,29.16,744.0,611.65,17.18,21.98,19.58,14.0,21.7,17.85,21.7,25.824213443975403,756.4,592.3,22.15,70.39
activate_star,97217,599,489,521454378,-,0,1026,94053,im,1,11AK,im_log_game_1,2,blast,5,0.0,14.47,586.7,495.85,36.21,22.16,29.185000000000002,23.9,21.7,22.799999999999997,23.9,32.28157369150395,580.8,504.7,11.63,53.21
activate_star,111733,684,200,521468899,-,0,1343,108569,im,1,11AK,im_log_game_1,4,blast,6,0.0,61.57,698.9,259.0,116.3,12.87,64.585,29.2,12.3,20.75,29.2,31.68485442605031,674.2,253.3,26.66,62.77
activate_star,125536,1276,193,521482698,-,0,1446,122372,im,1,11AK,im_log_game_1,18,blast,7,0.0,88.04,1217.6,258.55,2.29,14.98,8.635,6.0,15.3,10.65,15.3,16.434415109762806,1225.8,257.25,9.31,115.53
activate_star,139535,568,830,521496698,-,0,1621,136371,im,1,11AK,im_log_game_1,0,blast,8,0.0,36.29,554.5,796.5,1.88,12.4,7.140000000000001,6.4,13.9,10.15,13.9,15.302614155757833,583.2,824.75,40.38,67.61
activate_star,153098,1042,938,521510258,-,0,1798,149934,im,1,11AK,im_log_game_1,11,blast,9,0.0,28.46,1019.75,921.75,22.73,20.5,21.615000000000002,18.7,16.9,17.799999999999997,18.7,25.205158202241062,999.5,924.2,20.88,68.17
activate_star,166656,1249,935,521523818,-,0,1946,163492,im,1,11AK,im_log_game_1,16,blast,10,0.0,76.37,1195.8,879.65,53.39,180.44,116.91499999999999,25.4,42.6,34.0,42.6,49.5975805861536,1186.9,934.55,55.46,113.73
activate_star,9364,815,662,521545059,-,0,2079,178182,im,1,11AK,im_log_game_1,7,holiday_home,11,0.0,44.21,776.1,639.3,76.12,95.93,86.025,26.2,32.6,29.4,32.6,41.82343840479881,794.5,651.4,21.39,84.48
activate_star,33209,730,847,521568898,-,0,2283,202027,im,1,11AK,im_log_game_1,5,blast,12,0.0,18.25,713.75,855.0,2.62,12.47,7.545,6.4,13.5,9.95,13.5,14.940214188558341,731.85,838.85,24.47,57.37
activate_star,45543,969,918,521581218,-,0,2441,214361,im,1,11AK,im_log_game_1,9,blast,13,0.0,44.26,945.15,880.1,3.59,11.23,7.41,6.0,14.8,10.4,14.8,15.969971822141703,956.85,901.15,23.57,78.41
activate_star,59569,1269,700,521595258,-,0,2703,228387,im,1,11AK,im_log_game_1,17,holiday_home,14,0.0,65.55,1214.4,735.1,6.52,5.52,6.02,10.9,9.3,10.100000000000001,10.9,14.328293687665674,1216.85,739.65,5.72,99.96
activate_star,70448,1112,520,521606138,-,0,2703,239266,im,1,11AK,im_log_game_1,12,holiday_home,15,0.0,41.07,1073.9,535.3,4.95,4.92,4.9350000000000005,7.9,9.4,8.65,9.4,12.278843593759145,1088.5,543.7,17.5,79.25
activate_star,94444,602,591,521630138,-,0,2843,263262,im,1,11AK,im_log_game_1,3,blast,16,0.0,19.45,590.1,575.5,13.14,23.94,18.54,18.3,20.8,19.55,20.8,27.70433179125604,586.55,562.3,14.52,56.89
activate_star,107849,589,211,521643538,-,0,3033,276667,im,1,11AK,im_log_game_1,1,holiday_home,17,0.0,7.92,595.9,210.5,49.7,7.0,28.35,27.7,10.6,19.15,27.7,29.658894112896387,600.25,208.8,6.75,34.63
activate_star,132066,882,160,521667738,-,0,3236,300884,im,1,11AK,im_log_game_1,8,blast,18,0.0,34.28,872.6,192.3,19.78,14.22,17.0,14.4,15.2,14.8,15.2,20.938003725283842,867.6,184.85,9.87,56.14
activate_star,146161,1230,240,521681857,-,0,3375,314979,im,1,11AK,im_log_game_1,15,holiday_home,19,0.0,51.94,1207.0,286.4,0.95,2.77,1.8599999999999999,4.0,6.8,5.4,6.8,7.889233169326408,1209.05,275.0,11.86,75.02
activate_star,183122,1358,466,521718817,-,0,3540,351940,im,1,11AK,im_log_game_1,19,blast,20,0.0,45.09,1317.75,486.95,4.74,10.8,7.7700000000000005,7.4,12.8,10.100000000000001,12.8,14.785127662620976,1298.6,470.75,25.4,81.9
activate_star,197451,1269,700,521733137,-,0,3825,366269,im,1,11AK,im_log_game_1,17,blast,21,0.0,53.3,1216.9,711.35,9.76,14.06,11.91,11.4,13.8,12.600000000000001,13.8,17.899720668211557,1245.8,709.3,29.12,92.96
activate_star,4810,923,540,522107012,-,0,0,2028,im,2,11AK,im_log_game_2,8,holiday_home,1,,,,,,,,,,,,,,,,
activate_star,55406,658,636,522157612,-,0,0,52624,im,2,11AK,im_log_game_2,2,blast,2,0.0,44.43,614.5,640.75,22.0,28.91,25.455,16.3,23.8,20.05,23.8,28.846663585239803,610.45,617.7,24.73,82.69
activate_star,68809,784,800,522171012,-,0,275,66027,im,2,11AK,im_log_game_2,5,blast,3,0.0,56.54,738.4,767.6,3.55,12.81,8.18,8.5,14.3,11.4,14.3,16.635504200354134,746.6,768.2,8.95,82.72
activate_star,82565,1025,801,522184772,-,0,516,79783,im,2,11AK,im_log_game_2,11,blast,4,0.0,45.4,993.0,833.1,5.33,10.45,7.89,9.4,12.0,10.7,12.0,15.243359209832983,1004.1,826.55,13.33,82.82
