index,event,timestamp,pos_x,pos_y,res_timestamp,decision,earned_points,total_points,game_timestamp,condition,n_game,subject,filename,n_star,interaction_type,n,p_nan,deviation,gaze_pos_x,gaze_pos_y,var_x,var_y,var,range_x,range_y,range_mean,range_max,range,av_x,av_y,norm_dev,gaze_path
14599,activate_star,5736,1150,419,521362898,-,0,0,2572,im,1,11AK,im_log_game_1,13,holiday_home,1,,,,,,,,,,,,,,,,
14618,activate_star,31254,1215,666,521388418,-,0,230,28090,im,1,11AK,im_log_game_1,14,blast,2,0.0,85.36,1132.3,646.6,58.06,166.84,112.45,37.5,58.8,48.15,58.8,69.74016059631637,1145.1,646.9,18.65,2348.6
14632,activate_star,46014,1008,693,521403178,-,0,518,42850,im,1,11AK,im_log_game_1,10,holiday_home,3,5.2,68.01,945.75,677.25,74.18,447.29,260.735,30.2,86.5,58.35,86.5,91.62035799973717,949.3,671.0,18.34,
14656,activate_star,82376,772,620,521439538,-,0,829,79212,im,1,11AK,im_log_game_1,6,blast,4,0.0,31.13,747.1,603.8,197.77,52.33,125.05000000000001,58.3,31.8,45.05,58.3,66.40880965655084,728.7,610.7,19.65,2099.91
14670,activate_star,97217,599,489,521454378,-,0,1026,94053,im,1,11AK,im_log_game_1,2,blast,5,0.0,23.24,585.2,491.3,35.74,311.98,173.86,24.4,63.1,43.75,63.1,67.65330738404442,560.7,461.5,38.51,2147.23
14684,activate_star,111733,684,200,521468899,-,0,1343,108569,im,1,11AK,im_log_game_1,4,blast,6,0.0,49.38,679.45,248.7,104.67,221.42,163.045,30.3,60.4,45.35,60.4,67.57403347440494,662.1,240.25,30.01,1771.28
14698,activate_star,125536,1276,193,521482698,-,0,1446,122372,im,1,11AK,im_log_game_1,18,blast,7,0.0,83.06,1223.1,256.8,29.51,53.56,41.535000000000004,27.5,33.7,30.6,33.7,43.496436635660174,1215.1,253.3,11.61,1405.92
14711,activate_star,139535,568,830,521496698,-,0,1621,136371,im,1,11AK,im_log_game_1,0,blast,8,0.0,33.93,564.2,804.2,170.7,431.57,301.135,56.7,64.7,60.7,64.7,86.02894861614898,558.6,775.0,29.76,2064.77
14725,activate_star,153098,1042,938,521510258,-,0,1798,149934,im,1,11AK,im_log_game_1,11,blast,9,0.0,59.6,986.6,919.6,270.24,170.04,220.14,63.7,43.0,53.35,63.7,76.85499333159818,961.2,884.3,44.9,2169.24
14739,activate_star,166656,1249,935,521523818,-,0,1946,163492,im,1,11AK,im_log_game_1,16,blast,10,0.0,71.03,1182.6,919.7,36.04,321.49,178.76500000000001,26.4,69.0,47.7,69.0,73.87800755299239,1185.8,937.3,17.9,2037.5
