time_start,time_end,x_average,y_average,event,x_start,y_start,x_stop,y_stop,res_start,res_end,interaction_type,res_timestamp,condition,n_game,subject,filename,n_star,n
595614.0,595744.0,1037.6,433.4,fixation,,,,,521360771.0,521360901.0,holiday_home,521362898,im,1,11AK,im_log_game_1,13,1
595776.0,596738.0,1148.0,435.9,fixation,,,,,521360933.0,521361895.0,holiday_home,521362898,im,1,11AK,im_log_game_1,13,1
596756.0,598160.0,1091.2,424.9,fixation,,,,,521361913.0,521363317.0,holiday_home,521362898,im,1,11AK,im_log_game_1,13,1
595746.0,595774.0,,,saccade,1044.2,437.9,1130.5,413.6,521360903.0,521360931.0,holiday_home,521362898,im,1,11AK,im_log_game_1,13,1
596740.0,596754.0,,,saccade,1118.4,433.8,1121.7,455.7,521361897.0,521361911.0,holiday_home,521362898,im,1,11AK,im_log_game_1,13,1
621292.0,621424.0,1157.8,683.7,fixation,,,,,521386449.0,521386581.0,blast,521388418,im,1,11AK,im_log_game_1,14,2
621448.0,621508.0,1145.5,654.0,fixation,,,,,521386605.0,521386665.0,blast,521388418,im,1,11AK,im_log_game_1,14,2
621528.0,621808.0,1137.0,636.5,fixation,,,,,521386685.0,521386965.0,blast,521388418,im,1,11AK,im_log_game_1,14,2
621870.0,621946.0,1130.4,631.7,fixation,,,,,521387027.0,521387103.0,blast,521388418,im,1,11AK,im_log_game_1,14,2
622016.0,622428.0,1133.3,656.8,fixation,,,,,521387173.0,521387585.0,blast,521388418,im,1,11AK,im_log_game_1,14,2
622446.0,622870.0,1125.3,641.8,fixation,,,,,521387603.0,521388027.0,blast,521388418,im,1,11AK,im_log_game_1,14,2
622972.0,623000.0,1133.4,654.4,fixation,,,,,521388129.0,521388157.0,blast,521388418,im,1,11AK,im_log_game_1,14,2
623008.0,623150.0,1133.4,651.9,fixation,,,,,521388165.0,521388307.0,blast,521388418,im,1,11AK,im_log_game_1,14,2
623174.0,623204.0,1125.2,649.3,fixation,,,,,521388331.0,521388361.0,blast,521388418,im,1,11AK,im_log_game_1,14,2
623222.0,623412.0,1129.1,642.6,fixation,,,,,521388379.0,521388569.0,blast,521388418,im,1,11AK,im_log_game_1,14,2
621246.0,621290.0,,,saccade,1075.0,461.7,1153.3,684.8,521386403.0,521386447.0,blast,521388418,im,1,11AK,im_log_game_1,14,2
621426.0,621446.0,,,saccade,1157.6,680.2,1148.1,643.7,521386583.0,521386603.0,blast,521388418,im,1,11AK,im_log_game_1,14,2
621510.0,621526.0,,,saccade,1143.8,649.9,1143.5,647.0,521386667.0,521386683.0,blast,521388418,im,1,11AK,im_log_game_1,14,2
621810.0,621868.0,,,saccade,1127.0,631.3,1132.4,629.3,521386967.0,521387025.0,blast,521388418,im,1,11AK,im_log_game_1,14,2
621948.0,622014.0,,,saccade,1127.9,645.8,1129.3,642.1,521387105.0,521387171.0,blast,521388418,im,1,11AK,im_log_game_1,14,2
622430.0,622444.0,,,saccade,1126.0,651.2,1122.9,638.3,521387587.0,521387601.0,blast,521388418,im,1,11AK,im_log_game_1,14,2
622872.0,622970.0,,,saccade,1131.1,645.8,1135.7,657.5,521388029.0,521388127.0,blast,521388418,im,1,11AK,im_log_game_1,14,2
623002.0,623006.0,,,saccade,1131.1,643.2,1132.3,648.0,521388159.0,521388163.0,blast,521388418,im,1,11AK,im_log_game_1,14,2
623152.0,623172.0,,,saccade,1136.3,656.3,1117.9,649.6,521388309.0,521388329.0,blast,521388418,im,1,11AK,im_log_game_1,14,2
623206.0,623220.0,,,saccade,1127.2,640.4,1127.5,651.6,521388363.0,521388377.0,blast,521388418,im,1,11AK,im_log_game_1,14,2
636304.0,637536.0,951.7,688.3,fixation,,,,,521401461.0,521402693.0,holiday_home,521403178,im,1,11AK,im_log_game_1,10,3
637548.0,638414.0,945.2,667.2,fixation,,,,,521402705.0,521403571.0,holiday_home,521403178,im,1,11AK,im_log_game_1,10,3
635776.0,636302.0,,,saccade,919.4,649.2,941.1,669.2,521400933.0,521401459.0,holiday_home,521403178,im,1,11AK,im_log_game_1,10,3
