n_blast,n_outer,window,step,n_star,subject,filename,condition,n_game,pos_x,pos_y,p_nan,deviation,gaze_pos_x,gaze_pos_y,var_x,var_y,var,range_x,range_y,range_mean,range_max,range,gaze_path,av_x,av_y,norm_dev
7,3,500,activation,13,11AK,im_log_game_1,im,1,1150,419,,,,,,,,,,,,,,,,
7,3,1000,activation,13,11AK,im_log_game_1,im,1,1150,419,,,,,,,,,,,,,,,,
7,3,1500,activation,13,11AK,im_log_game_1,im,1,1150,419,,,,,,,,,,,,,,,,
7,3,2000,activation,13,11AK,im_log_game_1,im,1,1150,419,,,,,,,,,,,,,,,,
7,3,2500,blast,13,11AK,im_log_game_1,im,1,1150,419,,,,,,,,,,,,,,,,
7,3,3000,blast,13,11AK,im_log_game_1,im,1,1150,419,,,,,,,,,,,,,,,,
7,3,3500,blast,13,11AK,im_log_game_1,im,1,1150,419,,,,,,,,,,,,,,,,
7,3,4000,blast,13,11AK,im_log_game_1,im,1,1150,419,,,,,,,,,,,,,,,,
7,3,4500,blast,13,11AK,im_log_game_1,im,1,1150,419,,,,,,,,,,,,,,,,
7,3,5000,blast,13,11AK,im_log_game_1,im,1,1150,419,,,,,,,,,,,,,,,,
7,3,5500,blast,13,11AK,im_log_game_1,im,1,1150,419,,,,,,,,,,,,,,,,
7,3,6000,blast,13,11AK,im_log_game_1,im,1,1150,419,,,,,,,,,,,,,,,,
7,3,6500,blast,13,11AK,im_log_game_1,im,1,1150,419,,,,,,,,,,,,,,,,
7,3,7000,blast,13,11AK,im_log_game_1,im,1,1150,419,,,,,,,,,,,,,,,,
7,3,7500,blast,13,11AK,im_log_game_1,im,1,1150,419,,,,,,,,,,,,,,,,
7,3,8000,blast,13,11AK,im_log_game_1,im,1,1150,419,,,,,,,,,,,,,,,,
7,3,8500,blast,13,11AK,im_log_game_1,im,1,1150,419,,,,,,,,,,,,,,,,
7,3,9000,blast,13,11AK,im_log_game_1,im,1,1150,419,,,,,,,,,,,,,,,,
7,3,9500,overkill,13,11AK,im_log_game_1,im,1,1150,419,,,,,,,,,,,,,,,,
7,3,10000,overkill,13,11AK,im_log_game_1,im,1,1150,419,,,,,,,,,,,,,,,,
7,3,10500,overkill,13,11AK,im_log_game_1,im,1,1150,419,,,,,,,,,,,,,,,,
7,3,11000,overkill,13,11AK,im_log_game_1,im,1,1150,419,0.0,104.39,1046.7,435.75,8.65,44.8,26.724999999999998,13.0,24.1,18.55,24.1,27.382658746002004,237.18,,,
