event,timestamp,pos_x,pos_y,res_timestamp,decision,earned_points,total_points,game_timestamp,condition,n_game,subject,filename,n_star,interaction_type,n,p_nan,deviation,gaze_pos_x,gaze_pos_y,var_x,var_y,var,range_x,range_y,range_mean,range_max,range,av_x,av_y,norm_dev,norm_dev_2
activate_star,7504,958,388,700802505,-,0,1445,180132,im,1,13AU,im_log_game_2,5,holiday_home,1,,,,,,,,,,,,,,,,
activate_star,30108,1125,793,700825105,-,0,1445,202736,im,1,13AU,im_log_game_2,6,blast,2,0.0,36.0,1130.35,757.7,0.88,6.8,3.84,3.8,8.9,6.35,8.9,9.677293009927931,1121.7,755.75,9.28,82.98
activate_star,46447,1132,561,700841425,-,0,1602,219075,im,1,13AU,im_log_game_2,7,blast,3,0.0,66.15,1154.25,498.85,1.78,6.56,4.17,5.7,10.5,8.1,10.5,11.947384651043926,1145.7,502.35,9.42,113.69
activate_star,62825,1161,342,700857825,-,0,1832,235453,im,1,13AU,im_log_game_2,8,blast,4,0.0,57.91,1200.7,300.05,0.29,2.79,1.54,2.2,7.0,4.6,7.0,7.337574531137657,1195.6,301.15,5.62,104.42
activate_star,76262,807,674,700871265,-,0,1976,248890,im,1,13AU,im_log_game_2,4,blast,5,0.0,80.28,834.2,598.3,1.42,7.46,4.4399999999999995,5.9,10.8,8.350000000000001,10.8,12.306502346320826,836.9,619.65,21.66,127.77
activate_star,88706,774,925,700883705,-,0,2003,261334,im,1,13AU,im_log_game_2,2,holiday_home,6,0.0,69.68,800.6,860.6,0.12,3.38,1.75,1.3,7.0,4.15,7.0,7.119691004531025,799.8,860.35,1.6,117.31
activate_star,122068,561,748,700917065,-,0,1975,294696,im,1,13AU,im_log_game_2,0,holiday_home,7,0.0,94.22,583.45,656.55,3.08,3.36,3.2199999999999998,5.9,6.9,6.4,6.9,9.078546139112804,581.05,661.8,6.34,141.25
activate_star,147462,958,388,700942464,-,0,2054,320090,im,1,13AU,im_log_game_2,5,holiday_home,8,0.0,50.96,980.3,342.4,1.97,2.03,2.0,5.3,5.0,5.15,5.3,7.286288492778748,967.55,344.4,12.85,98.63
activate_star,167480,667,434,700962464,-,0,2054,340108,im,1,13AU,im_log_game_2,1,blast,9,0.0,37.62,694.7,409.1,7.74,0.52,4.13,7.8,2.8,5.3,7.8,8.287339742040265,697.5,400.2,9.49,83.76
activate_star,181185,958,388,700976184,-,0,2061,353813,im,1,13AU,im_log_game_2,5,blast,10,0.0,55.24,979.7,336.2,9.17,12.86,11.015,8.7,12.3,10.5,12.3,15.065855435387665,972.5,338.55,7.27,102.88
activate_star,193703,804,260,700988704,-,0,2067,366331,im,1,13AU,im_log_game_2,3,blast,11,0.0,41.09,832.4,230.5,0.15,3.52,1.835,1.5,6.7,4.1,6.7,6.865857557508749,839.5,214.2,17.62,87.67
activate_star,207183,1348,784,701002184,-,0,2045,379811,im,1,13AU,im_log_game_2,9,holiday_home,12,0.0,73.64,1388.9,722.9,2.76,1.07,1.915,6.6,4.5,5.55,6.6,7.988116173416608,1375.4,732.4,16.67,121.01
activate_star,6249,1011,601,701474540,-,0,0,3413,im,2,13AU,im_log_game_3,12,blast,1,,,,,,,,,,,,,,,,
activate_star,18850,833,705,701487140,-,0,140,16014,im,2,13AU,im_log_game_3,8,blast,2,,,,,,,,,,,,,,,,
activate_star,32411,1212,462,701500699,-,0,411,29575,im,2,13AU,im_log_game_3,17,holiday_home,3,0.0,42.08,1231.2,424.6,0.21,1.37,0.79,1.6,4.2,2.9000000000000004,4.2,4.494441010848846,1239.75,412.5,14.81,107.08
activate_star,66695,646,469,701534979,-,0,461,63859,im,2,13AU,im_log_game_3,4,blast,4,0.0,78.84,690.9,404.0,0.18,7.03,3.605,1.5,10.4,5.95,10.4,10.507616285342742,694.0,414.2,10.79,144.13
activate_star,80170,925,213,701548459,-,0,569,77334,im,2,13AU,im_log_game_3,10,blast,5,0.0,29.36,949.9,197.4,0.88,1.65,1.265,3.7,4.5,4.1,4.5,5.825804665451804,951.7,190.3,7.3,93.2
activate_star,94509,576,868,701562779,-,0,611,91673,im,2,13AU,im_log_game_3,1,blast,6,0.0,58.71,606.9,818.1,0.62,4.6,2.61,2.9,7.6,5.25,7.6,8.1344944526381,612.3,828.7,11.85,123.95
activate_star,115848,1089,913,701584139,-,0,733,113012,im,2,13AU,im_log_game_3,15,blast,7,0.0,65.12,1118.0,854.8,0.46,8.0,4.23,3.0,12.5,7.75,12.5,12.854960132182441,1118.0,885.3,30.53,129.89
activate_star,132090,1245,212,701600379,-,0,685,129254,im,2,13AU,im_log_game_3,18,blast,8,0.0,30.01,1267.85,192.2,15.69,0.44,8.065,12.2,2.6,7.3999999999999995,12.2,12.47397290361014,1291.1,207.35,27.84,94.83
activate_star,146609,565,654,701614899,-,0,738,143773,im,2,13AU,im_log_game_3,0,blast,9,0.0,54.62,611.45,625.3,0.32,0.92,0.62,2.2,3.8,3.0,3.8,4.39089968002003,611.8,620.1,5.21,117.68
activate_star,162956,674,226,701631219,-,0,787,160120,im,2,13AU,im_log_game_3,5,blast,10,0.0,55.38,711.0,184.95,0.62,0.64,0.63,2.8,3.3,3.05,3.3,4.32781700167648,703.4,186.5,7.74,120.49
activate_star,9934,907,388,701652059,-,0,766,175173,im,2,13AU,im_log_game_3,9,blast,11,0.0,40.67,944.1,371.3,0.56,0.79,0.675,2.9,3.5,3.2,3.5,4.545327270945404,942.85,359.75,11.67,102.63
activate_star,24648,1301,210,701666779,-,0,1081,189887,im,2,13AU,im_log_game_3,19,holiday_home,12,0.0,17.71,1317.85,205.45,16.56,2.08,9.32,12.4,5.5,8.95,12.4,13.565028566132842,1322.7,183.45,22.49,79.94
activate_star,54768,1070,511,701696899,-,0,1306,220007,im,2,13AU,im_log_game_3,13,blast,13,0.0,80.65,1119.9,447.6,0.81,1.76,1.2850000000000001,3.7,5.3,4.5,5.3,6.463745044476925,1106.2,462.9,20.55,145.92
activate_star,68530,705,172,701710659,-,0,1386,233769,im,2,13AU,im_log_game_3,6,blast,14,0.0,39.76,743.15,161.9,5.98,28.54,17.259999999999998,8.4,16.2,12.3,16.2,18.24828759089466,742.05,160.95,6.0,99.49
activate_star,83491,775,594,701725619,-,0,1499,248730,im,2,13AU,im_log_game_3,7,holiday_home,15,0.0,47.11,816.6,571.9,7.84,0.3,4.07,9.4,2.2,5.800000000000001,9.4,9.654014708917737,808.4,562.45,12.46,109.66
activate_star,107411,640,847,701749539,-,0,1504,272650,im,2,13AU,im_log_game_3,3,blast,16,0.0,89.49,680.7,769.6,46.82,2.01,24.415,23.1,5.4,14.25,23.1,23.722773868163056,684.5,785.95,18.28,154.38
activate_star,119933,1194,684,701762058,-,0,1653,285172,im,2,13AU,im_log_game_3,16,holiday_home,17,0.0,41.78,1206.5,644.5,3.02,1.19,2.105,5.7,4.1,4.9,5.7,7.021395872616783,1216.2,660.0,18.07,106.0
activate_star,158808,590,344,701800939,-,0,1700,324047,im,2,13AU,im_log_game_3,2,blast,18,0.0,43.9,631.6,329.9,0.33,4.08,2.205,2.2,7.3,4.75,7.3,7.624303246854758,633.7,318.3,11.91,104.08
activate_star,197569,1087,199,701839698,-,0,1679,362808,im,2,13AU,im_log_game_3,14,blast,19,0.0,54.2,1097.95,145.7,3.24,2.4,2.8200000000000003,4.8,6.1,5.449999999999999,6.1,7.762087348130011,1112.9,190.05,47.1,116.68
activate_star,245171,1006,940,701887298,-,0,1830,410410,im,2,13AU,im_log_game_3,11,holiday_home,20,0.0,89.19,1023.35,852.5,0.28,1.09,0.685,1.8,3.9,2.85,3.9,4.295346318982906,1023.7,847.3,5.26,151.05
activate_star,6249,1011,601,701474540,-,0,0,3413,im,2,13AU,im_log_game_3,12,blast,1,,,,,,,,,,,,,,,,
activate_star,18850,833,705,701487140,-,0,140,16014,im,2,13AU,im_log_game_3,8,blast,2,,,,,,,,,,,,,,,,
activate_star,32411,1212,462,701500699,-,0,411,29575,im,2,13AU,im_log_game_3,17,holiday_home,3,0.0,42.08,1231.2,424.6,0.21,1.37,0.79,1.6,4.2,2.9000000000000004,4.2,4.494441010848846,1239.75,412.5,14.81,107.08
activate_star,66695,646,469,701534979,-,0,461,63859,im,2,13AU,im_log_game_3,4,blast,4,0.0,78.84,690.9,404.0,0.18,7.03,3.605,1.5,10.4,5.95,10.4,10.507616285342742,694.0,414.2,10.79,144.13
activate_star,80170,925,213,701548459,-,0,569,77334,im,2,13AU,im_log_game_3,10,blast,5,0.0,29.36,949.9,197.4,0.88,1.65,1.265,3.7,4.5,4.1,4.5,5.825804665451804,951.7,190.3,7.3,93.2
activate_star,94509,576,868,701562779,-,0,611,91673,im,2,13AU,im_log_game_3,1,blast,6,0.0,58.71,606.9,818.1,0.62,4.6,2.61,2.9,7.6,5.25,7.6,8.1344944526381,612.3,828.7,11.85,123.95
activate_star,115848,1089,913,701584139,-,0,733,113012,im,2,13AU,im_log_game_3,15,blast,7,0.0,65.12,1118.0,854.8,0.46,8.0,4.23,3.0,12.5,7.75,12.5,12.854960132182441,1118.0,885.3,30.53,129.89
activate_star,132090,1245,212,701600379,-,0,685,129254,im,2,13AU,im_log_game_3,18,blast,8,0.0,30.01,1267.85,192.2,15.69,0.44,8.065,12.2,2.6,7.3999999999999995,12.2,12.47397290361014,1291.1,207.35,27.84,94.83
activate_star,146609,565,654,701614899,-,0,738,143773,im,2,13AU,im_log_game_3,0,blast,9,0.0,54.62,611.45,625.3,0.32,0.92,0.62,2.2,3.8,3.0,3.8,4.39089968002003,611.8,620.1,5.21,117.68
activate_star,162956,674,226,701631219,-,0,787,160120,im,2,13AU,im_log_game_3,5,blast,10,0.0,55.38,711.0,184.95,0.62,0.64,0.63,2.8,3.3,3.05,3.3,4.32781700167648,703.4,186.5,7.74,120.49
activate_star,9934,907,388,701652059,-,0,766,175173,im,2,13AU,im_log_game_3,9,blast,11,0.0,40.67,944.1,371.3,0.56,0.79,0.675,2.9,3.5,3.2,3.5,4.545327270945404,942.85,359.75,11.67,102.63
activate_star,24648,1301,210,701666779,-,0,1081,189887,im,2,13AU,im_log_game_3,19,holiday_home,12,0.0,17.71,1317.85,205.45,16.56,2.08,9.32,12.4,5.5,8.95,12.4,13.565028566132842,1322.7,183.45,22.49,79.94
activate_star,54768,1070,511,701696899,-,0,1306,220007,im,2,13AU,im_log_game_3,13,blast,13,0.0,80.65,1119.9,447.6,0.81,1.76,1.2850000000000001,3.7,5.3,4.5,5.3,6.463745044476925,1106.2,462.9,20.55,145.92
activate_star,68530,705,172,701710659,-,0,1386,233769,im,2,13AU,im_log_game_3,6,blast,14,0.0,39.76,743.15,161.9,5.98,28.54,17.259999999999998,8.4,16.2,12.3,16.2,18.24828759089466,742.05,160.95,6.0,99.49
activate_star,83491,775,594,701725619,-,0,1499,248730,im,2,13AU,im_log_game_3,7,holiday_home,15,0.0,47.11,816.6,571.9,7.84,0.3,4.07,9.4,2.2,5.800000000000001,9.4,9.654014708917737,808.4,562.45,12.46,109.66
activate_star,107411,640,847,701749539,-,0,1504,272650,im,2,13AU,im_log_game_3,3,blast,16,0.0,89.49,680.7,769.6,46.82,2.01,24.415,23.1,5.4,14.25,23.1,23.722773868163056,684.5,785.95,18.28,154.38
activate_star,119933,1194,684,701762058,-,0,1653,285172,im,2,13AU,im_log_game_3,16,holiday_home,17,0.0,41.78,1206.5,644.5,3.02,1.19,2.105,5.7,4.1,4.9,5.7,7.021395872616783,1216.2,660.0,18.07,106.0
activate_star,158808,590,344,701800939,-,0,1700,324047,im,2,13AU,im_log_game_3,2,blast,18,0.0,43.9,631.6,329.9,0.33,4.08,2.205,2.2,7.3,4.75,7.3,7.624303246854758,633.7,318.3,11.91,104.08
activate_star,197569,1087,199,701839698,-,0,1679,362808,im,2,13AU,im_log_game_3,14,blast,19,0.0,54.2,1097.95,145.7,3.24,2.4,2.8200000000000003,4.8,6.1,5.449999999999999,6.1,7.762087348130011,1112.9,190.05,47.1,116.68
activate_star,245171,1006,940,701887298,-,0,1830,410410,im,2,13AU,im_log_game_3,11,holiday_home,20,0.0,89.19,1023.35,852.5,0.28,1.09,0.685,1.8,3.9,2.85,3.9,4.295346318982906,1023.7,847.3,5.26,151.05
activate_star,5234,940,639,694407984,-,0,0,2459,qm,1,13AU,qm_log_game_1,8,holiday_home,1,,,,,,,,,,,,,,,,
activate_star,16996,1103,869,694419744,-,0,0,14221,qm,1,13AU,qm_log_game_1,12,blast,2,,,,,,,,,,,,,,,,
activate_star,30679,1294,195,694433424,-,0,108,27904,qm,1,13AU,qm_log_game_1,15,holiday_home,3,0.0,45.51,1292.5,240.5,1.11,3.1,2.105,4.4,7.2,5.800000000000001,7.2,8.438009243891594,1299.5,229.9,12.61,37.46
activate_star,42720,940,639,694445464,-,0,108,39945,qm,1,13AU,qm_log_game_1,8,holiday_home,4,0.0,20.65,952.6,622.55,10.53,25.67,18.1,10.0,18.2,14.1,18.2,20.766318884193222,972.9,636.7,24.71,56.3
activate_star,66641,672,845,694469384,-,0,134,63866,qm,1,13AU,qm_log_game_1,2,blast,5,0.0,27.61,694.55,829.5,1.63,9.05,5.34,5.5,11.5,8.5,11.5,12.747548783981962,704.65,815.3,17.39,64.71
activate_star,79636,1294,195,694482384,-,0,138,76861,qm,1,13AU,qm_log_game_1,15,holiday_home,6,0.0,15.61,1306.3,204.8,1.02,7.01,4.015,4.2,11.8,8.0,11.8,12.52517464948094,1311.7,209.65,7.73,44.44
activate_star,102878,1161,591,694505624,-,0,138,100103,qm,1,13AU,qm_log_game_1,13,blast,7,0.0,24.53,1178.75,573.65,0.53,3.56,2.045,3.3,7.4,5.35,7.4,8.10246875958186,1183.1,575.4,5.1,61.5
activate_star,116205,1301,926,694518944,-,0,182,113430,qm,1,13AU,qm_log_game_1,16,blast,8,0.0,54.5,1332.5,880.9,2.41,13.86,8.135,5.7,13.6,9.65,13.6,14.746185947559457,1325.6,866.65,15.17,90.56
activate_star,131878,1294,195,694534624,-,0,91,129103,qm,1,13AU,qm_log_game_1,15,holiday_home,9,0.0,28.01,1311.85,172.35,9.43,132.68,71.055,11.8,37.4,24.6,37.4,39.21734310225516,1304.85,155.0,18.91,64.25
activate_star,143443,712,603,694546184,-,0,91,140668,qm,1,13AU,qm_log_game_1,4,blast,10,0.0,59.45,733.05,547.1,0.96,6.69,3.825,3.9,10.4,7.15,10.4,11.10720486891279,729.05,549.5,4.83,92.65
activate_star,156356,1294,195,694559104,-,0,238,153581,qm,1,13AU,qm_log_game_1,15,holiday_home,11,0.0,41.09,1298.6,154.3,0.97,10.92,5.945,4.6,12.9,8.75,12.9,13.695619737711763,1296.7,155.55,3.91,71.54
