index,event,timestamp,pos_x,pos_y,res_timestamp,decision,earned_points,total_points,game_timestamp,condition,n_game,subject,filename,n_star,interaction_type,n,p_nan,deviation,gaze_pos_x,gaze_pos_y,var_x,var_y,var,range_x,range_y,range_mean,range_max,range,av_x,av_y,norm_dev,gaze_path
16571,activate_star,5145,1001,934,700061303,-,0,0,3005,im,1,13AU,im_log_game_1,4,blast,1,,,,,,,,,,,,,,,,
16584,activate_star,17789,1317,933,700073943,-,0,286,15649,im,1,13AU,im_log_game_1,7,blast,2,,,,,,,,,,,,,,,,
16597,activate_star,31987,1318,327,700088143,-,0,588,29847,im,1,13AU,im_log_game_1,8,blast,3,0.0,44.53,1337.8,290.6,340.94,14.3,177.62,54.5,15.5,35.0,54.5,56.66127425323225,1356.3,297.2,21.41,1061.78
16610,activate_star,46105,1338,578,700102263,-,0,828,43965,im,1,13AU,im_log_game_1,9,blast,4,0.0,49.44,1369.0,543.2,68.47,103.76,86.11500000000001,41.5,42.1,41.8,42.1,59.1156493663057,1380.3,554.4,19.26,969.59
16624,activate_star,60748,1065,688,700116902,-,0,1034,58608,im,1,13AU,im_log_game_1,5,blast,5,0.0,59.46,1109.1,647.9,86.91,71.15,79.03,34.4,35.1,34.75,35.1,49.14641390783258,1101.6,640.7,15.9,991.71
16637,activate_star,74384,566,933,700130543,-,0,1172,72244,im,1,13AU,im_log_game_1,0,holiday_home,6,0.0,51.92,615.5,944.1,64.67,171.13,117.9,49.4,51.5,50.45,51.5,71.36252517953663,612.7,925.6,18.63,1047.37
16655,activate_star,98785,839,677,700154942,-,0,1199,96645,im,1,13AU,im_log_game_1,3,blast,7,0.0,22.87,858.8,662.3,207.43,88.01,147.72,63.3,40.1,51.7,63.3,74.9326364143155,865.8,671.8,15.97,971.09
16668,activate_star,113105,1144,214,700169265,-,0,1205,110965,im,1,13AU,im_log_game_1,6,holiday_home,8,2.9000000000000004,23.84,1165.0,210.9,74.85,163.69,119.27,35.4,66.9,51.150000000000006,66.9,75.68863851331982,1180.7,206.2,20.34,
16676,activate_star,133988,759,287,700190142,-,0,1205,131848,im,1,13AU,im_log_game_1,2,blast,9,0.0,58.96,781.1,234.5,127.04,130.08,128.56,50.0,68.4,59.2,68.4,84.72638314008218,768.2,209.7,30.38,1118.98
16691,activate_star,147305,620,598,700203462,-,0,1248,145165,im,1,13AU,im_log_game_1,1,blast,10,0.0,18.62,626.7,583.4,260.57,216.98,238.77499999999998,68.9,51.1,60.0,68.9,85.78123337886908,665.5,557.8,48.66,1221.53
