n_blast,n_outer,window,step,n_star,subject,filename,condition,n_game,pos_x,pos_y,p_nan,deviation,gaze_pos_x,gaze_pos_y,var_x,var_y,var,range_x,range_y,range_mean,range_max,range,gaze_path,av_x,av_y,norm_dev
7,1,500,activation,4,13AU,im_log_game_1,im,1,1001,934,,,,,,,,,,,,,,,,
7,1,1000,activation,4,13AU,im_log_game_1,im,1,1001,934,,,,,,,,,,,,,,,,
7,1,1500,activation,4,13AU,im_log_game_1,im,1,1001,934,,,,,,,,,,,,,,,,
7,1,2000,activation,4,13AU,im_log_game_1,im,1,1001,934,,,,,,,,,,,,,,,,
7,1,2500,blast,4,13AU,im_log_game_1,im,1,1001,934,,,,,,,,,,,,,,,,
7,1,3000,blast,4,13AU,im_log_game_1,im,1,1001,934,,,,,,,,,,,,,,,,
7,1,3500,blast,4,13AU,im_log_game_1,im,1,1001,934,,,,,,,,,,,,,,,,
7,1,4000,blast,4,13AU,im_log_game_1,im,1,1001,934,,,,,,,,,,,,,,,,
7,1,4500,blast,4,13AU,im_log_game_1,im,1,1001,934,,,,,,,,,,,,,,,,
7,1,5000,blast,4,13AU,im_log_game_1,im,1,1001,934,,,,,,,,,,,,,,,,
7,1,5500,blast,4,13AU,im_log_game_1,im,1,1001,934,,,,,,,,,,,,,,,,
7,1,6000,blast,4,13AU,im_log_game_1,im,1,1001,934,,,,,,,,,,,,,,,,
7,1,6500,blast,4,13AU,im_log_game_1,im,1,1001,934,,,,,,,,,,,,,,,,
7,1,7000,blast,4,13AU,im_log_game_1,im,1,1001,934,,,,,,,,,,,,,,,,
7,1,7500,blast,4,13AU,im_log_game_1,im,1,1001,934,,,,,,,,,,,,,,,,
7,1,8000,blast,4,13AU,im_log_game_1,im,1,1001,934,,,,,,,,,,,,,,,,
7,1,8500,blast,4,13AU,im_log_game_1,im,1,1001,934,,,,,,,,,,,,,,,,
7,1,9000,blast,4,13AU,im_log_game_1,im,1,1001,934,,,,,,,,,,,,,,,,
7,1,9500,overkill,4,13AU,im_log_game_1,im,1,1001,934,,,,,,,,,,,,,,,,
7,1,10000,overkill,4,13AU,im_log_game_1,im,1,1001,934,,,,,,,,,,,,,,,,
8,1,500,activation,7,13AU,im_log_game_1,im,1,1317,933,,,,,,,,,,,,,,,,
8,1,1000,activation,7,13AU,im_log_game_1,im,1,1317,933,,,,,,,,,,,,,,,,
8,1,1500,activation,7,13AU,im_log_game_1,im,1,1317,933,,,,,,,,,,,,,,,,
8,1,2000,activation,7,13AU,im_log_game_1,im,1,1317,933,,,,,,,,,,,,,,,,
8,1,2500,blast,7,13AU,im_log_game_1,im,1,1317,933,,,,,,,,,,,,,,,,
8,1,3000,blast,7,13AU,im_log_game_1,im,1,1317,933,,,,,,,,,,,,,,,,
8,1,3500,blast,7,13AU,im_log_game_1,im,1,1317,933,,,,,,,,,,,,,,,,
8,1,4000,blast,7,13AU,im_log_game_1,im,1,1317,933,,,,,,,,,,,,,,,,
8,1,4500,blast,7,13AU,im_log_game_1,im,1,1317,933,,,,,,,,,,,,,,,,
8,1,5000,blast,7,13AU,im_log_game_1,im,1,1317,933,,,,,,,,,,,,,,,,
8,1,5500,blast,7,13AU,im_log_game_1,im,1,1317,933,,,,,,,,,,,,,,,,
8,1,6000,blast,7,13AU,im_log_game_1,im,1,1317,933,,,,,,,,,,,,,,,,
8,1,6500,blast,7,13AU,im_log_game_1,im,1,1317,933,,,,,,,,,,,,,,,,
8,1,7000,blast,7,13AU,im_log_game_1,im,1,1317,933,,,,,,,,,,,,,,,,
8,1,7500,blast,7,13AU,im_log_game_1,im,1,1317,933,,,,,,,,,,,,,,,,
8,1,8000,blast,7,13AU,im_log_game_1,im,1,1317,933,,,,,,,,,,,,,,,,
8,1,8500,blast,7,13AU,im_log_game_1,im,1,1317,933,,,,,,,,,,,,,,,,
8,1,9000,blast,7,13AU,im_log_game_1,im,1,1317,933,,,,,,,,,,,,,,,,
8,1,9500,blast,7,13AU,im_log_game_1,im,1,1317,933,70.86956521739131,82.32,1339.1,854.3,41.3,13.24,27.27,17.9,12.7,15.299999999999999,17.9,21.94766502386985,,,,
8,1,10000,blast,7,13AU,im_log_game_1,im,1,1317,933,0.0,93.41,1408.5,924.6,1607.53,1842.23,1724.88,96.7,104.0,100.35,104.0,142.010175691744,379.48,,,
8,1,10500,overkill,7,13AU,im_log_game_1,im,1,1317,933,0.0,93.58,1408.1,909.1,823.89,681.6,752.745,80.2,80.1,80.15,80.2,113.34923907993384,335.8,,,
