index,event,timestamp,pos_x,pos_y,res_timestamp,decision,earned_points,total_points,game_timestamp,condition,n_game,subject,filename,n_star,interaction_type,n,p_nan,deviation,gaze_pos_x,gaze_pos_y,var_x,var_y,var,range_x,range_y,range_mean,range_max,range,av_x,av_y,norm_dev,gaze_path
18702,activate_star,7958,1213,826,759814657,-,0,0,5739,im,1,14BE,im_log_game_1,14,holiday_home,1,,,,,,,,,,,,,,,,
18734,activate_star,58596,693,476,759865296,-,0,212,56377,im,1,14BE,im_log_game_1,4,blast,2,0.0,20.49,700.0,470.4,383.26,92.66,237.95999999999998,72.4,43.2,57.800000000000004,72.4,84.30895563343198,713.0,472.6,13.99,1419.07
18754,activate_star,77833,957,801,759884537,-,0,402,75614,im,1,14BE,im_log_game_1,9,blast,3,0.0,80.1,982.7,727.4,55.12,241.22,148.17,26.9,54.7,40.8,54.7,60.95654189666602,983.1,732.4,17.1,2179.34
18769,activate_star,93633,1116,367,759900336,-,0,719,91414,im,1,14BE,im_log_game_1,12,holiday_home,4,0.0,27.09,1138.9,367.8,83.73,126.58,105.155,37.5,39.2,38.35,39.2,54.24841011495176,1139.6,376.8,14.97,1460.48
18796,activate_star,140031,1058,609,759946736,-,0,922,137812,im,1,14BE,im_log_game_1,10,holiday_home,5,0.0,12.72,1067.5,604.3,81.14,36.22,58.68,36.1,26.5,31.3,36.1,44.78236259957708,1075.8,599.2,13.67,1536.51
18815,activate_star,164556,1310,643,759971256,-,0,1053,162337,im,1,14BE,im_log_game_1,17,holiday_home,6,0.0,29.74,1310.1,671.6,43.99,75.62,59.80500000000001,22.9,38.8,30.849999999999998,38.8,45.0538566606678,1308.4,662.7,12.78,1407.12
18832,activate_star,189114,1348,430,759995816,-,0,1273,186895,im,1,14BE,im_log_game_1,19,holiday_home,7,0.0,13.61,1336.2,431.3,48.47,55.1,51.785,26.8,26.7,26.75,26.8,37.83027887816848,1343.7,430.6,10.75,1263.48
18851,activate_star,213914,1272,210,760020616,-,0,1502,211695,im,1,14BE,im_log_game_1,15,holiday_home,8,0.0,10.76,1274.3,203.7,107.8,77.09,92.445,49.6,38.0,43.8,49.6,62.4832777629343,1264.1,195.8,16.82,1334.37
18870,activate_star,238474,634,934,760045176,-,0,1623,236255,im,1,14BE,im_log_game_1,2,blast,9,0.0,30.8,660.7,949.5,159.01,174.04,166.52499999999998,58.2,42.5,50.35,58.2,72.06587264440776,648.0,938.1,20.76,1577.38
18886,activate_star,253350,831,326,760060056,-,0,1841,251131,im,1,14BE,im_log_game_1,6,blast,10,0.0,22.01,839.2,306.4,28.1,183.04,105.57,20.1,42.7,31.400000000000002,42.7,47.19427931434063,847.5,317.7,13.95,1225.09
18901,activate_star,8454,615,696,760079376,-,0,2056,267031,im,1,14BE,im_log_game_1,0,blast,11,0.0,25.29,637.5,692.4,113.76,131.39,122.57499999999999,48.5,59.8,54.15,59.8,76.99538947235736,632.9,676.6,16.73,1875.89
18918,activate_star,24903,866,745,760095816,-,0,2257,283480,im,1,14BE,im_log_game_1,7,holiday_home,12,0.0,24.14,868.5,721.6,33.3,65.44,49.37,22.2,29.0,25.6,29.0,36.52177432710519,865.7,738.8,18.34,1547.98
18939,activate_star,59455,713,936,760130375,-,0,2542,318032,im,1,14BE,im_log_game_1,5,blast,13,0.0,40.73,741.4,907.3,40.02,417.77,228.89499999999998,22.2,66.7,44.45,66.7,70.29743949817802,750.3,853.0,55.94,1862.45
18954,activate_star,75415,680,498,760146335,-,0,2764,333992,im,1,14BE,im_log_game_1,3,holiday_home,14,0.0,36.81,695.8,463.9,30.23,239.47,134.85,28.3,47.4,37.85,47.4,55.205525085810024,687.3,447.1,20.74,1578.01
18973,activate_star,100140,1085,742,760171055,-,0,3008,358717,im,1,14BE,im_log_game_1,11,blast,15,0.0,37.35,1083.6,704.8,34.04,177.64,105.83999999999999,20.7,59.7,40.2,59.7,63.18686572381954,1075.3,684.3,22.38,1648.28
18986,activate_star,114175,1315,377,760185095,-,0,3258,372752,im,1,14BE,im_log_game_1,18,blast,16,0.0,18.12,1313.7,393.1,38.38,29.86,34.120000000000005,23.0,21.1,22.05,23.0,31.21233730434169,1312.65,390.5,8.7,1161.73
19001,activate_star,127658,1280,638,760198576,-,0,3301,386235,im,1,14BE,im_log_game_1,16,holiday_home,17,0.0,17.4,1265.6,626.1,35.95,87.94,61.945,23.2,33.7,28.450000000000003,33.7,40.913689640510306,1265.65,635.15,12.03,1512.07
19020,activate_star,151702,1186,156,760222615,-,0,3403,410279,im,1,14BE,im_log_game_1,13,blast,18,0.0,31.17,1176.5,126.1,7.53,83.56,45.545,11.6,34.0,22.8,34.0,35.92436499090833,1171.25,144.95,19.89,1049.93
19035,activate_star,164655,625,284,760235576,-,0,3547,423232,im,1,14BE,im_log_game_1,1,blast,19,4.5,38.36,629.5,247.8,107.35,620.24,363.795,53.4,368.4,210.89999999999998,368.4,372.2500772330343,652.2,237.9,28.22,
19051,activate_star,181336,931,385,760252255,-,0,3640,439913,im,1,14BE,im_log_game_1,8,holiday_home,20,0.0,28.43,947.6,363.8,50.02,90.71,70.365,27.7,35.7,31.700000000000003,35.7,45.18605979724278,956.7,384.2,21.83,1370.47
19070,activate_star,4034,974,557,760478216,-,0,0,2211,im,2,14BE,im_log_game_2,8,holiday_home,1,,,,,,,,,,,,,,,,
19089,activate_star,29920,724,590,760504096,-,0,349,28097,im,2,14BE,im_log_game_2,4,blast,2,0.0,77.34,744.65,515.3,12.38,107.2,59.79,14.6,43.2,28.900000000000002,43.2,45.60043859438196,752.7,520.5,12.2,1746.03
