n_blast,n_outer,window,step,n_star,subject,filename,condition,n_game,pos_x,pos_y,p_nan,deviation,gaze_pos_x,gaze_pos_y,var_x,var_y,var,range_x,range_y,range_mean,range_max,range,gaze_path,av_x,av_y,norm_dev
8,4,500,activation,14,14BE,im_log_game_1,im,1,1213,826,0.0,33.11,1186.1,841.0,18.73,52.94,35.835,15.6,28.5,22.05,28.5,32.49015235421342,534.77,1196.6,807.3,36.07
8,4,1000,activation,14,14BE,im_log_game_1,im,1,1213,826,0.0,47.59,1166.1,832.6,18.21,56.06,37.135000000000005,20.8,29.7,25.25,29.7,36.25920572764936,592.72,1196.6,807.3,40.39
8,4,1500,activation,14,14BE,im_log_game_1,im,1,1213,826,0.0,69.07,1167.4,772.8,65.15,393.28,229.21499999999997,38.9,64.0,51.45,64.0,74.89465935565767,672.04,1196.6,807.3,44.22
8,4,2000,activation,14,14BE,im_log_game_1,im,1,1213,826,0.0,31.18,1190.6,803.8,5.03,31.81,18.419999999999998,9.7,23.9,16.799999999999997,23.9,25.793410011086163,505.97,1196.6,807.3,8.45
8,4,2500,blast,14,14BE,im_log_game_1,im,1,1213,826,0.0,27.16,1197.0,804.2,2.39,38.52,20.455000000000002,6.4,24.5,15.45,24.5,25.32212471338059,530.89,1196.6,807.3,6.04
8,4,3000,blast,14,14BE,im_log_game_1,im,1,1213,826,0.0,28.12,1201.2,801.0,3.78,19.64,11.71,8.0,20.9,14.45,20.9,22.378784596130327,554.23,1196.6,807.3,8.28
8,4,3500,blast,14,14BE,im_log_game_1,im,1,1213,826,0.0,34.53,1194.7,796.85,11.99,39.82,25.905,13.1,27.7,20.4,27.7,30.641475160311717,603.74,1196.6,807.3,11.03
8,4,4000,blast,14,14BE,im_log_game_1,im,1,1213,826,0.0,57.53,1190.7,773.0,3.16,50.65,26.905,6.8,31.0,18.9,31.0,31.737044600907627,636.69,1196.6,807.3,34.88
8,4,4500,blast,14,14BE,im_log_game_1,im,1,1213,826,0.0,38.23,1195.6,791.7,1.64,30.02,15.83,4.9,26.8,15.850000000000001,26.8,27.244265451650556,547.18,1196.6,807.3,15.65
8,4,5000,blast,14,14BE,im_log_game_1,im,1,1213,826,0.0,44.67,1195.7,784.7,3.34,52.46,27.9,7.4,28.3,17.85,28.3,29.251495688254984,502.87,1196.6,807.3,22.86
8,4,5500,blast,14,14BE,im_log_game_1,im,1,1213,826,0.0,37.64,1198.5,791.5,3.31,61.55,32.43,7.4,30.7,19.05,30.7,31.579265349276255,491.52,1196.6,807.3,16.06
8,4,6000,blast,14,14BE,im_log_game_1,im,1,1213,826,0.0,39.2,1201.3,789.1,3.35,59.33,31.34,6.8,29.8,18.3,29.8,30.56599417653547,605.03,1196.6,807.3,19.41
8,4,6500,blast,14,14BE,im_log_game_1,im,1,1213,826,0.0,39.29,1206.1,787.3,4.24,19.98,12.11,7.6,17.6,12.600000000000001,17.6,19.170811146114815,554.19,1196.6,807.3,22.41
8,4,7000,blast,14,14BE,im_log_game_1,im,1,1213,826,0.0,49.64,1212.6,776.4,5.01,26.68,15.844999999999999,8.8,21.7,15.25,21.7,23.41644721130855,566.26,1196.6,807.3,34.84
8,4,7500,blast,14,14BE,im_log_game_1,im,1,1213,826,0.0,38.69,1221.5,789.1,54.09,22.7,38.395,25.8,21.4,23.6,25.8,33.52014319778482,549.41,1196.6,807.3,30.35
