event,timestamp,pos_x,pos_y,res_timestamp,decision,earned_points,total_points,game_timestamp,condition,n_game,subject,filename,n_star,interaction_type,n,p_nan,deviation,gaze_pos_x,gaze_pos_y,var_x,var_y,var,range_x,range_y,range_mean,range_max,range,av_x,av_y,norm_dev,norm_dev_2
activate_star,5389,1008,598,91153319,-,0,0,2636,im,1,15AZ,im_log_game_1,11,blast,1,,,,,,,,,,,,,,,,
activate_star,19784,989,271,91167719,-,0,-87,17031,im,1,15AZ,im_log_game_1,10,holiday_home,2,,,,,,,,,,,,,,,,
activate_star,44748,648,160,91192679,-,0,16,41995,im,1,15AZ,im_log_game_1,4,blast,3,0.0,4.74,652.5,161.7,5.12,1.74,3.43,7.3,5.5,6.4,7.3,9.140021881811881,648.9,163.15,4.38,25.67
activate_star,60503,1202,781,91208439,-,0,128,57750,im,1,15AZ,im_log_game_1,15,holiday_home,4,0.0,25.7,1198.15,755.7,1.49,8.61,5.05,4.9,12.0,8.45,12.0,12.961867149450343,1209.05,764.5,14.37,42.76
activate_star,85868,849,897,91233799,-,0,50,83115,im,1,15AZ,im_log_game_1,7,blast,5,0.0,50.04,853.5,847.1,8.2,8.95,8.575,8.0,11.5,9.75,11.5,14.0089257261219,856.2,837.1,10.88,68.51
activate_star,99309,1217,456,91247239,-,0,176,96556,im,1,15AZ,im_log_game_1,16,holiday_home,6,0.0,8.67,1220.7,448.4,0.77,0.97,0.87,3.7,4.4,4.050000000000001,4.4,5.748912940721924,1217.15,445.1,5.04,31.28
activate_star,125028,698,437,91272959,-,0,183,122275,im,1,15AZ,im_log_game_1,6,blast,7,0.0,43.51,712.8,396.0,6.34,1.38,3.86,8.8,4.1,6.45,8.8,9.7082439194738,706.7,392.4,6.87,64.93
activate_star,139667,674,730,91287599,-,0,309,136914,im,1,15AZ,im_log_game_1,5,blast,8,0.0,49.69,682.4,681.3,52.98,4.67,28.825,17.4,7.6,12.5,17.4,18.98736421939601,677.25,691.5,12.37,69.77
activate_star,159029,1150,148,91306959,-,0,440,156276,im,1,15AZ,im_log_game_1,14,holiday_home,9,0.0,24.8,1163.3,169.0,0.41,3.94,2.175,2.6,7.7,5.15,7.7,8.127115109311545,1163.1,173.05,4.11,30.75
activate_star,183066,603,921,91330999,-,0,554,180313,im,1,15AZ,im_log_game_1,1,holiday_home,10,0.0,33.94,600.45,887.15,2.57,7.0,4.785,5.3,9.0,7.15,9.0,10.444615837837215,608.7,878.1,12.53,51.68
activate_star,6276,906,484,91359159,-,0,537,204710,im,1,15AZ,im_log_game_1,9,blast,11,0.0,30.38,932.1,468.3,4.43,2.77,3.5999999999999996,8.6,6.2,7.4,8.6,10.601886624558858,921.35,476.35,13.53,53.21
activate_star,23199,1224,396,91376079,-,0,578,221633,im,1,15AZ,im_log_game_1,18,holiday_home,12,0.0,28.15,1251.65,401.1,2.07,0.69,1.38,4.6,3.9,4.25,4.6,6.0307545133258404,1252.1,401.3,1.81,46.11
activate_star,33518,1024,718,91386399,-,0,578,231952,im,1,15AZ,im_log_game_1,12,holiday_home,13,0.0,47.18,1042.75,674.4,6.6,10.22,8.41,8.1,11.4,9.75,11.4,13.984634424967997,1036.65,678.15,7.46,68.67
activate_star,55853,640,169,91408719,-,0,613,254287,im,1,15AZ,im_log_game_1,3,holiday_home,14,0.0,11.94,651.6,166.8,12.08,1.02,6.55,9.6,4.1,6.85,9.6,10.438869670610893,653.05,172.8,7.02,34.28
activate_star,79202,1224,396,91432078,-,0,663,277636,im,1,15AZ,im_log_game_1,18,holiday_home,15,0.0,17.39,1239.4,403.7,0.76,1.75,1.255,3.2,4.9,4.050000000000001,4.9,5.852349955359813,1243.65,402.85,4.68,33.37
activate_star,103801,1099,214,91456678,-,0,719,302235,im,1,15AZ,im_log_game_1,13,holiday_home,16,0.0,39.13,1123.6,244.5,1.57,2.08,1.8250000000000002,5.0,6.4,5.7,6.4,8.121576201698781,1126.8,251.2,7.5,44.29
activate_star,127560,1306,687,91480438,-,0,662,325994,im,1,15AZ,im_log_game_1,19,blast,17,0.0,26.53,1328.3,672.75,0.63,3.27,1.95,3.0,7.8,5.4,7.8,8.357032966310472,1327.2,670.8,2.7,49.45
activate_star,140159,1223,869,91493038,-,0,743,338593,im,1,15AZ,im_log_game_1,17,blast,18,0.0,32.58,1255.3,865.0,1.39,1.57,1.48,4.3,5.0,4.65,5.0,6.594694837519018,1254.25,867.45,3.02,53.21
activate_star,154559,617,602,91507438,-,0,840,352993,im,1,15AZ,im_log_game_1,2,holiday_home,19,0.0,30.74,640.8,582.1,4.89,6.95,5.92,7.4,9.5,8.45,9.5,12.042009799032718,631.1,585.7,10.14,53.88
activate_star,199238,569,813,91552118,-,0,860,397672,im,1,15AZ,im_log_game_1,0,blast,20,0.0,23.69,592.35,808.9,2.57,0.92,1.7449999999999999,5.6,4.1,4.85,5.6,6.940461079784253,578.7,807.6,13.7,44.49
activate_star,212280,856,904,91565158,-,0,928,410714,im,1,15AZ,im_log_game_1,8,holiday_home,21,0.0,33.05,888.9,903.1,0.71,4.62,2.665,3.9,8.4,6.15,8.4,9.26120942425988,888.0,897.1,6.06,52.81
activate_star,7079,927,471,92043698,-,0,0,2317,im,2,15AZ,im_log_game_2,7,blast,1,,,,,,,,,,,,,,,,
activate_star,20199,977,781,92056816,-,0,278,15437,im,2,15AZ,im_log_game_2,9,blast,2,,,,,,,,,,,,,,,,
activate_star,33560,776,930,92070176,-,0,241,28798,im,2,15AZ,im_log_game_2,4,blast,3,0.0,37.35,766.75,894.2,9.16,11.46,10.31,14.2,14.6,14.399999999999999,14.6,20.366639388961545,766.3,875.45,18.9,40.82
activate_star,59123,599,467,92095736,-,0,289,54361,im,2,15AZ,im_log_game_2,1,blast,4,0.0,40.98,597.85,426.35,21.6,12.53,17.065,15.7,16.1,15.9,16.1,22.487774456357393,603.05,422.65,8.39,47.21
activate_star,74921,1307,821,92111536,-,0,422,70159,im,2,15AZ,im_log_game_2,15,blast,5,0.0,31.1,1335.6,810.4,13.66,5.95,9.805,10.8,10.2,10.5,10.8,14.855302083767937,1336.7,833.95,24.07,42.86
activate_star,88251,821,236,92124856,-,0,572,83489,im,2,15AZ,im_log_game_2,5,blast,6,0.0,19.84,840.6,233.4,0.98,3.46,2.2199999999999998,4.2,8.7,6.449999999999999,8.7,9.66074531286277,838.45,230.7,3.7,31.19
activate_star,102244,1103,261,92138856,-,0,516,97482,im,2,15AZ,im_log_game_2,11,holiday_home,7,0.0,27.82,1121.7,281.3,1.54,1.63,1.585,5.0,5.2,5.1,5.2,7.213875518748574,1126.8,284.45,6.02,33.27
activate_star,127082,1351,316,92163696,-,0,468,122320,im,2,15AZ,im_log_game_2,19,holiday_home,8,0.0,15.91,1362.75,304.9,1.74,4.66,3.2,5.1,8.4,6.75,8.4,9.82700361249552,1355.1,309.6,9.18,27.37
