index,event,timestamp,pos_x,pos_y,res_timestamp,decision,earned_points,total_points,game_timestamp,condition,n_game,subject,filename,n_star,interaction_type,n,p_nan,deviation,gaze_pos_x,gaze_pos_y,var_x,var_y,var,range_x,range_y,range_mean,range_max,range,av_x,av_y,norm_dev,gaze_path
20783,activate_star,5389,1008,598,91153319,-,0,0,2636,im,1,15AZ,im_log_game_1,11,blast,1,,,,,,,,,,,,,,,,
20796,activate_star,19784,989,271,91167719,-,0,-87,17031,im,1,15AZ,im_log_game_1,10,holiday_home,2,,,,,,,,,,,,,,,,
20813,activate_star,44748,648,160,91192679,-,0,16,41995,im,1,15AZ,im_log_game_1,4,blast,3,0.0,7.11,650.6,161.5,319.18,45.85,182.51500000000001,88.6,26.2,57.4,88.6,92.39264039954698,661.9,157.0,13.29,1129.9
20828,activate_star,60503,1202,781,91208439,-,0,128,57750,im,1,15AZ,im_log_game_1,15,holiday_home,4,0.0,24.99,1202.1,757.0,26.0,89.8,57.9,21.0,34.9,27.95,34.9,40.73094646580165,1203.7,729.8,27.85,1900.12
20845,activate_star,85868,849,897,91233799,-,0,50,83115,im,1,15AZ,im_log_game_1,7,blast,5,0.0,54.47,853.0,843.2,12.16,26.34,19.25,14.4,18.6,16.5,18.6,23.52275494069519,854.7,838.7,6.4,1187.84
20858,activate_star,99309,1217,456,91247239,-,0,176,96556,im,1,15AZ,im_log_game_1,16,holiday_home,6,0.0,10.34,1220.5,447.4,21.01,725.3,373.155,22.3,120.5,71.4,120.5,122.54607296849622,1229.7,432.2,18.18,1373.02
20877,activate_star,125028,698,437,91272959,-,0,183,122275,im,1,15AZ,im_log_game_1,6,blast,7,0.0,51.81,707.4,387.9,43.51,125.07,84.28999999999999,24.5,43.1,33.8,43.1,49.576809094575665,711.9,388.0,7.85,1077.57
20891,activate_star,139667,674,730,91287599,-,0,309,136914,im,1,15AZ,im_log_game_1,5,blast,8,0.0,44.45,669.7,686.9,86.87,23.62,55.245000000000005,47.6,22.5,35.05,47.6,52.64988129141413,659.2,679.0,17.26,1199.94
20906,activate_star,159029,1150,148,91306959,-,0,440,156276,im,1,15AZ,im_log_game_1,14,holiday_home,9,0.0,25.88,1163.2,170.2,103.29,64.91,84.1,45.7,63.1,54.400000000000006,63.1,77.91084648494072,1170.6,165.5,9.84,1299.46
20923,activate_star,183066,603,921,91330999,-,0,554,180313,im,1,15AZ,im_log_game_1,1,holiday_home,10,0.0,43.21,602.1,878.1,33.99,66.92,50.455,31.5,49.0,40.25,49.0,58.25160941982633,599.8,880.5,6.85,990.99
20942,activate_star,6276,906,484,91359159,-,0,537,204710,im,1,15AZ,im_log_game_1,9,blast,11,0.0,27.93,929.6,472.1,130.86,45.67,88.26500000000001,60.7,41.3,51.0,60.7,73.41784524214805,939.4,459.7,17.36,1456.07
20957,activate_star,23199,1224,396,91376079,-,0,578,221633,im,1,15AZ,im_log_game_1,18,holiday_home,12,0.0,26.56,1250.2,400.9,10.05,29.78,19.915,11.6,23.4,17.5,23.4,26.117427132089407,1243.6,388.7,14.13,998.71
20961,activate_star,33518,1024,718,91386399,-,0,578,231952,im,1,15AZ,im_log_game_1,12,holiday_home,13,0.0,40.48,1042.4,682.8,84.3,31.07,57.685,53.9,22.2,38.05,53.9,58.29279543820145,1049.5,683.2,8.68,1278.15
20978,activate_star,55853,640,169,91408719,-,0,613,254287,im,1,15AZ,im_log_game_1,3,holiday_home,14,0.0,16.04,654.8,168.4,12.17,38.45,25.310000000000002,13.1,62.8,37.949999999999996,62.8,64.1517731633351,660.1,165.7,9.41,1098.64
20995,activate_star,79202,1224,396,91432078,-,0,663,277636,im,1,15AZ,im_log_game_1,18,holiday_home,15,0.0,18.36,1241.4,401.5,6.37,24.81,15.59,9.3,19.1,14.200000000000001,19.1,21.243822631532208,1244.5,394.4,8.7,975.86
21014,activate_star,103801,1099,214,91456678,-,0,719,302235,im,1,15AZ,im_log_game_1,13,holiday_home,16,0.0,40.23,1120.7,245.9,27.04,69.2,48.120000000000005,21.2,56.7,38.95,56.7,60.533709617039,1116.0,235.6,13.35,1021.53
21031,activate_star,127560,1306,687,91480438,-,0,662,325994,im,1,15AZ,im_log_game_1,19,blast,17,0.0,27.44,1327.9,674.2,926.47,163.26,544.865,125.3,51.2,88.25,125.3,135.35704636257398,1330.3,684.2,12.05,1388.48
21044,activate_star,140159,1223,869,91493038,-,0,743,338593,im,1,15AZ,im_log_game_1,17,blast,18,0.0,31.66,1253.5,866.6,363.86,135.52,249.69,84.2,49.9,67.05,84.2,97.8756864599171,1252.1,866.9,6.0,1293.08
21057,activate_star,154559,617,602,91507438,-,0,840,352993,im,1,15AZ,im_log_game_1,2,holiday_home,19,0.0,23.66,637.8,590.3,30.66,34.24,32.45,18.0,21.8,19.9,21.8,28.270833026283466,648.5,601.2,18.32,1052.94
21083,activate_star,199238,569,813,91552118,-,0,860,397672,im,1,15AZ,im_log_game_1,0,blast,20,0.0,24.09,592.6,808.3,31.35,44.07,37.71,26.5,46.7,36.6,46.7,53.6948787129648,589.2,806.0,6.15,903.93
21096,activate_star,212280,856,904,91565158,-,0,928,410714,im,1,15AZ,im_log_game_1,8,holiday_home,21,0.0,34.94,888.0,891.6,24.54,140.58,82.56,24.6,41.7,33.150000000000006,41.7,48.41539011512765,879.5,869.8,25.5,1606.39
21115,activate_star,7079,927,471,92043698,-,0,0,2317,im,2,15AZ,im_log_game_2,7,blast,1,,,,,,,,,,,,,,,,
21128,activate_star,20199,977,781,92056816,-,0,278,15437,im,2,15AZ,im_log_game_2,9,blast,2,,,,,,,,,,,,,,,,
21141,activate_star,33560,776,930,92070176,-,0,241,28798,im,2,15AZ,im_log_game_2,4,blast,3,0.0,38.54,772.8,892.8,91.25,276.55,183.9,37.7,64.8,51.25,64.8,74.96886020208657,792.4,933.0,46.24,4418.53
21161,activate_star,59123,599,467,92095736,-,0,289,54361,im,2,15AZ,im_log_game_2,1,blast,4,0.0,43.34,599.7,426.3,280.56,433.62,357.09000000000003,77.8,92.9,85.35,92.9,121.1744610056096,588.4,423.7,12.84,3536.94
21176,activate_star,74921,1307,821,92111536,-,0,422,70159,im,2,15AZ,im_log_game_2,15,blast,5,0.0,34.32,1338.6,817.2,17.34,328.5,172.92,22.2,60.6,41.4,60.6,64.53836068571931,1335.3,791.9,26.21,2146.47
21189,activate_star,88251,821,236,92124856,-,0,572,83489,im,2,15AZ,im_log_game_2,5,blast,6,0.0,20.34,840.9,232.9,5.34,13.29,9.315,9.8,15.5,12.65,15.5,18.338211472223783,844.9,229.7,6.25,1071.81
21204,activate_star,102244,1103,261,92138856,-,0,516,97482,im,2,15AZ,im_log_game_2,11,holiday_home,7,0.0,26.51,1124.4,274.3,38.03,59.97,49.0,29.1,36.6,32.85,36.6,46.758635566064164,1121.9,273.8,7.72,1408.05
21221,activate_star,127082,1351,316,92163696,-,0,468,122320,im,2,15AZ,im_log_game_2,19,holiday_home,8,0.0,12.08,1354.6,307.2,53.46,26.48,39.97,42.1,20.5,31.3,42.1,46.8258475630714,1355.9,303.5,8.49,1249.69
