time_start,time_end,x_average,y_average,event,x_start,y_start,x_stop,y_stop,res_start,res_end,interaction_type,res_timestamp,condition,n_game,subject,filename,n_star,n
728504.0,733116.0,1011.7,568.8,fixation,,,,,91151330.0,91155942.0,blast,91153319,im,1,15AZ,im_log_game_1,11,1
728476.0,728502.0,,,saccade,937.6,515.2,1005.3,580.2,91151302.0,91151328.0,blast,91153319,im,1,15AZ,im_log_game_1,11,1
742930.0,743036.0,1006.4,385.9,fixation,,,,,91165756.0,91165862.0,holiday_home,91167719,im,1,15AZ,im_log_game_1,10,2
743070.0,743192.0,974.6,304.5,fixation,,,,,91165896.0,91166018.0,holiday_home,91167719,im,1,15AZ,im_log_game_1,10,2
743216.0,743386.0,987.7,278.2,fixation,,,,,91166042.0,91166212.0,holiday_home,91167719,im,1,15AZ,im_log_game_1,10,2
743398.0,745512.0,988.6,269.1,fixation,,,,,91166224.0,91168338.0,holiday_home,91167719,im,1,15AZ,im_log_game_1,10,2
742432.0,742928.0,,,saccade,1744.4,-7.3,1007.9,379.7,91165258.0,91165754.0,holiday_home,91167719,im,1,15AZ,im_log_game_1,10,2
743038.0,743068.0,,,saccade,1003.5,387.5,974.1,310.4,91165864.0,91165894.0,holiday_home,91167719,im,1,15AZ,im_log_game_1,10,2
743194.0,743214.0,,,saccade,975.9,306.4,994.7,272.6,91166020.0,91166040.0,holiday_home,91167719,im,1,15AZ,im_log_game_1,10,2
743388.0,743396.0,,,saccade,984.8,283.9,985.4,273.3,91166214.0,91166222.0,holiday_home,91167719,im,1,15AZ,im_log_game_1,10,2
767868.0,768020.0,573.1,171.7,fixation,,,,,91190694.0,91190846.0,blast,91192679,im,1,15AZ,im_log_game_1,4,3
768048.0,768178.0,646.3,163.3,fixation,,,,,91190874.0,91191004.0,blast,91192679,im,1,15AZ,im_log_game_1,4,3
768196.0,770152.0,653.9,158.3,fixation,,,,,91191022.0,91192978.0,blast,91192679,im,1,15AZ,im_log_game_1,4,3
767806.0,767866.0,,,saccade,977.1,487.4,564.7,180.7,91190632.0,91190692.0,blast,91192679,im,1,15AZ,im_log_game_1,4,3
768022.0,768046.0,,,saccade,575.2,172.0,646.6,164.3,91190848.0,91190872.0,blast,91192679,im,1,15AZ,im_log_game_1,4,3
768180.0,768194.0,,,saccade,644.2,163.9,665.3,164.0,91191006.0,91191020.0,blast,91192679,im,1,15AZ,im_log_game_1,4,3
783640.0,786026.0,1203.7,749.6,fixation,,,,,91206466.0,91208852.0,holiday_home,91208439,im,1,15AZ,im_log_game_1,15,4
783466.0,783638.0,,,saccade,1211.1,753.4,1219.3,763.4,91206292.0,91206464.0,holiday_home,91208439,im,1,15AZ,im_log_game_1,15,4
808968.0,809120.0,860.1,844.1,fixation,,,,,91231794.0,91231946.0,blast,91233799,im,1,15AZ,im_log_game_1,7,5
809138.0,813438.0,857.4,832.6,fixation,,,,,91231964.0,91236264.0,blast,91233799,im,1,15AZ,im_log_game_1,7,5
809122.0,809136.0,,,saccade,856.2,841.4,845.2,854.3,91231948.0,91231962.0,blast,91233799,im,1,15AZ,im_log_game_1,7,5
822412.0,822602.0,1239.2,553.4,fixation,,,,,91245238.0,91245428.0,holiday_home,91247239,im,1,15AZ,im_log_game_1,16,6
822642.0,824796.0,1221.6,443.6,fixation,,,,,91245468.0,91247622.0,holiday_home,91247239,im,1,15AZ,im_log_game_1,16,6
822604.0,822640.0,,,saccade,1238.4,559.4,1221.6,445.5,91245430.0,91245466.0,holiday_home,91247239,im,1,15AZ,im_log_game_1,16,6
848176.0,848470.0,694.8,361.3,fixation,,,,,91271002.0,91271296.0,blast,91272959,im,1,15AZ,im_log_game_1,6,7
