n_blast,n_outer,window,step,n_star,subject,filename,condition,n_game,pos_x,pos_y,p_nan,deviation,gaze_pos_x,gaze_pos_y,var_x,var_y,var,range_x,range_y,range_mean,range_max,range,gaze_path,av_x,av_y,norm_dev
8,1,500,activation,11,15AZ,im_log_game_1,im,1,1008,598,,,,,,,,,,,,,,,,
8,1,1000,activation,11,15AZ,im_log_game_1,im,1,1008,598,,,,,,,,,,,,,,,,
8,1,1500,activation,11,15AZ,im_log_game_1,im,1,1008,598,,,,,,,,,,,,,,,,
8,1,2000,activation,11,15AZ,im_log_game_1,im,1,1008,598,,,,,,,,,,,,,,,,
8,1,2500,blast,11,15AZ,im_log_game_1,im,1,1008,598,,,,,,,,,,,,,,,,
8,1,3000,blast,11,15AZ,im_log_game_1,im,1,1008,598,,,,,,,,,,,,,,,,
8,1,3500,blast,11,15AZ,im_log_game_1,im,1,1008,598,,,,,,,,,,,,,,,,
8,1,4000,blast,11,15AZ,im_log_game_1,im,1,1008,598,,,,,,,,,,,,,,,,
8,1,4500,blast,11,15AZ,im_log_game_1,im,1,1008,598,,,,,,,,,,,,,,,,
8,1,5000,blast,11,15AZ,im_log_game_1,im,1,1008,598,,,,,,,,,,,,,,,,
8,1,5500,blast,11,15AZ,im_log_game_1,im,1,1008,598,,,,,,,,,,,,,,,,
8,1,6000,blast,11,15AZ,im_log_game_1,im,1,1008,598,,,,,,,,,,,,,,,,
8,1,6500,blast,11,15AZ,im_log_game_1,im,1,1008,598,,,,,,,,,,,,,,,,
8,1,7000,blast,11,15AZ,im_log_game_1,im,1,1008,598,,,,,,,,,,,,,,,,
8,1,7500,blast,11,15AZ,im_log_game_1,im,1,1008,598,,,,,,,,,,,,,,,,
8,1,8000,blast,11,15AZ,im_log_game_1,im,1,1008,598,,,,,,,,,,,,,,,,
8,1,8500,blast,11,15AZ,im_log_game_1,im,1,1008,598,,,,,,,,,,,,,,,,
8,1,9000,blast,11,15AZ,im_log_game_1,im,1,1008,598,,,,,,,,,,,,,,,,
8,1,9500,blast,11,15AZ,im_log_game_1,im,1,1008,598,,,,,,,,,,,,,,,,
8,1,10000,blast,11,15AZ,im_log_game_1,im,1,1008,598,,,,,,,,,,,,,,,,
8,1,10500,overkill,11,15AZ,im_log_game_1,im,1,1008,598,,,,,,,,,,,,,,,,
8,1,11000,overkill,11,15AZ,im_log_game_1,im,1,1008,598,,,,,,,,,,,,,,,,
7,1,500,activation,10,15AZ,im_log_game_1,im,1,989,271,0.0,66.98,1033.3,319.6,569.39,554.92,562.155,61.5,58.3,59.9,61.5,84.741607254052,327.14,1004.5,267.8,60.31
7,1,1000,activation,10,15AZ,im_log_game_1,im,1,989,271,0.0,7.39,992.7,264.8,7.05,4.34,5.695,11.2,8.5,9.85,11.2,14.060227594174997,263.63,1004.5,267.8,12.12
7,1,1500,activation,10,15AZ,im_log_game_1,im,1,989,271,0.0,7.62,995.9,267.2,2.82,1.5,2.16,6.4,5.2,5.800000000000001,6.4,8.246211251235321,251.37,1004.5,267.8,8.71
7,1,2000,activation,10,15AZ,im_log_game_1,im,1,989,271,0.0,10.21,999.1,269.9,2.55,3.21,2.88,5.2,7.5,6.35,7.5,9.12633551870629,272.08,1004.5,267.8,6.71
7,1,2500,blast,10,15AZ,im_log_game_1,im,1,989,271,0.0,17.23,1006.0,267.8,2.27,1.26,1.7650000000000001,5.4,5.5,5.45,5.5,7.707788269017255,287.62,1004.5,267.8,2.1
7,1,3000,blast,10,15AZ,im_log_game_1,im,1,989,271,0.0,9.11,997.4,275.9,8.98,14.53,11.754999999999999,12.5,11.9,12.2,12.5,17.258621034138272,256.95,1004.5,267.8,12.38
7,1,3500,blast,10,15AZ,im_log_game_1,im,1,989,271,21.285140562248998,6.83,994.75,272.15,75.75,6391.72,3233.735,66.5,699.7,383.1,699.7,702.8530002781521,,1004.5,267.8,11.97
7,1,4000,blast,10,15AZ,im_log_game_1,im,1,989,271,0.0,3.83,988.5,269.2,3.28,10.58,6.93,6.2,12.1,9.15,12.1,13.595955280891445,314.87,1004.5,267.8,16.6
7,1,4500,blast,10,15AZ,im_log_game_1,im,1,989,271,0.0,3.55,991.2,272.0,0.62,7.56,4.09,3.0,9.8,6.4,9.8,10.248902380255167,292.12,1004.5,267.8,14.25
7,1,5000,blast,10,15AZ,im_log_game_1,im,1,989,271,0.0,4.59,992.7,269.4,4.26,1.61,2.935,7.5,5.9,6.7,7.5,9.542536350467836,279.74,1004.5,267.8,11.99
7,1,5500,blast,10,15AZ,im_log_game_1,im,1,989,271,0.0,10.2,999.1,270.7,1.64,1.98,1.81,5.0,6.4,5.7,6.4,8.121576201698781,265.12,1004.5,267.8,6.61
7,1,6000,blast,10,15AZ,im_log_game_1,im,1,989,271,0.0,12.81,1000.3,264.9,0.96,14.93,7.945,3.7,13.6,8.65,13.6,14.09432509913121,263.4,1004.5,267.8,6.49
7,1,6500,blast,10,15AZ,im_log_game_1,im,1,989,271,0.0,13.52,997.8,261.0,2.13,2.68,2.4050000000000002,5.4,7.3,6.35,7.3,9.08019823572151,331.59,1004.5,267.8,9.76
7,1,7000,blast,10,15AZ,im_log_game_1,im,1,989,271,0.0,21.69,1006.8,258.3,3.94,2.06,3.0,8.2,5.9,7.05,8.2,10.101980003939822,326.3,1004.5,267.8,9.99
7,1,7500,blast,10,15AZ,im_log_game_1,im,1,989,271,0.0,12.18,992.2,259.7,11.88,9.1,10.49,13.5,11.8,12.65,13.5,17.930142219179412,296.17,1004.5,267.8,14.37
7,1,8000,blast,10,15AZ,im_log_game_1,im,1,989,271,0.0,9.9,998.5,269.4,1.45,3.5,2.475,4.7,7.8,6.25,7.8,9.10659101969557,290.98,1004.5,267.8,6.58
7,1,8500,blast,10,15AZ,im_log_game_1,im,1,989,271,0.0,14.52,1002.0,264.2,1.98,1.74,1.8599999999999999,4.5,5.6,5.05,5.6,7.184010022264724,277.81,1004.5,267.8,4.88
7,1,9000,blast,10,15AZ,im_log_game_1,im,1,989,271,0.0,15.21,1001.7,262.9,1.03,1.47,1.25,4.5,5.2,4.85,5.2,6.876772498781678,299.56,1004.5,267.8,5.85
7,1,9500,overkill,10,15AZ,im_log_game_1,im,1,989,271,0.0,15.06,1000.5,262.1,4.91,2.13,3.52,7.7,7.2,7.45,7.7,10.541821474489122,227.25,1004.5,267.8,7.41
7,1,10000,overkill,10,15AZ,im_log_game_1,im,1,989,271,0.8032128514056224,18.27,1001.5,282.8,2432.92,66714.14,34573.53,253.4,990.3,621.85,990.3,1022.2062658778805,,1004.5,267.8,15.51
7,1,500,activation,4,15AZ,im_log_game_1,im,1,648,160,0.0,14.02,646.6,167.4,1305.89,10.81,658.35,91.5,12.0,51.75,91.5,92.28353049163215,359.14,661.9,157.0,16.6
7,1,1000,activation,4,15AZ,im_log_game_1,im,1,648,160,0.0,2.92,649.2,162.5,5.38,7.21,6.295,8.6,8.7,8.649999999999999,8.7,12.233151678941939,243.56,661.9,157.0,14.12
7,1,1500,activation,4,15AZ,im_log_game_1,im,1,648,160,0.0,5.51,652.6,159.9,3.16,7.65,5.405,7.1,9.9,8.5,9.9,12.182774724995944,272.85,661.9,157.0,10.1
