index,event,timestamp,pos_x,pos_y,res_timestamp,decision,earned_points,total_points,game_timestamp,condition,n_game,subject,filename,n_star,interaction_type,n,p_nan,deviation,gaze_pos_x,gaze_pos_y,var_x,var_y,var,range_x,range_y,range_mean,range_max,range,av_x,av_y,norm_dev,gaze_path
23083,activate_star,5755,730,618,8546765,-,0,0,3854,im,1,18KK,im_log_game_1,4,blast,1,,,,,,,,,,,,,,,,
23096,activate_star,19518,771,862,8560524,-,0,175,17617,im,1,18KK,im_log_game_1,6,holiday_home,2,,,,,,,,,,,,,,,,
23116,activate_star,47435,1157,794,8588444,-,0,269,45534,im,1,18KK,im_log_game_1,14,holiday_home,3,0.0,38.39,1130.6,809.1,168.62,514.61,341.615,67.9,78.6,73.25,78.6,103.86707851865286,1115.6,766.2,53.53,1167.37
23137,activate_star,81025,1333,410,8622032,-,0,355,79124,im,1,18KK,im_log_game_1,19,holiday_home,4,0.0,53.56,1324.2,461.8,52.11,43.47,47.79,27.8,25.7,26.75,27.8,37.85934494943091,1321.7,432.9,30.06,1327.44
23158,activate_star,115844,1255,192,8656848,-,0,435,113943,im,1,18KK,im_log_game_1,16,blast,5,0.0,62.26,1251.6,254.1,63.0,162.06,112.53,31.5,48.2,39.85,48.2,57.58029176723578,1260.0,244.6,10.7,1391.17
23171,activate_star,129179,574,152,8670168,-,0,676,127278,im,1,18KK,im_log_game_1,0,blast,6,0.0,55.55,607.3,192.9,65.79,82.75,74.27000000000001,33.2,35.9,34.55,35.9,48.898363980812285,617.4,180.2,16.75,1465.65
23186,activate_star,142558,762,238,8683568,-,0,920,140657,im,1,18KK,im_log_game_1,5,holiday_home,7,0.0,17.61,763.3,249.6,44.71,167.26,105.985,25.0,44.2,34.6,44.2,50.78031114516728,754.2,223.6,28.0,1181.21
23205,activate_star,166956,898,473,8707960,-,0,1075,165055,im,1,18KK,im_log_game_1,7,blast,8,0.0,44.89,861.8,499.4,69.58,350.21,209.89499999999998,37.5,76.4,56.95,76.4,85.10705023674596,865.2,467.9,34.68,1273.28
23221,activate_star,182912,1069,360,8723920,-,0,1158,181011,im,1,18KK,im_log_game_1,11,blast,9,0.0,41.47,1047.35,391.15,90.39,42.72,66.555,34.0,24.8,29.4,34.0,42.083726070774674,1032.5,385.0,18.69,1124.45
23235,activate_star,198469,1102,577,8739479,-,0,1452,196568,im,1,18KK,im_log_game_1,12,blast,10,0.0,47.2,1055.6,573.9,102.23,78.71,90.47,35.9,36.4,36.15,36.4,51.12504278726816,1041.7,550.5,28.94,1183.42
23251,activate_star,6463,1008,753,8758839,-,0,1556,213313,im,1,18KK,im_log_game_1,10,holiday_home,11,0.0,54.03,955.2,752.5,39.58,114.14,76.86,29.6,40.3,34.95,40.3,50.002499937503124,948.8,732.1,24.06,1597.64
23268,activate_star,29911,908,489,8782279,-,0,1881,236761,im,1,18KK,im_log_game_1,8,blast,12,0.0,39.46,887.2,523.2,110.47,80.56,95.515,31.4,33.0,32.2,33.0,45.55172883656558,896.9,506.2,19.48,1280.53
23282,activate_star,44244,987,293,8796599,-,0,2079,251094,im,1,18KK,im_log_game_1,9,blast,13,0.0,39.59,961.6,323.9,41.18,16.59,28.884999999999998,23.1,17.2,20.15,23.1,28.800173610587837,956.9,315.9,12.01,1230.6
23297,activate_star,59591,1117,471,8811959,-,0,2069,266441,im,1,18KK,im_log_game_1,13,blast,14,0.0,42.53,1082.2,496.8,39.32,42.24,40.78,24.3,26.1,25.200000000000003,26.1,35.66090296108611,1079.3,468.3,29.43,1206.41
23312,activate_star,73974,1265,776,8826351,-,0,2126,280824,im,1,18KK,im_log_game_1,17,blast,15,0.0,47.11,1219.3,769.7,39.83,183.98,111.905,38.1,53.0,45.55,53.0,65.27334831307492,1214.7,725.8,44.23,1278.89
23328,activate_star,89335,730,298,8841711,-,0,2062,296185,im,1,18KK,im_log_game_1,3,blast,16,0.0,31.01,735.6,327.8,25.43,255.94,140.685,24.3,67.3,45.8,67.3,71.55263796674446,732.35,318.05,14.35,1630.08
23343,activate_star,103975,693,799,8856351,-,0,2185,310825,im,1,18KK,im_log_game_1,2,blast,17,0.0,15.0,687.4,790.2,56.79,177.89,117.33999999999999,26.2,58.1,42.15,58.1,63.734213731715556,677.0,758.3,37.23,1184.74
23356,activate_star,118545,686,535,8870921,-,0,2098,325395,im,1,18KK,im_log_game_1,1,holiday_home,18,0.0,44.54,659.9,500.4,13.66,103.47,58.565,15.3,41.4,28.35,41.4,44.13671940686122,663.4,506.4,11.96,1145.76
23382,activate_star,157067,1220,198,8909440,-,0,2209,363917,im,1,18KK,im_log_game_1,15,holiday_home,19,0.0,34.91,1222.2,232.6,22.47,23.26,22.865000000000002,18.4,20.9,19.65,20.9,27.84546641735419,1213.9,231.6,10.14,1175.66
23402,activate_star,184584,1328,537,8936960,-,0,2208,391434,im,1,18KK,im_log_game_1,18,blast,20,0.0,52.59,1287.0,570.0,88.97,52.34,70.655,44.0,29.9,36.95,44.0,53.197838301946064,1284.1,551.1,21.35,1314.27
23422,activate_star,11930,1032,306,9226135,-,0,0,9979,im,2,18KK,im_log_game_2,11,blast,1,,,,,,,,,,,,,,,,
23438,activate_star,28332,808,174,9242535,-,0,211,26381,im,2,18KK,im_log_game_2,6,blast,2,0.0,10.4,814.9,178.6,22.36,38.42,30.39,19.2,27.3,23.25,27.3,33.37558988242755,802.7,161.0,22.19,1299.73
