n_blast,n_outer,window,step,n_star,subject,filename,condition,n_game,pos_x,pos_y,p_nan,deviation,gaze_pos_x,gaze_pos_y,var_x,var_y,var,range_x,range_y,range_mean,range_max,range,gaze_path,av_x,av_y,norm_dev
8,1,500,activation,4,18KK,im_log_game_1,im,1,730,618,,,,,,,,,,,,,,,,
8,1,1000,activation,4,18KK,im_log_game_1,im,1,730,618,,,,,,,,,,,,,,,,
8,1,1500,activation,4,18KK,im_log_game_1,im,1,730,618,,,,,,,,,,,,,,,,
8,1,2000,activation,4,18KK,im_log_game_1,im,1,730,618,,,,,,,,,,,,,,,,
8,1,2500,blast,4,18KK,im_log_game_1,im,1,730,618,,,,,,,,,,,,,,,,
8,1,3000,blast,4,18KK,im_log_game_1,im,1,730,618,,,,,,,,,,,,,,,,
8,1,3500,blast,4,18KK,im_log_game_1,im,1,730,618,,,,,,,,,,,,,,,,
8,1,4000,blast,4,18KK,im_log_game_1,im,1,730,618,,,,,,,,,,,,,,,,
8,1,4500,blast,4,18KK,im_log_game_1,im,1,730,618,,,,,,,,,,,,,,,,
8,1,5000,blast,4,18KK,im_log_game_1,im,1,730,618,,,,,,,,,,,,,,,,
8,1,5500,blast,4,18KK,im_log_game_1,im,1,730,618,,,,,,,,,,,,,,,,
8,1,6000,blast,4,18KK,im_log_game_1,im,1,730,618,,,,,,,,,,,,,,,,
8,1,6500,blast,4,18KK,im_log_game_1,im,1,730,618,,,,,,,,,,,,,,,,
8,1,7000,blast,4,18KK,im_log_game_1,im,1,730,618,,,,,,,,,,,,,,,,
8,1,7500,blast,4,18KK,im_log_game_1,im,1,730,618,,,,,,,,,,,,,,,,
8,1,8000,blast,4,18KK,im_log_game_1,im,1,730,618,,,,,,,,,,,,,,,,
8,1,8500,blast,4,18KK,im_log_game_1,im,1,730,618,,,,,,,,,,,,,,,,
8,1,9000,blast,4,18KK,im_log_game_1,im,1,730,618,,,,,,,,,,,,,,,,
8,1,9500,blast,4,18KK,im_log_game_1,im,1,730,618,,,,,,,,,,,,,,,,
8,1,10000,blast,4,18KK,im_log_game_1,im,1,730,618,,,,,,,,,,,,,,,,
8,1,10500,overkill,4,18KK,im_log_game_1,im,1,730,618,,,,,,,,,,,,,,,,
8,1,11000,overkill,4,18KK,im_log_game_1,im,1,730,618,,,,,,,,,,,,,,,,
7,4,500,activation,6,18KK,im_log_game_1,im,1,771,862,0.0,14.4,761.6,855.6,90.88,47.38,69.13,26.3,29.5,27.9,29.5,39.52138661535043,302.54,784.5,843.9,29.33
7,4,1000,activation,6,18KK,im_log_game_1,im,1,771,862,0.0,45.75,783.9,817.8,4.98,38.66,21.82,9.6,28.9,19.25,28.9,30.45275028630419,330.46,784.5,843.9,26.17
7,4,1500,activation,6,18KK,im_log_game_1,im,1,771,862,0.0,30.11,780.9,833.9,4.52,19.77,12.145,8.6,14.9,11.75,14.9,17.203778654702578,258.03,784.5,843.9,10.64
7,4,2000,activation,6,18KK,im_log_game_1,im,1,771,862,0.0,24.4,779.5,841.3,42.61,51.82,47.215,17.9,23.2,20.549999999999997,23.2,29.302730248220897,264.75,784.5,843.9,10.1
7,4,2500,blast,6,18KK,im_log_game_1,im,1,771,862,0.0,26.59,786.4,838.6,11.26,50.47,30.865,15.4,29.0,22.2,29.0,32.83534680797509,265.63,784.5,843.9,8.03
7,4,3000,blast,6,18KK,im_log_game_1,im,1,771,862,0.0,40.99,780.2,823.0,15.33,6.12,10.725,13.6,10.7,12.149999999999999,13.6,17.304623659588785,244.67,784.5,843.9,21.24
7,4,3500,blast,6,18KK,im_log_game_1,im,1,771,862,25.301204819277107,41.78,773.9,821.5,1130.6,30321.97,15726.285,144.4,888.2,516.3000000000001,888.2,899.8614337774455,,784.5,843.9,26.7
7,4,4000,blast,6,18KK,im_log_game_1,im,1,771,862,0.0,57.56,757.3,808.1,414.24,392.74,403.49,75.0,95.4,85.2,95.4,121.35139059771834,731.63,784.5,843.9,46.73
7,4,4500,blast,6,18KK,im_log_game_1,im,1,771,862,0.0,36.44,772.8,840.1,229.46,178.69,204.075,48.9,46.3,47.599999999999994,48.9,67.34166615105391,318.64,784.5,843.9,19.99
7,4,5000,blast,6,18KK,im_log_game_1,im,1,771,862,0.0,49.18,807.7,829.1,13.93,26.08,20.005,12.9,20.4,16.65,20.4,24.136486902612816,282.94,784.5,843.9,27.24
7,4,5500,blast,6,18KK,im_log_game_1,im,1,771,862,0.0,48.31,803.2,825.6,3.45,13.48,8.465,7.8,15.7,11.75,15.7,17.530829986055995,275.62,784.5,843.9,25.95
7,4,6000,blast,6,18KK,im_log_game_1,im,1,771,862,0.0,50.43,810.7,829.8,14.03,8.65,11.34,14.6,12.6,13.6,14.6,19.285227507084276,284.38,784.5,843.9,29.73
7,4,6500,blast,6,18KK,im_log_game_1,im,1,771,862,0.0,45.46,806.1,833.1,7.4,6.2,6.800000000000001,10.3,12.6,11.45,12.6,16.27421273057471,278.33,784.5,843.9,24.25
7,4,7000,blast,6,18KK,im_log_game_1,im,1,771,862,0.0,45.84,807.3,834.1,4.85,18.28,11.565000000000001,8.4,19.1,13.75,19.1,20.86552180032889,279.6,784.5,843.9,25.58
7,4,7500,blast,6,18KK,im_log_game_1,im,1,771,862,0.0,57.09,807.3,818.9,5.78,113.38,59.58,7.8,33.6,20.7,33.6,34.49347764433154,282.96,784.5,843.9,34.65
7,4,8000,blast,6,18KK,im_log_game_1,im,1,771,862,0.0,77.48,756.0,785.6,291.26,29.89,160.575,64.2,26.0,45.1,64.2,69.26499837580306,379.91,784.5,843.9,64.31
7,4,8500,blast,6,18KK,im_log_game_1,im,1,771,862,0.0,73.25,751.0,792.0,619.86,267.64,443.75,80.1,53.0,66.55,80.1,96.04691561939924,341.17,784.5,843.9,63.48
7,4,9000,blast,6,18KK,im_log_game_1,im,1,771,862,0.0,131.48,820.4,740.2,3.94,7.86,5.9,7.9,10.4,9.15,10.4,13.060245020672468,283.19,784.5,843.9,109.93
7,4,9500,overkill,6,18KK,im_log_game_1,im,1,771,862,22.48995983935743,126.66,826.7,749.1,75.12,3510.78,1792.95,68.8,704.1,386.45,704.1,707.4533553528458,,784.5,843.9,104.34
7,4,10000,overkill,6,18KK,im_log_game_1,im,1,771,862,0.0,162.26,818.0,711.0,750.49,8621.83,4686.16,139.1,582.3,360.7,582.3,598.6836393288194,1742.29,784.5,843.9,140.91
7,4,10500,overkill,6,18KK,im_log_game_1,im,1,771,862,0.0,112.02,829.0,768.9,10.09,379.01,194.54999999999998,14.4,63.9,39.15,63.9,65.50244270254355,268.37,784.5,843.9,89.48
7,4,11000,overkill,6,18KK,im_log_game_1,im,1,771,862,0.0,101.58,817.7,772.2,5.76,25.55,15.655000000000001,9.5,18.8,14.15,18.8,21.063950246807934,280.65,784.5,843.9,79.26
7,4,11500,overkill,6,18KK,im_log_game_1,im,1,771,862,0.0,112.64,817.0,760.9,123.41,1867.19,995.3000000000001,33.8,103.1,68.44999999999999,103.1,108.49907833709925,351.28,784.5,843.9,90.85
7,4,12000,overkill,6,18KK,im_log_game_1,im,1,771,862,0.0,80.57,802.8,936.7,5.08,1405.98,705.53,8.8,94.2,51.5,94.2,94.61014744730082,365.55,784.5,843.9,94.24
7,4,12500,overkill,6,18KK,im_log_game_1,im,1,771,862,0.0,94.29,809.7,948.5,106.0,15.25,60.625,35.4,19.4,27.4,35.4,40.36731350981881,300.18,784.5,843.9,107.44
7,4,13000,overkill,6,18KK,im_log_game_1,im,1,771,862,0.0,74.12,777.6,935.5,5.0,115.46,60.23,10.1,37.4,23.75,37.4,38.73977284393908,244.0,784.5,843.9,91.68
7,1,500,activation,14,18KK,im_log_game_1,im,1,1157,794,0.0,27.31,1137.7,814.4,39.83,1815.95,927.89,20.9,96.8,58.849999999999994,96.8,99.03055084164684,379.81,1138.3,790.2,24.31
7,1,1000,activation,14,18KK,im_log_game_1,im,1,1157,794,0.0,11.89,1149.4,803.9,9.53,16.39,12.96,12.0,17.0,14.5,17.0,20.808652046684813,304.51,1138.3,790.2,18.49
7,1,1500,activation,14,18KK,im_log_game_1,im,1,1157,794,0.0,25.54,1143.2,814.4,39.35,21.6,30.475,20.0,17.6,18.8,20.0,26.64132128855474,319.76,1138.3,790.2,24.7
7,1,2000,activation,14,18KK,im_log_game_1,im,1,1157,794,0.0,18.35,1142.8,803.0,4.87,67.79,36.330000000000005,9.0,24.5,16.75,24.5,26.100766272276374,257.72,1138.3,790.2,14.53
7,1,2500,blast,14,18KK,im_log_game_1,im,1,1157,794,0.0,21.61,1136.1,788.4,10.68,20.38,15.53,12.7,17.6,15.15,17.6,21.703686322834656,297.55,1138.3,790.2,5.32
7,1,3000,blast,14,18KK,im_log_game_1,im,1,1157,794,0.0,39.58,1124.5,772.0,11.99,8.48,10.235,13.8,14.1,13.95,14.1,19.72941965694886,277.85,1138.3,790.2,23.69
7,1,3500,blast,14,18KK,im_log_game_1,im,1,1157,794,0.0,32.46,1131.7,773.2,6.83,28.15,17.49,10.1,17.4,13.75,17.4,20.118896590022025,281.47,1138.3,790.2,18.05
7,1,4000,blast,14,18KK,im_log_game_1,im,1,1157,794,13.253012048192772,34.76,1142.85,777.75,1634.93,34275.29,17955.11,208.0,1031.8,619.9,1031.8,1052.556525798021,,1138.3,790.2,24.69
7,1,4500,blast,14,18KK,im_log_game_1,im,1,1157,794,0.0,28.05,1145.1,819.5,52.03,155.98,104.005,25.9,47.4,36.65,47.4,54.01453508084652,296.77,1138.3,790.2,29.87
7,1,5000,blast,14,18KK,im_log_game_1,im,1,1157,794,0.0,32.05,1160.6,825.8,8.54,79.31,43.925,11.5,31.5,21.5,31.5,33.53356527421443,261.16,1138.3,790.2,41.5
7,1,5500,blast,14,18KK,im_log_game_1,im,1,1157,794,0.0,5.69,1159.0,797.8,20.28,22.75,21.515,21.5,20.1,20.8,21.5,29.43229518742974,336.03,1138.3,790.2,22.1
7,1,6000,blast,14,18KK,im_log_game_1,im,1,1157,794,0.0,20.03,1175.4,800.9,3.77,13.04,8.405,9.1,13.2,11.149999999999999,13.2,16.03277892319357,297.05,1138.3,790.2,38.84
7,1,6500,blast,14,18KK,im_log_game_1,im,1,1157,794,0.0,27.91,1168.6,819.5,13.21,19.68,16.445,20.7,19.4,20.049999999999997,20.7,28.369878392407674,352.07,1138.3,790.2,42.08
7,1,7000,blast,14,18KK,im_log_game_1,im,1,1157,794,0.0,30.71,1168.7,818.9,78.35,82.25,80.3,24.3,31.2,27.75,31.2,39.54655484362702,343.04,1138.3,790.2,46.47
7,1,7500,blast,14,18KK,im_log_game_1,im,1,1157,794,0.0,26.52,1161.4,820.2,7.43,17.2,12.315,10.1,14.0,12.05,14.0,17.262966141425405,285.06,1138.3,790.2,37.74
7,1,8000,blast,14,18KK,im_log_game_1,im,1,1157,794,0.0,28.52,1153.9,780.9,26.78,1067.08,546.93,18.1,99.1,58.599999999999994,99.1,100.73936668452905,407.0,1138.3,790.2,36.23
