index,event,timestamp,pos_x,pos_y,res_timestamp,decision,earned_points,total_points,game_timestamp,condition,n_game,subject,filename,n_star,interaction_type,n,p_nan,deviation,gaze_pos_x,gaze_pos_y,var_x,var_y,var,range_x,range_y,range_mean,range_max,range,av_x,av_y,norm_dev,gaze_path
25374,activate_star,5381,725,195,18455832,-,0,0,3575,im,1,19VB,im_log_game_1,4,blast,1,,,,,,,,,,,,,,,,
25388,activate_star,20222,701,796,18470672,-,0,206,18416,im,1,19VB,im_log_game_1,3,blast,2,,,,,,,,,,,,,,,,
25402,activate_star,33560,625,381,18483992,-,0,434,31754,im,1,19VB,im_log_game_1,2,holiday_home,3,0.0,48.46,576.9,378.8,26.81,17.79,22.299999999999997,18.2,17.1,17.65,18.2,24.97298540423231,581.2,368.8,11.68,1045.06
25419,activate_star,57351,1360,930,18507792,-,0,556,55545,im,1,19VB,im_log_game_1,19,holiday_home,4,0.0,71.55,1291.7,915.1,131.11,42.06,86.58500000000001,40.6,24.9,32.75,40.6,47.62740807560285,1284.9,905.3,16.12,936.61
25425,activate_star,71707,922,858,18522151,-,0,556,69901,im,1,19VB,im_log_game_1,9,blast,5,0.0,48.23,875.2,857.0,49.75,323.95,186.85,28.6,77.6,53.099999999999994,77.6,82.7025997173003,888.8,856.8,18.7,1065.92
25440,activate_star,85820,1325,276,18536271,-,0,700,84014,im,1,19VB,im_log_game_1,18,blast,6,0.0,31.75,1296.7,262.1,66.23,15.33,40.78,37.3,15.3,26.299999999999997,37.3,40.316001785891416,1285.2,268.4,13.18,922.47
25453,activate_star,99147,1360,930,18549591,-,0,867,97341,im,1,19VB,im_log_game_1,19,holiday_home,7,0.0,54.9,1307.6,916.3,33.64,34.2,33.92,24.7,22.6,23.65,24.7,33.47909795678491,1304.4,907.1,10.21,1004.02
25482,activate_star,152508,743,588,18602951,-,0,1099,150702,im,1,19VB,im_log_game_1,5,holiday_home,8,0.0,32.57,714.3,597.7,14.91,100.4,57.655,15.7,34.9,25.299999999999997,34.9,38.268786236304905,720.5,614.5,18.28,981.08
25499,activate_star,174843,1118,308,18625271,-,0,1289,173037,im,1,19VB,im_log_game_1,13,blast,9,0.0,34.62,1085.1,308.3,35.92,143.5,89.71000000000001,19.4,39.0,29.2,39.0,43.55869603190619,1075.5,317.6,16.16,953.0
25512,activate_star,187263,952,189,18637711,-,0,1382,185457,im,1,19VB,im_log_game_1,10,blast,10,0.0,13.01,940.5,193.2,12.21,14.96,13.585,14.8,14.7,14.75,14.8,20.85976989326584,930.3,198.7,11.93,1019.87
25525,activate_star,199902,1264,686,18650351,-,0,1381,198096,im,1,19VB,im_log_game_1,15,holiday_home,11,0.0,29.16,1236.2,693.1,22.26,23.36,22.810000000000002,35.7,19.2,27.450000000000003,35.7,40.53553996186557,1235.9,686.7,8.0,1082.37
25548,activate_star,12189,898,489,18685551,-,0,1635,226156,im,1,19VB,im_log_game_1,7,blast,12,0.0,56.86,842.2,499.3,204.38,132.58,168.48000000000002,44.5,39.9,42.2,44.5,59.768386292420516,850.4,512.2,15.96,1105.51
25561,activate_star,24537,1293,606,18697871,-,0,1893,238504,im,1,19VB,im_log_game_1,17,blast,13,0.0,77.34,1216.4,592.8,54.93,24.51,39.72,25.7,22.2,23.95,25.7,33.960712595586095,1207.2,583.6,16.19,1188.81
25575,activate_star,37866,1257,916,18711231,-,0,1982,251833,im,1,19VB,im_log_game_1,14,blast,14,0.0,29.3,1233.4,914.4,67.36,232.62,149.99,29.9,47.0,38.45,47.0,55.70466766797913,1239.8,929.8,21.28,1033.91
25589,activate_star,52202,1267,338,18725551,-,0,2259,266169,im,1,19VB,im_log_game_1,16,blast,15,0.0,14.02,1265.3,325.5,26.22,25.46,25.84,21.4,21.2,21.299999999999997,21.4,30.12308085173228,1254.8,335.2,14.87,1157.37
25602,activate_star,65066,567,700,18738430,-,0,2404,279033,im,1,19VB,im_log_game_1,0,blast,16,0.0,14.06,554.4,699.1,14.98,108.15,61.565000000000005,17.7,66.6,42.15,66.6,68.91190027854405,541.55,677.7,25.94,1443.86
25615,activate_star,78907,987,766,18752270,-,0,2468,292874,im,1,19VB,im_log_game_1,11,holiday_home,17,0.0,28.32,960.9,768.4,126.1,57.63,91.865,37.1,31.4,34.25,37.1,48.60421792396211,933.3,761.6,32.46,932.42
25640,activate_star,114509,1041,318,18787870,-,0,2592,328476,im,1,19VB,im_log_game_1,12,blast,18,0.0,10.41,1038.7,327.4,4.73,41.0,22.865000000000002,12.0,22.3,17.15,22.3,25.323704310388713,1039.8,325.4,6.0,1123.28
25654,activate_star,128842,755,859,18802190,-,0,2651,342809,im,1,19VB,im_log_game_1,6,holiday_home,19,0.0,13.17,742.2,858.8,52.3,18.17,35.235,25.3,17.2,21.25,25.3,30.592973049378514,763.3,871.4,25.18,850.53
25674,activate_star,155190,914,141,18828550,-,0,2700,369157,im,1,19VB,im_log_game_1,8,holiday_home,20,0.0,15.25,906.6,128.8,23.06,11.74,17.4,20.0,14.7,17.35,20.0,24.821160327430302,921.7,127.2,15.86,1282.23
25694,activate_star,180239,616,307,18853590,-,0,2819,394206,im,1,19VB,im_log_game_1,1,blast,21,0.0,28.23,588.0,308.6,122.08,15.82,68.95,40.0,16.8,28.4,40.0,43.384789961459994,589.4,314.55,10.67,1276.51
25709,activate_star,4414,655,482,19088950,-,0,0,2102,im,2,19VB,im_log_game_2,1,blast,1,,,,,,,,,,,,,,,,
25722,activate_star,18132,939,613,19102670,-,0,365,15820,im,2,19VB,im_log_game_2,8,holiday_home,2,,,,,,,,,,,,,,,,
25736,activate_star,49615,1105,472,19134150,-,0,365,47303,im,2,19VB,im_log_game_2,13,blast,3,0.0,45.59,1065.1,457.4,110.01,272.83,191.42,45.3,56.3,50.8,56.3,72.26188483564485,1051.1,472.3,22.73,1244.08
25752,activate_star,67818,939,613,19152350,-,0,605,65506,im,2,19VB,im_log_game_2,8,holiday_home,4,0.0,52.56,887.2,615.4,27.83,50.46,39.144999999999996,22.3,40.1,31.200000000000003,40.1,45.88354824989018,877.7,611.8,12.44,1036.27
