time_start,time_end,x_average,y_average,event,x_start,y_start,x_stop,y_stop,res_start,res_end,interaction_type,res_timestamp,condition,n_game,subject,filename,n_star,n
438362.0,438658.0,646.8,167.3,fixation,,,,,18453850.0,18454146.0,blast,18455832,im,1,19VB,im_log_game_1,4,1
438680.0,440738.0,668.8,171.3,fixation,,,,,18454168.0,18456226.0,blast,18455832,im,1,19VB,im_log_game_1,4,1
438306.0,438360.0,,,saccade,867.4,158.7,657.4,161.3,18453794.0,18453848.0,blast,18455832,im,1,19VB,im_log_game_1,4,1
438660.0,438678.0,,,saccade,647.2,160.3,674.8,164.8,18454148.0,18454166.0,blast,18455832,im,1,19VB,im_log_game_1,4,1
453384.0,454362.0,633.8,736.9,fixation,,,,,18468872.0,18469850.0,blast,18470672,im,1,19VB,im_log_game_1,3,2
454408.0,457656.0,623.7,759.6,fixation,,,,,18469896.0,18473144.0,blast,18470672,im,1,19VB,im_log_game_1,3,2
453182.0,453382.0,,,saccade,610.4,746.5,623.1,676.8,18468670.0,18468870.0,blast,18470672,im,1,19VB,im_log_game_1,3,2
454364.0,454406.0,,,saccade,628.9,758.6,628.7,752.5,18469852.0,18469894.0,blast,18470672,im,1,19VB,im_log_game_1,3,2
466394.0,469088.0,578.1,376.4,fixation,,,,,18481882.0,18484576.0,holiday_home,18483992,im,1,19VB,im_log_game_1,2,3
489424.0,492846.0,1294.2,909.1,fixation,,,,,18504912.0,18508334.0,holiday_home,18507792,im,1,19VB,im_log_game_1,19,4
504686.0,504838.0,884.0,796.8,fixation,,,,,18520174.0,18520326.0,blast,18522151,im,1,19VB,im_log_game_1,9,5
504880.0,504970.0,873.5,856.1,fixation,,,,,18520368.0,18520458.0,blast,18522151,im,1,19VB,im_log_game_1,9,5
505004.0,506396.0,871.8,854.4,fixation,,,,,18520492.0,18521884.0,blast,18522151,im,1,19VB,im_log_game_1,9,5
506424.0,508056.0,883.3,854.5,fixation,,,,,18521912.0,18523544.0,blast,18522151,im,1,19VB,im_log_game_1,9,5
504624.0,504684.0,,,saccade,1288.4,897.9,901.7,779.0,18520112.0,18520172.0,blast,18522151,im,1,19VB,im_log_game_1,9,5
504840.0,504878.0,,,saccade,881.3,799.2,873.7,849.8,18520328.0,18520366.0,blast,18522151,im,1,19VB,im_log_game_1,9,5
504972.0,505002.0,,,saccade,878.3,857.0,866.9,838.6,18520460.0,18520490.0,blast,18522151,im,1,19VB,im_log_game_1,9,5
506398.0,506422.0,,,saccade,879.6,873.0,876.3,853.4,18521886.0,18521910.0,blast,18522151,im,1,19VB,im_log_game_1,9,5
518820.0,521264.0,1295.9,262.7,fixation,,,,,18534308.0,18536752.0,blast,18536271,im,1,19VB,im_log_game_1,18,6
518592.0,518818.0,,,saccade,1304.9,261.5,1316.1,244.5,18534080.0,18534306.0,blast,18536271,im,1,19VB,im_log_game_1,18,6
531566.0,534634.0,1308.9,915.3,fixation,,,,,18547054.0,18550122.0,holiday_home,18549591,im,1,19VB,im_log_game_1,19,7
584350.0,588052.0,713.3,599.7,fixation,,,,,18599838.0,18603540.0,holiday_home,18602951,im,1,19VB,im_log_game_1,5,8
607550.0,608338.0,1083.4,333.2,fixation,,,,,18623038.0,18623826.0,blast,18625271,im,1,19VB,im_log_game_1,13,9
608372.0,611306.0,1087.2,312.9,fixation,,,,,18623860.0,18626794.0,blast,18625271,im,1,19VB,im_log_game_1,13,9
608340.0,608370.0,,,saccade,1076.7,340.5,1081.4,303.9,18623828.0,18623858.0,blast,18625271,im,1,19VB,im_log_game_1,13,9
620272.0,622718.0,938.0,193.9,fixation,,,,,18635760.0,18638206.0,blast,18637711,im,1,19VB,im_log_game_1,10,10
620222.0,620270.0,,,saccade,1092.8,276.5,958.1,183.3,18635710.0,18635758.0,blast,18637711,im,1,19VB,im_log_game_1,10,10
632912.0,632978.0,1263.3,677.8,fixation,,,,,18648400.0,18648466.0,holiday_home,18650351,im,1,19VB,im_log_game_1,15,11
633012.0,633322.0,1230.8,695.0,fixation,,,,,18648500.0,18648810.0,holiday_home,18650351,im,1,19VB,im_log_game_1,15,11
633354.0,635300.0,1236.2,691.1,fixation,,,,,18648842.0,18650788.0,holiday_home,18650351,im,1,19VB,im_log_game_1,15,11
632638.0,632910.0,,,saccade,930.5,165.3,1251.4,651.0,18648126.0,18648398.0,holiday_home,18650351,im,1,19VB,im_log_game_1,15,11
632980.0,633010.0,,,saccade,1263.6,677.9,1240.3,682.2,18648468.0,18648498.0,holiday_home,18650351,im,1,19VB,im_log_game_1,15,11
633324.0,633352.0,,,saccade,1229.5,701.4,1239.6,693.7,18648812.0,18648840.0,holiday_home,18650351,im,1,19VB,im_log_game_1,15,11
668100.0,668330.0,832.7,489.9,fixation,,,,,18683588.0,18683818.0,blast,18685551,im,1,19VB,im_log_game_1,7,12
668342.0,672470.0,834.3,499.1,fixation,,,,,18683830.0,18687958.0,blast,18685551,im,1,19VB,im_log_game_1,7,12
668044.0,668098.0,,,saccade,973.8,311.5,854.0,464.3,18683532.0,18683586.0,blast,18685551,im,1,19VB,im_log_game_1,7,12
668332.0,668340.0,,,saccade,826.8,492.9,834.4,479.5,18683820.0,18683828.0,blast,18685551,im,1,19VB,im_log_game_1,7,12
680282.0,681290.0,1214.3,594.6,fixation,,,,,18695770.0,18696778.0,blast,18697871,im,1,19VB,im_log_game_1,17,13
681352.0,682580.0,1218.4,593.1,fixation,,,,,18696840.0,18698068.0,blast,18697871,im,1,19VB,im_log_game_1,17,13
681292.0,681350.0,,,saccade,1228.7,592.0,1228.4,578.6,18696780.0,18696838.0,blast,18697871,im,1,19VB,im_log_game_1,17,13
692854.0,697172.0,1226.6,916.2,fixation,,,,,18708342.0,18712660.0,blast,18711231,im,1,19VB,im_log_game_1,14,14
707690.0,711200.0,1259.3,330.3,fixation,,,,,18723178.0,18726688.0,blast,18725551,im,1,19VB,im_log_game_1,16,15
721070.0,722908.0,554.4,698.1,fixation,,,,,18736558.0,18738396.0,blast,18738430,im,1,19VB,im_log_game_1,0,16
720688.0,721068.0,,,saccade,560.0,695.1,551.1,639.6,18736176.0,18736556.0,blast,18738430,im,1,19VB,im_log_game_1,0,16
722910.0,722962.0,,,saccade,545.8,693.5,546.2,681.0,18738398.0,18738450.0,blast,18738430,im,1,19VB,im_log_game_1,0,16
734890.0,737256.0,954.4,766.9,fixation,,,,,18750378.0,18752744.0,holiday_home,18752270,im,1,19VB,im_log_game_1,11,17
734496.0,734888.0,,,saccade,997.4,775.9,981.1,752.2,18749984.0,18750376.0,holiday_home,18752270,im,1,19VB,im_log_game_1,11,17
770408.0,770658.0,1034.0,315.5,fixation,,,,,18785896.0,18786146.0,blast,18787870,im,1,19VB,im_log_game_1,12,18
770686.0,773232.0,1039.5,324.7,fixation,,,,,18786174.0,18788720.0,blast,18787870,im,1,19VB,im_log_game_1,12,18
770336.0,770406.0,,,saccade,625.1,290.3,1032.9,322.8,18785824.0,18785894.0,blast,18787870,im,1,19VB,im_log_game_1,12,18
770660.0,770684.0,,,saccade,1029.5,316.2,1041.0,310.3,18786148.0,18786172.0,blast,18787870,im,1,19VB,im_log_game_1,12,18
784230.0,787238.0,749.9,860.8,fixation,,,,,18799718.0,18802726.0,holiday_home,18802190,im,1,19VB,im_log_game_1,6,19
810760.0,813566.0,908.1,127.6,fixation,,,,,18826248.0,18829054.0,holiday_home,18828550,im,1,19VB,im_log_game_1,8,20
