n_blast,n_outer,window,step,n_star,subject,filename,condition,n_game,pos_x,pos_y,p_nan,deviation,gaze_pos_x,gaze_pos_y,var_x,var_y,var,range_x,range_y,range_mean,range_max,range,gaze_path,av_x,av_y,norm_dev
8,2,500,activation,4,19VB,im_log_game_1,im,1,725,195,,,,,,,,,,,,,,,,
8,2,1000,activation,4,19VB,im_log_game_1,im,1,725,195,,,,,,,,,,,,,,,,
8,2,1500,activation,4,19VB,im_log_game_1,im,1,725,195,,,,,,,,,,,,,,,,
8,2,2000,activation,4,19VB,im_log_game_1,im,1,725,195,,,,,,,,,,,,,,,,
8,2,2500,blast,4,19VB,im_log_game_1,im,1,725,195,,,,,,,,,,,,,,,,
8,2,3000,blast,4,19VB,im_log_game_1,im,1,725,195,,,,,,,,,,,,,,,,
8,2,3500,blast,4,19VB,im_log_game_1,im,1,725,195,,,,,,,,,,,,,,,,
8,2,4000,blast,4,19VB,im_log_game_1,im,1,725,195,,,,,,,,,,,,,,,,
8,2,4500,blast,4,19VB,im_log_game_1,im,1,725,195,,,,,,,,,,,,,,,,
8,2,5000,blast,4,19VB,im_log_game_1,im,1,725,195,,,,,,,,,,,,,,,,
8,2,5500,blast,4,19VB,im_log_game_1,im,1,725,195,,,,,,,,,,,,,,,,
8,2,6000,blast,4,19VB,im_log_game_1,im,1,725,195,,,,,,,,,,,,,,,,
8,2,6500,blast,4,19VB,im_log_game_1,im,1,725,195,,,,,,,,,,,,,,,,
8,2,7000,blast,4,19VB,im_log_game_1,im,1,725,195,,,,,,,,,,,,,,,,
8,2,7500,blast,4,19VB,im_log_game_1,im,1,725,195,,,,,,,,,,,,,,,,
8,2,8000,blast,4,19VB,im_log_game_1,im,1,725,195,,,,,,,,,,,,,,,,
8,2,8500,blast,4,19VB,im_log_game_1,im,1,725,195,,,,,,,,,,,,,,,,
8,2,9000,blast,4,19VB,im_log_game_1,im,1,725,195,,,,,,,,,,,,,,,,
8,2,9500,blast,4,19VB,im_log_game_1,im,1,725,195,,,,,,,,,,,,,,,,
8,2,10000,blast,4,19VB,im_log_game_1,im,1,725,195,,,,,,,,,,,,,,,,
8,2,10500,overkill,4,19VB,im_log_game_1,im,1,725,195,,,,,,,,,,,,,,,,
8,2,11000,overkill,4,19VB,im_log_game_1,im,1,725,195,,,,,,,,,,,,,,,,
8,2,11500,overkill,4,19VB,im_log_game_1,im,1,725,195,,,,,,,,,,,,,,,,
8,2,12000,overkill,4,19VB,im_log_game_1,im,1,725,195,,,,,,,,,,,,,,,,
7,2,500,activation,3,19VB,im_log_game_1,im,1,701,796,,,,,,,,,,,,,,,,
7,2,1000,activation,3,19VB,im_log_game_1,im,1,701,796,,,,,,,,,,,,,,,,
7,2,1500,activation,3,19VB,im_log_game_1,im,1,701,796,,,,,,,,,,,,,,,,
7,2,2000,activation,3,19VB,im_log_game_1,im,1,701,796,,,,,,,,,,,,,,,,
7,2,2500,blast,3,19VB,im_log_game_1,im,1,701,796,,,,,,,,,,,,,,,,
7,2,3000,blast,3,19VB,im_log_game_1,im,1,701,796,,,,,,,,,,,,,,,,
7,2,3500,blast,3,19VB,im_log_game_1,im,1,701,796,,,,,,,,,,,,,,,,
7,2,4000,blast,3,19VB,im_log_game_1,im,1,701,796,,,,,,,,,,,,,,,,
7,2,4500,blast,3,19VB,im_log_game_1,im,1,701,796,,,,,,,,,,,,,,,,
7,2,5000,blast,3,19VB,im_log_game_1,im,1,701,796,,,,,,,,,,,,,,,,
7,2,5500,blast,3,19VB,im_log_game_1,im,1,701,796,,,,,,,,,,,,,,,,
7,2,6000,blast,3,19VB,im_log_game_1,im,1,701,796,,,,,,,,,,,,,,,,
7,2,6500,blast,3,19VB,im_log_game_1,im,1,701,796,0.0,117.03,595.4,746.7,24.07,6.17,15.120000000000001,17.6,9.6,13.600000000000001,17.6,20.04794253782667,194.66,,,
7,2,7000,blast,3,19VB,im_log_game_1,im,1,701,796,0.0,105.79,603.8,755.7,5.99,32.17,19.080000000000002,11.1,20.1,15.600000000000001,20.1,22.961271741782944,248.6,,,
7,2,7500,blast,3,19VB,im_log_game_1,im,1,701,796,0.0,98.97,619.3,738.2,92.44,288.6,190.52,29.7,51.0,40.35,51.0,59.01770920664407,303.04,,,
7,2,8000,blast,3,19VB,im_log_game_1,im,1,701,796,0.0,103.4,611.3,743.4,9.32,2.88,6.1,11.8,8.2,10.0,11.8,14.369411957348847,235.42,,,
7,2,8500,blast,3,19VB,im_log_game_1,im,1,701,796,0.0,114.41,603.7,736.0,4.26,18.21,11.235,8.6,15.9,12.25,15.9,18.076780686836912,226.69,,,
7,2,9000,blast,3,19VB,im_log_game_1,im,1,701,796,0.0,93.79,628.3,742.3,137.09,25.61,81.35,31.2,17.1,24.15,31.2,35.57878581402125,300.59,,,
7,2,9500,overkill,3,19VB,im_log_game_1,im,1,701,796,0.0,98.37,632.5,723.5,9.56,11.38,10.47,13.0,13.6,13.3,13.6,18.813824704190267,250.82,,,
7,2,10000,overkill,3,19VB,im_log_game_1,im,1,701,796,0.0,97.02,635.4,724.3,15.27,3.01,9.14,15.8,7.8,11.8,15.8,17.620442673213407,215.03,,,
7,2,10500,overkill,3,19VB,im_log_game_1,im,1,701,796,0.0,113.49,620.9,716.2,5.63,6.77,6.199999999999999,8.9,11.9,10.4,11.9,14.860013458944108,268.92,,,
