index,event,timestamp,pos_x,pos_y,res_timestamp,decision,earned_points,total_points,game_timestamp,condition,n_game,subject,filename,n_star,interaction_type,n,p_nan,deviation,gaze_pos_x,gaze_pos_y,var_x,var_y,var,range_x,range_y,range_mean,range_max,range,av_x,av_y,norm_dev,gaze_path
27310,activate_star,10489,867,630,82331089,-,0,0,8450,im,1,20EC,im_log_game_1,8,holiday_home,1,,,,,,,,,,,,,,,,
27314,activate_star,20889,1131,508,82341489,-,0,0,18850,im,1,20EC,im_log_game_1,13,holiday_home,2,,,,,,,,,,,,,,,,
27331,activate_star,43219,1350,518,82363808,-,0,333,41180,im,1,20EC,im_log_game_1,19,blast,3,0.0,17.37,1344.9,534.2,12.98,40.54,26.759999999999998,16.5,29.0,22.75,29.0,33.36540124140574,1341.7,531.3,7.82,2588.76
27346,activate_star,56686,1277,801,82377288,-,0,663,54647,im,1,20EC,im_log_game_1,18,holiday_home,4,0.0,25.4,1294.1,784.4,129.62,109.43,119.525,45.6,45.7,45.650000000000006,45.7,64.5588878466784,1303.7,809.1,27.37,2882.41
27365,activate_star,82287,867,630,82402889,-,0,697,80248,im,1,20EC,im_log_game_1,8,holiday_home,5,0.0,35.84,857.5,663.2,37.85,23.33,30.59,25.0,23.0,24.0,25.0,33.97057550292606,854.3,660.15,7.9,3003.64
27381,activate_star,143085,647,576,82463688,-,0,697,141046,im,1,20EC,im_log_game_1,1,holiday_home,6,0.0,39.98,608.0,580.7,72.32,37.52,54.92,33.0,24.3,28.65,33.0,40.98158122864466,606.5,580.4,8.98,2258.67
27406,activate_star,178049,867,630,82498648,-,0,897,176010,im,1,20EC,im_log_game_1,8,blast,7,0.0,34.4,834.5,629.5,141.79,104.02,122.905,55.5,39.7,47.6,55.5,68.23737978556915,826.3,630.3,15.48,2872.26
27419,activate_star,195808,711,891,82516408,-,0,972,193769,im,1,20EC,im_log_game_1,5,blast,8,0.0,36.55,678.1,887.3,413.73,82.82,248.275,94.6,41.6,68.1,94.6,103.34273075548177,688.6,863.4,31.47,2895.51
27432,activate_star,209246,706,302,82529848,-,0,1087,207207,im,1,20EC,im_log_game_1,4,blast,9,0.0,62.14,669.9,254.5,770.51,340.22,555.365,157.3,75.9,116.60000000000001,157.3,174.65422983712708,662.3,246.9,30.74,2448.25
27445,activate_star,222847,1274,306,82543447,-,0,1118,220808,im,1,20EC,im_log_game_1,16,holiday_home,10,0.0,50.69,1253.95,262.2,219.75,195.67,207.70999999999998,52.0,48.5,50.25,52.0,71.10731326663947,1250.9,275.2,17.63,3096.02
27449,activate_star,238252,1058,233,82558848,-,0,1118,236213,im,1,20EC,im_log_game_1,12,blast,11,0.0,56.46,1067.0,177.5,78.96,204.58,141.77,32.4,53.3,42.849999999999994,53.3,62.37507515025533,1058.4,188.1,17.7,2158.68
