time_start,time_end,x_average,y_average,event,x_start,y_start,x_stop,y_stop,res_start,res_end,interaction_type,res_timestamp,condition,n_game,subject,filename,n_star,n
3397522.0,3398028.0,948.6,653.4,fixation,,,,,82329112.0,82329618.0,holiday_home,82331089,im,1,20EC,im_log_game_1,8,1
3398066.0,3398466.0,920.8,650.7,fixation,,,,,82329656.0,82330056.0,holiday_home,82331089,im,1,20EC,im_log_game_1,8,1
3398474.0,3398714.0,932.9,659.6,fixation,,,,,82330064.0,82330304.0,holiday_home,82331089,im,1,20EC,im_log_game_1,8,1
3398768.0,3399220.0,891.1,634.8,fixation,,,,,82330358.0,82330810.0,holiday_home,82331089,im,1,20EC,im_log_game_1,8,1
3399260.0,3399418.0,938.3,637.2,fixation,,,,,82330850.0,82331008.0,holiday_home,82331089,im,1,20EC,im_log_game_1,8,1
3399444.0,3399964.0,910.0,650.5,fixation,,,,,82331034.0,82331554.0,holiday_home,82331089,im,1,20EC,im_log_game_1,8,1
3397284.0,3397520.0,,,saccade,801.8,614.7,965.8,651.7,82328874.0,82329110.0,holiday_home,82331089,im,1,20EC,im_log_game_1,8,1
3398030.0,3398064.0,,,saccade,944.7,655.8,932.3,655.1,82329620.0,82329654.0,holiday_home,82331089,im,1,20EC,im_log_game_1,8,1
3398468.0,3398472.0,,,saccade,921.5,650.7,920.6,644.9,82330058.0,82330062.0,holiday_home,82331089,im,1,20EC,im_log_game_1,8,1
3398716.0,3398766.0,,,saccade,927.1,660.9,891.8,639.8,82330306.0,82330356.0,holiday_home,82331089,im,1,20EC,im_log_game_1,8,1
3399222.0,3399258.0,,,saccade,891.6,634.4,934.4,634.1,82330812.0,82330848.0,holiday_home,82331089,im,1,20EC,im_log_game_1,8,1
3399420.0,3399442.0,,,saccade,935.8,638.8,916.4,639.8,82331010.0,82331032.0,holiday_home,82331089,im,1,20EC,im_log_game_1,8,1
3407988.0,3408068.0,1101.8,563.3,fixation,,,,,82339578.0,82339658.0,holiday_home,82341489,im,1,20EC,im_log_game_1,13,2
3408098.0,3408198.0,1140.1,535.2,fixation,,,,,82339688.0,82339788.0,holiday_home,82341489,im,1,20EC,im_log_game_1,13,2
3408218.0,3408306.0,1138.2,537.3,fixation,,,,,82339808.0,82339896.0,holiday_home,82341489,im,1,20EC,im_log_game_1,13,2
3408410.0,3408522.0,1133.2,545.9,fixation,,,,,82340000.0,82340112.0,holiday_home,82341489,im,1,20EC,im_log_game_1,13,2
3408538.0,3408768.0,1132.7,546.5,fixation,,,,,82340128.0,82340358.0,holiday_home,82341489,im,1,20EC,im_log_game_1,13,2
3408790.0,3408964.0,1118.9,530.6,fixation,,,,,82340380.0,82340554.0,holiday_home,82341489,im,1,20EC,im_log_game_1,13,2
3409090.0,3409472.0,1076.8,518.5,fixation,,,,,82340680.0,82341062.0,holiday_home,82341489,im,1,20EC,im_log_game_1,13,2
3409508.0,3409598.0,1113.1,527.3,fixation,,,,,82341098.0,82341188.0,holiday_home,82341489,im,1,20EC,im_log_game_1,13,2
3409608.0,3409656.0,1112.9,531.8,fixation,,,,,82341198.0,82341246.0,holiday_home,82341489,im,1,20EC,im_log_game_1,13,2
3409668.0,3410264.0,1124.9,528.7,fixation,,,,,82341258.0,82341854.0,holiday_home,82341489,im,1,20EC,im_log_game_1,13,2
3407860.0,3407986.0,,,saccade,1304.5,326.8,1105.2,561.9,82339450.0,82339576.0,holiday_home,82341489,im,1,20EC,im_log_game_1,13,2
3408070.0,3408096.0,,,saccade,1106.3,567.7,1144.2,533.5,82339660.0,82339686.0,holiday_home,82341489,im,1,20EC,im_log_game_1,13,2
