n_blast,n_outer,window,step,n_star,subject,filename,condition,n_game,pos_x,pos_y,p_nan,deviation,gaze_pos_x,gaze_pos_y,var_x,var_y,var,range_x,range_y,range_mean,range_max,range,gaze_path,av_x,av_y,norm_dev
8,1,500,activation,1,21EC,im_log_game_1,im,1,648,232,,,,,,,,,,,,,,,,
8,1,1000,activation,1,21EC,im_log_game_1,im,1,648,232,,,,,,,,,,,,,,,,
8,1,1500,activation,1,21EC,im_log_game_1,im,1,648,232,,,,,,,,,,,,,,,,
8,1,2000,activation,1,21EC,im_log_game_1,im,1,648,232,,,,,,,,,,,,,,,,
8,1,2500,blast,1,21EC,im_log_game_1,im,1,648,232,,,,,,,,,,,,,,,,
8,1,3000,blast,1,21EC,im_log_game_1,im,1,648,232,,,,,,,,,,,,,,,,
8,1,3500,blast,1,21EC,im_log_game_1,im,1,648,232,,,,,,,,,,,,,,,,
8,1,4000,blast,1,21EC,im_log_game_1,im,1,648,232,,,,,,,,,,,,,,,,
8,1,4500,blast,1,21EC,im_log_game_1,im,1,648,232,,,,,,,,,,,,,,,,
8,1,5000,blast,1,21EC,im_log_game_1,im,1,648,232,,,,,,,,,,,,,,,,
8,1,5500,blast,1,21EC,im_log_game_1,im,1,648,232,,,,,,,,,,,,,,,,
8,1,6000,blast,1,21EC,im_log_game_1,im,1,648,232,,,,,,,,,,,,,,,,
8,1,6500,blast,1,21EC,im_log_game_1,im,1,648,232,,,,,,,,,,,,,,,,
8,1,7000,blast,1,21EC,im_log_game_1,im,1,648,232,,,,,,,,,,,,,,,,
8,1,7500,blast,1,21EC,im_log_game_1,im,1,648,232,,,,,,,,,,,,,,,,
8,1,8000,blast,1,21EC,im_log_game_1,im,1,648,232,,,,,,,,,,,,,,,,
8,1,8500,blast,1,21EC,im_log_game_1,im,1,648,232,,,,,,,,,,,,,,,,
8,1,9000,blast,1,21EC,im_log_game_1,im,1,648,232,,,,,,,,,,,,,,,,
8,1,9500,blast,1,21EC,im_log_game_1,im,1,648,232,,,,,,,,,,,,,,,,
8,1,10000,blast,1,21EC,im_log_game_1,im,1,648,232,,,,,,,,,,,,,,,,
8,1,10500,overkill,1,21EC,im_log_game_1,im,1,648,232,,,,,,,,,,,,,,,,
8,1,11000,overkill,1,21EC,im_log_game_1,im,1,648,232,,,,,,,,,,,,,,,,
7,1,500,activation,11,21EC,im_log_game_1,im,1,1021,238,0.0,38.4,1048.5,216.3,281.26,107.06,194.16,48.2,33.0,40.6,48.2,58.414381790788475,454.23,1053.6,204.6,14.71
7,1,1000,activation,11,21EC,im_log_game_1,im,1,1021,238,0.0,52.01,1049.0,196.6,6.96,114.76,60.86,11.7,30.6,21.15,30.6,32.76049450176233,434.57,1053.6,204.6,11.77
7,1,1500,activation,11,21EC,im_log_game_1,im,1,1021,238,0.0,64.1,1056.5,186.2,139.78,83.25,111.515,37.4,29.2,33.3,37.4,47.448919903407706,373.69,1053.6,204.6,21.5
7,1,2000,activation,11,21EC,im_log_game_1,im,1,1021,238,0.0,52.67,1063.9,206.9,70.79,5.47,38.13,26.7,11.0,18.85,26.7,28.87715359934216,352.38,1053.6,204.6,10.87
7,1,2500,blast,11,21EC,im_log_game_1,im,1,1021,238,17.928286852589643,46.81,1053.35,204.7,264.35,35699.84,17982.094999999998,139.3,1397.7,768.5,1397.7,1404.6244266707026,,1053.6,204.6,4.57
7,1,3000,blast,11,21EC,im_log_game_1,im,1,1021,238,0.4016064257028112,27.26,1042.95,221.6,16721.05,38343.75,27532.4,515.9,1258.4,887.1500000000001,1258.4,1360.0453558613406,,1053.6,204.6,25.09
7,1,3500,blast,11,21EC,im_log_game_1,im,1,1021,238,0.0,52.21,1066.2,214.4,49.82,16.32,33.07,23.0,14.7,18.85,23.0,27.296336750560503,354.92,1053.6,204.6,17.49
7,1,4000,blast,11,21EC,im_log_game_1,im,1,1021,238,0.0,45.52,1062.4,217.2,10.14,31.39,20.765,12.8,20.4,16.6,20.4,24.08318915758459,336.36,1053.6,204.6,16.19
7,1,4500,blast,11,21EC,im_log_game_1,im,1,1021,238,0.0,40.66,1059.1,226.9,12.67,8.58,10.625,13.5,11.5,12.5,13.5,17.7341478509682,318.26,1053.6,204.6,23.22
7,1,5000,blast,11,21EC,im_log_game_1,im,1,1021,238,0.0,48.14,1058.4,207.6,7.74,43.74,25.740000000000002,11.2,23.3,17.25,23.3,25.852079220055007,265.61,1053.6,204.6,10.55
