index,event,timestamp,pos_x,pos_y,res_timestamp,decision,earned_points,total_points,game_timestamp,condition,n_game,subject,filename,n_star,interaction_type,n,p_nan,deviation,gaze_pos_x,gaze_pos_y,var_x,var_y,var,range_x,range_y,range_mean,range_max,range,av_x,av_y,norm_dev,gaze_path
31987,activate_star,5935,590,174,149712262,-,0,0,3905,im,1,22ES,im_log_game_1,3,blast,1,0.0,32.6,559.0,164.8,54.68,13.6,34.14,23.4,13.8,18.6,23.4,27.16615541441225,564.5,165.35,8.59,1126.16
32001,activate_star,20267,1168,650,149726581,-,0,299,18237,im,1,22ES,im_log_game_1,14,blast,2,0.0,86.23,1100.7,597.3,14.7,10.51,12.605,14.8,13.4,14.100000000000001,14.8,19.964969321288727,1109.2,604.1,12.06,1403.8
32015,activate_star,34930,1021,273,149741261,-,0,581,32900,im,1,22ES,im_log_game_1,11,holiday_home,3,0.0,40.2,982.4,267.8,594.88,62.59,328.735,104.0,31.8,67.9,104.0,108.75311489791913,970.2,272.2,14.76,1294.5
32033,activate_star,60810,1179,400,149767141,-,0,581,58780,im,1,22ES,im_log_game_1,15,holiday_home,4,0.0,63.71,1122.4,372.1,132.99,408.93,270.96000000000004,53.7,84.3,69.0,84.3,99.95088794002783,1113.7,369.8,9.16,1573.72
32043,activate_star,77009,586,723,149783341,-,0,581,74979,im,1,22ES,im_log_game_1,1,holiday_home,5,0.0,67.71,562.9,662.6,202.83,32.22,117.525,67.2,23.5,45.35,67.2,71.19051903168005,562.2,641.4,22.72,1365.81
32062,activate_star,103491,1223,863,149809821,-,0,854,101461,im,1,22ES,im_log_game_1,17,blast,6,0.0,82.77,1173.4,798.2,19.89,84.25,52.07,15.7,34.3,25.0,34.3,37.72240713422196,1176.0,793.3,8.36,1342.25
32077,activate_star,119050,752,568,149825381,-,0,851,117020,im,1,22ES,im_log_game_1,6,blast,7,0.0,32.52,726.1,548.0,300.7,44.14,172.42,85.5,22.8,54.15,85.5,88.48779576868213,732.8,537.4,13.69,1304.69
32093,activate_star,136134,730,367,149842460,-,0,925,134104,im,1,22ES,im_log_game_1,5,holiday_home,8,0.0,35.31,708.3,342.4,55.52,25.34,40.43,28.5,18.2,23.35,28.5,33.815528977083886,705.3,345.4,7.83,1269.14
32103,activate_star,149652,972,789,149855980,-,0,925,147622,im,1,22ES,im_log_game_1,10,holiday_home,9,0.0,74.5,929.0,728.05,20.5,333.77,177.135,21.6,85.4,53.5,85.4,88.08927289971237,924.8,702.8,29.11,2182.47
32107,activate_star,161729,730,367,149868060,-,0,925,159699,im,1,22ES,im_log_game_1,5,holiday_home,10,0.0,34.35,704.1,345.0,42.86,31.28,37.07,25.1,24.3,24.700000000000003,25.1,34.935655139126844,700.1,348.9,8.29,1204.87
32125,activate_star,185809,1331,250,149892140,-,0,1198,183779,im,1,22ES,im_log_game_1,19,holiday_home,11,0.0,57.14,1275.4,249.7,173.74,259.88,216.81,68.9,62.2,65.55000000000001,68.9,92.8226804180961,1264.0,250.9,13.45,1185.47
32157,activate_star,234255,972,789,149940580,-,0,1464,232225,im,1,22ES,im_log_game_1,10,holiday_home,12,0.0,61.69,948.4,732.0,80.37,117.68,99.025,44.6,58.2,51.400000000000006,58.2,73.32393879218438,938.7,712.2,25.8,1533.34
32173,activate_star,272612,1179,400,149978939,-,0,1464,270582,im,1,22ES,im_log_game_1,15,holiday_home,13,0.0,64.92,1120.5,372.0,48.06,52.71,50.385000000000005,32.6,48.8,40.7,48.8,58.68730697518843,1114.25,365.6,10.27,1240.59
32187,activate_star,296128,972,789,150002459,-,0,1464,294098,im,1,22ES,im_log_game_1,10,blast,14,0.0,54.42,937.6,747.0,50.74,14.61,32.675,20.0,19.4,19.7,20.0,27.86323742855449,938.2,756.1,11.9,1461.76
32205,activate_star,312932,1021,273,150019259,-,0,1678,310902,im,1,22ES,im_log_game_1,11,blast,15,0.0,92.21,949.2,212.1,17.18,27.11,22.145,13.5,18.6,16.05,18.6,22.982819670353766,956.8,206.2,10.15,1232.93
32218,activate_star,326266,1179,400,150032579,-,0,1922,324236,im,1,22ES,im_log_game_1,15,holiday_home,16,0.0,39.72,1141.3,389.0,143.69,7.44,75.565,36.8,12.0,24.4,36.8,38.70710529088942,1136.0,386.3,10.85,1453.64
32239,activate_star,8955,807,340,150070619,-,0,2055,356460,im,1,22ES,im_log_game_1,8,holiday_home,17,0.0,51.69,760.3,317.6,25.85,45.38,35.615,22.5,40.2,31.35,40.2,46.068318831926135,754.4,305.0,14.77,1525.68
32249,activate_star,27433,806,724,150089099,-,0,2055,374938,im,1,22ES,im_log_game_1,7,holiday_home,18,0.0,68.0,793.3,657.2,14.92,31.89,23.405,14.3,30.6,22.450000000000003,30.6,33.7764711004569,789.8,658.2,6.8,1390.33
32253,activate_star,37952,588,769,150099579,-,0,2055,385457,im,1,22ES,im_log_game_1,2,holiday_home,19,0.0,35.16,574.6,739.5,36.13,160.03,98.08,21.2,49.1,35.15,49.1,53.48130514488217,580.9,703.0,38.13,1816.42
32257,activate_star,49508,807,340,150111179,-,0,2055,397013,im,1,22ES,im_log_game_1,8,holiday_home,20,0.0,21.97,785.5,341.8,13.06,76.13,44.595,13.1,30.6,21.85,30.6,33.286183319810036,782.6,341.2,7.24,1378.58
32265,activate_star,67472,1261,483,150129138,-,0,2055,414977,im,1,22ES,im_log_game_1,18,holiday_home,21,0.0,78.21,1191.6,446.1,50.84,25.49,38.165,37.7,21.7,29.700000000000003,37.7,43.499195394857594,1181.2,440.5,12.4,1334.91
32273,activate_star,80713,807,340,150142382,-,0,2055,428218,im,1,22ES,im_log_game_1,8,blast,22,0.0,33.8,788.0,318.2,372.01,620.43,496.21999999999997,57.9,79.0,68.45,79.0,97.94595448511389,773.6,304.4,19.7,1629.99
32287,activate_star,97274,1026,364,150158940,-,0,2345,444779,im,1,22ES,im_log_game_1,12,holiday_home,23,0.0,60.42,971.4,338.5,37.15,31.5,34.325,23.3,25.2,24.25,25.2,34.32098483435462,963.9,325.5,15.26,1414.75
32295,activate_star,110628,588,769,150172298,-,0,2345,458133,im,1,22ES,im_log_game_1,2,holiday_home,24,0.0,62.32,585.3,706.8,40.13,138.55,89.34,35.7,47.5,41.6,47.5,59.42003029282298,589.9,683.1,24.22,1864.4
32305,activate_star,124833,607,202,150186498,-,0,2345,472338,im,1,22ES,im_log_game_1,4,blast,25,0.0,19.68,588.4,198.1,45.13,251.58,148.35500000000002,25.6,56.5,41.05,56.5,62.02910607126303,586.6,193.2,11.1,1580.61
32319,activate_star,141512,1026,364,150203178,-,0,2678,489017,im,1,22ES,im_log_game_1,12,blast,26,0.0,61.9,971.8,335.1,37.26,37.43,37.345,26.9,27.4,27.15,27.4,38.397525961967915,960.8,331.8,11.5,1513.21
32334,activate_star,157390,1199,194,150219058,-,0,2751,504895,im,1,22ES,im_log_game_1,16,holiday_home,27,0.0,42.6,1157.7,191.9,61.64,63.83,62.735,26.7,34.2,30.450000000000003,34.2,43.38813201786867,1138.7,193.1,23.91,1322.98
32344,activate_star,176428,1261,483,150238098,-,0,2751,523933,im,1,22ES,im_log_game_1,18,blast,28,0.0,79.13,1198.7,431.9,17.45,37.59,27.520000000000003,18.7,25.2,21.95,25.2,31.380407900471912,1199.1,426.9,7.55,1322.74
32360,activate_star,194273,1199,194,150255937,-,0,2809,541778,im,1,22ES,im_log_game_1,16,holiday_home,29,0.0,77.75,1121.9,197.2,223.13,58.7,140.915,68.6,35.2,51.9,68.6,77.10382610480494,1112.6,190.8,16.02,1279.35
32376,activate_star,221230,588,769,150282897,-,0,2809,568735,im,1,22ES,im_log_game_1,2,holiday_home,30,0.0,79.64,552.7,696.4,20.26,305.96,163.10999999999999,15.9,118.4,67.15,118.4,119.46283941042086,557.4,688.8,12.22,1549.69
32380,activate_star,231627,583,488,150293297,-,0,2809,579132,im,1,22ES,im_log_game_1,0,holiday_home,31,0.0,36.27,569.7,457.4,49.51,333.87,191.69,22.7,83.7,53.2,83.7,86.72358387428416,561.2,443.0,17.58,1498.77
32388,activate_star,252350,1127,734,150314017,-,0,2809,599855,im,1,22ES,im_log_game_1,13,blast,32,0.0,62.96,1078.7,694.6,110.38,77.05,93.715,39.0,33.4,36.2,39.0,51.34744394806815,1058.0,682.5,23.51,1386.49
