time_start,time_end,x_average,y_average,event,x_start,y_start,x_stop,y_stop,res_start,res_end,interaction_type,res_timestamp,condition,n_game,subject,filename,n_star,n
4973994.0,4977484.0,563.2,165.3,fixation,,,,,149710255.0,149713745.0,blast,149712262,im,1,22ES,im_log_game_1,3,1
4987876.0,4989104.0,1097.0,598.2,fixation,,,,,149724137.0,149725365.0,blast,149726581,im,1,22ES,im_log_game_1,14,2
4989122.0,4993952.0,1105.9,597.7,fixation,,,,,149725383.0,149730213.0,blast,149726581,im,1,22ES,im_log_game_1,14,2
4989106.0,4989120.0,,,saccade,1099.7,589.7,1116.6,597.3,149725367.0,149725381.0,blast,149726581,im,1,22ES,im_log_game_1,14,2
5003020.0,5003196.0,1072.9,278.3,fixation,,,,,149739281.0,149739457.0,holiday_home,149741261,im,1,22ES,im_log_game_1,11,3
5003238.0,5003420.0,971.7,250.0,fixation,,,,,149739499.0,149739681.0,holiday_home,149741261,im,1,22ES,im_log_game_1,11,3
5003446.0,5005408.0,979.5,270.0,fixation,,,,,149739707.0,149741669.0,holiday_home,149741261,im,1,22ES,im_log_game_1,11,3
5002958.0,5003018.0,,,saccade,571.9,686.3,1058.2,273.6,149739219.0,149739279.0,holiday_home,149741261,im,1,22ES,im_log_game_1,11,3
5003198.0,5003236.0,,,saccade,1076.0,279.9,972.4,248.6,149739459.0,149739497.0,holiday_home,149741261,im,1,22ES,im_log_game_1,11,3
5003422.0,5003444.0,,,saccade,971.4,249.6,997.2,280.1,149739683.0,149739705.0,holiday_home,149741261,im,1,22ES,im_log_game_1,11,3
5028900.0,5029052.0,1170.7,448.3,fixation,,,,,149765161.0,149765313.0,holiday_home,149767141,im,1,22ES,im_log_game_1,15,4
5029086.0,5029250.0,1127.2,406.2,fixation,,,,,149765347.0,149765511.0,holiday_home,149767141,im,1,22ES,im_log_game_1,15,4
5029264.0,5031374.0,1119.8,371.9,fixation,,,,,149765525.0,149767635.0,holiday_home,149767141,im,1,22ES,im_log_game_1,15,4
5028616.0,5028898.0,,,saccade,722.5,533.4,1165.6,449.7,149764877.0,149765159.0,holiday_home,149767141,im,1,22ES,im_log_game_1,15,4
5029054.0,5029084.0,,,saccade,1174.0,445.6,1127.1,410.6,149765315.0,149765345.0,holiday_home,149767141,im,1,22ES,im_log_game_1,15,4
5029252.0,5029262.0,,,saccade,1128.6,404.2,1130.4,388.6,149765513.0,149765523.0,holiday_home,149767141,im,1,22ES,im_log_game_1,15,4
5045094.0,5045254.0,623.2,662.6,fixation,,,,,149781355.0,149781515.0,holiday_home,149783341,im,1,22ES,im_log_game_1,1,5
5045280.0,5047714.0,562.1,656.5,fixation,,,,,149781541.0,149783975.0,holiday_home,149783341,im,1,22ES,im_log_game_1,1,5
