event,timestamp,pos_x,pos_y,res_timestamp,decision,earned_points,total_points,game_timestamp,condition,n_game,subject,filename,n_star,interaction_type,n,p_nan,deviation,gaze_pos_x,gaze_pos_y,var_x,var_y,var,range_x,range_y,range_mean,range_max,range,av_x,av_y,norm_dev,norm_dev_2
activate_star,4627,976,584,210643054,-,0,0,2259,im,1,23MM,im_log_game_1,9,holiday_home,1,,,,,,,,,,,,,,,,
activate_star,15625,1180,492,210654054,-,0,0,13257,im,1,23MM,im_log_game_1,15,holiday_home,2,,,,,,,,,,,,,,,,
activate_star,39905,649,873,210678334,-,0,377,37537,im,1,23MM,im_log_game_1,2,holiday_home,3,0.0,81.12,602.1,807.25,12.52,11.26,11.89,10.5,10.5,10.5,10.5,14.849242404917497,603.9,843.05,35.85,107.65
activate_star,64502,1181,773,210702934,-,0,503,62134,im,1,23MM,im_log_game_1,16,holiday_home,4,0.0,53.2,1127.8,774.1,1.3,3.42,2.36,4.8,9.3,7.050000000000001,9.3,10.465658125507444,1138.4,765.7,13.38,88.29
activate_star,75470,1339,896,210713894,-,0,503,73102,im,1,23MM,im_log_game_1,18,blast,5,0.0,64.75,1275.8,882.35,5.59,1.99,3.79,7.8,5.1,6.449999999999999,7.8,9.31933474020544,1281.85,893.65,12.84,99.8
activate_star,89225,976,584,210727654,-,0,845,86857,im,1,23MM,im_log_game_1,9,holiday_home,6,0.0,60.3,919.3,565.4,21.58,8.19,14.884999999999998,18.6,12.2,15.4,18.6,22.244100341438852,907.1,585.75,24.39,94.78
activate_star,120303,1348,306,210758734,-,0,795,117935,im,1,23MM,im_log_game_1,19,blast,7,0.0,54.85,1293.15,306.1,2.43,0.73,1.58,4.8,3.2,4.0,4.8,5.768882040742383,1279.7,346.2,42.12,89.95
activate_star,138704,1181,773,210777133,-,0,938,136336,im,1,23MM,im_log_game_1,16,blast,8,0.0,91.54,1093.5,746.0,6.53,1.62,4.075,7.5,5.1,6.3,7.5,9.069729874698584,1115.35,750.1,22.26,126.23
activate_star,151508,841,763,210789933,-,0,1118,149140,im,1,23MM,im_log_game_1,8,blast,9,0.0,15.22,829.15,771.5,1.52,6.11,3.8150000000000004,5.2,7.3,6.25,7.3,8.962700485902673,919.75,804.2,96.62,47.56
activate_star,166745,707,596,210805173,-,0,1163,164377,im,1,23MM,im_log_game_1,5,blast,10,0.0,27.96,679.6,601.5,0.35,2.25,1.3,2.6,5.0,3.8,5.0,5.635601121442148,672.4,617.7,17.85,62.5
activate_star,181585,673,347,210820013,-,0,1239,179217,im,1,23MM,im_log_game_1,3,blast,11,0.0,31.15,689.2,373.7,0.44,1.04,0.74,2.3,3.9,3.0999999999999996,3.9,4.527692569068709,708.25,396.6,29.78,30.14
activate_star,196103,1128,195,210834533,-,0,1255,193735,im,1,23MM,im_log_game_1,12,holiday_home,12,0.0,95.18,1036.5,221.35,0.74,6.25,3.495,3.9,8.5,6.2,8.5,9.35200513259055,1049.95,240.6,23.51,128.65
activate_star,6698,1285,935,210863533,-,0,1374,220616,im,1,23MM,im_log_game_1,17,blast,13,0.0,54.21,1234.2,916.5,5.55,12.21,8.88,8.4,11.8,10.100000000000001,11.8,14.484474446799926,1191.7,913.5,42.62,88.67
activate_star,19817,703,763,210876653,-,0,1394,233735,im,1,23MM,im_log_game_1,4,blast,14,0.0,46.75,693.9,809.05,0.83,5.93,3.38,3.0,8.4,5.7,8.4,8.919641248391104,711.4,840.15,35.33,61.67
activate_star,35899,792,490,210892733,-,0,1437,249817,im,1,23MM,im_log_game_1,7,blast,15,0.0,47.47,748.2,508.4,0.93,10.67,5.8,4.6,15.4,10.0,15.4,16.072336482291554,731.55,544.9,40.08,80.36
activate_star,49538,567,500,210906372,-,0,1784,263456,im,1,23MM,im_log_game_1,0,blast,16,0.0,16.53,554.0,489.7,5.03,1.08,3.055,7.5,4.5,6.0,7.5,8.74642784226795,584.2,479.3,31.91,49.91
activate_star,71062,983,273,210927892,-,0,1807,284980,im,1,23MM,im_log_game_1,10,blast,17,0.0,32.18,951.05,267.9,6.52,1.12,3.82,8.4,3.9,6.15,8.4,9.26120942425988,938.25,353.2,86.27,67.37
activate_star,89820,1168,179,210946652,-,0,1864,303738,im,1,23MM,im_log_game_1,14,holiday_home,18,0.0,56.82,1111.2,179.6,7.2,11.47,9.335,10.4,12.0,11.2,12.0,15.879546593023367,1121.8,155.65,26.08,91.92
activate_star,114179,775,142,210970972,-,0,1854,328097,im,1,23MM,im_log_game_1,6,blast,19,0.0,63.58,738.25,194.95,18.49,28.63,23.56,12.8,14.7,13.75,14.7,19.49179314480841,776.1,217.45,44.65,86.29
activate_star,128980,577,178,210985812,-,0,1972,342898,im,1,23MM,im_log_game_1,1,holiday_home,20,0.0,56.1,520.9,178.2,0.95,1.82,1.385,3.3,5.5,4.4,5.5,6.41404708432983,534.5,145.35,35.7,91.23
activate_star,164577,1164,461,211021412,-,0,1991,378495,im,1,23MM,im_log_game_1,13,blast,21,0.0,52.7,1130.4,419.35,6.17,1.12,3.645,8.5,4.2,6.35,8.5,9.481033698917011,1134.05,393.05,26.49,81.36
activate_star,178259,1121,694,211035092,-,0,2316,392177,im,1,23MM,im_log_game_1,11,blast,22,0.0,28.13,1092.95,695.9,1.79,0.58,1.185,6.9,3.3,5.1,6.9,7.648529270389178,1080.4,704.3,14.95,63.11
activate_star,6527,624,424,211791165,-,0,0,4337,im,2,23MM,im_log_game_2,3,blast,1,,,,,,,,,,,,,,,,
activate_star,20862,818,189,211805485,-,0,-34,18672,im,2,23MM,im_log_game_2,7,blast,2,,,,,,,,,,,,,,,,
activate_star,36328,1161,288,211820964,-,0,41,34138,im,2,23MM,im_log_game_2,13,blast,3,0.0,41.74,1119.3,284.4,1.01,3.34,2.175,4.0,5.7,4.85,5.7,6.963476143421474,1120.75,331.35,46.96,53.97
activate_star,49728,1325,511,211834364,-,0,98,47538,im,2,23MM,im_log_game_2,19,blast,4,0.0,68.5,1284.9,455.6,1.04,0.37,0.7050000000000001,3.9,2.3,3.0999999999999996,3.9,4.527692569068709,1274.3,449.5,12.14,77.9
activate_star,66886,946,569,211851524,-,0,107,64696,im,2,23MM,im_log_game_2,10,blast,5,0.0,28.38,968.5,552.6,9.53,16.04,12.785,11.8,16.7,14.25,16.7,20.4482273070308,990.05,553.8,21.75,21.73
activate_star,79729,740,668,211864324,-,0,126,77539,im,2,23MM,im_log_game_2,5,holiday_home,6,0.0,86.28,706.6,588.4,1.46,0.78,1.12,3.7,3.5,3.6,3.7,5.0931326312987375,738.7,575.85,34.48,93.5
activate_star,115852,580,828,211900484,-,0,341,113662,im,2,23MM,im_log_game_2,0,blast,7,0.0,69.26,548.9,766.2,3.34,58.92,31.130000000000003,7.9,49.5,28.7,49.5,50.12644012893794,532.35,766.85,17.23,77.3
activate_star,131367,860,935,211916004,-,0,467,129177,im,2,23MM,im_log_game_2,8,blast,8,0.0,27.04,840.05,915.65,17.17,70.18,43.675000000000004,12.9,25.4,19.15,25.4,28.488067677538258,824.8,913.3,17.14,38.01
activate_star,148287,1096,819,211932924,-,0,618,146097,im,2,23MM,im_log_game_2,12,blast,9,0.0,63.18,1091.05,882.0,4.93,1.78,3.355,8.1,5.3,6.699999999999999,8.1,9.67987603226405,1036.95,880.6,54.12,63.05
activate_star,165208,1310,797,211949803,-,0,706,163018,im,2,23MM,im_log_game_2,17,blast,10,0.0,30.49,1303.3,826.55,0.88,4.74,2.81,3.7,7.5,5.6,7.5,8.363013810822029,1278.35,862.55,44.02,33.0
activate_star,9471,1223,379,211972203,-,0,708,183494,im,2,23MM,im_log_game_2,15,blast,11,0.0,46.56,1177.95,391.2,2.05,10.21,6.130000000000001,5.0,10.5,7.75,10.5,11.629703349613008,1171.45,405.35,15.57,57.93
activate_star,24673,1017,324,211987403,-,0,968,198696,im,2,23MM,im_log_game_2,11,blast,12,0.0,69.17,1052.1,383.55,2.53,6.34,4.435,5.6,8.4,7.0,8.4,10.09554357129917,1058.4,392.15,10.62,61.84
activate_star,41551,647,209,212004283,-,0,1184,215574,im,2,23MM,im_log_game_2,4,blast,13,0.0,29.27,664.6,232.1,0.61,0.67,0.64,3.1,3.1,3.1,3.1,4.384062043356595,679.8,265.0,36.2,21.67
activate_star,60354,811,536,212023083,-,0,1518,234377,im,2,23MM,im_log_game_2,6,blast,14,0.0,14.11,798.5,528.7,44.21,0.41,22.31,16.8,2.6,9.700000000000001,16.8,17.0,752.85,532.6,45.75,26.11
activate_star,76469,587,621,212039203,-,0,1764,250492,im,2,23MM,im_log_game_2,1,blast,15,0.0,41.91,616.05,650.75,14.28,6.24,10.26,9.6,7.4,8.5,9.6,12.121056059601408,640.25,680.7,38.19,32.61
activate_star,89631,879,848,212052363,-,0,1969,263654,im,2,23MM,im_log_game_2,9,blast,16,0.0,74.66,890.0,774.15,2.09,5.43,3.76,7.6,14.0,10.8,14.0,15.929846201391902,876.7,770.55,13.94,76.06
activate_star,104710,1161,640,212067443,-,0,1923,278733,im,2,23MM,im_log_game_2,14,blast,17,0.0,17.93,1144.6,632.6,0.45,1.59,1.02,3.1,5.8,4.45,5.8,6.576473218982953,1145.8,708.1,75.51,29.94
activate_star,121231,1324,875,212083963,-,0,2173,295254,im,2,23MM,im_log_game_2,18,blast,18,0.0,14.48,1309.6,876.4,65.48,1.45,33.465,26.7,5.2,15.95,26.7,27.201654361453826,1280.35,864.4,31.64,26.5
activate_star,136510,1255,163,212099242,-,0,2156,310533,im,2,23MM,im_log_game_2,16,blast,19,0.0,49.38,1275.0,208.55,2.3,1.4,1.8499999999999999,5.4,4.4,4.9,5.4,6.9656299069072,1282.3,250.5,42.72,44.01
activate_star,152069,603,895,212114802,-,0,2392,326092,im,2,23MM,im_log_game_2,2,blast,20,0.0,10.51,613.25,894.5,0.98,4.19,2.585,4.5,6.3,5.4,6.3,7.742092740338364,636.0,883.9,25.9,3.69
activate_star,6919,766,246,212499807,-,0,0,4470,im,3,23MM,im_log_game_3,4,blast,1,,,,,,,,,,,,,,,,
activate_star,20252,982,227,212513127,-,0,72,17803,im,3,23MM,im_log_game_3,10,blast,2,,,,,,,,,,,,,,,,
activate_star,32597,1242,295,212525486,-,0,196,30148,im,3,23MM,im_log_game_3,16,blast,3,0.0,78.25,1197.5,358.5,68.08,2.53,35.305,21.1,5.7,13.4,21.1,21.85634919193963,1174.1,349.1,25.19,99.93
activate_star,44934,877,461,212537806,-,0,326,42485,im,3,23MM,im_log_game_3,5,blast,4,0.0,35.1,848.0,480.2,2.04,3.29,2.665,6.0,6.1,6.05,6.1,8.556284240252891,873.3,470.3,27.46,58.62
activate_star,62517,1105,457,212555406,-,0,469,60068,im,3,23MM,im_log_game_3,12,holiday_home,5,0.0,51.52,1061.2,429.5,1.48,1.07,1.275,4.1,4.3,4.199999999999999,4.3,5.941380311005179,1040.8,468.7,44.03,66.31
activate_star,92041,1296,546,212584926,-,0,491,89592,im,3,23MM,im_log_game_3,18,holiday_home,6,0.0,68.32,1230.8,527.45,21.81,1.74,11.774999999999999,17.7,5.5,11.6,17.7,18.534832073693032,1221.6,530.7,10.2,86.29
activate_star,116001,1210,815,212608886,-,0,491,113552,im,3,23MM,im_log_game_3,15,blast,7,0.0,42.77,1180.5,784.45,22.08,0.53,11.305,11.6,2.6,7.1,11.6,11.887808881370864,1152.6,758.2,38.14,53.7
activate_star,131601,974,752,212624486,-,0,527,129152,im,3,23MM,im_log_game_3,9,blast,8,0.0,33.86,949.05,775.2,12.0,1.16,6.58,13.4,4.6,9.0,13.4,14.16756859873987,968.0,843.7,71.09,57.02
activate_star,144519,657,772,212637406,-,0,727,142070,im,3,23MM,im_log_game_3,2,blast,9,0.0,6.4,654.4,777.9,1.78,1.27,1.525,5.1,4.5,4.8,5.1,6.80147042925278,663.9,814.55,37.65,29.05
activate_star,160077,599,521,212652966,-,0,710,157628,im,3,23MM,im_log_game_3,0,blast,10,0.0,23.51,590.9,542.5,7.02,0.7,3.86,8.0,3.6,5.8,8.0,8.772684879784524,576.2,579.85,39.98,44.15
activate_star,177838,1296,546,212670726,-,0,846,175389,im,3,23MM,im_log_game_3,18,holiday_home,11,0.0,64.22,1240.75,575.35,2.59,63.17,32.88,5.7,20.8,13.25,20.8,21.566872745022632,1250.5,625.3,51.33,87.8
activate_star,5963,961,658,212698685,-,0,994,201566,im,3,23MM,im_log_game_3,8,blast,12,0.0,43.93,918.9,667.3,2.51,25.08,13.794999999999998,6.2,20.0,13.1,20.0,20.93895890439637,921.6,699.6,32.44,66.87
activate_star,21280,1037,446,212714005,-,0,1144,216883,im,3,23MM,im_log_game_3,11,blast,13,0.0,59.26,1040.9,505.2,26.82,8.99,17.905,15.6,9.1,12.35,15.6,18.060177186284744,1068.2,522.4,32.58,73.04
activate_star,43683,1290,596,212736405,-,0,1097,239286,im,3,23MM,im_log_game_3,17,blast,14,0.0,44.68,1247.7,580.95,1.43,3.77,2.6,5.1,6.9,6.0,6.9,8.580209787645055,1244.0,592.8,12.63,63.04
activate_star,58082,1195,859,212750805,-,0,1322,253685,im,3,23MM,im_log_game_3,14,holiday_home,15,0.0,35.52,1164.9,839.9,4.56,0.51,2.5349999999999997,9.2,3.5,6.35,9.2,9.843271813782245,1143.1,804.6,41.74,51.35
activate_star,92640,897,850,212785365,-,0,1468,288243,im,3,23MM,im_log_game_3,6,blast,16,0.0,39.83,935.9,860.0,103.0,14.48,58.74,31.1,12.7,21.9,31.1,33.59315406448165,965.15,854.25,29.66,27.5
activate_star,107928,649,837,212800645,-,0,1525,303531,im,3,23MM,im_log_game_3,1,blast,17,0.0,41.97,619.1,807.6,4.99,7.96,6.475,6.2,9.0,7.6,9.0,10.9288608738514,605.9,776.9,33.39,53.68
activate_star,126842,675,387,212819564,-,0,1628,322445,im,3,23MM,im_log_game_3,3,blast,18,0.0,60.84,665.2,446.9,0.87,2.9,1.885,3.0,5.3,4.15,5.3,6.090155991434045,649.4,480.3,36.94,77.59
activate_star,140175,913,270,212832884,-,0,1822,335778,im,3,23MM,im_log_game_3,7,blast,19,0.0,27.24,933.9,253.1,4.11,0.5,2.305,6.6,2.9,4.75,6.6,7.209022125087424,899.6,283.95,46.42,5.98
activate_star,161004,1348,160,212853724,-,0,1841,356607,im,3,23MM,im_log_game_3,19,blast,20,0.0,48.27,1322.7,200.9,4.48,1.25,2.865,6.4,4.2,5.300000000000001,6.4,7.655063683601855,1331.2,241.2,41.17,69.78
activate_star,182123,1134,175,212874844,-,0,1747,377726,im,3,23MM,im_log_game_3,13,holiday_home,21,0.0,46.13,1124.1,219.5,10.24,1.54,5.890000000000001,9.6,5.0,7.3,9.6,10.824047302187846,1103.1,238.6,28.0,64.18
activate_star,8890,1122,340,215098818,-,0,0,6151,qm,1,23MM,qm_log_game_1,14,blast,1,0.0,63.3,1060.05,326.0,0.98,4.47,2.7249999999999996,4.4,7.9,6.15,7.9,9.042676594902641,1048.1,358.2,34.14,79.23
activate_star,21451,612,167,215111378,-,0,135,18712,qm,1,23MM,qm_log_game_1,1,blast,2,0.0,36.21,621.2,201.9,3.65,3.54,3.5949999999999998,7.4,6.6,7.0,7.4,9.915644204992432,589.65,229.7,41.59,37.75
activate_star,36212,942,200,215126138,-,0,196,33473,qm,1,23MM,qm_log_game_1,9,blast,3,0.0,7.94,934.1,199.5,0.85,0.22,0.535,3.4,1.9,2.65,3.4,3.894868418830089,898.2,233.7,49.58,24.5
activate_star,52535,1278,157,215142458,-,0,363,49796,qm,1,23MM,qm_log_game_1,17,blast,4,0.0,53.81,1244.3,198.7,1.28,3.65,2.465,5.0,7.4,6.2,7.4,8.930845424706442,1210.85,212.95,36.2,66.89
activate_star,69413,1042,817,215159338,-,0,596,66674,qm,1,23MM,qm_log_game_1,13,blast,5,0.0,65.66,1103.55,792.5,8.32,1.47,4.8950000000000005,9.4,4.7,7.050000000000001,9.4,10.509519494249012,1097.35,778.9,15.47,49.72
activate_star,87775,1294,924,215177698,-,0,744,85036,qm,1,23MM,qm_log_game_1,18,blast,6,0.0,55.57,1247.1,894.6,0.22,2.81,1.5150000000000001,1.9,6.7,4.3,6.7,6.96419413859206,1230.7,900.8,17.71,69.17
