index,event,timestamp,pos_x,pos_y,res_timestamp,decision,earned_points,total_points,game_timestamp,condition,n_game,subject,filename,n_star,interaction_type,n,p_nan,deviation,gaze_pos_x,gaze_pos_y,var_x,var_y,var,range_x,range_y,range_mean,range_max,range,av_x,av_y,norm_dev,gaze_path
34624,activate_star,4627,976,584,210643054,-,0,0,2259,im,1,23MM,im_log_game_1,9,holiday_home,1,,,,,,,,,,,,,,,,
34630,activate_star,15625,1180,492,210654054,-,0,0,13257,im,1,23MM,im_log_game_1,15,holiday_home,2,,,,,,,,,,,,,,,,
34647,activate_star,39905,649,873,210678334,-,0,377,37537,im,1,23MM,im_log_game_1,2,holiday_home,3,0.0,62.04,602.2,833.5,33.38,221.12,127.25,45.9,76.5,61.2,76.5,89.2135639911331,590.9,813.6,22.72,1098.43
34664,activate_star,64502,1181,773,210702934,-,0,503,62134,im,1,23MM,im_log_game_1,16,holiday_home,4,0.0,45.43,1136.0,768.6,89.42,62.34,75.88,41.4,44.1,42.75,44.1,60.48776735836759,1128.5,777.9,13.45,727.43
34668,activate_star,75470,1339,896,210713894,-,0,503,73102,im,1,23MM,im_log_game_1,18,blast,5,0.0,54.55,1284.9,891.4,46.71,15.22,30.965,30.7,15.4,23.05,30.7,34.34603324985289,1277.0,875.4,18.53,819.26
34681,activate_star,89225,976,584,210727654,-,0,845,86857,im,1,23MM,im_log_game_1,9,holiday_home,6,0.0,65.61,911.9,579.0,70.67,106.55,88.61,44.1,37.2,40.650000000000006,44.1,57.69445380623687,908.2,569.0,15.0,998.79
34701,activate_star,120303,1348,306,210758734,-,0,795,117935,im,1,23MM,im_log_game_1,19,blast,7,0.0,57.9,1291.2,322.2,75.74,469.08,272.40999999999997,29.1,57.9,43.5,57.9,64.80138887400486,1286.15,303.75,25.1,673.8
34714,activate_star,138704,1181,773,210777133,-,0,938,136336,im,1,23MM,im_log_game_1,16,blast,8,0.0,70.71,1115.5,750.3,81.45,65.67,73.56,32.6,26.4,29.5,32.6,41.94901667500682,1090.0,747.7,26.39,644.21
34727,activate_star,151508,841,763,210789933,-,0,1118,149140,im,1,23MM,im_log_game_1,8,blast,9,0.0,27.28,829.2,782.4,1644.63,212.28,928.455,118.8,49.0,83.9,118.8,128.50852111825114,805.1,758.75,33.56,994.27
34741,activate_star,166745,707,596,210805173,-,0,1163,164377,im,1,23MM,im_log_game_1,5,blast,10,0.0,38.65,674.4,613.7,270.85,62.86,166.85500000000002,63.5,34.4,48.95,63.5,72.21918027781817,655.5,598.3,23.86,828.72
