time_start,time_end,x_average,y_average,event,x_start,y_start,x_stop,y_stop,res_start,res_end,interaction_type,res_timestamp,condition,n_game,subject,filename,n_star,n
565462.0,565652.0,873.4,588.2,fixation,,,,,210641045.0,210641235.0,holiday_home,210643054,im,1,23MM,im_log_game_1,9,1
565674.0,567480.0,913.1,562.1,fixation,,,,,210641257.0,210643063.0,holiday_home,210643054,im,1,23MM,im_log_game_1,9,1
565654.0,565672.0,,,saccade,868.4,589.5,894.6,576.5,210641237.0,210641255.0,holiday_home,210643054,im,1,23MM,im_log_game_1,9,1
576488.0,578734.0,1125.5,469.8,fixation,,,,,210652071.0,210654317.0,holiday_home,210654054,im,1,23MM,im_log_game_1,15,2
576440.0,576486.0,,,saccade,915.5,575.6,1122.0,479.8,210652023.0,210652069.0,holiday_home,210654054,im,1,23MM,im_log_game_1,15,2
600696.0,600840.0,558.1,886.2,fixation,,,,,210676279.0,210676423.0,holiday_home,210678334,im,1,23MM,im_log_game_1,2,3
600864.0,602880.0,602.9,832.4,fixation,,,,,210676447.0,210678463.0,holiday_home,210678334,im,1,23MM,im_log_game_1,2,3
600842.0,600862.0,,,saccade,564.1,880.8,588.5,862.6,210676425.0,210676445.0,holiday_home,210678334,im,1,23MM,im_log_game_1,2,3
625366.0,625484.0,1155.7,809.1,fixation,,,,,210700949.0,210701067.0,holiday_home,210702934,im,1,23MM,im_log_game_1,16,4
625498.0,625660.0,1154.2,777.4,fixation,,,,,210701081.0,210701243.0,holiday_home,210702934,im,1,23MM,im_log_game_1,16,4
625672.0,626504.0,1135.8,767.6,fixation,,,,,210701255.0,210702087.0,holiday_home,210702934,im,1,23MM,im_log_game_1,16,4
626514.0,626660.0,1116.7,770.0,fixation,,,,,210702097.0,210702243.0,holiday_home,210702934,im,1,23MM,im_log_game_1,16,4
626680.0,627780.0,1130.1,773.1,fixation,,,,,210702263.0,210703363.0,holiday_home,210702934,im,1,23MM,im_log_game_1,16,4
625328.0,625364.0,,,saccade,1051.0,844.4,1155.8,817.7,210700911.0,210700947.0,holiday_home,210702934,im,1,23MM,im_log_game_1,16,4
625486.0,625496.0,,,saccade,1151.7,807.6,1156.2,790.6,210701069.0,210701079.0,holiday_home,210702934,im,1,23MM,im_log_game_1,16,4
