n_blast,n_outer,window,step,n_star,subject,filename,condition,n_game,pos_x,pos_y,p_nan,deviation,gaze_pos_x,gaze_pos_y,var_x,var_y,var,range_x,range_y,range_mean,range_max,range,gaze_path,av_x,av_y,norm_dev
8,1,500,activation,15,23MM,im_log_game_1,im,1,1180,492,,,,,,,,,,,,,,,,
8,1,1000,activation,15,23MM,im_log_game_1,im,1,1180,492,,,,,,,,,,,,,,,,
8,1,1500,activation,15,23MM,im_log_game_1,im,1,1180,492,0.0,40.18,1141.2,499.1,95.07,7.91,51.489999999999995,29.0,8.7,18.85,29.0,30.276888875840594,146.14,1149.4,464.7,38.36
8,1,2000,activation,15,23MM,im_log_game_1,im,1,1180,492,0.0,17.72,1162.5,493.8,22.54,73.91,48.224999999999994,13.6,22.4,18.0,22.4,26.20534296665472,210.59,1149.4,464.7,32.13
8,1,2500,blast,15,23MM,im_log_game_1,im,1,1180,492,0.0,41.51,1148.7,464.9,25.74,14.86,20.299999999999997,24.9,12.7,18.799999999999997,24.9,27.95174413162799,219.55,1149.4,464.7,1.64
8,1,3000,blast,15,23MM,im_log_game_1,im,1,1180,492,0.0,65.17,1115.7,482.4,29.57,27.58,28.575,16.2,15.6,15.899999999999999,16.2,22.489997776789572,176.07,1149.4,464.7,38.15
8,1,3500,blast,15,23MM,im_log_game_1,im,1,1180,492,0.0,70.57,1110.6,482.0,1.44,23.02,12.23,5.4,16.0,10.7,16.0,16.886681142249355,167.38,1149.4,464.7,42.54
8,1,4000,blast,15,23MM,im_log_game_1,im,1,1180,492,0.0,85.41,1100.1,463.5,113.29,6.23,59.760000000000005,44.6,8.2,26.4,44.6,45.34754679141971,212.55,1149.4,464.7,49.4
8,1,4500,blast,15,23MM,im_log_game_1,im,1,1180,492,0.0,98.33,1087.5,460.2,98.66,3.23,50.945,24.6,5.8,15.200000000000001,24.6,25.2744930710786,176.19,1149.4,464.7,62.14
8,1,5000,blast,15,23MM,im_log_game_1,im,1,1180,492,0.0,82.78,1102.9,461.5,50.56,6.31,28.435000000000002,24.0,9.0,16.5,24.0,25.632011235952593,174.71,1149.4,464.7,46.66
