event,timestamp,pos_x,pos_y,res_timestamp,decision,earned_points,total_points,game_timestamp,condition,n_game,subject,filename,n_star,interaction_type,n,p_nan,deviation,gaze_pos_x,gaze_pos_y,var_x,var_y,var,range_x,range_y,range_mean,range_max,range,av_x,av_y,norm_dev,norm_dev_2
activate_star,4559,1054,594,279375847,-,0,0,2530,im,1,24EK,im_log_game_1,5,blast,1,,,,,,,,,,,,,,,,
activate_star,19038,915,353,279390327,-,0,42,17009,im,1,24EK,im_log_game_1,4,holiday_home,2,,,,,,,,,,,,,,,,
activate_star,49280,1236,417,279420567,-,0,53,47251,im,1,24EK,im_log_game_1,8,blast,3,0.0,42.85,1207.0,383.85,73.6,51.63,62.614999999999995,26.8,27.6,27.200000000000003,27.6,38.47076812334269,1209.45,385.15,10.76,72.08
activate_star,64520,1344,625,279435807,-,0,-148,62491,im,1,24EK,im_log_game_1,9,blast,4,0.0,51.52,1298.4,595.9,118.1,124.73,121.41499999999999,35.9,32.1,34.0,35.9,48.158280700207726,1295.75,590.4,11.29,81.67
activate_star,83799,725,256,279455088,-,0,-196,81770,im,1,24EK,im_log_game_1,2,blast,5,0.0,17.94,716.4,269.1,32.45,34.06,33.255,20.7,21.5,21.1,21.5,29.84526763156933,711.4,265.5,9.55,35.58
activate_star,109124,890,741,279480407,-,0,-161,107095,im,1,24EK,im_log_game_1,3,holiday_home,6,0.0,68.81,858.7,680.1,28.55,35.43,31.990000000000002,17.9,20.5,19.2,20.5,27.215069355046662,862.7,661.75,18.87,95.51
activate_star,151435,610,565,279522726,-,0,-268,149406,im,1,24EK,im_log_game_1,0,blast,7,0.0,62.25,582.6,508.55,60.2,157.97,109.08500000000001,27.2,50.8,39.0,50.8,57.62360627381802,581.1,499.8,12.22,88.99
activate_star,169762,1103,185,279541046,-,0,-481,167733,im,1,24EK,im_log_game_1,6,blast,8,0.0,87.94,1045.45,121.25,29.73,47.92,38.825,19.9,25.9,22.9,25.9,32.66221058042459,1051.05,127.3,11.44,117.06
activate_star,190596,1117,884,279561886,-,0,-522,188567,im,1,24EK,im_log_game_1,7,holiday_home,9,0.0,40.33,1122.45,844.2,16.97,29.2,23.085,15.2,25.1,20.15,25.1,29.343653487594214,1122.6,844.2,6.52,58.85
activate_star,219273,650,763,279590566,-,0,-529,217244,im,1,24EK,im_log_game_1,1,holiday_home,10,0.0,85.22,626.5,680.9,29.21,18.59,23.9,22.9,21.0,21.95,22.9,31.07104761671225,628.6,691.1,12.32,109.12
activate_star,3611,886,592,279724327,-,0,0,2007,im,2,24EK,im_log_game_2,3,blast,1,,,,,,,,,,,,,,,,
activate_star,18631,934,357,279739367,-,0,-234,17027,im,2,24EK,im_log_game_2,4,blast,2,,,,,,,,,,,,,,,,
activate_star,41955,939,788,279762687,-,0,-127,40351,im,2,24EK,im_log_game_2,5,blast,3,0.0,34.42,939.9,754.4,16.35,38.69,27.52,18.5,22.6,20.55,22.6,29.20633492925807,944.05,752.55,7.46,95.72
activate_star,71587,1151,923,279792327,-,0,11,69983,im,2,24EK,im_log_game_2,7,blast,4,0.0,82.67,1178.7,845.7,47.2,18.98,33.09,29.7,17.6,23.65,29.7,34.523180618245476,1191.05,846.75,13.39,142.97
activate_star,103668,1254,618,279824407,-,0,89,102064,im,2,24EK,im_log_game_2,9,blast,5,0.0,75.21,1254.6,543.0,16.47,133.31,74.89,15.0,45.5,30.25,45.5,47.90876746483883,1254.6,546.0,10.46,136.45
activate_star,117193,1202,346,279837927,-,0,-27,115589,im,2,24EK,im_log_game_2,8,blast,6,0.0,26.3,1206.1,320.2,25.84,42.41,34.125,22.7,24.7,23.7,24.7,33.5466838897677,1199.1,314.3,11.64,87.54
activate_star,130631,594,658,279851367,-,0,-174,129027,im,2,24EK,im_log_game_2,0,blast,7,0.0,73.58,577.6,585.9,22.04,38.49,30.265,23.8,27.7,25.75,27.7,36.520268345125835,573.1,588.6,7.58,132.95
