index,event,timestamp,pos_x,pos_y,res_timestamp,decision,earned_points,total_points,game_timestamp,condition,n_game,subject,filename,n_star,interaction_type,n,p_nan,deviation,gaze_pos_x,gaze_pos_y,var_x,var_y,var,range_x,range_y,range_mean,range_max,range,av_x,av_y,norm_dev,gaze_path
36394,activate_star,4559,1054,594,279375847,-,0,0,2530,im,1,24EK,im_log_game_1,5,blast,1,,,,,,,,,,,,,,,,
36408,activate_star,19038,915,353,279390327,-,0,42,17009,im,1,24EK,im_log_game_1,4,holiday_home,2,,,,,,,,,,,,,,,,
36428,activate_star,49280,1236,417,279420567,-,0,53,47251,im,1,24EK,im_log_game_1,8,blast,3,0.0,44.84,1200.3,392.0,176.83,350.46,263.645,52.6,78.8,65.7,78.8,94.74280975356389,1191.5,409.2,23.5,1767.74
36441,activate_star,64520,1344,625,279435807,-,0,-148,62491,im,1,24EK,im_log_game_1,9,blast,4,0.0,61.6,1314.9,574.6,129.7,510.59,320.145,43.7,93.7,68.7,93.7,103.3894578765166,1318.3,570.75,24.56,1842.33
36454,activate_star,83799,725,256,279455088,-,0,-196,81770,im,1,24EK,im_log_game_1,2,blast,5,0.0,34.29,699.35,261.9,696.32,352.34,524.33,119.0,70.1,94.55,119.0,138.1123093717573,701.15,223.85,41.13,2065.75
36473,activate_star,109124,890,741,279480407,-,0,-161,107095,im,1,24EK,im_log_game_1,3,holiday_home,6,0.0,62.61,857.2,685.1,99.83,1035.87,567.8499999999999,41.7,103.3,72.5,103.3,111.39919209760903,846.3,755.4,72.63,2632.15
36502,activate_star,151435,610,565,279522726,-,0,-268,149406,im,1,24EK,im_log_game_1,0,blast,7,0.0,63.63,581.7,511.8,138.26,371.52,254.89,48.8,77.1,62.949999999999996,77.1,91.24609580688917,584.7,755.9,244.64,2436.12
36516,activate_star,169762,1103,185,279541046,-,0,-481,167733,im,1,24EK,im_log_game_1,6,blast,8,0.0,76.34,1047.5,132.5,50.94,319.48,185.21,33.6,70.7,52.150000000000006,70.7,78.27803012340053,1054.2,169.2,37.06,3301.06
36531,activate_star,190596,1117,884,279561886,-,0,-522,188567,im,1,24EK,im_log_game_1,7,holiday_home,9,0.0,39.79,1116.6,847.2,275.17,152.59,213.88,59.4,51.4,55.4,59.4,78.55138445629078,1150.8,861.6,40.96,2337.35
36552,activate_star,219273,650,763,279590566,-,0,-529,217244,im,1,24EK,im_log_game_1,1,holiday_home,10,0.0,79.53,622.6,691.4,166.53,67.06,116.795,51.6,35.1,43.35,51.6,62.40649004710968,629.1,703.2,19.8,3498.14
36579,activate_star,3611,886,592,279724327,-,0,0,2007,im,2,24EK,im_log_game_2,3,blast,1,,,,,,,,,,,,,,,,
36593,activate_star,18631,934,357,279739367,-,0,-234,17027,im,2,24EK,im_log_game_2,4,blast,2,,,,,,,,,,,,,,,,
36612,activate_star,41955,939,788,279762687,-,0,-127,40351,im,2,24EK,im_log_game_2,5,blast,3,0.0,56.67,924.4,734.0,116.83,396.33,256.58,40.4,89.5,64.95,89.5,98.1957738398145,899.4,739.0,36.46,3132.0
