time_start,time_end,x_average,y_average,event,x_start,y_start,x_stop,y_stop,res_start,res_end,interaction_type,res_timestamp,condition,n_game,subject,filename,n_star,n
6395746.0,6395860.0,1031.6,551.9,fixation,,,,,279373884.0,279373998.0,blast,279375847,im,1,24EK,im_log_game_1,5,1
6395964.0,6396632.0,1052.7,569.7,fixation,,,,,279374102.0,279374770.0,blast,279375847,im,1,24EK,im_log_game_1,5,1
6396680.0,6397222.0,1045.7,545.7,fixation,,,,,279374818.0,279375360.0,blast,279375847,im,1,24EK,im_log_game_1,5,1
6397236.0,6397404.0,1044.2,532.9,fixation,,,,,279375374.0,279375542.0,blast,279375847,im,1,24EK,im_log_game_1,5,1
6397450.0,6397502.0,1016.0,541.9,fixation,,,,,279375588.0,279375640.0,blast,279375847,im,1,24EK,im_log_game_1,5,1
6397534.0,6397560.0,1037.2,553.7,fixation,,,,,279375672.0,279375698.0,blast,279375847,im,1,24EK,im_log_game_1,5,1
6397640.0,6397678.0,1042.9,535.1,fixation,,,,,279375778.0,279375816.0,blast,279375847,im,1,24EK,im_log_game_1,5,1
6395694.0,6395744.0,,,saccade,851.2,486.8,1019.6,521.7,279373832.0,279373882.0,blast,279375847,im,1,24EK,im_log_game_1,5,1
6395862.0,6395962.0,,,saccade,1014.2,533.9,1048.1,589.0,279374000.0,279374100.0,blast,279375847,im,1,24EK,im_log_game_1,5,1
6396634.0,6396678.0,,,saccade,1042.5,560.2,1042.2,547.7,279374772.0,279374816.0,blast,279375847,im,1,24EK,im_log_game_1,5,1
6397224.0,6397234.0,,,saccade,1036.4,528.9,1037.3,536.0,279375362.0,279375372.0,blast,279375847,im,1,24EK,im_log_game_1,5,1
6397406.0,6397448.0,,,saccade,1043.6,532.6,1030.3,540.6,279375544.0,279375586.0,blast,279375847,im,1,24EK,im_log_game_1,5,1
6397504.0,6397532.0,,,saccade,1013.6,536.6,1047.1,546.6,279375642.0,279375670.0,blast,279375847,im,1,24EK,im_log_game_1,5,1
6397562.0,6397638.0,,,saccade,1019.2,550.1,1056.1,532.6,279375700.0,279375776.0,blast,279375847,im,1,24EK,im_log_game_1,5,1
6397680.0,6397708.0,,,saccade,1030.7,532.2,1029.9,537.1,279375818.0,279375846.0,blast,279375847,im,1,24EK,im_log_game_1,5,1
6410928.0,6411008.0,885.3,344.1,fixation,,,,,279389066.0,279389146.0,holiday_home,279390327,im,1,24EK,im_log_game_1,4,2
6411226.0,6411334.0,895.7,386.2,fixation,,,,,279389364.0,279389472.0,holiday_home,279390327,im,1,24EK,im_log_game_1,4,2
6411618.0,6412060.0,862.9,369.5,fixation,,,,,279389756.0,279390198.0,holiday_home,279390327,im,1,24EK,im_log_game_1,4,2
6412068.0,6412318.0,868.1,370.2,fixation,,,,,279390206.0,279390456.0,holiday_home,279390327,im,1,24EK,im_log_game_1,4,2
6410162.0,6410926.0,,,saccade,987.3,564.3,898.2,347.7,279388300.0,279389064.0,holiday_home,279390327,im,1,24EK,im_log_game_1,4,2
6411010.0,6411224.0,,,saccade,867.1,350.3,904.5,383.1,279389148.0,279389362.0,holiday_home,279390327,im,1,24EK,im_log_game_1,4,2
6411336.0,6411616.0,,,saccade,873.1,378.1,886.0,383.2,279389474.0,279389754.0,holiday_home,279390327,im,1,24EK,im_log_game_1,4,2
6412062.0,6412066.0,,,saccade,848.5,373.9,848.7,372.3,279390200.0,279390204.0,holiday_home,279390327,im,1,24EK,im_log_game_1,4,2
6440418.0,6440952.0,1184.2,363.7,fixation,,,,,279418556.0,279419090.0,blast,279420567,im,1,24EK,im_log_game_1,8,3
6440972.0,6441944.0,1201.6,392.1,fixation,,,,,279419110.0,279420082.0,blast,279420567,im,1,24EK,im_log_game_1,8,3
6441962.0,6442326.0,1199.7,410.0,fixation,,,,,279420100.0,279420464.0,blast,279420567,im,1,24EK,im_log_game_1,8,3
6442358.0,6442416.0,1203.2,413.9,fixation,,,,,279420496.0,279420554.0,blast,279420567,im,1,24EK,im_log_game_1,8,3
6440954.0,6440970.0,,,saccade,1202.2,401.4,1167.9,417.6,279419092.0,279419108.0,blast,279420567,im,1,24EK,im_log_game_1,8,3
6441946.0,6441960.0,,,saccade,1203.1,403.1,1195.9,427.8,279420084.0,279420098.0,blast,279420567,im,1,24EK,im_log_game_1,8,3
6442328.0,6442356.0,,,saccade,1192.0,405.8,1218.0,425.6,279420466.0,279420494.0,blast,279420567,im,1,24EK,im_log_game_1,8,3
6442418.0,6442548.0,,,saccade,1211.3,426.5,1188.3,412.9,279420556.0,279420686.0,blast,279420567,im,1,24EK,im_log_game_1,8,3
6455676.0,6455778.0,1323.5,531.3,fixation,,,,,279433814.0,279433916.0,blast,279435807,im,1,24EK,im_log_game_1,9,4
6455824.0,6455998.0,1321.4,533.5,fixation,,,,,279433962.0,279434136.0,blast,279435807,im,1,24EK,im_log_game_1,9,4
6456014.0,6456362.0,1306.8,591.6,fixation,,,,,279434152.0,279434500.0,blast,279435807,im,1,24EK,im_log_game_1,9,4
6456392.0,6456562.0,1297.4,586.1,fixation,,,,,279434530.0,279434700.0,blast,279435807,im,1,24EK,im_log_game_1,9,4
6456590.0,6456680.0,1313.4,606.4,fixation,,,,,279434728.0,279434818.0,blast,279435807,im,1,24EK,im_log_game_1,9,4
6456692.0,6457232.0,1315.5,579.9,fixation,,,,,279434830.0,279435370.0,blast,279435807,im,1,24EK,im_log_game_1,9,4
6457240.0,6458850.0,1323.2,562.0,fixation,,,,,279435378.0,279436988.0,blast,279435807,im,1,24EK,im_log_game_1,9,4
6455662.0,6455674.0,,,saccade,1308.2,522.6,1310.8,541.7,279433800.0,279433812.0,blast,279435807,im,1,24EK,im_log_game_1,9,4
6455780.0,6455822.0,,,saccade,1332.7,526.7,1320.2,532.0,279433918.0,279433960.0,blast,279435807,im,1,24EK,im_log_game_1,9,4
6456000.0,6456012.0,,,saccade,1328.0,567.9,1303.6,562.9,279434138.0,279434150.0,blast,279435807,im,1,24EK,im_log_game_1,9,4
6456364.0,6456390.0,,,saccade,1319.8,597.7,1288.8,594.1,279434502.0,279434528.0,blast,279435807,im,1,24EK,im_log_game_1,9,4
6456564.0,6456588.0,,,saccade,1291.6,586.5,1300.0,610.4,279434702.0,279434726.0,blast,279435807,im,1,24EK,im_log_game_1,9,4
6456682.0,6456690.0,,,saccade,1319.9,604.7,1306.2,596.1,279434820.0,279434828.0,blast,279435807,im,1,24EK,im_log_game_1,9,4
6457234.0,6457238.0,,,saccade,1294.6,555.9,1299.3,555.4,279435372.0,279435376.0,blast,279435807,im,1,24EK,im_log_game_1,9,4
6475062.0,6475158.0,800.1,250.6,fixation,,,,,279453200.0,279453296.0,blast,279455088,im,1,24EK,im_log_game_1,2,5
6475202.0,6475542.0,692.2,260.1,fixation,,,,,279453340.0,279453680.0,blast,279455088,im,1,24EK,im_log_game_1,2,5
6475560.0,6476502.0,704.7,269.1,fixation,,,,,279453698.0,279454640.0,blast,279455088,im,1,24EK,im_log_game_1,2,5
6476544.0,6477048.0,696.1,222.1,fixation,,,,,279454682.0,279455186.0,blast,279455088,im,1,24EK,im_log_game_1,2,5
6474714.0,6475060.0,,,saccade,1062.2,720.6,789.6,246.9,279452852.0,279453198.0,blast,279455088,im,1,24EK,im_log_game_1,2,5
6475160.0,6475200.0,,,saccade,803.5,255.8,704.4,252.5,279453298.0,279453338.0,blast,279455088,im,1,24EK,im_log_game_1,2,5
6475544.0,6475558.0,,,saccade,691.5,258.4,712.9,269.6,279453682.0,279453696.0,blast,279455088,im,1,24EK,im_log_game_1,2,5
6476504.0,6476542.0,,,saccade,688.9,278.2,677.8,251.5,279454642.0,279454680.0,blast,279455088,im,1,24EK,im_log_game_1,2,5
6500512.0,6500814.0,863.0,666.6,fixation,,,,,279478650.0,279478952.0,holiday_home,279480407,im,1,24EK,im_log_game_1,3,6
6500826.0,6501198.0,864.5,665.1,fixation,,,,,279478964.0,279479336.0,holiday_home,279480407,im,1,24EK,im_log_game_1,3,6
6501210.0,6501254.0,851.6,674.9,fixation,,,,,279479348.0,279479392.0,holiday_home,279480407,im,1,24EK,im_log_game_1,3,6
6501272.0,6501428.0,858.1,684.8,fixation,,,,,279479410.0,279479566.0,holiday_home,279480407,im,1,24EK,im_log_game_1,3,6
6501496.0,6501890.0,853.9,732.4,fixation,,,,,279479634.0,279480028.0,holiday_home,279480407,im,1,24EK,im_log_game_1,3,6
6501900.0,6502972.0,850.6,738.5,fixation,,,,,279480038.0,279481110.0,holiday_home,279480407,im,1,24EK,im_log_game_1,3,6
6500220.0,6500510.0,,,saccade,835.7,643.7,840.5,661.1,279478358.0,279478648.0,holiday_home,279480407,im,1,24EK,im_log_game_1,3,6
6500816.0,6500824.0,,,saccade,877.6,654.5,871.7,669.3,279478954.0,279478962.0,holiday_home,279480407,im,1,24EK,im_log_game_1,3,6
6501200.0,6501208.0,,,saccade,866.8,686.4,862.1,673.2,279479338.0,279479346.0,holiday_home,279480407,im,1,24EK,im_log_game_1,3,6
6501256.0,6501270.0,,,saccade,853.7,687.5,856.0,667.3,279479394.0,279479408.0,holiday_home,279480407,im,1,24EK,im_log_game_1,3,6
6501430.0,6501494.0,,,saccade,872.8,695.5,860.9,703.3,279479568.0,279479632.0,holiday_home,279480407,im,1,24EK,im_log_game_1,3,6
6501892.0,6501898.0,,,saccade,839.3,743.1,838.8,744.7,279480030.0,279480036.0,holiday_home,279480407,im,1,24EK,im_log_game_1,3,6
6542662.0,6543020.0,566.2,512.3,fixation,,,,,279520800.0,279521158.0,blast,279522726,im,1,24EK,im_log_game_1,0,7
6543244.0,6543382.0,578.0,494.4,fixation,,,,,279521382.0,279521520.0,blast,279522726,im,1,24EK,im_log_game_1,0,7
6543390.0,6543428.0,580.7,503.5,fixation,,,,,279521528.0,279521566.0,blast,279522726,im,1,24EK,im_log_game_1,0,7
6543444.0,6543514.0,577.6,499.2,fixation,,,,,279521582.0,279521652.0,blast,279522726,im,1,24EK,im_log_game_1,0,7
6543524.0,6544630.0,588.5,524.4,fixation,,,,,279521662.0,279522768.0,blast,279522726,im,1,24EK,im_log_game_1,0,7
6542564.0,6542660.0,,,saccade,558.1,456.4,570.8,525.5,279520702.0,279520798.0,blast,279522726,im,1,24EK,im_log_game_1,0,7
6543022.0,6543242.0,,,saccade,551.4,512.9,561.8,482.2,279521160.0,279521380.0,blast,279522726,im,1,24EK,im_log_game_1,0,7
6543384.0,6543388.0,,,saccade,598.7,510.6,597.8,511.2,279521522.0,279521526.0,blast,279522726,im,1,24EK,im_log_game_1,0,7
6543430.0,6543442.0,,,saccade,579.2,484.6,584.2,508.6,279521568.0,279521580.0,blast,279522726,im,1,24EK,im_log_game_1,0,7
6543516.0,6543522.0,,,saccade,573.6,498.2,580.0,511.5,279521654.0,279521660.0,blast,279522726,im,1,24EK,im_log_game_1,0,7
6560996.0,6561118.0,1060.4,109.0,fixation,,,,,279539134.0,279539256.0,blast,279541046,im,1,24EK,im_log_game_1,6,8
6561212.0,6561240.0,1046.3,122.3,fixation,,,,,279539350.0,279539378.0,blast,279541046,im,1,24EK,im_log_game_1,6,8
6561470.0,6561518.0,1045.6,120.9,fixation,,,,,279539608.0,279539656.0,blast,279541046,im,1,24EK,im_log_game_1,6,8
6561552.0,6561636.0,1051.5,124.8,fixation,,,,,279539690.0,279539774.0,blast,279541046,im,1,24EK,im_log_game_1,6,8
6561684.0,6561712.0,1049.6,134.0,fixation,,,,,279539822.0,279539850.0,blast,279541046,im,1,24EK,im_log_game_1,6,8
6561802.0,6561846.0,1040.7,121.9,fixation,,,,,279539940.0,279539984.0,blast,279541046,im,1,24EK,im_log_game_1,6,8
6561928.0,6561970.0,1046.5,119.8,fixation,,,,,279540066.0,279540108.0,blast,279541046,im,1,24EK,im_log_game_1,6,8
6561990.0,6562282.0,1043.8,144.6,fixation,,,,,279540128.0,279540420.0,blast,279541046,im,1,24EK,im_log_game_1,6,8
6562384.0,6562460.0,1039.9,144.0,fixation,,,,,279540522.0,279540598.0,blast,279541046,im,1,24EK,im_log_game_1,6,8
6562568.0,6562672.0,1045.1,162.4,fixation,,,,,279540706.0,279540810.0,blast,279541046,im,1,24EK,im_log_game_1,6,8
6562794.0,6562902.0,1047.7,160.5,fixation,,,,,279540932.0,279541040.0,blast,279541046,im,1,24EK,im_log_game_1,6,8
6560744.0,6560994.0,,,saccade,823.0,430.6,1062.6,93.7,279538882.0,279539132.0,blast,279541046,im,1,24EK,im_log_game_1,6,8
6561120.0,6561210.0,,,saccade,1061.3,110.8,1040.2,120.8,279539258.0,279539348.0,blast,279541046,im,1,24EK,im_log_game_1,6,8
6561242.0,6561468.0,,,saccade,1045.8,122.3,1051.8,130.2,279539380.0,279539606.0,blast,279541046,im,1,24EK,im_log_game_1,6,8
6561520.0,6561550.0,,,saccade,1045.6,123.5,1058.6,114.7,279539658.0,279539688.0,blast,279541046,im,1,24EK,im_log_game_1,6,8
6561638.0,6561682.0,,,saccade,1045.2,127.0,1047.1,136.9,279539776.0,279539820.0,blast,279541046,im,1,24EK,im_log_game_1,6,8
6561714.0,6561800.0,,,saccade,1044.1,130.4,1030.7,122.1,279539852.0,279539938.0,blast,279541046,im,1,24EK,im_log_game_1,6,8
6561848.0,6561926.0,,,saccade,1047.6,128.4,1053.2,113.9,279539986.0,279540064.0,blast,279541046,im,1,24EK,im_log_game_1,6,8
6561972.0,6561988.0,,,saccade,1051.9,122.3,1050.9,122.9,279540110.0,279540126.0,blast,279541046,im,1,24EK,im_log_game_1,6,8
6562284.0,6562382.0,,,saccade,1029.5,145.3,1050.1,148.7,279540422.0,279540520.0,blast,279541046,im,1,24EK,im_log_game_1,6,8
6562462.0,6562566.0,,,saccade,1050.2,145.1,1032.1,154.6,279540600.0,279540704.0,blast,279541046,im,1,24EK,im_log_game_1,6,8
6562674.0,6562792.0,,,saccade,1049.6,164.2,1052.8,156.1,279540812.0,279540930.0,blast,279541046,im,1,24EK,im_log_game_1,6,8
6581770.0,6582122.0,1092.0,849.2,fixation,,,,,279559908.0,279560260.0,holiday_home,279561886,im,1,24EK,im_log_game_1,7,9
6582154.0,6582406.0,1099.6,837.8,fixation,,,,,279560292.0,279560544.0,holiday_home,279561886,im,1,24EK,im_log_game_1,7,9
6582456.0,6582496.0,1119.9,842.9,fixation,,,,,279560594.0,279560634.0,holiday_home,279561886,im,1,24EK,im_log_game_1,7,9
6582570.0,6583728.0,1124.6,848.7,fixation,,,,,279560708.0,279561866.0,holiday_home,279561886,im,1,24EK,im_log_game_1,7,9
6581728.0,6581768.0,,,saccade,1071.4,788.3,1079.1,808.8,279559866.0,279559906.0,holiday_home,279561886,im,1,24EK,im_log_game_1,7,9
6582124.0,6582152.0,,,saccade,1104.9,845.9,1093.2,845.0,279560262.0,279560290.0,holiday_home,279561886,im,1,24EK,im_log_game_1,7,9
6582408.0,6582454.0,,,saccade,1096.5,836.1,1113.9,854.2,279560546.0,279560592.0,holiday_home,279561886,im,1,24EK,im_log_game_1,7,9
6582498.0,6582568.0,,,saccade,1129.9,850.0,1114.8,832.4,279560636.0,279560706.0,holiday_home,279561886,im,1,24EK,im_log_game_1,7,9
