n_blast,n_outer,window,step,n_star,subject,filename,condition,n_game,pos_x,pos_y,p_nan,deviation,gaze_pos_x,gaze_pos_y,var_x,var_y,var,range_x,range_y,range_mean,range_max,range,gaze_path,av_x,av_y,norm_dev
8,2,500,activation,5,24EK,im_log_game_1,im,1,1054,594,,,,,,,,,,,,,,,,
8,2,1000,activation,5,24EK,im_log_game_1,im,1,1054,594,,,,,,,,,,,,,,,,
8,2,1500,activation,5,24EK,im_log_game_1,im,1,1054,594,,,,,,,,,,,,,,,,
8,2,2000,activation,5,24EK,im_log_game_1,im,1,1054,594,,,,,,,,,,,,,,,,
8,2,2500,blast,5,24EK,im_log_game_1,im,1,1054,594,,,,,,,,,,,,,,,,
8,2,3000,blast,5,24EK,im_log_game_1,im,1,1054,594,,,,,,,,,,,,,,,,
8,2,3500,blast,5,24EK,im_log_game_1,im,1,1054,594,,,,,,,,,,,,,,,,
8,2,4000,blast,5,24EK,im_log_game_1,im,1,1054,594,,,,,,,,,,,,,,,,
8,2,4500,blast,5,24EK,im_log_game_1,im,1,1054,594,,,,,,,,,,,,,,,,
8,2,5000,blast,5,24EK,im_log_game_1,im,1,1054,594,,,,,,,,,,,,,,,,
8,2,5500,blast,5,24EK,im_log_game_1,im,1,1054,594,,,,,,,,,,,,,,,,
8,2,6000,blast,5,24EK,im_log_game_1,im,1,1054,594,,,,,,,,,,,,,,,,
8,2,6500,blast,5,24EK,im_log_game_1,im,1,1054,594,,,,,,,,,,,,,,,,
8,2,7000,blast,5,24EK,im_log_game_1,im,1,1054,594,,,,,,,,,,,,,,,,
8,2,7500,blast,5,24EK,im_log_game_1,im,1,1054,594,,,,,,,,,,,,,,,,
8,2,8000,blast,5,24EK,im_log_game_1,im,1,1054,594,,,,,,,,,,,,,,,,
8,2,8500,blast,5,24EK,im_log_game_1,im,1,1054,594,,,,,,,,,,,,,,,,
8,2,9000,blast,5,24EK,im_log_game_1,im,1,1054,594,,,,,,,,,,,,,,,,
8,2,9500,blast,5,24EK,im_log_game_1,im,1,1054,594,,,,,,,,,,,,,,,,
8,2,10000,blast,5,24EK,im_log_game_1,im,1,1054,594,,,,,,,,,,,,,,,,
8,2,10500,overkill,5,24EK,im_log_game_1,im,1,1054,594,,,,,,,,,,,,,,,,
8,2,11000,overkill,5,24EK,im_log_game_1,im,1,1054,594,,,,,,,,,,,,,,,,
8,2,11500,overkill,5,24EK,im_log_game_1,im,1,1054,594,,,,,,,,,,,,,,,,
8,2,12000,overkill,5,24EK,im_log_game_1,im,1,1054,594,,,,,,,,,,,,,,,,
8,2,500,activation,4,24EK,im_log_game_1,im,1,915,353,0.0,69.23,868.5,305.6,16.89,819.34,418.115,20.6,86.6,53.599999999999994,86.6,89.01640298282108,596.28,880.1,322.7,23.52
8,2,1000,activation,4,24EK,im_log_game_1,im,1,915,353,0.0,54.38,876.2,317.9,154.26,161.77,158.015,48.2,38.4,43.3,48.2,61.62629308988169,629.14,880.1,322.7,19.81
8,2,1500,activation,4,24EK,im_log_game_1,im,1,915,353,0.0,29.77,898.6,328.6,83.17,47.44,65.305,30.3,33.8,32.05,33.8,45.39306114374751,555.34,880.1,322.7,20.5
8,2,2000,activation,4,24EK,im_log_game_1,im,1,915,353,0.0,46.67,879.2,327.1,107.69,68.82,88.255,34.6,30.5,32.55,34.6,46.12385499933846,578.41,880.1,322.7,14.95
8,2,2500,blast,4,24EK,im_log_game_1,im,1,915,353,0.0,43.74,880.3,330.2,66.74,242.72,154.73,28.3,50.9,39.6,50.9,58.238303546720864,558.5,880.1,322.7,18.81
8,2,3000,blast,4,24EK,im_log_game_1,im,1,915,353,0.0,36.27,888.0,329.8,19.38,155.24,87.31,20.2,41.4,30.799999999999997,41.4,46.06517122512408,515.03,880.1,322.7,12.23
8,2,3500,blast,4,24EK,im_log_game_1,im,1,915,353,0.0,37.37,885.3,334.6,90.69,57.3,73.995,35.0,27.4,31.2,35.0,44.4495219321873,569.51,880.1,322.7,16.02
8,2,4000,blast,4,24EK,im_log_game_1,im,1,915,353,0.0,49.11,867.6,336.6,108.22,78.09,93.155,37.7,31.4,34.55,37.7,49.063734060913056,601.52,880.1,322.7,23.92
