event,timestamp,pos_x,pos_y,res_timestamp,decision,earned_points,total_points,game_timestamp,condition,n_game,subject,filename,n_star,interaction_type,n,p_nan,deviation,gaze_pos_x,gaze_pos_y,var_x,var_y,var,range_x,range_y,range_mean,range_max,range,av_x,av_y,norm_dev,norm_dev_2
activate_star,4796,698,253,7090758,-,0,0,2558,im,1,25PP,im_log_game_1,5,blast,1,,,,,,,,,,,,,,,,
activate_star,19800,1306,766,7105758,-,0,-18,17562,im,1,25PP,im_log_game_1,18,blast,2,,,,,,,,,,,,,,,,
activate_star,34154,586,854,7120118,-,0,102,31916,im,1,25PP,im_log_game_1,2,blast,3,0.0,47.48,616.8,817.7,0.89,2.34,1.615,3.4,5.8,4.6,5.8,6.723094525588644,607.3,797.4,22.27,67.49
activate_star,46480,1102,854,7132437,-,0,157,44242,im,1,25PP,im_log_game_1,13,blast,4,0.0,34.07,1109.8,820.65,1.2,7.19,4.195,3.9,9.4,6.65,9.4,10.176934705499491,1113.4,804.3,16.94,53.44
activate_star,58809,880,167,7144757,-,0,118,56571,im,1,25PP,im_log_game_1,7,blast,5,0.0,16.68,878.2,183.55,0.31,0.32,0.315,2.6,2.7,2.6500000000000004,2.7,3.7483329627982624,879.4,177.3,6.4,9.27
activate_star,73141,1204,550,7159077,-,0,192,70903,im,1,25PP,im_log_game_1,16,blast,6,0.0,28.75,1207.9,522.4,55.44,1.5,28.47,22.2,5.7,13.95,22.2,22.920078533896866,1215.1,538.4,19.67,46.05
activate_star,87959,898,503,7173917,-,0,303,85721,im,1,25PP,im_log_game_1,8,blast,7,0.0,10.96,906.75,496.5,0.35,1.95,1.15,2.5,5.2,3.85,5.2,5.769748694700663,905.2,494.6,2.84,30.72
activate_star,103289,573,494,7189237,-,0,364,101051,im,1,25PP,im_log_game_1,1,blast,8,0.0,19.4,586.1,479.3,3.31,1.07,2.19,7.6,4.7,6.15,7.6,8.935882720806042,574.1,474.3,13.41,39.49
activate_star,117318,1151,302,7203277,-,0,564,115080,im,1,25PP,im_log_game_1,15,holiday_home,9,0.0,23.66,1172.4,291.95,57.2,8.66,32.93,32.2,10.5,21.35,32.2,33.86871712952825,1180.8,282.4,12.76,42.18
activate_star,143477,859,797,7229437,-,0,683,141239,im,1,25PP,im_log_game_1,6,blast,10,0.0,59.73,867.9,737.7,17.56,12.18,14.87,11.6,12.3,11.95,12.3,16.90709910067366,879.1,735.5,11.31,78.63
