index,event,timestamp,pos_x,pos_y,res_timestamp,decision,earned_points,total_points,game_timestamp,condition,n_game,subject,filename,n_star,interaction_type,n,p_nan,deviation,gaze_pos_x,gaze_pos_y,var_x,var_y,var,range_x,range_y,range_mean,range_max,range,av_x,av_y,norm_dev,gaze_path
38195,activate_star,4796,698,253,7090758,-,0,0,2558,im,1,25PP,im_log_game_1,5,blast,1,,,,,,,,,,,,,,,,
38210,activate_star,19800,1306,766,7105758,-,0,-18,17562,im,1,25PP,im_log_game_1,18,blast,2,,,,,,,,,,,,,,,,
38224,activate_star,34154,586,854,7120118,-,0,102,31916,im,1,25PP,im_log_game_1,2,blast,3,0.0,51.35,606.9,806.9,27.84,54.71,41.275,19.1,24.3,21.700000000000003,24.3,30.907927785602194,607.0,800.35,10.34,1124.26
38237,activate_star,46480,1102,854,7132437,-,0,157,44242,im,1,25PP,im_log_game_1,13,blast,4,0.0,39.89,1112.2,815.95,10.9,86.34,48.620000000000005,11.9,36.8,24.349999999999998,36.8,38.676220084180926,1095.6,827.7,21.45,1315.85
38250,activate_star,58809,880,167,7144757,-,0,118,56571,im,1,25PP,im_log_game_1,7,blast,5,0.0,12.72,880.0,176.8,148.43,12.91,80.67,48.9,13.8,31.35,48.9,50.80993997241091,884.1,176.1,8.21,1187.71
38264,activate_star,73141,1204,550,7159077,-,0,192,70903,im,1,25PP,im_log_game_1,16,blast,6,0.0,24.18,1207.8,527.8,109.23,44.32,76.775,41.5,25.0,33.25,41.5,48.44842618702903,1202.8,533.1,11.85,1268.02
38278,activate_star,87959,898,503,7173917,-,0,303,85721,im,1,25PP,im_log_game_1,8,blast,7,0.0,11.08,906.1,497.1,20.1,9.43,14.765,19.8,13.8,16.8,19.8,24.13462243334252,906.9,489.0,9.93,924.87
38293,activate_star,103289,573,494,7189237,-,0,364,101051,im,1,25PP,im_log_game_1,1,blast,8,0.0,19.54,582.4,477.2,93.9,10.28,52.09,42.9,11.6,27.25,42.9,44.44063455892591,584.0,478.7,6.51,1099.81
38306,activate_star,117318,1151,302,7203277,-,0,564,115080,im,1,25PP,im_log_game_1,15,holiday_home,9,0.0,13.8,1153.9,291.2,140.8,94.21,117.505,48.0,39.0,43.5,48.0,61.84658438426491,1160.8,284.1,15.75,1063.02
38325,activate_star,143477,859,797,7229437,-,0,683,141239,im,1,25PP,im_log_game_1,6,blast,10,0.0,60.06,872.6,738.0,41.27,175.33,108.30000000000001,27.1,50.6,38.85,50.6,57.40008710794785,872.9,718.2,21.07,1241.39
38341,activate_star,8812,564,147,7250117,-,0,726,156056,im,1,25PP,im_log_game_1,0,holiday_home,11,0.0,14.82,566.9,133.5,46.84,20.42,33.63,29.6,18.3,23.950000000000003,29.6,34.80014367786432,565.3,130.9,6.44,1182.91
38358,activate_star,32727,955,179,7274037,-,0,923,179971,im,1,25PP,im_log_game_1,11,blast,12,0.0,15.33,968.9,177.4,32.96,32.48,32.72,22.3,23.0,22.65,23.0,32.03576126768334,968.9,175.6,6.51,984.39
