time_start,time_end,x_average,y_average,event,x_start,y_start,x_stop,y_stop,res_start,res_end,interaction_type,res_timestamp,condition,n_game,subject,filename,n_star,n
4642273.0,4642445.0,743.5,241.6,fixation,,,,,7088759.0,7088931.0,blast,7090758,im,1,25PP,im_log_game_1,5,1
4642483.0,4643129.0,695.2,253.4,fixation,,,,,7088969.0,7089615.0,blast,7090758,im,1,25PP,im_log_game_1,5,1
4643159.0,4644063.0,698.2,251.2,fixation,,,,,7089645.0,7090549.0,blast,7090758,im,1,25PP,im_log_game_1,5,1
4644101.0,4644817.0,697.0,233.5,fixation,,,,,7090587.0,7091303.0,blast,7090758,im,1,25PP,im_log_game_1,5,1
4642447.0,4642481.0,,,saccade,743.7,237.9,701.7,247.9,7088933.0,7088967.0,blast,7090758,im,1,25PP,im_log_game_1,5,1
4643131.0,4643157.0,,,saccade,701.5,257.1,698.8,246.9,7089617.0,7089643.0,blast,7090758,im,1,25PP,im_log_game_1,5,1
4644065.0,4644099.0,,,saccade,701.2,245.4,701.2,235.6,7090551.0,7090585.0,blast,7090758,im,1,25PP,im_log_game_1,5,1
4657441.0,4657571.0,1303.0,726.3,fixation,,,,,7103927.0,7104057.0,blast,7105758,im,1,25PP,im_log_game_1,18,2
4657601.0,4658131.0,1293.7,722.0,fixation,,,,,7104087.0,7104617.0,blast,7105758,im,1,25PP,im_log_game_1,18,2
4658147.0,4658213.0,1310.6,736.0,fixation,,,,,7104633.0,7104699.0,blast,7105758,im,1,25PP,im_log_game_1,18,2
4658633.0,4658665.0,1308.4,728.7,fixation,,,,,7105119.0,7105151.0,blast,7105758,im,1,25PP,im_log_game_1,18,2
4658689.0,4659147.0,1310.8,743.1,fixation,,,,,7105175.0,7105633.0,blast,7105758,im,1,25PP,im_log_game_1,18,2
4659185.0,4659339.0,1298.4,741.5,fixation,,,,,7105671.0,7105825.0,blast,7105758,im,1,25PP,im_log_game_1,18,2
4656895.0,4657439.0,,,saccade,1316.2,663.7,1302.8,720.0,7103381.0,7103925.0,blast,7105758,im,1,25PP,im_log_game_1,18,2
4657573.0,4657599.0,,,saccade,1303.0,726.9,1298.2,720.7,7104059.0,7104085.0,blast,7105758,im,1,25PP,im_log_game_1,18,2
4658133.0,4658145.0,,,saccade,1299.8,727.1,1313.2,736.5,7104619.0,7104631.0,blast,7105758,im,1,25PP,im_log_game_1,18,2
4658215.0,4658631.0,,,saccade,1308.7,731.5,1306.9,727.2,7104701.0,7105117.0,blast,7105758,im,1,25PP,im_log_game_1,18,2
4658667.0,4658687.0,,,saccade,1308.2,731.5,1308.7,730.3,7105153.0,7105173.0,blast,7105758,im,1,25PP,im_log_game_1,18,2
4659149.0,4659183.0,,,saccade,1314.5,751.5,1304.7,741.0,7105635.0,7105669.0,blast,7105758,im,1,25PP,im_log_game_1,18,2
4671509.0,4671987.0,605.0,797.2,fixation,,,,,7117995.0,7118473.0,blast,7120118,im,1,25PP,im_log_game_1,2,3
4672009.0,4672143.0,621.4,798.6,fixation,,,,,7118495.0,7118629.0,blast,7120118,im,1,25PP,im_log_game_1,2,3
4672173.0,4672545.0,607.8,799.0,fixation,,,,,7118659.0,7119031.0,blast,7120118,im,1,25PP,im_log_game_1,2,3
4672575.0,4672797.0,605.2,812.5,fixation,,,,,7119061.0,7119283.0,blast,7120118,im,1,25PP,im_log_game_1,2,3
4672829.0,4673155.0,616.8,817.7,fixation,,,,,7119315.0,7119641.0,blast,7120118,im,1,25PP,im_log_game_1,2,3
4673191.0,4674253.0,607.8,804.6,fixation,,,,,7119677.0,7120739.0,blast,7120118,im,1,25PP,im_log_game_1,2,3
4671989.0,4672007.0,,,saccade,608.3,804.3,629.8,793.2,7118475.0,7118493.0,blast,7120118,im,1,25PP,im_log_game_1,2,3
4672145.0,4672171.0,,,saccade,620.4,798.6,613.6,799.1,7118631.0,7118657.0,blast,7120118,im,1,25PP,im_log_game_1,2,3
4672547.0,4672573.0,,,saccade,611.0,806.3,607.3,805.2,7119033.0,7119059.0,blast,7120118,im,1,25PP,im_log_game_1,2,3
4672799.0,4672827.0,,,saccade,608.0,816.6,612.4,814.2,7119285.0,7119313.0,blast,7120118,im,1,25PP,im_log_game_1,2,3
4673157.0,4673189.0,,,saccade,615.9,816.2,613.6,808.9,7119643.0,7119675.0,blast,7120118,im,1,25PP,im_log_game_1,2,3
4683609.0,4684795.0,1109.6,802.1,fixation,,,,,7130095.0,7131281.0,blast,7132437,im,1,25PP,im_log_game_1,13,4
4684817.0,4685013.0,1116.4,809.9,fixation,,,,,7131303.0,7131499.0,blast,7132437,im,1,25PP,im_log_game_1,13,4
4685043.0,4685985.0,1109.1,824.9,fixation,,,,,7131529.0,7132471.0,blast,7132437,im,1,25PP,im_log_game_1,13,4
4684797.0,4684815.0,,,saccade,1112.9,803.5,1118.6,800.6,7131283.0,7131301.0,blast,7132437,im,1,25PP,im_log_game_1,13,4
4685015.0,4685041.0,,,saccade,1119.1,816.2,1120.6,809.5,7131501.0,7131527.0,blast,7132437,im,1,25PP,im_log_game_1,13,4
4696237.0,4696633.0,884.6,178.8,fixation,,,,,7142723.0,7143119.0,blast,7144757,im,1,25PP,im_log_game_1,7,5
4696657.0,4696845.0,916.8,173.8,fixation,,,,,7143143.0,7143331.0,blast,7144757,im,1,25PP,im_log_game_1,7,5
4696871.0,4697135.0,879.2,176.6,fixation,,,,,7143357.0,7143621.0,blast,7144757,im,1,25PP,im_log_game_1,7,5
4697211.0,4697375.0,884.1,171.4,fixation,,,,,7143697.0,7143861.0,blast,7144757,im,1,25PP,im_log_game_1,7,5
4697407.0,4697837.0,876.7,181.9,fixation,,,,,7143893.0,7144323.0,blast,7144757,im,1,25PP,im_log_game_1,7,5
4697873.0,4698087.0,870.3,173.5,fixation,,,,,7144359.0,7144573.0,blast,7144757,im,1,25PP,im_log_game_1,7,5
4698121.0,4698641.0,882.6,176.0,fixation,,,,,7144607.0,7145127.0,blast,7144757,im,1,25PP,im_log_game_1,7,5
4696635.0,4696655.0,,,saccade,884.6,180.8,920.1,175.8,7143121.0,7143141.0,blast,7144757,im,1,25PP,im_log_game_1,7,5
4696847.0,4696869.0,,,saccade,915.4,171.1,872.5,170.2,7143333.0,7143355.0,blast,7144757,im,1,25PP,im_log_game_1,7,5
4697137.0,4697209.0,,,saccade,876.2,180.4,890.3,168.8,7143623.0,7143695.0,blast,7144757,im,1,25PP,im_log_game_1,7,5
4697377.0,4697405.0,,,saccade,884.1,171.5,874.6,178.7,7143863.0,7143891.0,blast,7144757,im,1,25PP,im_log_game_1,7,5
4697839.0,4697871.0,,,saccade,878.0,182.1,875.4,171.4,7144325.0,7144357.0,blast,7144757,im,1,25PP,im_log_game_1,7,5
4698089.0,4698119.0,,,saccade,869.1,173.1,874.5,175.3,7144575.0,7144605.0,blast,7144757,im,1,25PP,im_log_game_1,7,5
4710571.0,4710629.0,1191.3,488.5,fixation,,,,,7157057.0,7157115.0,blast,7159077,im,1,25PP,im_log_game_1,16,6
4710641.0,4710793.0,1194.0,520.6,fixation,,,,,7157127.0,7157279.0,blast,7159077,im,1,25PP,im_log_game_1,16,6
4710855.0,4710979.0,1231.5,525.3,fixation,,,,,7157341.0,7157465.0,blast,7159077,im,1,25PP,im_log_game_1,16,6
4711009.0,4711803.0,1208.1,535.6,fixation,,,,,7157495.0,7158289.0,blast,7159077,im,1,25PP,im_log_game_1,16,6
4711815.0,4711991.0,1209.8,522.8,fixation,,,,,7158301.0,7158477.0,blast,7159077,im,1,25PP,im_log_game_1,16,6
4712033.0,4712313.0,1192.6,524.0,fixation,,,,,7158519.0,7158799.0,blast,7159077,im,1,25PP,im_log_game_1,16,6
4712353.0,4712525.0,1208.3,533.4,fixation,,,,,7158839.0,7159011.0,blast,7159077,im,1,25PP,im_log_game_1,16,6
4712555.0,4713329.0,1201.8,534.6,fixation,,,,,7159041.0,7159815.0,blast,7159077,im,1,25PP,im_log_game_1,16,6
4710631.0,4710639.0,,,saccade,1190.7,495.6,1191.3,505.8,7157117.0,7157125.0,blast,7159077,im,1,25PP,im_log_game_1,16,6
4710795.0,4710853.0,,,saccade,1197.8,523.0,1230.9,527.0,7157281.0,7157339.0,blast,7159077,im,1,25PP,im_log_game_1,16,6
4710981.0,4711007.0,,,saccade,1232.3,526.9,1213.2,525.6,7157467.0,7157493.0,blast,7159077,im,1,25PP,im_log_game_1,16,6
4711805.0,4711813.0,,,saccade,1204.7,535.8,1215.9,532.3,7158291.0,7158299.0,blast,7159077,im,1,25PP,im_log_game_1,16,6
4711993.0,4712031.0,,,saccade,1208.8,521.7,1194.4,522.9,7158479.0,7158517.0,blast,7159077,im,1,25PP,im_log_game_1,16,6
4712315.0,4712351.0,,,saccade,1189.9,528.1,1204.8,528.4,7158801.0,7158837.0,blast,7159077,im,1,25PP,im_log_game_1,16,6
4712527.0,4712553.0,,,saccade,1208.4,534.0,1197.0,534.9,7159013.0,7159039.0,blast,7159077,im,1,25PP,im_log_game_1,16,6
4725425.0,4725487.0,905.7,471.8,fixation,,,,,7171911.0,7171973.0,blast,7173917,im,1,25PP,im_log_game_1,8,7
4725515.0,4726261.0,902.6,497.0,fixation,,,,,7172001.0,7172747.0,blast,7173917,im,1,25PP,im_log_game_1,8,7
4726283.0,4726423.0,895.9,495.2,fixation,,,,,7172769.0,7172909.0,blast,7173917,im,1,25PP,im_log_game_1,8,7
4726457.0,4726657.0,910.1,500.4,fixation,,,,,7172943.0,7173143.0,blast,7173917,im,1,25PP,im_log_game_1,8,7
4726685.0,4727351.0,909.0,497.0,fixation,,,,,7173171.0,7173837.0,blast,7173917,im,1,25PP,im_log_game_1,8,7
4727383.0,4727817.0,904.8,489.7,fixation,,,,,7173869.0,7174303.0,blast,7173917,im,1,25PP,im_log_game_1,8,7
4725489.0,4725513.0,,,saccade,905.9,475.6,901.9,491.1,7171975.0,7171999.0,blast,7173917,im,1,25PP,im_log_game_1,8,7
4726263.0,4726281.0,,,saccade,908.2,491.7,884.4,494.6,7172749.0,7172767.0,blast,7173917,im,1,25PP,im_log_game_1,8,7
4726425.0,4726455.0,,,saccade,896.2,497.2,904.1,497.9,7172911.0,7172941.0,blast,7173917,im,1,25PP,im_log_game_1,8,7
4726659.0,4726683.0,,,saccade,910.6,503.1,909.8,492.7,7173145.0,7173169.0,blast,7173917,im,1,25PP,im_log_game_1,8,7
4727353.0,4727381.0,,,saccade,915.0,492.8,909.8,494.1,7173839.0,7173867.0,blast,7173917,im,1,25PP,im_log_game_1,8,7
4740667.0,4740853.0,589.8,477.1,fixation,,,,,7187153.0,7187339.0,blast,7189237,im,1,25PP,im_log_game_1,1,8
4740893.0,4741079.0,583.2,472.3,fixation,,,,,7187379.0,7187565.0,blast,7189237,im,1,25PP,im_log_game_1,1,8
4741121.0,4741269.0,612.5,471.5,fixation,,,,,7187607.0,7187755.0,blast,7189237,im,1,25PP,im_log_game_1,1,8
4741295.0,4741847.0,573.5,476.2,fixation,,,,,7187781.0,7188333.0,blast,7189237,im,1,25PP,im_log_game_1,1,8
4741869.0,4742157.0,584.7,479.9,fixation,,,,,7188355.0,7188643.0,blast,7189237,im,1,25PP,im_log_game_1,1,8
4742171.0,4742513.0,585.0,479.6,fixation,,,,,7188657.0,7188999.0,blast,7189237,im,1,25PP,im_log_game_1,1,8
4742545.0,4743503.0,581.8,479.4,fixation,,,,,7189031.0,7189989.0,blast,7189237,im,1,25PP,im_log_game_1,1,8
4740855.0,4740891.0,,,saccade,592.8,477.1,585.3,471.3,7187341.0,7187377.0,blast,7189237,im,1,25PP,im_log_game_1,1,8
4741081.0,4741119.0,,,saccade,585.9,470.7,607.9,469.8,7187567.0,7187605.0,blast,7189237,im,1,25PP,im_log_game_1,1,8
4741271.0,4741293.0,,,saccade,613.7,471.8,567.7,471.5,7187757.0,7187779.0,blast,7189237,im,1,25PP,im_log_game_1,1,8
4741849.0,4741867.0,,,saccade,570.1,481.2,591.0,481.1,7188335.0,7188353.0,blast,7189237,im,1,25PP,im_log_game_1,1,8
4742159.0,4742169.0,,,saccade,588.3,478.6,578.8,479.8,7188645.0,7188655.0,blast,7189237,im,1,25PP,im_log_game_1,1,8
4742515.0,4742543.0,,,saccade,586.6,481.1,582.6,475.5,7189001.0,7189029.0,blast,7189237,im,1,25PP,im_log_game_1,1,8
4754851.0,4755439.0,1153.2,303.2,fixation,,,,,7201337.0,7201925.0,holiday_home,7203277,im,1,25PP,im_log_game_1,15,9
4755481.0,4755627.0,1181.0,282.0,fixation,,,,,7201967.0,7202113.0,holiday_home,7203277,im,1,25PP,im_log_game_1,15,9
4755651.0,4755881.0,1162.5,289.4,fixation,,,,,7202137.0,7202367.0,holiday_home,7203277,im,1,25PP,im_log_game_1,15,9
4755899.0,4756111.0,1152.2,297.9,fixation,,,,,7202385.0,7202597.0,holiday_home,7203277,im,1,25PP,im_log_game_1,15,9
4756151.0,4756315.0,1172.3,291.5,fixation,,,,,7202637.0,7202801.0,holiday_home,7203277,im,1,25PP,im_log_game_1,15,9
4756345.0,4756607.0,1152.5,288.4,fixation,,,,,7202831.0,7203093.0,holiday_home,7203277,im,1,25PP,im_log_game_1,15,9
4756617.0,4756823.0,1134.1,270.7,fixation,,,,,7203103.0,7203309.0,holiday_home,7203277,im,1,25PP,im_log_game_1,15,9
4754547.0,4754849.0,,,saccade,1161.7,304.5,1141.4,304.4,7201033.0,7201335.0,holiday_home,7203277,im,1,25PP,im_log_game_1,15,9
4755441.0,4755479.0,,,saccade,1162.0,296.5,1176.8,283.7,7201927.0,7201965.0,holiday_home,7203277,im,1,25PP,im_log_game_1,15,9
4755629.0,4755649.0,,,saccade,1181.9,283.1,1158.4,285.3,7202115.0,7202135.0,holiday_home,7203277,im,1,25PP,im_log_game_1,15,9
4755883.0,4755897.0,,,saccade,1160.5,291.2,1145.1,298.9,7202369.0,7202383.0,holiday_home,7203277,im,1,25PP,im_log_game_1,15,9
4756113.0,4756149.0,,,saccade,1153.2,298.8,1167.6,291.2,7202599.0,7202635.0,holiday_home,7203277,im,1,25PP,im_log_game_1,15,9
